ticker,date,open,high,low,close
AACI,2021-11-10,9.77,9.78,9.75,9.75
AACI,2021-11-11,9.76,9.82,9.75,9.78
AACI,2021-11-12,9.78,9.8,9.72,9.75
AACI,2021-11-15,9.78,9.79,9.73,9.79
AACI,2021-11-16,9.75,9.78,9.73,9.75
AACI,2021-11-17,9.73,9.79,9.73,9.78
AACI,2021-11-18,9.78,9.8,9.75,9.8
AACI,2021-11-19,9.79,9.82,9.79,9.8
AACI,2021-11-22,9.84,9.86,9.8,9.8
AACI,2021-11-23,9.8,9.81,9.79,9.8
AACI,2021-11-24,9.79,9.79,9.79,9.79
AACI,2021-11-26,9.34,9.34,9.34,9.34
AACI,2021-11-29,9.89,9.89,9.78,9.78
AACI,2021-11-30,9.78,9.78,9.78,9.78
AACI,2021-12-01,9.88,9.88,9.78,9.78
AACI,2021-12-02,9.78,9.79,9.76,9.77
AACI,2021-12-03,9.77,9.78,9.75,9.78
AACI,2021-12-06,9.77,9.79,9.77,9.77
AACI,2021-12-07,9.78,9.79,9.77,9.77
AACI,2021-12-08,9.77,9.77,9.77,9.77
AACI,2021-12-09,9.77,9.77,9.75,9.76
AACI,2021-12-10,9.75,9.78,9.75,9.76
AACI,2021-12-13,9.75,9.75,9.75,9.75
AACI,2021-12-14,9.75,9.75,9.75,9.75
AACI,2021-12-15,9.74,9.75,9.74,9.75
AACI,2021-12-16,9.75,9.75,9.75,9.75
AACI,2021-12-17,9.8,9.82,9.75,9.78
AACI,2021-12-20,9.78,9.8,9.77,9.8
AACI,2021-12-21,9.8,9.81,9.8,9.81
AACI,2021-12-22,9.82,9.84,9.8,9.83
AACI,2021-12-23,9.82,9.82,9.8,9.8
AACI,2021-12-27,9.84,9.85,9.8,9.8
AACI,2021-12-28,9.8,9.89,9.8,9.8
AACI,2021-12-29,9.8,9.8,9.8,9.8
AACI,2021-12-30,9.81,9.82,9.8,9.82
AACI,2021-12-31,9.8,9.8,9.79,9.79
AACI,2022-01-03,9.81,9.91,9.81,9.91
AACI,2022-01-04,9.87,9.9,9.86,9.9
AACI,2022-01-05,9.9,9.9,9.9,9.9
AACI,2022-01-06,9.8,9.8,9.8,9.8
AACI,2022-01-07,9.89,9.89,9.81,9.87
AACI,2022-01-10,9.84,9.89,9.84,9.88
AACI,2022-01-11,9.85,9.85,9.85,9.85
AACI,2022-01-12,9.85,9.85,9.85,9.85
AACI,2022-01-13,9.85,9.86,9.85,9.86
AACI,2022-01-14,9.85,9.85,9.85,9.85
AACI,2022-01-18,9.86,9.86,9.84,9.85
AACI,2022-01-19,9.86,9.86,9.84,9.85
AACI,2022-01-20,9.84,9.84,9.84,9.84
AACI,2022-01-21,9.84,9.84,9.8,9.81
