ticker,date,open,high,low,close
AAWW,2004-07-22,16.75,16.75,16.75,16.75
AAWW,2004-07-23,16.75,16.75,16.75,16.75
AAWW,2004-07-26,16.75,16.75,16.75,16.75
AAWW,2004-07-27,16.75,16.75,16.75,16.75
AAWW,2004-07-28,16.75,16.75,16.75,16.75
AAWW,2004-07-29,16.75,16.85,16.75,16.75
AAWW,2004-07-30,16.78,16.8,16.78,16.78
AAWW,2004-08-02,16.85,16.85,16.8,16.85
AAWW,2004-08-03,16.77,16.85,16.77,16.77
AAWW,2004-08-04,16.8,16.8,16.8,16.8
AAWW,2004-08-05,16.7,16.8,16.62,16.7
AAWW,2004-08-06,16.7,16.7,16.7,16.7
AAWW,2004-08-09,16.5,16.5,16.5,16.5
AAWW,2004-08-10,16.45,16.5,16.45,16.45
AAWW,2004-08-11,16.45,16.45,16.45,16.45
AAWW,2004-08-12,16.3,16.3,16.3,16.3
AAWW,2004-08-13,16.1,16.1,16.1,16.1
AAWW,2004-08-16,16.0,16.0,16.0,16.0
AAWW,2004-08-17,15.75,15.95,15.75,15.75
AAWW,2004-08-18,15.65,15.7,15.65,15.65
AAWW,2004-08-19,15.6,15.6,15.6,15.6
AAWW,2004-08-20,15.0,15.0,15.0,15.0
AAWW,2004-08-23,14.75,14.75,14.75,14.75
AAWW,2004-08-24,14.5,14.5,14.5,14.5
AAWW,2004-08-25,14.5,14.5,14.5,14.5
AAWW,2004-08-26,14.5,14.5,14.5,14.5
AAWW,2004-08-27,14.48,14.5,14.4,14.48
AAWW,2004-08-30,14.48,14.48,14.48,14.48
AAWW,2004-08-31,14.0,14.5,14.0,14.0
AAWW,2004-09-01,14.35,14.35,14.25,14.35
AAWW,2004-09-02,14.35,14.35,14.35,14.35
AAWW,2004-09-03,14.35,14.35,14.35,14.35
AAWW,2004-09-07,14.95,15.05,14.35,14.95
AAWW,2004-09-08,15.43,16.0,15.4,15.43
AAWW,2004-09-09,15.8,15.85,15.5,15.8
AAWW,2004-09-10,15.8,15.8,15.75,15.8
AAWW,2004-09-13,15.85,15.85,15.85,15.85
AAWW,2004-09-14,15.85,15.87,15.85,15.85
AAWW,2004-09-15,16.35,16.4,15.85,16.35
AAWW,2004-09-16,16.2,16.4,16.2,16.2
AAWW,2004-09-17,17.18,17.3,16.35,17.18
AAWW,2004-09-20,16.9,17.1,16.9,16.9
AAWW,2004-09-21,17.05,17.05,16.8,17.05
AAWW,2004-09-22,17.45,17.45,17.1,17.45
AAWW,2004-09-23,17.45,17.45,17.45,17.45
AAWW,2004-09-24,18.0,18.15,17.4,18.0
AAWW,2004-09-27,18.35,18.75,18.24,18.35
AAWW,2004-09-28,18.2,18.25,18.2,18.2
AAWW,2004-09-29,19.0,19.5,18.2,19.0
AAWW,2004-09-30,19.0,19.0,19.0,19.0
AAWW,2004-10-01,19.3,19.3,19.0,19.3
AAWW,2004-10-04,19.55,19.8,19.4,19.55
AAWW,2004-10-05,20.75,20.75,19.75,20.75
AAWW,2004-10-06,22.0,22.0,20.75,22.0
AAWW,2004-10-07,21.75,22.0,21.5,21.75
AAWW,2004-10-08,21.75,21.9,21.25,21.75
AAWW,2004-10-11,21.75,21.75,21.65,21.75
AAWW,2004-10-12,21.75,21.75,21.75,21.75
AAWW,2004-10-13,19.75,21.75,19.75,19.75
AAWW,2004-10-14,20.35,20.35,20.25,20.35
AAWW,2004-10-15,20.75,20.75,20.75,20.75
AAWW,2004-10-18,20.7,20.75,20.4,20.7
AAWW,2004-10-19,20.9,21.0,20.7,20.9
AAWW,2004-10-20,21.0,21.25,20.8,21.0
AAWW,2004-10-21,21.37,21.45,21.25,21.37
AAWW,2004-10-22,21.45,21.65,21.4,21.45
AAWW,2004-10-25,21.45,21.45,21.45,21.45
AAWW,2004-10-26,21.25,21.25,21.25,21.25
AAWW,2004-10-27,21.15,21.2,20.5,21.15
AAWW,2004-10-28,21.0,21.0,21.0,21.0
AAWW,2004-10-29,21.75,21.75,21.75,21.75
AAWW,2004-11-01,21.45,22.0,21.45,21.45
AAWW,2004-11-03,21.8,21.8,21.8,21.8
AAWW,2004-11-04,21.75,21.75,21.75,21.75
AAWW,2004-11-05,21.45,22.0,21.45,21.45
AAWW,2004-11-08,21.75,22.1,20.9,21.75
AAWW,2004-11-09,22.0,22.2,21.0,22.0
AAWW,2004-11-10,22.03,22.1,22.0,22.03
AAWW,2004-11-11,22.03,22.03,22.03,22.03
AAWW,2004-11-12,22.0,22.0,20.9,22.0
AAWW,2004-11-15,22.1,22.1,22.0,22.1
AAWW,2004-11-16,22.0,22.05,22.0,22.0
AAWW,2004-11-17,21.5,22.0,21.5,21.5
AAWW,2004-11-18,21.5,21.53,21.5,21.5
AAWW,2004-11-19,21.5,21.5,21.5,21.5
AAWW,2004-11-22,21.5,21.5,21.5,21.5
AAWW,2004-11-23,22.0,22.0,21.5,22.0
AAWW,2004-11-24,22.0,22.1,22.0,22.0
AAWW,2004-11-26,22.0,22.0,22.0,22.0
AAWW,2004-11-29,22.05,22.75,22.0,22.05
AAWW,2004-11-30,23.03,23.15,22.5,23.03
AAWW,2004-12-01,23.03,23.03,23.03,23.03
AAWW,2004-12-02,23.03,23.03,23.03,23.03
AAWW,2004-12-03,23.03,23.03,23.03,23.03
AAWW,2004-12-06,22.75,23.0,22.75,22.75
AAWW,2004-12-07,23.0,23.05,22.75,23.0
AAWW,2004-12-08,23.0,23.0,22.7,23.0
AAWW,2004-12-09,23.0,23.0,23.0,23.0
AAWW,2004-12-10,22.5,22.5,22.45,22.5
AAWW,2004-12-13,22.78,23.0,22.75,22.78
AAWW,2004-12-14,22.78,22.78,22.78,22.78
AAWW,2004-12-15,22.75,22.75,22.75,22.75
AAWW,2004-12-16,22.75,22.75,22.75,22.75
AAWW,2004-12-17,23.25,23.35,23.05,23.25
AAWW,2004-12-20,23.5,23.5,23.25,23.5
AAWW,2004-12-21,23.5,23.5,23.5,23.5
AAWW,2004-12-22,24.0,24.0,23.75,24.0
AAWW,2004-12-23,24.0,24.0,24.0,24.0
AAWW,2004-12-27,24.0,24.0,24.0,24.0
AAWW,2004-12-28,24.0,24.0,24.0,24.0
AAWW,2004-12-29,24.0,24.0,24.0,24.0
AAWW,2004-12-30,24.0,24.0,24.0,24.0
AAWW,2004-12-31,24.0,24.0,24.0,24.0
AAWW,2005-01-03,26.25,26.38,24.5,26.25
AAWW,2005-01-04,26.6,26.6,26.12,26.6
AAWW,2005-01-05,27.0,27.0,26.65,27.0
AAWW,2005-01-06,29.0,29.0,27.25,29.0
AAWW,2005-01-07,29.25,29.25,28.5,29.25
AAWW,2005-01-10,29.4,29.5,29.25,29.4
AAWW,2005-01-11,30.3,30.5,29.4,30.3
AAWW,2005-01-12,31.0,32.1,30.5,31.0
AAWW,2005-01-13,30.5,31.05,30.5,30.5
AAWW,2005-01-14,30.75,31.0,30.5,30.75
AAWW,2005-01-18,30.25,30.5,30.25,30.25
AAWW,2005-01-19,30.75,30.75,30.25,30.75
AAWW,2005-01-20,30.75,31.0,30.25,30.75
AAWW,2005-01-21,31.0,31.0,30.75,31.0
