ticker,date,open,high,low,close
ABCL,2020-12-11,61.0,71.91,48.98,58.9
ABCL,2020-12-14,56.93,60.69,50.0,50.01
ABCL,2020-12-15,50.81,52.21,45.26,46.99
ABCL,2020-12-16,47.13,49.73,42.15,47.53
ABCL,2020-12-17,48.54,50.5,48.14,48.6
ABCL,2020-12-18,49.2,49.8,48.16,49.22
ABCL,2020-12-21,48.5,48.99,43.63,45.3
ABCL,2020-12-22,47.62,47.99,42.56,47.12
ABCL,2020-12-23,45.68,45.99,42.6,43.26
ABCL,2020-12-24,43.26,44.0,40.85,42.42
ABCL,2020-12-28,42.65,42.96,38.3,40.55
ABCL,2020-12-29,41.13,41.5,38.0,39.0
ABCL,2020-12-30,38.59,41.1,37.62,41.1
ABCL,2020-12-31,41.45,41.5,38.6,40.24
ABCL,2021-01-04,40.0,40.3,38.78,39.1
ABCL,2021-01-05,38.81,39.5,37.7,38.51
ABCL,2021-01-06,38.75,40.05,36.82,39.61
ABCL,2021-01-07,40.7,40.96,38.64,39.32
ABCL,2021-01-08,39.32,42.48,38.78,39.72
ABCL,2021-01-11,40.36,40.5,36.27,36.59
ABCL,2021-01-12,37.0,40.35,36.77,39.95
ABCL,2021-01-13,39.9,44.99,39.72,43.88
ABCL,2021-01-14,44.39,47.0,41.46,46.64
ABCL,2021-01-15,45.51,46.55,44.07,44.41
ABCL,2021-01-19,44.94,49.32,44.94,49.08
ABCL,2021-01-20,49.53,49.74,47.5,48.2
ABCL,2021-01-21,49.0,51.49,48.07,50.9
ABCL,2021-01-22,50.04,51.36,49.08,50.5
ABCL,2021-01-25,51.2,51.24,46.43,48.79
ABCL,2021-01-26,49.29,49.96,46.06,47.77
ABCL,2021-01-27,45.89,48.92,45.1,46.85
ABCL,2021-01-28,46.45,52.5,46.14,51.5
ABCL,2021-01-29,52.1,55.22,50.33,52.83
ABCL,2021-02-01,53.25,54.26,52.86,53.2
ABCL,2021-02-02,53.19,54.0,47.52,47.95
ABCL,2021-02-03,49.72,49.97,48.15,48.55
ABCL,2021-02-04,49.0,49.08,46.0,46.58
ABCL,2021-02-05,46.9,47.45,45.68,46.55
ABCL,2021-02-08,49.0,49.37,44.57,45.03
ABCL,2021-02-09,47.75,49.7,46.17,47.0
ABCL,2021-02-10,53.0,53.03,46.97,46.99
ABCL,2021-02-11,48.0,48.41,44.59,46.0
ABCL,2021-02-12,46.2,46.2,42.66,42.97
ABCL,2021-02-16,44.2,44.7,42.6,44.04
ABCL,2021-02-17,44.2,46.72,43.52,45.64
ABCL,2021-02-18,45.65,45.65,43.36,43.8
ABCL,2021-02-19,43.56,45.44,43.56,44.07
ABCL,2021-02-22,44.25,44.95,39.8,40.37
ABCL,2021-02-23,39.61,40.0,35.73,38.83
ABCL,2021-02-24,40.91,41.36,39.56,40.1
ABCL,2021-02-25,40.38,41.65,38.7,39.06
ABCL,2021-02-26,38.95,39.27,36.24,37.71
ABCL,2021-03-01,38.46,40.6,38.46,39.69
ABCL,2021-03-02,39.7,40.13,37.41,38.0
ABCL,2021-03-03,39.0,39.0,35.5,35.67
ABCL,2021-03-04,35.5,35.5,29.57,30.05
ABCL,2021-03-05,30.51,31.74,26.16,28.61
ABCL,2021-03-08,31.19,31.47,26.38,26.76
ABCL,2021-03-09,28.71,31.17,27.89,30.64
ABCL,2021-03-10,31.03,32.89,30.21,32.22
ABCL,2021-03-11,34.22,36.22,32.9,36.0
ABCL,2021-03-12,36.21,36.85,34.85,36.54
ABCL,2021-03-15,37.41,38.25,36.45,37.55
ABCL,2021-03-16,37.87,39.19,37.35,37.88
ABCL,2021-03-17,36.55,36.91,34.74,36.29
ABCL,2021-03-18,36.0,36.15,30.75,31.37
ABCL,2021-03-19,31.5,32.19,30.81,31.2
ABCL,2021-03-22,31.99,32.34,30.22,30.58
ABCL,2021-03-23,30.65,30.77,28.5,29.23
ABCL,2021-03-24,29.47,29.97,27.61,27.79
ABCL,2021-03-25,27.05,28.0,26.19,26.58
ABCL,2021-03-26,26.9,27.11,24.07,24.75
ABCL,2021-03-29,25.27,26.0,23.2,23.29
ABCL,2021-03-30,27.52,27.95,24.57,26.68
ABCL,2021-03-31,28.2,36.78,27.5,33.96
ABCL,2021-04-01,36.25,39.06,30.0,30.71
ABCL,2021-04-05,31.71,31.78,27.9,28.09
ABCL,2021-04-06,28.0,29.14,26.77,29.0
ABCL,2021-04-07,28.41,31.32,27.86,31.29
ABCL,2021-04-08,30.79,31.62,29.63,30.59
ABCL,2021-04-09,29.96,30.75,27.61,28.35
ABCL,2021-04-12,28.11,28.68,26.8,27.92
ABCL,2021-04-13,27.98,28.81,27.32,28.26
ABCL,2021-04-14,28.22,30.64,27.72,28.25
ABCL,2021-04-15,29.62,30.24,28.43,29.0
ABCL,2021-04-16,29.31,30.64,28.35,29.82
ABCL,2021-04-19,29.21,29.9,29.1,29.65
ABCL,2021-04-20,29.64,29.76,27.01,27.73
ABCL,2021-04-21,27.8,29.3,27.38,29.06
ABCL,2021-04-22,29.5,29.98,28.26,29.23
ABCL,2021-04-23,28.76,29.89,28.76,29.33
ABCL,2021-04-26,29.55,31.81,29.13,31.6
ABCL,2021-04-27,31.31,31.44,29.18,29.48
ABCL,2021-04-28,29.0,30.62,28.96,30.03
ABCL,2021-04-29,30.06,30.3,28.66,28.78
ABCL,2021-04-30,28.63,29.07,26.5,26.65
ABCL,2021-05-03,27.0,27.22,25.5,26.0
ABCL,2021-05-04,25.83,28.51,25.58,28.0
ABCL,2021-05-05,28.72,30.35,28.53,29.42
ABCL,2021-05-06,28.5,29.01,27.55,28.7
ABCL,2021-05-07,28.4,29.9,28.2,29.09
ABCL,2021-05-10,28.89,29.09,27.56,27.67
ABCL,2021-05-11,26.5,28.5,26.25,28.25
ABCL,2021-05-12,28.0,30.97,27.73,30.72
ABCL,2021-05-13,29.67,35.0,29.67,34.14
ABCL,2021-05-14,31.75,32.88,30.5,31.75
ABCL,2021-05-17,31.5,36.05,31.5,34.17
ABCL,2021-05-18,33.87,34.0,32.6,32.99
ABCL,2021-05-19,32.56,32.57,31.32,32.35
ABCL,2021-05-20,32.35,32.96,31.13,31.79
ABCL,2021-05-21,31.21,32.7,31.21,32.03
ABCL,2021-05-24,31.84,33.23,31.84,32.62
ABCL,2021-05-25,32.26,33.64,32.06,32.56
