ticker,date,open,high,low,close
ACGL,1995-09-14,2.28,2.39,2.28,2.36
ACGL,1995-09-15,2.33,2.39,2.31,2.36
ACGL,1995-09-18,2.33,2.42,2.33,2.36
ACGL,1995-09-19,2.33,2.42,2.33,2.33
ACGL,1995-09-20,2.33,2.42,2.33,2.36
ACGL,1995-09-21,2.33,2.39,2.33,2.39
ACGL,1995-09-22,2.33,2.39,2.33,2.33
ACGL,1995-09-25,2.33,2.39,2.33,2.36
ACGL,1995-09-26,2.33,2.39,2.33,2.33
ACGL,1995-09-27,2.39,2.42,2.33,2.36
ACGL,1995-09-28,2.39,2.39,2.33,2.33
ACGL,1995-09-29,2.4,2.42,2.36,2.42
ACGL,1995-10-02,2.36,2.44,2.36,2.36
ACGL,1995-10-03,2.36,2.44,2.36,2.44
ACGL,1995-10-04,2.4,2.47,2.39,2.42
ACGL,1995-10-05,2.42,2.5,2.42,2.46
ACGL,1995-10-06,2.42,2.5,2.42,2.5
ACGL,1995-10-09,2.42,2.5,2.42,2.5
ACGL,1995-10-10,2.42,2.44,2.39,2.39
ACGL,1995-10-11,2.39,2.42,2.39,2.42
ACGL,1995-10-12,2.39,2.5,2.39,2.46
ACGL,1995-10-13,2.46,2.5,2.42,2.46
ACGL,1995-10-16,2.42,2.46,2.42,2.44
ACGL,1995-10-17,2.42,2.5,2.42,2.43
ACGL,1995-10-18,2.5,2.5,2.43,2.44
ACGL,1995-10-19,2.5,2.5,2.43,2.43
ACGL,1995-10-20,2.43,2.5,2.38,2.38
ACGL,1995-10-23,2.42,2.42,2.38,2.38
ACGL,1995-10-24,2.38,2.44,2.38,2.4
ACGL,1995-10-25,2.44,2.44,2.4,2.4
ACGL,1995-10-26,2.4,2.44,2.4,2.4
ACGL,1995-10-27,2.4,2.47,2.4,2.46
ACGL,1995-10-30,2.43,2.47,2.42,2.42
ACGL,1995-10-31,2.42,2.47,2.42,2.44
ACGL,1995-11-01,2.42,2.44,2.42,2.43
ACGL,1995-11-02,2.44,2.44,2.42,2.43
ACGL,1995-11-03,2.44,2.44,2.42,2.43
ACGL,1995-11-06,2.42,2.44,2.39,2.4
ACGL,1995-11-07,2.39,2.42,2.36,2.42
ACGL,1995-11-08,2.36,2.36,2.36,2.36
ACGL,1995-11-09,2.36,2.42,2.36,2.36
ACGL,1995-11-10,2.36,2.36,2.31,2.31
ACGL,1995-11-13,2.31,2.36,2.29,2.33
ACGL,1995-11-14,2.36,2.36,2.29,2.33
ACGL,1995-11-15,2.28,2.35,2.28,2.28
ACGL,1995-11-16,2.28,2.31,2.26,2.29
ACGL,1995-11-17,2.26,2.26,2.21,2.24
ACGL,1995-11-20,2.22,2.25,2.22,2.22
ACGL,1995-11-21,2.22,2.25,2.22,2.25
ACGL,1995-11-22,2.25,2.31,2.24,2.31
ACGL,1995-11-24,2.25,2.25,2.25,2.25
ACGL,1995-11-27,2.25,2.25,2.25,2.25
ACGL,1995-11-28,2.31,2.33,2.25,2.33
ACGL,1995-11-29,2.33,2.33,2.28,2.28
ACGL,1995-11-30,2.28,2.47,2.28,2.29
ACGL,1995-12-01,2.3,2.3,2.21,2.24
ACGL,1995-12-04,2.25,2.25,2.22,2.25
ACGL,1995-12-05,2.28,2.28,2.22,2.25
ACGL,1995-12-06,2.22,2.25,2.22,2.25
ACGL,1995-12-07,2.22,2.22,2.22,2.22
ACGL,1995-12-08,2.22,2.28,2.22,2.25
ACGL,1995-12-11,2.31,2.33,2.28,2.28
ACGL,1995-12-12,2.36,2.39,2.31,2.35
ACGL,1995-12-13,2.33,2.36,2.33,2.36
ACGL,1995-12-14,2.36,2.36,2.33,2.36
ACGL,1995-12-15,2.38,2.38,2.38,2.38
ACGL,1995-12-18,2.33,2.33,2.28,2.29
ACGL,1995-12-19,2.28,2.35,2.28,2.28
ACGL,1995-12-20,2.28,2.29,2.25,2.29
ACGL,1995-12-21,2.25,2.28,2.21,2.26
ACGL,1995-12-22,2.29,2.29,2.22,2.22
ACGL,1995-12-26,2.22,2.25,2.22,2.22
ACGL,1995-12-27,2.22,2.29,2.22,2.24
ACGL,1995-12-28,2.25,2.31,2.22,2.31
ACGL,1995-12-29,2.35,2.6,2.29,2.6
ACGL,1996-01-02,2.56,2.58,2.53,2.57
ACGL,1996-01-03,2.53,2.58,2.53,2.54
ACGL,1996-01-04,2.53,2.56,2.53,2.56
ACGL,1996-01-05,2.53,2.53,2.5,2.5
ACGL,1996-01-08,2.5,2.5,2.5,2.5
ACGL,1996-01-09,2.5,2.54,2.5,2.5
ACGL,1996-01-10,2.5,2.53,2.5,2.5
ACGL,1996-01-11,2.5,2.5,2.5,2.5
ACGL,1996-01-12,2.5,2.53,2.46,2.46
ACGL,1996-01-15,2.53,2.53,2.49,2.49
ACGL,1996-01-16,2.49,2.49,2.44,2.44
ACGL,1996-01-17,2.44,2.53,2.44,2.44
ACGL,1996-01-18,2.38,2.42,2.36,2.38
ACGL,1996-01-19,2.38,2.38,2.38,2.38
ACGL,1996-01-22,2.36,2.42,2.36,2.42
ACGL,1996-01-23,2.36,2.36,2.28,2.28
ACGL,1996-01-24,2.28,2.28,2.22,2.28
ACGL,1996-01-25,2.28,2.28,2.26,2.28
ACGL,1996-01-26,2.24,2.26,2.24,2.26
ACGL,1996-01-29,2.25,2.28,2.25,2.28
ACGL,1996-01-30,2.28,2.28,2.25,2.26
ACGL,1996-01-31,2.28,2.31,2.25,2.26
ACGL,1996-02-01,2.25,2.25,2.24,2.24
ACGL,1996-02-02,2.22,2.28,2.22,2.28
ACGL,1996-02-05,2.22,2.22,2.22,2.22
ACGL,1996-02-06,2.22,2.28,2.22,2.28
ACGL,1996-02-07,2.28,2.28,2.28,2.28
ACGL,1996-02-08,2.22,2.28,2.22,2.22
ACGL,1996-02-09,2.28,2.28,2.28,2.28
ACGL,1996-02-12,2.22,2.25,2.19,2.22
ACGL,1996-02-13,2.19,2.24,2.19,2.24
