ticker,date,open,high,low,close
ACI,2020-06-26,15.5,16.5,15.31,15.45
ACI,2020-06-29,15.89,16.01,15.5,15.57
ACI,2020-06-30,15.57,15.9,15.45,15.77
ACI,2020-07-01,15.79,15.89,15.55,15.76
ACI,2020-07-02,15.82,15.89,15.6,15.81
ACI,2020-07-06,15.78,15.78,15.38,15.52
ACI,2020-07-07,15.4,15.44,15.1,15.18
ACI,2020-07-08,15.11,15.31,15.04,15.16
ACI,2020-07-09,15.11,15.19,14.73,14.75
ACI,2020-07-10,14.77,14.86,14.11,14.6
ACI,2020-07-13,14.6,14.6,13.93,14.0
ACI,2020-07-14,13.92,14.72,13.72,14.59
ACI,2020-07-15,14.67,14.9,14.17,14.62
ACI,2020-07-16,14.52,15.14,14.5,14.98
ACI,2020-07-17,15.0,15.39,14.98,15.35
ACI,2020-07-20,15.46,15.84,15.3,15.59
ACI,2020-07-21,15.99,16.05,15.54,15.67
ACI,2020-07-22,15.9,16.0,15.65,16.0
ACI,2020-07-23,16.12,16.24,15.9,16.03
ACI,2020-07-24,16.1,16.16,15.9,16.11
ACI,2020-07-27,16.04,16.12,15.04,15.24
ACI,2020-07-28,15.3,15.32,15.03,15.1
ACI,2020-07-29,15.1,15.5,15.0,15.37
ACI,2020-07-30,15.32,15.47,14.94,14.95
ACI,2020-07-31,14.96,15.08,14.86,14.86
ACI,2020-08-03,14.92,14.95,14.44,14.83
ACI,2020-08-04,14.72,15.22,14.71,15.18
ACI,2020-08-05,15.17,15.73,15.15,15.47
ACI,2020-08-06,15.65,15.7,15.18,15.27
ACI,2020-08-07,15.34,15.59,15.13,15.35
ACI,2020-08-10,15.29,15.44,15.19,15.37
ACI,2020-08-11,15.39,15.44,14.8,14.92
ACI,2020-08-12,14.92,15.01,14.72,14.8
ACI,2020-08-13,14.74,14.91,14.6,14.9
ACI,2020-08-14,14.93,15.09,14.7,14.85
ACI,2020-08-17,14.87,15.23,14.8,14.93
ACI,2020-08-18,15.24,15.25,14.91,15.07
ACI,2020-08-19,15.2,15.34,15.05,15.19
ACI,2020-08-20,15.09,15.23,14.95,15.04
ACI,2020-08-21,14.93,15.05,14.84,14.9
ACI,2020-08-24,14.92,14.94,14.53,14.57
ACI,2020-08-25,14.6,14.62,14.38,14.59
ACI,2020-08-26,14.59,14.7,14.51,14.7
ACI,2020-08-27,14.65,14.73,14.42,14.66
ACI,2020-08-28,14.66,14.66,14.3,14.36
ACI,2020-08-31,14.3,14.32,13.77,13.79
ACI,2020-09-01,13.85,14.19,13.55,13.94
ACI,2020-09-02,14.07,14.12,13.86,14.0
ACI,2020-09-03,13.95,14.14,13.4,13.54
ACI,2020-09-04,13.54,13.65,13.12,13.51
ACI,2020-09-08,13.5,13.5,13.06,13.18
ACI,2020-09-09,13.32,13.95,13.31,13.88
ACI,2020-09-10,13.97,14.3,13.97,14.14
ACI,2020-09-11,14.19,14.45,13.88,14.15
ACI,2020-09-14,14.2,14.21,13.6,13.64
ACI,2020-09-15,13.83,13.92,13.15,13.26
ACI,2020-09-16,13.21,13.49,13.16,13.16
ACI,2020-09-17,13.16,13.52,13.1,13.31
ACI,2020-09-18,13.42,13.45,12.91,13.06
ACI,2020-09-21,13.48,13.81,13.26,13.66
ACI,2020-09-22,14.15,14.26,13.76,13.9
ACI,2020-09-23,14.12,14.12,13.6,13.62
ACI,2020-09-24,13.53,13.59,13.17,13.38
ACI,2020-09-25,13.51,13.56,13.3,13.55
ACI,2020-09-28,13.69,13.82,13.5,13.61
ACI,2020-09-29,13.61,13.78,13.53,13.75
ACI,2020-09-30,13.78,14.01,13.71,13.85
ACI,2020-10-01,13.85,14.04,13.72,13.77
ACI,2020-10-02,13.55,13.87,13.53,13.74
ACI,2020-10-05,13.88,14.12,13.84,13.9
ACI,2020-10-06,14.01,14.15,13.72,13.82
ACI,2020-10-07,13.91,14.03,13.81,13.9
ACI,2020-10-08,14.01,14.16,13.85,14.02
ACI,2020-10-09,14.08,14.33,14.04,14.26
ACI,2020-10-12,14.32,14.8,14.32,14.48
ACI,2020-10-13,14.58,14.76,14.37,14.7
ACI,2020-10-14,14.75,14.83,14.12,14.27
ACI,2020-10-15,14.33,14.35,14.07,14.29
ACI,2020-10-16,14.42,14.65,14.22,14.26
ACI,2020-10-19,14.78,14.78,14.16,14.38
ACI,2020-10-20,15.3,15.45,14.63,15.22
ACI,2020-10-21,15.28,15.44,14.96,14.98
ACI,2020-10-22,15.11,15.17,14.66,14.7
ACI,2020-10-23,14.72,14.84,14.56,14.83
ACI,2020-10-26,14.75,15.16,14.67,14.8
ACI,2020-10-27,14.83,15.09,14.75,14.89
ACI,2020-10-28,14.67,15.73,14.64,15.11
ACI,2020-10-29,15.03,15.26,14.84,15.15
ACI,2020-10-30,14.97,15.24,14.59,14.69
ACI,2020-11-02,14.8,14.85,14.23,14.66
ACI,2020-11-03,14.72,15.27,14.72,15.22
ACI,2020-11-04,15.12,15.52,15.1,15.45
ACI,2020-11-05,15.46,15.64,15.3,15.52
ACI,2020-11-06,15.55,15.63,15.38,15.49
ACI,2020-11-09,15.14,15.14,13.9,14.8
ACI,2020-11-10,14.79,15.05,14.75,14.99
ACI,2020-11-11,15.0,15.39,14.94,14.98
ACI,2020-11-12,15.07,15.2,14.95,15.13
ACI,2020-11-13,15.17,15.2,14.88,15.15
ACI,2020-11-16,15.16,15.66,15.16,15.61
ACI,2020-11-17,15.61,15.8,15.33,15.73
ACI,2020-11-18,15.79,15.95,15.61,15.75
ACI,2020-11-19,15.83,16.01,15.73,15.75
ACI,2020-11-20,15.77,15.99,15.7,15.71
ACI,2020-11-23,15.8,16.0,15.5,15.92
ACI,2020-11-24,15.92,16.02,15.84,15.9
ACI,2020-11-25,15.86,15.95,15.7,15.8
ACI,2020-11-27,15.81,15.97,15.77,15.86
ACI,2020-11-30,15.89,16.14,15.72,16.03
ACI,2020-12-01,16.0,16.24,15.62,15.78
ACI,2020-12-02,15.74,15.9,15.44,15.52
ACI,2020-12-03,15.49,15.56,15.25,15.27
