ticker,date,open,high,low,close
ACMR,2017-11-02,1.87,1.87,1.87,1.87
ACMR,2017-11-03,2.72,2.83,1.96,2.02
ACMR,2017-11-06,2.0,2.15,1.87,1.87
ACMR,2017-11-07,1.87,1.91,1.87,1.87
ACMR,2017-11-08,1.87,1.88,1.87,1.87
ACMR,2017-11-09,1.87,1.88,1.87,1.87
ACMR,2017-11-10,1.88,1.92,1.87,1.91
ACMR,2017-11-13,1.92,2.06,1.91,1.99
ACMR,2017-11-14,2.05,2.12,1.88,1.99
ACMR,2017-11-15,1.97,2.08,1.93,2.08
ACMR,2017-11-16,2.07,2.2,2.07,2.17
ACMR,2017-11-17,2.23,2.3,2.2,2.3
ACMR,2017-11-20,2.33,2.61,2.33,2.45
ACMR,2017-11-21,2.55,2.55,2.45,2.47
ACMR,2017-11-22,2.5,2.5,2.3,2.32
ACMR,2017-11-24,2.28,2.4,2.28,2.29
ACMR,2017-11-27,2.29,2.4,2.28,2.3
ACMR,2017-11-28,2.29,2.29,2.24,2.27
ACMR,2017-11-29,2.27,2.35,2.18,2.26
ACMR,2017-11-30,2.22,2.3,2.21,2.25
ACMR,2017-12-01,2.13,2.3,2.13,2.26
ACMR,2017-12-04,2.26,2.26,2.13,2.15
ACMR,2017-12-05,2.14,2.14,1.96,1.99
ACMR,2017-12-06,2.0,2.04,1.93,1.96
ACMR,2017-12-07,1.97,2.09,1.94,1.97
ACMR,2017-12-08,1.97,2.08,1.97,2.02
ACMR,2017-12-11,1.99,2.07,1.98,1.99
ACMR,2017-12-12,2.03,2.04,1.9,1.95
ACMR,2017-12-13,1.95,2.0,1.84,1.84
ACMR,2017-12-14,1.86,1.93,1.85,1.85
ACMR,2017-12-15,1.85,1.9,1.67,1.67
ACMR,2017-12-18,1.67,1.74,1.67,1.71
ACMR,2017-12-19,1.73,1.75,1.67,1.67
ACMR,2017-12-20,1.72,1.72,1.61,1.61
ACMR,2017-12-21,1.63,1.74,1.62,1.72
ACMR,2017-12-22,1.67,1.68,1.65,1.65
ACMR,2017-12-26,1.66,1.68,1.66,1.67
ACMR,2017-12-27,1.67,1.67,1.64,1.64
ACMR,2017-12-28,1.66,1.71,1.65,1.68
ACMR,2017-12-29,1.68,1.75,1.68,1.75
ACMR,2018-01-02,1.75,1.87,1.69,1.87
ACMR,2018-01-03,1.87,1.87,1.73,1.77
ACMR,2018-01-04,1.76,1.82,1.72,1.77
ACMR,2018-01-05,1.77,1.84,1.77,1.84
ACMR,2018-01-08,1.85,1.85,1.73,1.75
ACMR,2018-01-09,1.74,1.81,1.74,1.75
ACMR,2018-01-10,1.84,1.85,1.72,1.73
ACMR,2018-01-11,1.75,1.8,1.74,1.75
ACMR,2018-01-12,1.76,1.79,1.68,1.72
ACMR,2018-01-16,1.73,1.74,1.6,1.65
ACMR,2018-01-17,1.6,1.69,1.6,1.67
ACMR,2018-01-18,1.67,1.67,1.65,1.65
ACMR,2018-01-19,1.61,1.68,1.6,1.66
ACMR,2018-01-22,1.67,1.67,1.58,1.58
ACMR,2018-01-23,1.67,1.99,1.67,1.89
ACMR,2018-01-24,1.91,2.12,1.77,1.81
ACMR,2018-01-25,1.83,1.9,1.77,1.77
ACMR,2018-01-26,1.77,1.8,1.75,1.77
ACMR,2018-01-29,1.85,1.85,1.78,1.81
ACMR,2018-01-30,1.82,1.82,1.7,1.7
ACMR,2018-01-31,1.71,1.84,1.71,1.79
ACMR,2018-02-01,1.77,2.1,1.77,2.0
ACMR,2018-02-02,2.0,2.1,1.96,2.04
ACMR,2018-02-05,2.06,2.28,2.06,2.25
ACMR,2018-02-06,2.11,2.28,2.04,2.28
ACMR,2018-02-07,2.26,2.31,2.2,2.26
ACMR,2018-02-08,2.26,2.26,2.11,2.15
ACMR,2018-02-09,2.15,2.31,2.15,2.17
ACMR,2018-02-12,2.15,2.19,2.15,2.19
ACMR,2018-02-13,2.27,2.27,2.14,2.17
ACMR,2018-02-14,2.18,2.2,2.07,2.08
ACMR,2018-02-15,2.08,2.22,2.08,2.14
ACMR,2018-02-16,2.2,2.2,2.13,2.16
ACMR,2018-02-20,2.17,2.22,2.17,2.19
ACMR,2018-02-21,2.22,2.48,2.2,2.28
ACMR,2018-02-22,2.33,2.39,2.32,2.34
ACMR,2018-02-23,2.4,2.46,2.33,2.39
ACMR,2018-02-26,2.42,2.44,2.32,2.33
ACMR,2018-02-27,2.35,2.36,2.33,2.36
ACMR,2018-02-28,2.33,2.35,2.24,2.27
ACMR,2018-03-01,2.24,2.33,2.2,2.24
ACMR,2018-03-02,2.25,2.41,2.21,2.41
ACMR,2018-03-05,2.67,2.81,2.5,2.62
ACMR,2018-03-06,2.68,4.4,2.65,3.67
ACMR,2018-03-07,3.73,4.24,3.49,4.0
ACMR,2018-03-08,4.04,4.58,4.04,4.49
ACMR,2018-03-09,4.57,4.57,4.22,4.38
ACMR,2018-03-12,4.35,4.83,4.34,4.57
ACMR,2018-03-13,4.55,4.86,4.53,4.75
ACMR,2018-03-14,4.83,5.2,4.83,4.98
ACMR,2018-03-15,5.0,5.17,4.34,4.68
ACMR,2018-03-16,4.75,4.8,4.0,4.15
ACMR,2018-03-19,4.13,4.2,3.5,3.81
ACMR,2018-03-20,3.84,4.52,3.72,4.39
ACMR,2018-03-21,4.41,4.53,3.91,4.08
ACMR,2018-03-22,4.05,4.19,3.96,4.17
ACMR,2018-03-23,4.35,4.44,4.18,4.3
ACMR,2018-03-26,4.37,4.37,4.17,4.26
ACMR,2018-03-27,4.24,4.35,4.03,4.3
ACMR,2018-03-28,4.27,4.27,4.08,4.13
ACMR,2018-03-29,4.08,4.14,4.0,4.1
ACMR,2018-04-02,4.06,4.25,4.06,4.1
ACMR,2018-04-03,4.18,4.18,4.05,4.1
ACMR,2018-04-04,4.04,4.28,3.93,4.1
ACMR,2018-04-05,4.17,4.17,3.93,4.0
ACMR,2018-04-06,3.96,3.99,3.93,3.93
ACMR,2018-04-09,3.97,4.07,3.97,4.0
ACMR,2018-04-10,4.0,4.24,4.0,4.17
ACMR,2018-04-11,4.21,4.25,4.07,4.25
ACMR,2018-04-12,4.25,4.67,4.25,4.63
ACMR,2018-04-13,4.66,4.79,4.43,4.53
ACMR,2018-04-16,4.61,4.73,4.15,4.23
ACMR,2018-04-17,4.27,4.28,4.05,4.1
ACMR,2018-04-18,4.09,4.16,4.0,4.01
ACMR,2018-04-19,4.06,4.1,3.89,4.0
ACMR,2018-04-20,3.95,4.07,3.92,3.95
ACMR,2018-04-23,3.96,3.96,3.78,3.8
ACMR,2018-04-24,3.76,3.78,3.41,3.5
ACMR,2018-04-25,3.51,3.59,3.47,3.54
ACMR,2018-04-26,3.57,3.63,3.42,3.42
ACMR,2018-04-27,3.44,3.44,3.34,3.36
ACMR,2018-04-30,3.36,3.44,3.36,3.37
ACMR,2018-05-01,3.37,3.46,3.37,3.37
ACMR,2018-05-02,3.37,3.47,3.35,3.39
ACMR,2018-05-03,3.41,3.47,3.39,3.43
ACMR,2018-05-04,3.5,3.61,3.43,3.6
ACMR,2018-05-07,3.62,4.26,3.62,4.17
ACMR,2018-05-08,4.03,4.03,3.53,3.85
ACMR,2018-05-09,3.79,3.98,3.79,3.92
ACMR,2018-05-10,3.99,4.04,3.88,4.01
ACMR,2018-05-11,4.03,4.05,3.85,4.03
ACMR,2018-05-14,4.02,4.02,3.84,3.96
ACMR,2018-05-15,3.93,4.02,3.89,3.96
ACMR,2018-05-16,3.94,4.0,3.88,3.92
ACMR,2018-05-17,3.95,3.95,3.79,3.8
ACMR,2018-05-18,3.79,3.8,3.71,3.77
ACMR,2018-05-21,3.8,3.83,3.73,3.74
ACMR,2018-05-22,3.74,3.83,3.71,3.75
ACMR,2018-05-23,3.73,3.73,3.67,3.67
ACMR,2018-05-24,3.69,3.99,3.67,3.91
ACMR,2018-05-25,3.87,3.87,3.73,3.74
ACMR,2018-05-29,3.75,3.88,3.74,3.85
ACMR,2018-05-30,3.86,4.27,3.86,4.18
ACMR,2018-05-31,4.09,4.34,4.09,4.24
ACMR,2018-06-01,4.22,4.99,4.18,4.69
ACMR,2018-06-04,4.7,4.74,4.26,4.49
ACMR,2018-06-05,4.47,4.53,4.17,4.2
ACMR,2018-06-06,4.23,4.24,4.15,4.21
ACMR,2018-06-07,4.2,4.2,4.03,4.07
ACMR,2018-06-08,4.09,4.14,4.0,4.02
ACMR,2018-06-11,4.0,4.26,3.97,4.25
ACMR,2018-06-12,4.29,4.54,4.29,4.48
ACMR,2018-06-13,4.49,4.67,4.39,4.45
ACMR,2018-06-14,4.5,4.6,4.42,4.47
ACMR,2018-06-15,4.45,4.66,4.38,4.66
ACMR,2018-06-18,4.66,4.93,4.47,4.53
ACMR,2018-06-19,4.46,4.61,4.21,4.24
ACMR,2018-06-20,4.28,4.42,4.19,4.32
ACMR,2018-06-21,4.33,4.33,3.85,3.98
ACMR,2018-06-22,3.98,4.24,3.93,4.18
ACMR,2018-06-25,4.14,4.24,3.94,3.99
ACMR,2018-06-26,4.01,4.08,3.89,3.98
ACMR,2018-06-27,4.0,4.02,3.67,3.68
ACMR,2018-06-28,3.68,3.77,3.61,3.63
ACMR,2018-06-29,3.67,3.7,3.49,3.59
ACMR,2018-07-02,3.59,3.6,3.28,3.34
ACMR,2018-07-03,3.36,3.67,3.31,3.66
ACMR,2018-07-05,3.66,3.74,3.5,3.54
ACMR,2018-07-06,3.55,3.69,3.55,3.62
ACMR,2018-07-09,3.61,3.79,3.55,3.75
ACMR,2018-07-10,3.77,3.83,3.71,3.79
ACMR,2018-07-11,3.75,3.83,3.6,3.63
ACMR,2018-07-12,3.66,4.16,3.63,4.15
ACMR,2018-07-13,4.17,4.3,4.09,4.21
ACMR,2018-07-16,4.23,4.38,4.03,4.11
ACMR,2018-07-17,4.11,4.25,4.08,4.14
ACMR,2018-07-18,4.14,4.26,4.07,4.12
ACMR,2018-07-19,4.13,4.16,4.03,4.15
ACMR,2018-07-20,4.14,4.28,4.1,4.23
ACMR,2018-07-23,4.27,4.64,4.16,4.48
ACMR,2018-07-24,4.54,4.6,4.41,4.54
ACMR,2018-07-25,4.53,4.55,4.35,4.49
ACMR,2018-07-26,4.5,4.59,4.47,4.55
ACMR,2018-07-27,4.57,4.57,4.35,4.41
ACMR,2018-07-30,4.43,4.47,4.23,4.26
ACMR,2018-07-31,4.31,4.5,4.29,4.32
ACMR,2018-08-01,4.35,4.62,4.27,4.62
ACMR,2018-08-02,4.65,4.8,4.52,4.76
ACMR,2018-08-03,4.65,4.93,4.65,4.91
ACMR,2018-08-06,4.93,4.94,4.82,4.89
ACMR,2018-08-07,5.0,5.0,4.53,4.58
ACMR,2018-08-08,4.72,4.88,4.59,4.85
ACMR,2018-08-09,4.89,4.94,4.76,4.88
ACMR,2018-08-10,4.85,4.93,4.68,4.92
ACMR,2018-08-13,4.9,4.97,4.51,4.58
ACMR,2018-08-14,4.58,4.63,4.3,4.45
ACMR,2018-08-15,4.37,4.41,4.06,4.27
ACMR,2018-08-16,4.25,4.45,4.12,4.32
ACMR,2018-08-17,4.32,4.36,4.23,4.25
ACMR,2018-08-20,4.26,4.33,4.17,4.28
ACMR,2018-08-21,4.32,4.5,4.32,4.5
ACMR,2018-08-22,4.51,4.52,4.35,4.36
ACMR,2018-08-23,4.34,4.42,4.3,4.37
ACMR,2018-08-24,4.37,4.5,4.37,4.5
ACMR,2018-08-27,4.56,4.61,4.52,4.58
ACMR,2018-08-28,4.62,4.71,4.53,4.65
ACMR,2018-08-29,4.68,4.79,4.52,4.61
ACMR,2018-08-30,4.61,4.7,4.61,4.67
ACMR,2018-08-31,4.68,4.73,4.68,4.7
ACMR,2018-09-04,4.7,4.7,4.51,4.56
ACMR,2018-09-05,4.53,4.61,4.4,4.55
ACMR,2018-09-06,4.54,4.57,4.38,4.43
ACMR,2018-09-07,4.42,4.53,4.33,4.49
ACMR,2018-09-10,4.52,4.52,4.23,4.25
ACMR,2018-09-11,4.23,4.24,4.09,4.17
ACMR,2018-09-12,4.13,4.17,3.68,3.78
ACMR,2018-09-13,3.85,4.15,3.85,4.05
ACMR,2018-09-14,4.02,4.13,3.8,3.9
ACMR,2018-09-17,3.89,4.08,3.89,4.01
ACMR,2018-09-18,4.0,4.12,3.95,3.96
ACMR,2018-09-19,3.95,3.97,3.83,3.9
ACMR,2018-09-20,4.0,4.14,4.0,4.09
ACMR,2018-09-21,4.08,4.12,3.96,3.97
ACMR,2018-09-24,3.95,3.95,3.85,3.88
ACMR,2018-09-25,3.9,3.99,3.73,3.76
ACMR,2018-09-26,3.77,3.8,3.69,3.7
ACMR,2018-09-27,3.68,3.75,3.59,3.62
ACMR,2018-09-28,3.7,3.72,3.61,3.69
ACMR,2018-10-01,3.73,3.85,3.7,3.77
ACMR,2018-10-02,3.77,3.86,3.67,3.68
ACMR,2018-10-03,3.67,3.73,3.67,3.72
ACMR,2018-10-04,3.7,3.73,3.62,3.64
ACMR,2018-10-05,3.64,3.64,3.41,3.45
ACMR,2018-10-08,3.43,3.63,3.43,3.57
ACMR,2018-10-09,3.56,3.73,3.56,3.7
ACMR,2018-10-10,3.7,3.7,3.42,3.44
ACMR,2018-10-11,3.4,3.5,3.29,3.32
ACMR,2018-10-12,3.42,3.46,3.38,3.42
ACMR,2018-10-15,3.46,3.57,3.46,3.56
ACMR,2018-10-16,3.54,3.62,3.43,3.45
ACMR,2018-10-17,3.45,3.47,3.37,3.43
ACMR,2018-10-18,3.56,3.56,3.31,3.36
ACMR,2018-10-19,3.35,3.48,3.35,3.41
ACMR,2018-10-22,3.33,3.38,3.33,3.36
ACMR,2018-10-23,3.28,3.35,3.22,3.27
ACMR,2018-10-24,3.28,3.29,3.2,3.2
ACMR,2018-10-25,3.23,3.28,3.17,3.22
ACMR,2018-10-26,3.17,3.21,3.1,3.15
