ticker,date,open,high,low,close
AFCG,2021-03-19,21.0,23.75,19.75,23.0
AFCG,2021-03-22,23.48,24.95,21.61,21.9
AFCG,2021-03-23,22.0,22.0,20.99,21.2
AFCG,2021-03-24,21.4,21.84,20.12,21.0
AFCG,2021-03-25,20.34,21.61,20.08,20.3
AFCG,2021-03-26,20.75,21.42,20.75,20.79
AFCG,2021-03-29,21.0,21.52,21.0,21.25
AFCG,2021-03-30,21.06,21.06,20.55,20.82
AFCG,2021-03-31,20.91,22.27,20.91,21.0
AFCG,2021-04-01,21.7,21.7,21.05,21.13
AFCG,2021-04-05,21.95,22.5,21.5,21.6
AFCG,2021-04-06,21.78,21.99,21.32,21.51
AFCG,2021-04-07,21.3,21.86,20.98,21.64
AFCG,2021-04-08,21.59,22.82,21.45,22.7
AFCG,2021-04-09,22.7,22.7,22.12,22.39
AFCG,2021-04-12,22.2,23.0,22.2,22.98
AFCG,2021-04-13,23.42,23.95,22.5,22.74
AFCG,2021-04-14,22.59,23.3,22.57,23.0
AFCG,2021-04-15,23.0,23.5,22.5,22.53
AFCG,2021-04-16,22.53,22.96,21.13,21.19
AFCG,2021-04-19,21.0,21.2,20.75,20.99
AFCG,2021-04-20,20.86,21.37,20.84,21.04
AFCG,2021-04-21,21.01,21.65,21.01,21.41
AFCG,2021-04-22,21.22,22.21,21.19,21.69
AFCG,2021-04-23,21.59,23.05,21.59,23.05
AFCG,2021-04-26,22.8,23.19,22.29,22.75
AFCG,2021-04-27,22.51,23.0,22.35,22.82
AFCG,2021-04-28,22.82,23.18,22.34,22.97
AFCG,2021-04-29,22.9,23.17,22.61,22.96
AFCG,2021-04-30,22.99,23.22,22.69,22.72
AFCG,2021-05-03,22.92,22.92,22.01,22.3
AFCG,2021-05-04,22.22,22.32,21.48,21.95
AFCG,2021-05-05,21.91,24.2,21.28,24.2
AFCG,2021-05-06,23.71,24.5,22.36,22.6
AFCG,2021-05-07,22.63,23.76,22.63,23.28
AFCG,2021-05-10,23.46,24.3,21.38,21.76
AFCG,2021-05-11,21.49,23.0,21.37,22.44
AFCG,2021-05-12,22.52,23.7,22.37,22.8
AFCG,2021-05-13,22.97,23.3,22.25,22.61
AFCG,2021-05-14,23.01,23.01,22.42,22.67
AFCG,2021-05-17,22.9,23.4,22.5,22.79
AFCG,2021-05-18,23.0,23.73,22.5,22.5
AFCG,2021-05-19,22.39,22.78,22.29,22.62
AFCG,2021-05-20,22.95,22.95,22.52,22.75
AFCG,2021-05-21,22.75,22.77,22.5,22.75
AFCG,2021-05-24,22.76,22.8,22.4,22.52
AFCG,2021-05-25,22.51,23.14,22.51,22.8
AFCG,2021-05-26,22.81,23.24,22.51,22.63
AFCG,2021-05-27,23.05,23.76,22.75,23.0
AFCG,2021-05-28,23.1,23.48,22.92,23.0
AFCG,2021-06-01,23.11,23.64,22.92,23.63
AFCG,2021-06-02,23.53,24.46,23.51,24.25
AFCG,2021-06-03,24.31,24.75,24.13,24.3
AFCG,2021-06-04,24.54,24.81,23.95,24.3
AFCG,2021-06-07,24.42,25.05,23.13,24.0
AFCG,2021-06-08,24.19,24.71,23.91,24.47
AFCG,2021-06-09,24.5,24.59,23.78,24.0
AFCG,2021-06-10,24.09,24.39,23.75,24.19
AFCG,2021-06-11,24.01,24.49,23.95,24.09
AFCG,2021-06-14,24.0,24.58,23.71,24.02
AFCG,2021-06-15,24.17,24.17,23.3,23.3
AFCG,2021-06-16,23.6,24.5,22.73,22.75
AFCG,2021-06-17,22.98,23.75,22.57,22.85
AFCG,2021-06-18,22.7,23.58,22.02,22.04
