ticker,date,open,high,low,close
AIHS,2018-03-16,55.1,60.0,52.5,56.5
AIHS,2018-03-19,56.5,61.5,55.5,59.3
AIHS,2018-03-20,62.5,62.5,50.0,51.6
AIHS,2018-03-21,51.3,57.8,50.9,56.5
AIHS,2018-03-22,57.4,59.9,56.5,59.89
AIHS,2018-03-23,59.5,60.0,54.5,59.8
AIHS,2018-03-26,60.0,60.0,54.9,56.8
AIHS,2018-03-27,56.0,60.8,56.0,58.0
AIHS,2018-03-28,58.0,60.0,56.3,58.9
AIHS,2018-03-29,58.5,60.0,58.3,59.5
AIHS,2018-04-02,58.6,59.8,55.5,58.3
AIHS,2018-04-03,58.7,60.0,58.52,60.0
AIHS,2018-04-04,57.0,59.7,57.0,59.5
AIHS,2018-04-05,58.8,59.9,58.6,59.8
AIHS,2018-04-06,56.6,59.7,56.6,58.8
AIHS,2018-04-09,59.4,60.0,57.5,59.5
AIHS,2018-04-10,60.0,60.0,57.0,60.0
AIHS,2018-04-11,57.7,66.0,57.7,65.0
AIHS,2018-04-12,63.6,66.0,63.01,65.5
AIHS,2018-04-13,64.5,68.9,63.51,65.5
AIHS,2018-04-16,66.2,68.9,64.6,65.0
AIHS,2018-04-17,61.7,72.0,61.7,69.1
AIHS,2018-04-18,67.9,78.0,65.0,76.2
AIHS,2018-04-19,78.62,83.4,74.14,78.0
AIHS,2018-04-20,78.7,89.1,75.1,76.5
AIHS,2018-04-23,76.0,76.0,69.3,72.5
AIHS,2018-04-24,68.86,78.2,68.86,74.4
AIHS,2018-04-25,74.0,76.3,70.5,73.8
AIHS,2018-04-26,74.1,79.6,70.0,73.6
AIHS,2018-04-27,71.9,78.4,71.9,76.5
AIHS,2018-04-30,75.8,84.4,70.5,77.6
AIHS,2018-05-01,74.7,80.3,74.01,78.9
AIHS,2018-05-02,74.0,79.5,74.0,78.1
AIHS,2018-05-03,76.0,80.6,75.0,78.5
AIHS,2018-05-04,77.5,80.0,76.8,79.6
AIHS,2018-05-07,85.0,85.0,75.7,77.2
AIHS,2018-05-08,77.1,80.0,77.0,78.3
AIHS,2018-05-09,78.3,80.6,77.5,80.6
AIHS,2018-05-10,80.0,80.0,77.5,77.5
AIHS,2018-05-11,78.5,78.5,76.4,77.1
AIHS,2018-05-14,77.5,78.3,74.2,76.15
AIHS,2018-05-15,75.7,77.6,74.0,74.1
AIHS,2018-05-16,74.0,76.8,73.5,73.9
AIHS,2018-05-17,75.0,75.4,71.8,72.2
AIHS,2018-05-18,73.5,73.5,70.7,72.0
AIHS,2018-05-21,71.52,73.0,70.0,72.8
AIHS,2018-05-22,72.9,72.9,69.0,69.0
AIHS,2018-05-23,69.5,72.2,66.21,66.5
AIHS,2018-05-24,68.3,69.25,66.0,66.8
AIHS,2018-05-25,67.0,68.2,62.63,66.1
AIHS,2018-05-29,62.1,65.7,61.5,61.9
AIHS,2018-05-30,61.7,63.5,58.6,59.5
AIHS,2018-05-31,59.0,61.4,52.5,56.0
AIHS,2018-06-01,56.0,59.0,55.73,57.4
AIHS,2018-06-04,58.88,66.1,56.5,59.3
AIHS,2018-06-05,59.6,60.4,57.3,59.1
