ticker,date,open,high,low,close
AKA,2021-09-22,9.5,10.88,9.3,9.99
AKA,2021-09-23,9.9,9.97,9.5,9.7
AKA,2021-09-24,9.81,10.35,9.55,10.0
AKA,2021-09-27,9.99,10.18,9.52,9.93
AKA,2021-09-28,9.72,9.92,9.38,9.49
AKA,2021-09-29,9.6,9.6,8.88,9.0
AKA,2021-09-30,8.95,9.202,8.36,8.56
AKA,2021-10-01,8.53,8.76,8.01,8.6
AKA,2021-10-04,8.45,8.67,7.95,8.43
AKA,2021-10-05,8.43,8.72,8.31,8.47
AKA,2021-10-06,8.3,8.42,7.975,8.22
AKA,2021-10-07,8.2,8.35,7.79,8.2
AKA,2021-10-08,8.06,8.44,8.01,8.21
AKA,2021-10-11,8.2,8.57,8.2,8.29
AKA,2021-10-12,8.35,8.49,8.16,8.43
AKA,2021-10-13,8.5,8.57,8.3,8.4
AKA,2021-10-14,8.39,8.52,8.33,8.41
AKA,2021-10-15,8.37,8.64,8.31,8.52
AKA,2021-10-18,8.75,8.92,8.57,8.92
AKA,2021-10-19,9.08,9.89,8.99,9.86
AKA,2021-10-20,9.88,10.57,9.83,10.47
AKA,2021-10-21,10.31,10.78,9.95,10.73
AKA,2021-10-22,10.77,10.77,10.31,10.32
AKA,2021-10-25,10.38,10.41,9.69,9.77
AKA,2021-10-26,9.66,10.2,9.65,9.79
AKA,2021-10-27,9.66,10.28,9.59,10.0
AKA,2021-10-28,9.96,10.247,9.86,9.89
AKA,2021-10-29,9.91,10.18,9.77,10.17
AKA,2021-11-01,10.11,10.39,10.07,10.14
AKA,2021-11-02,10.16,10.83,10.16,10.83
AKA,2021-11-03,10.8,11.58,10.8,11.45
AKA,2021-11-04,11.5,11.95,11.5,11.88
AKA,2021-11-05,11.95,11.99,10.99,11.6
AKA,2021-11-08,11.59,11.97,11.39,11.49
AKA,2021-11-09,11.28,11.62,11.05,11.36
AKA,2021-11-10,12.0,12.1,11.38,11.85
AKA,2021-11-11,11.97,12.42,11.78,12.41
AKA,2021-11-12,12.45,12.94,12.41,12.73
AKA,2021-11-15,13.0,14.37,12.99,14.27
AKA,2021-11-16,13.85,15.23,13.603,15.19
AKA,2021-11-17,14.87,15.07,14.6,14.76
AKA,2021-11-18,14.61,14.952,14.42,14.42
AKA,2021-11-19,14.17,14.295,13.22,13.73
AKA,2021-11-22,13.9,14.16,13.4,13.45
AKA,2021-11-23,13.41,13.56,12.495,12.73
AKA,2021-11-24,12.56,13.4,12.45,13.23
AKA,2021-11-26,13.22,13.22,12.51,12.62
AKA,2021-11-29,12.84,12.9,12.42,12.49
AKA,2021-11-30,12.36,12.367,11.72,11.85
AKA,2021-12-01,12.14,12.14,11.51,11.57
AKA,2021-12-02,11.39,11.629,11.32,11.52
AKA,2021-12-03,11.75,11.83,10.65,10.9
AKA,2021-12-06,10.81,11.3,10.65,11.0
AKA,2021-12-07,11.24,11.71,11.11,11.6
AKA,2021-12-08,11.69,12.26,11.5,11.6
AKA,2021-12-09,11.53,11.75,11.13,11.13
AKA,2021-12-10,11.2,11.25,10.72,10.85
AKA,2021-12-13,10.85,10.9,9.9,9.91
AKA,2021-12-14,9.81,10.057,9.6,9.85
AKA,2021-12-15,9.9,9.9,9.28,9.67
AKA,2021-12-16,9.65,9.88,8.89,8.94
AKA,2021-12-17,9.18,9.27,8.59,8.64
AKA,2021-12-20,8.46,8.88,8.265,8.74
AKA,2021-12-21,8.87,9.31,8.39,8.67
AKA,2021-12-22,8.61,8.65,8.29,8.56
AKA,2021-12-23,8.46,8.775,8.427,8.73
AKA,2021-12-27,8.79,9.01,8.61,8.97
AKA,2021-12-28,8.92,9.05,8.8,8.85
AKA,2021-12-29,8.83,8.83,8.58,8.69
AKA,2021-12-30,8.6,9.1,8.6,9.07
AKA,2021-12-31,8.97,9.37,8.97,9.25
AKA,2022-01-03,9.34,9.42,8.96,9.04
AKA,2022-01-04,9.18,9.52,9.02,9.49
AKA,2022-01-05,9.41,9.5,8.54,8.56
AKA,2022-01-06,8.58,8.81,8.39,8.62
AKA,2022-01-07,8.61,8.67,8.15,8.48
AKA,2022-01-10,8.36,8.36,7.75,7.89
AKA,2022-01-11,7.77,7.92,7.44,7.66
AKA,2022-01-12,7.86,7.93,7.56,7.82
AKA,2022-01-13,7.89,7.91,7.58,7.6
AKA,2022-01-14,7.65,7.65,7.155,7.49
AKA,2022-01-18,7.31,7.37,6.78,6.91
AKA,2022-01-19,6.99,7.145,6.76,6.79
AKA,2022-01-20,6.8,7.005,6.56,6.62
AKA,2022-01-21,6.52,6.592,6.24,6.3
AKA,2022-01-24,6.21,6.82,6.07,6.75
AKA,2022-01-25,6.55,6.86,6.42,6.65
AKA,2022-01-26,6.85,7.61,6.5,6.64
AKA,2022-01-27,6.64,6.82,6.29,6.3
AKA,2022-01-28,6.42,6.61,6.19,6.6
AKA,2022-01-31,6.56,7.17,6.55,7.09
AKA,2022-02-01,7.3,7.61,7.0,7.6
AKA,2022-02-02,7.9,7.91,7.13,7.13
AKA,2022-02-03,6.96,7.11,6.82,6.89
AKA,2022-02-04,6.94,7.29,6.77,7.15
AKA,2022-02-07,7.25,7.51,7.2,7.46
AKA,2022-02-08,7.61,7.87,7.45,7.81
AKA,2022-02-09,7.93,8.17,7.81,7.94
AKA,2022-02-10,7.7,8.35,7.66,8.06
AKA,2022-02-11,7.98,8.25,7.71,7.95
AKA,2022-02-14,7.96,8.18,7.83,7.96
AKA,2022-02-15,8.15,8.37,8.0,8.31
AKA,2022-02-16,8.22,8.37,8.02,8.23
AKA,2022-02-17,8.12,8.16,7.77,7.8
AKA,2022-02-18,7.75,7.95,7.6,7.8
AKA,2022-02-22,7.64,8.229,7.64,7.78
AKA,2022-02-23,7.87,7.87,7.49,7.51
AKA,2022-02-24,6.99,8.03,6.91,8.0
AKA,2022-02-25,8.02,8.05,7.64,7.78
AKA,2022-02-28,7.72,7.95,7.44,7.53
AKA,2022-03-01,7.5,7.67,6.79,6.98
AKA,2022-03-02,5.94,6.01,5.05,5.11
AKA,2022-03-03,5.3,5.37,4.7,4.89
AKA,2022-03-04,4.82,4.86,4.21,4.25
AKA,2022-03-07,4.31,4.32,3.92,4.29
AKA,2022-03-08,4.35,4.53,4.09,4.32
AKA,2022-03-09,4.49,4.71,4.44,4.52
AKA,2022-03-10,4.5,4.61,4.3,4.58
AKA,2022-03-11,4.64,4.69,4.273,4.37
AKA,2022-03-14,4.37,4.65,4.335,4.34
AKA,2022-03-15,4.33,4.52,4.19,4.29
AKA,2022-03-16,4.42,4.7,4.36,4.68
AKA,2022-03-17,4.61,4.81,4.61,4.76
AKA,2022-03-18,4.8,4.915,4.66,4.83
AKA,2022-03-21,4.79,4.8,4.515,4.62
AKA,2022-03-22,4.65,4.9,4.53,4.79
AKA,2022-03-23,4.71,4.78,4.52,4.52
AKA,2022-03-24,4.58,4.73,4.33,4.71
