ticker,date,open,high,low,close
ALTI,2021-04-27,9.74,9.95,9.7,9.74
ALTI,2021-04-28,9.7,9.95,9.7,9.74
ALTI,2021-04-29,9.92,9.95,9.72,9.72
ALTI,2021-04-30,9.73,9.73,9.73,9.73
ALTI,2021-05-03,9.72,9.72,9.72,9.72
ALTI,2021-05-04,9.72,9.72,9.68,9.72
ALTI,2021-05-05,9.7,9.72,9.7,9.7
ALTI,2021-05-06,9.7,9.7,9.7,9.7
ALTI,2021-05-07,9.72,9.72,9.67,9.69
ALTI,2021-05-10,9.73,9.73,9.73,9.73
ALTI,2021-05-11,9.73,9.73,9.73,9.73
ALTI,2021-05-12,9.73,9.73,9.73,9.73
ALTI,2021-05-13,9.74,9.75,9.74,9.75
ALTI,2021-05-14,9.75,10.0,9.75,9.93
ALTI,2021-05-17,9.93,9.93,9.93,9.93
ALTI,2021-05-18,9.72,9.72,9.7,9.7
ALTI,2021-05-19,9.65,9.65,9.65,9.65
ALTI,2021-05-20,9.65,9.65,9.65,9.65
ALTI,2021-05-21,9.65,9.65,9.65,9.65
ALTI,2021-05-24,9.74,9.74,9.74,9.74
ALTI,2021-05-25,9.74,9.74,9.74,9.74
ALTI,2021-05-26,9.93,9.95,9.84,9.9
ALTI,2021-05-27,9.9,9.9,9.9,9.9
ALTI,2021-05-28,9.9,9.9,9.9,9.9
ALTI,2021-06-01,9.74,9.74,9.66,9.73
ALTI,2021-06-02,9.73,9.73,9.73,9.73
ALTI,2021-06-03,9.73,9.73,9.73,9.73
ALTI,2021-06-04,9.73,9.73,9.72,9.72
ALTI,2021-06-07,9.72,9.72,9.7,9.7
ALTI,2021-06-08,9.7,9.7,9.7,9.7
ALTI,2021-06-09,9.7,9.7,9.7,9.7
ALTI,2021-06-10,9.76,9.92,9.72,9.72
ALTI,2021-06-11,9.74,9.75,9.73,9.74
ALTI,2021-06-14,9.7,9.7,9.66,9.66
ALTI,2021-06-15,9.66,9.66,9.66,9.66
ALTI,2021-06-16,9.66,9.66,9.66,9.66
ALTI,2021-06-17,9.72,9.72,9.71,9.71
ALTI,2021-06-18,9.71,9.71,9.71,9.71
ALTI,2021-06-21,9.71,9.71,9.71,9.71
ALTI,2021-06-22,9.71,9.71,9.71,9.71
ALTI,2021-06-23,9.72,9.72,9.72,9.72
ALTI,2021-06-24,9.72,9.72,9.72,9.72
ALTI,2021-06-25,9.72,9.72,9.72,9.72
ALTI,2021-06-28,9.67,9.69,9.66,9.69
