ticker,date,open,high,low,close
AMAM,2021-06-18,18.0,18.0,14.94,17.05
AMAM,2021-06-21,17.5,17.69,16.19,16.23
AMAM,2021-06-22,16.2,16.33,15.56,15.95
AMAM,2021-06-23,15.65,16.1,15.5,15.98
AMAM,2021-06-24,16.0,17.02,15.76,16.4
AMAM,2021-06-25,17.35,17.5,17.04,17.2
AMAM,2021-06-28,17.0,17.47,16.03,16.81
AMAM,2021-06-29,16.52,18.25,16.52,18.16
AMAM,2021-06-30,18.21,19.88,18.0,19.6
AMAM,2021-07-01,19.32,19.45,18.8,18.8
AMAM,2021-07-02,18.73,19.75,18.02,19.11
AMAM,2021-07-06,19.87,19.92,18.68,19.79
AMAM,2021-07-07,20.0,20.45,19.76,19.76
AMAM,2021-07-08,19.72,22.61,19.43,21.84
AMAM,2021-07-09,21.89,22.87,21.3,21.32
AMAM,2021-07-12,21.09,21.52,21.0,21.3
AMAM,2021-07-13,22.3,22.86,22.12,22.53
AMAM,2021-07-14,22.3,22.78,21.41,22.0
AMAM,2021-07-15,21.95,22.0,18.5,18.54
AMAM,2021-07-16,18.15,20.1,18.15,19.56
AMAM,2021-07-19,21.75,21.95,20.56,20.97
AMAM,2021-07-20,21.95,22.5,21.17,21.58
AMAM,2021-07-21,22.4,22.4,21.27,21.6
AMAM,2021-07-22,21.6,22.07,21.6,21.6
AMAM,2021-07-23,21.36,21.85,21.18,21.72
AMAM,2021-07-26,21.37,21.5,20.59,20.91
AMAM,2021-07-27,20.9,21.46,20.13,20.25
AMAM,2021-07-28,19.85,21.99,19.84,21.99
AMAM,2021-07-29,22.75,22.75,20.01,20.1
AMAM,2021-07-30,20.01,20.74,19.2,19.55
AMAM,2021-08-02,21.05,22.0,19.86,19.9
AMAM,2021-08-03,21.36,22.0,19.68,20.01
AMAM,2021-08-04,19.72,19.75,18.05,18.35
AMAM,2021-08-05,18.85,19.54,18.5,19.1
AMAM,2021-08-06,19.48,19.48,18.41,18.75
AMAM,2021-08-09,19.5,19.5,18.55,18.7
AMAM,2021-08-10,18.66,18.66,17.2,17.6
AMAM,2021-08-11,17.24,18.1,17.0,17.49
AMAM,2021-08-12,17.0,17.44,17.0,17.0
AMAM,2021-08-13,17.0,17.47,16.62,16.8
AMAM,2021-08-16,17.17,17.22,16.8,16.8
