ticker,date,open,high,low,close
AORT,1993-02-12,4.33,4.67,3.67,4.0
AORT,1993-02-16,3.96,4.08,3.42,3.42
AORT,1993-02-17,3.67,3.67,3.42,3.46
AORT,1993-02-18,3.67,3.67,3.08,3.33
AORT,1993-02-19,3.17,3.33,3.17,3.25
AORT,1993-02-22,3.33,3.33,3.17,3.17
AORT,1993-02-23,3.17,3.33,3.08,3.33
AORT,1993-02-24,3.08,3.25,3.0,3.25
AORT,1993-02-25,3.08,3.25,3.08,3.25
AORT,1993-02-26,3.25,3.25,3.08,3.17
AORT,1993-03-01,3.25,3.25,3.08,3.17
AORT,1993-03-02,3.08,3.25,3.08,3.08
AORT,1993-03-03,3.25,3.25,3.08,3.17
AORT,1993-03-04,3.21,3.33,3.08,3.33
AORT,1993-03-05,3.33,3.33,3.08,3.08
AORT,1993-03-08,3.33,3.67,3.17,3.67
AORT,1993-03-09,3.33,3.67,3.33,3.67
AORT,1993-03-10,3.33,3.33,2.67,3.0
AORT,1993-03-11,3.25,3.25,2.92,2.92
AORT,1993-03-12,2.92,2.92,2.75,2.92
AORT,1993-03-15,2.83,2.83,2.58,2.58
AORT,1993-03-16,2.67,3.08,2.67,2.92
AORT,1993-03-17,2.92,3.08,2.92,3.08
AORT,1993-03-18,3.08,3.17,3.0,3.0
AORT,1993-03-19,3.0,3.17,3.0,3.0
AORT,1993-03-22,3.17,3.17,3.0,3.0
AORT,1993-03-23,3.0,3.08,2.92,2.92
AORT,1993-03-24,2.92,2.92,2.58,2.58
AORT,1993-03-25,2.58,2.83,2.58,2.71
AORT,1993-03-26,2.83,2.83,2.58,2.83
AORT,1993-03-29,2.58,2.83,2.42,2.42
AORT,1993-03-30,2.42,2.83,2.42,2.58
AORT,1993-03-31,2.5,2.75,2.5,2.67
AORT,1993-04-01,2.75,2.75,2.67,2.67
AORT,1993-04-02,2.67,2.75,2.67,2.67
AORT,1993-04-05,2.79,2.83,2.67,2.83
AORT,1993-04-06,2.83,3.08,2.75,2.96
AORT,1993-04-07,3.08,3.08,2.92,3.08
AORT,1993-04-08,3.08,3.08,2.92,3.08
AORT,1993-04-12,3.0,3.17,3.0,3.08
AORT,1993-04-13,3.0,3.08,2.83,3.0
AORT,1993-04-14,2.83,3.0,2.75,3.0
AORT,1993-04-15,2.92,3.0,2.83,2.96
AORT,1993-04-16,3.0,3.0,2.83,2.83
AORT,1993-04-19,2.83,3.0,2.75,2.83
AORT,1993-04-20,2.75,3.0,2.75,3.0
AORT,1993-04-21,2.92,3.0,2.83,2.83
AORT,1993-04-22,2.83,3.0,2.83,2.92
AORT,1993-04-23,2.83,3.0,2.75,3.0
AORT,1993-04-26,2.92,3.0,2.79,3.0
AORT,1993-04-27,2.83,2.92,2.75,2.92
AORT,1993-04-28,2.92,3.08,2.83,3.0
AORT,1993-04-29,3.08,3.08,2.92,3.08
AORT,1993-04-30,2.92,3.08,2.92,2.92
AORT,1993-05-03,3.0,3.0,2.79,2.92
AORT,1993-05-04,2.92,2.92,2.75,2.75
AORT,1993-05-05,2.92,2.92,2.75,2.75
AORT,1993-05-06,2.92,2.92,2.67,2.67
AORT,1993-05-07,2.67,2.83,2.67,2.83
AORT,1993-05-10,2.67,2.83,2.67,2.83
AORT,1993-05-11,2.67,2.92,2.67,2.92
AORT,1993-05-12,2.67,2.92,2.67,2.67
AORT,1993-05-13,2.67,2.79,2.58,2.67
AORT,1993-05-14,2.75,2.75,2.58,2.58
AORT,1993-05-17,2.58,2.75,2.58,2.58
AORT,1993-05-18,2.58,2.75,2.5,2.67
AORT,1993-05-19,2.58,2.75,2.5,2.58
AORT,1993-05-20,2.58,2.75,2.58,2.58
AORT,1993-05-21,2.58,2.75,2.58,2.67
AORT,1993-05-24,2.58,2.58,2.58,2.58
AORT,1993-05-25,2.58,2.58,2.58,2.58
AORT,1993-05-26,2.58,2.67,2.58,2.67
AORT,1993-05-27,2.58,2.67,2.58,2.58
AORT,1993-05-28,2.67,2.67,2.5,2.58
AORT,1993-06-01,2.5,2.5,2.5,2.5
AORT,1993-06-02,2.5,2.58,2.25,2.25
AORT,1993-06-03,2.5,2.5,2.33,2.5
AORT,1993-06-04,2.33,2.5,2.33,2.38
AORT,1993-06-07,2.42,2.5,2.33,2.33
AORT,1993-06-08,2.5,2.58,2.42,2.42
AORT,1993-06-09,2.58,2.75,2.58,2.75
AORT,1993-06-10,2.83,3.08,2.75,2.92
AORT,1993-06-11,3.08,3.08,2.92,2.92
AORT,1993-06-14,3.04,3.08,2.92,2.92
AORT,1993-06-15,2.92,3.08,2.92,3.08
AORT,1993-06-16,3.0,3.17,3.0,3.17
AORT,1993-06-17,3.17,3.17,3.08,3.08
AORT,1993-06-18,3.12,3.17,2.92,2.96
AORT,1993-06-21,2.92,2.92,2.83,2.92
AORT,1993-06-22,2.83,3.0,2.83,2.83
AORT,1993-06-23,2.83,3.0,2.83,2.83
AORT,1993-06-24,2.83,3.0,2.83,2.83
AORT,1993-06-25,2.83,3.0,2.83,2.83
AORT,1993-06-28,2.92,2.92,2.83,2.83
AORT,1993-06-29,2.83,2.83,2.83,2.83
AORT,1993-06-30,2.83,2.92,2.83,2.83
AORT,1993-07-01,2.83,3.0,2.83,2.83
AORT,1993-07-02,2.92,2.92,2.92,2.92
AORT,1993-07-06,2.83,2.83,2.75,2.75
AORT,1993-07-07,2.75,2.75,2.75,2.75
AORT,1993-07-08,2.83,2.83,2.58,2.75
AORT,1993-07-09,2.58,2.58,2.5,2.5
AORT,1993-07-12,2.5,2.67,2.5,2.67
AORT,1993-07-13,2.5,2.67,2.42,2.67
AORT,1993-07-14,2.42,2.42,2.42,2.42
AORT,1993-07-15,2.67,3.08,2.67,3.08
AORT,1993-07-16,3.17,3.33,3.08,3.17
AORT,1993-07-19,3.33,3.33,3.17,3.17
AORT,1993-07-20,3.17,3.33,3.17,3.17
AORT,1993-07-21,3.17,3.25,3.17,3.17
AORT,1993-07-22,3.17,3.25,3.0,3.0
AORT,1993-07-23,3.25,3.25,2.83,2.83
AORT,1993-07-26,2.83,2.92,2.75,2.92
AORT,1993-07-27,2.75,2.92,2.75,2.83
AORT,1993-07-28,2.75,3.0,2.75,2.92
AORT,1993-07-29,3.17,3.17,3.0,3.0
AORT,1993-07-30,3.0,3.17,3.0,3.08
AORT,1993-08-02,3.0,3.17,3.0,3.0
AORT,1993-08-03,3.08,3.08,3.0,3.0
AORT,1993-08-04,3.17,3.17,3.0,3.08
AORT,1993-08-05,2.83,3.08,2.83,2.92
AORT,1993-08-06,2.67,2.92,2.67,2.75
AORT,1993-08-09,2.75,2.88,2.75,2.88
AORT,1993-08-10,2.92,2.92,2.75,2.92
AORT,1993-08-11,2.75,2.92,2.75,2.88
AORT,1993-08-12,2.83,2.83,2.67,2.67
AORT,1993-08-13,2.67,2.75,2.58,2.58
AORT,1993-08-16,2.58,2.75,2.58,2.58
AORT,1993-08-17,2.75,2.75,2.58,2.67
AORT,1993-08-18,2.75,2.75,2.58,2.75
AORT,1993-08-19,2.58,2.83,2.58,2.58
AORT,1993-08-20,2.83,2.83,2.58,2.58
AORT,1993-08-23,2.83,2.83,2.58,2.58
AORT,1993-08-24,2.5,2.75,2.5,2.67
AORT,1993-08-25,2.5,2.75,2.5,2.5
AORT,1993-08-26,2.5,2.75,2.5,2.5
AORT,1993-08-27,2.42,2.67,2.42,2.42
AORT,1993-08-30,2.33,2.5,2.33,2.33
AORT,1993-08-31,2.46,2.5,2.25,2.5
AORT,1993-09-01,2.33,2.5,2.33,2.42
AORT,1993-09-02,2.42,2.58,2.42,2.42
AORT,1993-09-03,2.58,2.58,2.42,2.58
AORT,1993-09-07,2.58,2.58,2.58,2.58
AORT,1993-09-08,2.42,2.58,2.42,2.58
AORT,1993-09-09,2.42,2.42,2.42,2.42
AORT,1993-09-10,2.42,2.58,2.42,2.58
AORT,1993-09-13,2.58,2.58,2.46,2.5
AORT,1993-09-14,2.58,2.58,2.5,2.58
AORT,1993-09-15,2.5,2.67,2.5,2.67
AORT,1993-09-16,2.58,2.58,2.58,2.58
AORT,1993-09-17,2.58,2.75,2.58,2.67
AORT,1993-09-20,2.67,2.71,2.67,2.67
AORT,1993-09-21,2.83,2.83,2.58,2.71
AORT,1993-09-22,2.75,2.83,2.67,2.75
AORT,1993-09-23,2.67,2.83,2.67,2.83
AORT,1993-09-24,2.75,2.75,2.67,2.67
AORT,1993-09-27,2.83,2.83,2.67,2.67
AORT,1993-09-28,2.67,2.83,2.67,2.75
AORT,1993-09-29,2.67,2.83,2.67,2.67
AORT,1993-09-30,2.67,2.83,2.67,2.67
AORT,1993-10-01,2.67,2.75,2.67,2.75
AORT,1993-10-04,2.67,2.67,2.42,2.42
AORT,1993-10-05,2.42,2.5,2.33,2.33
AORT,1993-10-06,2.33,2.33,2.33,2.33
AORT,1993-10-07,2.58,2.58,2.33,2.42
AORT,1993-10-08,2.33,2.58,2.33,2.58
AORT,1993-10-11,2.58,2.67,2.42,2.67
AORT,1993-10-12,2.67,2.67,2.42,2.42
AORT,1993-10-13,2.5,2.67,2.42,2.5
AORT,1993-10-14,2.67,2.67,2.5,2.58
AORT,1993-10-15,2.5,2.67,2.5,2.67
AORT,1993-10-18,2.67,2.67,2.5,2.5
AORT,1993-10-19,2.5,2.67,2.5,2.67
AORT,1993-10-20,2.5,2.67,2.5,2.5
AORT,1993-10-21,2.67,2.67,2.5,2.58
AORT,1993-10-22,2.67,2.67,2.5,2.5
AORT,1993-10-25,2.67,2.67,2.5,2.5
AORT,1993-10-26,2.67,2.75,2.5,2.75
AORT,1993-10-27,2.58,2.75,2.58,2.67
AORT,1993-10-28,2.75,2.92,2.75,2.83
AORT,1993-10-29,2.92,2.92,2.75,2.92
AORT,1993-11-01,2.92,2.92,2.75,2.92
AORT,1993-11-02,2.75,2.92,2.75,2.75
AORT,1993-11-03,2.75,2.92,2.75,2.79
AORT,1993-11-04,2.92,2.92,2.75,2.92
AORT,1993-11-05,2.75,2.92,2.75,2.75
AORT,1993-11-08,2.75,2.92,2.75,2.75
AORT,1993-11-09,2.92,2.92,2.75,2.75
AORT,1993-11-10,2.75,2.92,2.75,2.75
AORT,1993-11-11,2.92,2.92,2.75,2.75
AORT,1993-11-12,2.75,2.92,2.75,2.75
AORT,1993-11-15,2.75,2.92,2.75,2.75
AORT,1993-11-16,2.75,2.92,2.67,2.75
AORT,1993-11-17,2.67,2.67,2.5,2.58
AORT,1993-11-18,2.5,2.67,2.5,2.58
AORT,1993-11-19,2.67,2.67,2.5,2.5
AORT,1993-11-22,2.5,2.58,2.42,2.58
AORT,1993-11-23,2.42,2.58,2.42,2.5
AORT,1993-11-24,2.42,2.5,2.42,2.42
AORT,1993-11-26,2.58,2.58,2.58,2.58
AORT,1993-11-29,2.25,2.5,2.25,2.25
AORT,1993-11-30,2.58,2.58,2.25,2.58
AORT,1993-12-01,2.58,2.58,2.25,2.25
AORT,1993-12-02,2.58,2.58,2.25,2.5
AORT,1993-12-03,2.42,2.58,2.25,2.33
AORT,1993-12-06,2.58,2.58,2.25,2.25
AORT,1993-12-07,2.5,2.5,2.08,2.38
AORT,1993-12-08,2.38,2.42,2.17,2.17
AORT,1993-12-09,2.42,2.42,2.17,2.17
AORT,1993-12-10,2.33,2.42,2.17,2.33
AORT,1993-12-13,2.17,2.42,2.17,2.25
AORT,1993-12-14,2.25,2.42,2.25,2.25
AORT,1993-12-15,2.33,2.5,2.25,2.5
AORT,1993-12-16,2.5,2.5,2.33,2.46
AORT,1993-12-17,2.42,2.5,2.42,2.42
AORT,1993-12-20,2.46,2.5,2.42,2.42
AORT,1993-12-21,2.5,2.5,2.25,2.25
AORT,1993-12-22,2.25,2.25,2.17,2.25
AORT,1993-12-23,2.33,2.33,2.17,2.17
AORT,1993-12-27,2.17,2.33,2.17,2.17
AORT,1993-12-28,2.17,2.33,2.17,2.33
AORT,1993-12-29,2.17,2.33,2.17,2.17
AORT,1993-12-30,2.17,2.25,2.08,2.25
AORT,1993-12-31,2.08,2.33,2.08,2.08
AORT,1994-01-03,2.08,2.17,2.08,2.17
AORT,1994-01-04,2.25,2.33,2.17,2.33
AORT,1994-01-05,2.25,2.58,2.25,2.5
AORT,1994-01-06,2.67,2.67,2.67,2.67
AORT,1994-01-07,2.67,2.67,2.42,2.42
AORT,1994-01-10,2.42,2.42,2.42,2.42
AORT,1994-01-11,2.42,2.5,2.33,2.33
AORT,1994-01-12,2.42,2.5,2.33,2.33
AORT,1994-01-13,2.5,2.5,2.17,2.17
AORT,1994-01-14,2.17,2.33,2.17,2.33
AORT,1994-01-17,2.17,2.17,2.17,2.17
AORT,1994-01-18,2.25,2.25,2.17,2.17
AORT,1994-01-19,2.25,2.33,2.17,2.25
AORT,1994-01-20,2.33,2.33,2.17,2.17
AORT,1994-01-21,2.17,2.33,2.17,2.33
AORT,1994-01-24,2.17,2.33,2.17,2.17
AORT,1994-01-25,2.08,2.25,2.08,2.17
AORT,1994-01-26,2.33,2.33,2.17,2.17
AORT,1994-01-27,2.17,2.21,2.08,2.17
AORT,1994-01-28,2.08,2.17,2.0,2.17
AORT,1994-01-31,2.12,2.17,2.0,2.17
AORT,1994-02-01,2.0,2.12,2.0,2.0
AORT,1994-02-02,2.12,2.12,2.0,2.08
AORT,1994-02-03,2.12,2.25,2.0,2.08
AORT,1994-02-04,2.25,2.25,2.08,2.08
AORT,1994-02-07,1.92,2.17,1.92,1.92
AORT,1994-02-08,2.08,2.17,1.92,2.0
AORT,1994-02-09,2.0,2.17,2.0,2.17
AORT,1994-02-10,2.08,2.17,2.08,2.17
AORT,1994-02-11,2.08,2.17,2.08,2.12
AORT,1994-02-14,2.12,2.12,2.08,2.08
AORT,1994-02-15,2.08,2.33,2.08,2.33
AORT,1994-02-16,2.08,2.25,2.08,2.25
AORT,1994-02-17,2.08,2.25,2.0,2.25
AORT,1994-02-18,2.17,2.17,2.0,2.17
AORT,1994-02-22,2.0,2.0,2.0,2.0
AORT,1994-02-23,2.0,2.08,2.0,2.08
AORT,1994-02-24,1.92,1.92,1.92,1.92
AORT,1994-02-25,2.0,2.0,1.83,2.0
AORT,1994-02-28,2.0,2.0,1.83,1.83
AORT,1994-03-01,1.96,2.0,1.83,2.0
AORT,1994-03-02,1.83,2.0,1.83,1.83
AORT,1994-03-03,1.92,2.0,1.92,2.0
AORT,1994-03-04,1.92,2.04,1.92,2.04
AORT,1994-03-07,2.0,2.0,1.92,1.92
AORT,1994-03-08,1.92,2.0,1.92,2.0
AORT,1994-03-09,2.08,2.08,1.92,1.92
AORT,1994-03-10,2.04,2.04,2.0,2.0
AORT,1994-03-11,2.08,2.08,2.0,2.0
AORT,1994-03-14,2.17,2.17,2.0,2.12
AORT,1994-03-15,2.04,2.17,2.04,2.17
AORT,1994-03-16,2.0,2.17,2.0,2.17
AORT,1994-03-17,2.0,2.17,2.0,2.17
AORT,1994-03-18,2.0,2.17,2.0,2.08
AORT,1994-03-21,2.0,2.0,1.83,1.83
AORT,1994-03-22,1.83,1.83,1.83,1.83
AORT,1994-03-23,1.83,2.0,1.83,1.83
AORT,1994-03-24,1.92,2.0,1.83,2.0
AORT,1994-03-25,1.83,2.0,1.83,1.83
AORT,1994-03-28,2.0,2.0,1.83,2.0
AORT,1994-03-29,1.96,1.96,1.96,1.96
AORT,1994-03-30,1.83,2.0,1.83,1.83
AORT,1994-03-31,1.83,2.0,1.83,2.0
AORT,1994-04-04,1.67,1.67,1.67,1.67
AORT,1994-04-05,2.0,2.0,2.0,2.0
AORT,1994-04-06,1.83,2.0,1.67,2.0
AORT,1994-04-07,1.67,2.0,1.67,2.0
AORT,1994-04-08,2.0,2.0,1.79,1.79
AORT,1994-04-11,1.67,1.67,1.67,1.67
AORT,1994-04-12,1.75,1.92,1.75,1.92
AORT,1994-04-13,1.88,2.0,1.83,2.0
AORT,1994-04-14,1.83,2.0,1.83,2.0
AORT,1994-04-15,2.0,2.08,1.83,2.08
AORT,1994-04-18,2.0,2.17,2.0,2.08
AORT,1994-04-19,2.08,2.17,2.0,2.17
AORT,1994-04-20,2.0,2.17,1.92,1.92
AORT,1994-04-21,2.0,2.17,2.0,2.0
AORT,1994-04-22,2.0,2.0,2.0,2.0
AORT,1994-04-25,2.0,2.08,2.0,2.08
AORT,1994-04-26,2.08,2.08,2.08,2.08
AORT,1994-04-28,2.0,2.17,2.0,2.0
AORT,1994-04-29,2.0,2.0,2.0,2.0
AORT,1994-05-02,2.08,2.08,1.92,2.08
AORT,1994-05-03,1.92,2.0,1.83,2.0
AORT,1994-05-04,1.96,1.96,1.83,1.92
AORT,1994-05-05,2.0,2.17,1.92,2.0
AORT,1994-05-06,1.92,2.08,1.92,2.08
AORT,1994-05-09,2.0,2.0,2.0,2.0
AORT,1994-05-10,2.0,2.0,2.0,2.0
AORT,1994-05-11,2.0,2.08,2.0,2.08
AORT,1994-05-12,1.92,2.08,1.92,2.08
AORT,1994-05-13,1.92,1.92,1.92,1.92
AORT,1994-05-16,2.08,2.08,1.96,2.08
AORT,1994-05-17,2.08,2.08,1.83,1.83
AORT,1994-05-18,1.96,1.96,1.92,1.92
AORT,1994-05-19,2.08,2.17,2.0,2.17
AORT,1994-05-20,2.0,2.17,2.0,2.0
AORT,1994-05-23,2.17,2.17,2.0,2.0
AORT,1994-05-24,2.0,2.0,2.0,2.0
AORT,1994-05-25,2.0,2.0,1.83,2.0
AORT,1994-05-26,1.83,2.0,1.75,2.0
AORT,1994-05-27,1.75,2.0,1.75,2.0
AORT,1994-05-31,2.0,2.0,2.0,2.0
AORT,1994-06-01,1.75,1.92,1.75,1.92
AORT,1994-06-02,1.75,2.0,1.75,1.96
