ticker,date,open,high,low,close
AREB,2022-02-07,3.0,3.25,2.15,2.21
AREB,2022-02-08,3.6,4.2,2.55,2.62
AREB,2022-02-09,2.5,2.513,2.05,2.15
AREB,2022-02-10,2.66,3.82,2.65,3.07
AREB,2022-02-11,3.03,3.03,2.51,2.81
AREB,2022-02-14,2.65,2.9,2.51,2.81
AREB,2022-02-15,2.66,2.67,2.35,2.47
AREB,2022-02-16,2.5,2.56,2.12,2.2
AREB,2022-02-17,2.15,2.26,1.93,1.97
AREB,2022-02-18,1.93,2.0,1.7,1.727
AREB,2022-02-22,1.59,1.7,1.52,1.57
AREB,2022-02-23,1.51,1.63,1.45,1.48
AREB,2022-02-24,1.28,1.44,1.25,1.4
AREB,2022-02-25,1.4,1.4,1.29,1.33
AREB,2022-02-28,1.29,1.4,1.24,1.33
AREB,2022-03-01,1.64,1.78,1.42,1.58
AREB,2022-03-02,1.42,1.55,1.4,1.54
AREB,2022-03-03,1.44,1.53,1.44,1.52
AREB,2022-03-04,1.48,1.65,1.43,1.57
AREB,2022-03-07,1.5,1.5,1.3,1.32
AREB,2022-03-08,1.24,1.28,1.13,1.15
AREB,2022-03-09,1.42,1.68,1.28,1.6
AREB,2022-03-10,1.48,1.5,1.355,1.37
AREB,2022-03-11,1.28,1.55,1.25,1.49
AREB,2022-03-14,1.44,1.51,1.34,1.45
AREB,2022-03-15,1.5,1.5,1.365,1.44
AREB,2022-03-16,1.53,2.54,1.5,1.69
AREB,2022-03-17,1.54,1.67,1.38,1.62
AREB,2022-03-18,1.51,1.57,1.45,1.45
AREB,2022-03-21,1.4,1.68,1.4,1.61
AREB,2022-03-22,1.55,1.67,1.48,1.63
AREB,2022-03-23,1.6,1.66,1.56,1.61
AREB,2022-03-24,1.6,1.62,1.54,1.54
AREB,2022-03-25,1.55,1.577,1.46,1.52
AREB,2022-03-28,1.47,1.6,1.46,1.54
AREB,2022-03-29,1.56,1.81,1.52,1.75
AREB,2022-03-30,1.86,1.949,1.66,1.7
AREB,2022-03-31,1.63,1.94,1.63,1.8
AREB,2022-04-01,1.8,2.1,1.69,2.06
AREB,2022-04-04,2.08,2.37,2.06,2.1
AREB,2022-04-05,1.99,2.04,1.86,2.0
AREB,2022-04-06,1.93,2.25,1.87,2.12
AREB,2022-04-07,2.12,2.135,1.79,1.9
AREB,2022-04-08,1.96,1.96,1.79,1.87
AREB,2022-04-11,1.79,1.801,1.61,1.66
AREB,2022-04-12,1.63,1.84,1.61,1.77
AREB,2022-04-13,1.76,1.81,1.68,1.75
AREB,2022-04-14,1.7,1.769,1.4,1.47
AREB,2022-04-18,1.38,1.41,1.31,1.33
AREB,2022-04-19,1.33,1.38,1.27,1.33
AREB,2022-04-20,1.37,1.373,1.25,1.32
AREB,2022-04-21,1.33,1.349,1.25,1.29
AREB,2022-04-22,1.27,1.34,1.16,1.21
AREB,2022-04-25,1.172,1.25,1.13,1.14
AREB,2022-04-26,1.21,1.21,1.1,1.14
AREB,2022-04-27,1.15,1.24,1.12,1.19
AREB,2022-04-28,1.2,1.28,1.2,1.2
AREB,2022-04-29,1.2,1.25,1.18,1.2
AREB,2022-05-02,1.17,1.32,1.16,1.25
AREB,2022-05-03,1.27,1.38,1.09,1.26
AREB,2022-05-04,1.28,1.45,1.19,1.38
AREB,2022-05-05,1.36,1.42,1.23,1.25
AREB,2022-05-06,1.239,1.33,1.14,1.19
AREB,2022-05-09,1.15,1.17,1.01,1.02
AREB,2022-05-10,0.978,1.16,0.92,0.978
AREB,2022-05-11,0.91,0.95,0.793,0.799
AREB,2022-05-12,0.775,0.79,0.74,0.75
AREB,2022-05-13,0.76,0.88,0.755,0.832
AREB,2022-05-16,0.83,0.84,0.775,0.813
AREB,2022-05-17,0.747,0.75,0.68,0.685
AREB,2022-05-18,0.713,0.713,0.62,0.65
AREB,2022-05-19,0.645,0.69,0.6,0.69
AREB,2022-05-20,0.675,0.719,0.65,0.68
AREB,2022-05-23,0.66,0.724,0.66,0.72
AREB,2022-05-24,0.73,0.73,0.66,0.69
AREB,2022-05-25,0.672,0.749,0.672,0.73
AREB,2022-05-26,0.67,0.73,0.66,0.72
AREB,2022-05-27,0.71,0.73,0.661,0.681
AREB,2022-05-31,0.76,0.76,0.67,0.71
AREB,2022-06-01,0.749,0.749,0.665,0.708
AREB,2022-06-02,0.719,0.739,0.69,0.739
AREB,2022-06-03,0.718,0.748,0.69,0.739
AREB,2022-06-06,0.74,0.793,0.692,0.77
AREB,2022-06-07,0.769,0.842,0.758,0.825
AREB,2022-06-08,0.803,0.84,0.79,0.8
AREB,2022-06-09,0.8,0.85,0.76,0.76
AREB,2022-06-10,0.79,0.795,0.75,0.76
AREB,2022-06-13,0.749,0.749,0.69,0.71
AREB,2022-06-14,0.688,0.78,0.68,0.691
AREB,2022-06-15,0.69,0.76,0.69,0.693
AREB,2022-06-16,0.7,0.77,0.665,0.73
AREB,2022-06-17,0.731,0.76,0.66,0.721
AREB,2022-06-21,0.723,0.775,0.723,0.76
AREB,2022-06-22,0.8,0.8,0.735,0.74
AREB,2022-06-23,0.712,0.848,0.712,0.814
AREB,2022-06-24,0.85,0.85,0.808,0.822
AREB,2022-06-27,0.799,0.81,0.77,0.8
AREB,2022-06-28,0.83,0.83,0.778,0.785
AREB,2022-06-29,0.785,0.81,0.785,0.81
AREB,2022-06-30,0.795,0.8,0.758,0.8
AREB,2022-07-01,0.79,0.79,0.73,0.76
AREB,2022-07-05,0.73,0.8,0.73,0.756
AREB,2022-07-06,0.75,0.79,0.701,0.75
AREB,2022-07-07,1.35,1.54,1.09,1.19
AREB,2022-07-08,1.0,1.24,0.98,1.13
AREB,2022-07-11,1.15,1.196,1.06,1.18
AREB,2022-07-12,1.18,1.25,1.13,1.24
AREB,2022-07-13,1.24,1.24,0.95,0.97
AREB,2022-07-14,0.9,0.94,0.85,0.89
AREB,2022-07-15,0.85,1.09,0.85,1.06
AREB,2022-07-18,1.08,1.09,0.96,0.994
AREB,2022-07-19,0.93,0.983,0.9,0.96
AREB,2022-07-20,0.95,1.0,0.86,0.985
AREB,2022-07-21,0.95,1.03,0.95,1.0
AREB,2022-07-22,1.02,1.02,0.95,0.98
AREB,2022-07-25,0.955,0.98,0.9,0.937
AREB,2022-07-26,0.908,0.908,0.809,0.85
AREB,2022-07-27,0.85,0.895,0.811,0.845
AREB,2022-07-28,0.83,0.848,0.78,0.798
AREB,2022-07-29,0.782,0.794,0.751,0.756
AREB,2022-08-01,0.729,0.729,0.525,0.591
AREB,2022-08-02,0.573,0.675,0.573,0.629
AREB,2022-08-03,0.605,1.34,0.605,1.0
AREB,2022-08-04,0.958,0.98,0.85,0.868
AREB,2022-08-05,0.847,0.847,0.703,0.72
AREB,2022-08-08,0.751,0.778,0.723,0.76
AREB,2022-08-09,0.771,0.788,0.73,0.788
AREB,2022-08-10,0.766,0.786,0.725,0.733
AREB,2022-08-11,0.73,0.784,0.691,0.709
AREB,2022-08-12,0.753,0.753,0.69,0.693
AREB,2022-08-15,0.697,0.697,0.613,0.662
AREB,2022-08-16,0.66,0.769,0.642,0.67
AREB,2022-08-17,0.703,0.712,0.631,0.67
AREB,2022-08-18,0.657,0.691,0.626,0.638
AREB,2022-08-19,0.64,0.678,0.59,0.615
AREB,2022-08-22,0.615,0.649,0.551,0.61
AREB,2022-08-23,0.61,0.63,0.587,0.61
AREB,2022-08-24,0.603,0.638,0.6,0.621
AREB,2022-08-25,0.62,0.64,0.595,0.596
AREB,2022-08-26,0.598,0.624,0.585,0.59
AREB,2022-08-29,0.585,0.603,0.555,0.583
AREB,2022-08-30,0.574,0.583,0.55,0.552
AREB,2022-08-31,0.55,0.64,0.55,0.608
AREB,2022-09-01,0.63,0.64,0.556,0.574
AREB,2022-09-02,0.58,0.601,0.56,0.563
AREB,2022-09-06,0.58,0.6,0.554,0.584
AREB,2022-09-07,0.561,0.617,0.55,0.56
AREB,2022-09-08,0.56,0.59,0.53,0.56
AREB,2022-09-09,0.561,0.58,0.528,0.565
AREB,2022-09-12,0.6,0.751,0.56,0.665
AREB,2022-09-13,0.825,0.87,0.622,0.65
AREB,2022-09-14,0.728,0.747,0.57,0.605
AREB,2022-09-15,0.666,0.68,0.516,0.52
AREB,2022-09-16,0.517,0.535,0.47,0.48
AREB,2022-09-19,0.47,0.47,0.4,0.45
AREB,2022-09-20,0.45,0.462,0.4,0.46
AREB,2022-09-21,0.45,0.468,0.4,0.449
AREB,2022-09-22,0.422,0.44,0.37,0.391
AREB,2022-09-23,0.399,0.4,0.35,0.35
AREB,2022-09-26,0.352,0.43,0.351,0.376
AREB,2022-09-27,0.373,0.373,0.336,0.34
AREB,2022-09-28,0.338,0.367,0.311,0.359
AREB,2022-09-29,0.348,0.36,0.325,0.332
AREB,2022-09-30,0.345,0.358,0.328,0.331
AREB,2022-10-03,0.339,0.428,0.315,0.36
AREB,2022-10-04,0.343,0.44,0.331,0.429
AREB,2022-10-05,0.51,0.546,0.44,0.5
AREB,2022-10-06,0.44,0.45,0.28,0.37
AREB,2022-10-07,0.39,0.39,0.318,0.349
AREB,2022-10-10,0.33,0.347,0.29,0.305
AREB,2022-10-11,0.285,0.305,0.245,0.287
AREB,2022-10-12,0.28,0.3,0.26,0.281
AREB,2022-10-13,0.25,0.288,0.25,0.26
AREB,2022-10-14,0.262,0.27,0.238,0.242
AREB,2022-10-17,0.25,0.32,0.242,0.293
AREB,2022-10-18,0.3,0.3,0.24,0.255
AREB,2022-10-19,0.269,0.28,0.232,0.275
AREB,2022-10-20,0.396,0.41,0.28,0.29
AREB,2022-10-21,0.294,0.3,0.265,0.272
AREB,2022-10-24,0.279,0.334,0.23,0.302
AREB,2022-10-25,0.3,0.315,0.271,0.29
AREB,2022-10-26,0.28,0.28,0.25,0.263
AREB,2022-10-27,0.268,0.275,0.255,0.266
AREB,2022-10-28,0.274,0.274,0.251,0.259
AREB,2022-10-31,0.251,0.268,0.251,0.259
AREB,2022-11-01,0.261,0.268,0.25,0.265
AREB,2022-11-02,0.26,0.294,0.25,0.276
AREB,2022-11-03,0.28,0.318,0.28,0.299
AREB,2022-11-04,0.32,0.344,0.299,0.32
AREB,2022-11-07,0.328,0.339,0.314,0.335
AREB,2022-11-08,0.33,0.33,0.255,0.29
AREB,2022-11-09,0.286,0.294,0.261,0.28
AREB,2022-11-10,0.28,0.314,0.28,0.308
AREB,2022-11-11,0.32,0.32,0.301,0.315
AREB,2022-11-14,0.316,0.346,0.296,0.326
AREB,2022-11-15,0.31,0.35,0.265,0.29
AREB,2022-11-16,0.285,0.286,0.25,0.258
AREB,2022-11-17,0.26,0.265,0.25,0.261
AREB,2022-11-18,0.26,0.268,0.253,0.263
AREB,2022-11-21,0.263,0.263,0.22,0.233
AREB,2022-11-22,0.233,0.247,0.23,0.234
AREB,2022-11-23,0.229,0.244,0.229,0.24
AREB,2022-11-25,0.233,0.268,0.225,0.26
AREB,2022-11-28,0.268,0.32,0.268,0.307
AREB,2022-11-29,0.309,0.32,0.26,0.29
AREB,2022-11-30,0.268,0.275,0.244,0.245
AREB,2022-12-01,0.24,0.258,0.231,0.246
AREB,2022-12-02,0.239,0.25,0.236,0.24
AREB,2022-12-05,0.24,0.255,0.235,0.244
AREB,2022-12-06,0.242,0.25,0.24,0.243
AREB,2022-12-07,0.24,0.243,0.23,0.238
AREB,2022-12-08,0.234,0.24,0.2,0.229
AREB,2022-12-09,0.228,0.23,0.2,0.205
AREB,2022-12-12,0.209,0.209,0.18,0.189
AREB,2022-12-13,0.195,0.214,0.191,0.192
AREB,2022-12-14,0.2,0.215,0.194,0.205
AREB,2022-12-15,0.199,0.212,0.186,0.206
AREB,2022-12-16,0.21,0.21,0.183,0.195
AREB,2022-12-19,0.195,0.2,0.161,0.18
AREB,2022-12-20,0.175,0.175,0.16,0.16
AREB,2022-12-21,0.169,0.177,0.155,0.17
AREB,2022-12-22,0.165,0.173,0.155,0.164
AREB,2022-12-23,0.17,0.22,0.16,0.185
AREB,2022-12-27,0.19,0.21,0.161,0.2
AREB,2022-12-28,0.197,0.197,0.167,0.185
AREB,2022-12-29,0.186,0.2,0.178,0.19
AREB,2022-12-30,0.194,0.198,0.18,0.193
AREB,2023-01-03,0.189,0.2,0.172,0.185
AREB,2023-01-04,0.192,0.221,0.185,0.22
AREB,2023-01-05,0.199,0.249,0.196,0.238
AREB,2023-01-06,0.25,0.25,0.2,0.218
AREB,2023-01-09,0.23,0.24,0.211,0.217
AREB,2023-01-10,0.23,0.235,0.21,0.226
AREB,2023-01-11,0.24,0.256,0.23,0.231
AREB,2023-01-12,0.24,0.247,0.21,0.228
AREB,2023-01-13,0.229,0.232,0.211,0.23
AREB,2023-01-17,0.22,0.23,0.21,0.222
AREB,2023-01-18,0.23,0.233,0.2,0.217
AREB,2023-01-19,0.21,0.214,0.175,0.193
AREB,2023-01-20,0.203,0.21,0.192,0.207
AREB,2023-01-23,0.218,0.218,0.2,0.209
AREB,2023-01-24,0.207,0.213,0.2,0.205
AREB,2023-01-25,0.21,0.243,0.21,0.24
AREB,2023-01-26,0.27,0.305,0.23,0.254
AREB,2023-01-27,0.239,0.239,0.21,0.221
