ticker,date,open,high,low,close
AVAL,2014-09-23,13.5,13.76,13.49,13.58
AVAL,2014-09-24,13.62,13.72,13.56,13.65
AVAL,2014-09-25,13.74,13.85,13.65,13.71
AVAL,2014-09-26,13.85,13.92,13.7,13.78
AVAL,2014-09-29,13.7,13.73,13.6,13.64
AVAL,2014-09-30,13.61,13.81,13.52,13.55
AVAL,2014-10-01,13.55,13.6,13.46,13.52
AVAL,2014-10-02,13.48,13.64,13.46,13.53
AVAL,2014-10-03,13.83,13.83,13.56,13.59
AVAL,2014-10-06,13.58,13.75,13.55,13.6
AVAL,2014-10-07,13.55,13.69,13.52,13.61
AVAL,2014-10-08,13.7,13.7,13.42,13.55
AVAL,2014-10-09,13.56,13.57,13.36,13.45
AVAL,2014-10-10,13.37,13.44,13.27,13.38
AVAL,2014-10-13,13.43,13.43,13.05,13.08
AVAL,2014-10-14,13.2,13.39,12.98,13.0
AVAL,2014-10-15,13.0,13.17,12.62,12.68
AVAL,2014-10-16,12.65,12.74,12.36,12.65
AVAL,2014-10-17,12.54,12.93,12.54,12.75
AVAL,2014-10-20,12.65,12.85,12.63,12.74
AVAL,2014-10-21,12.55,12.86,12.55,12.84
AVAL,2014-10-22,12.7,12.92,12.7,12.88
AVAL,2014-10-23,12.85,13.14,12.85,13.02
AVAL,2014-10-24,12.99,13.13,12.94,13.01
AVAL,2014-10-27,13.0,13.13,12.85,13.11
AVAL,2014-10-28,13.15,13.34,13.1,13.25
AVAL,2014-10-29,13.31,13.48,13.23,13.39
AVAL,2014-10-30,13.39,13.45,13.3,13.43
AVAL,2014-10-31,13.5,13.53,13.29,13.48
AVAL,2014-11-03,13.47,13.49,13.23,13.42
AVAL,2014-11-04,13.46,13.59,13.42,13.55
AVAL,2014-11-05,13.6,13.6,13.38,13.48
AVAL,2014-11-06,13.49,13.49,13.2,13.3
AVAL,2014-11-07,13.36,13.43,13.27,13.39
AVAL,2014-11-10,13.47,13.6,13.31,13.48
AVAL,2014-11-11,13.53,13.53,13.34,13.47
AVAL,2014-11-12,13.49,13.64,13.41,13.59
AVAL,2014-11-13,13.56,13.56,13.25,13.25
AVAL,2014-11-14,13.29,13.5,13.2,13.38
AVAL,2014-11-17,13.38,13.67,13.24,13.4
AVAL,2014-11-18,13.47,13.49,13.3,13.33
AVAL,2014-11-19,13.3,13.46,13.278,13.36
AVAL,2014-11-20,13.31,13.48,13.11,13.14
AVAL,2014-11-21,13.33,13.44,13.055,13.15
AVAL,2014-11-24,13.22,13.22,12.89,13.08
AVAL,2014-11-25,13.14,13.15,12.78,12.86
AVAL,2014-11-26,12.85,13.08,12.82,13.0
AVAL,2014-11-28,13.05,13.05,12.38,12.42
AVAL,2014-12-01,12.46,12.71,11.96,12.14
AVAL,2014-12-02,12.12,12.13,11.68,11.87
AVAL,2014-12-03,11.81,12.09,11.78,11.94
AVAL,2014-12-04,12.18,12.18,11.75,11.98
AVAL,2014-12-05,12.0,12.015,11.64,11.82
AVAL,2014-12-08,11.87,12.19,11.76,11.82
AVAL,2014-12-09,11.84,11.84,11.44,11.48
AVAL,2014-12-10,11.53,11.53,10.79,10.79
AVAL,2014-12-11,10.51,10.86,10.42,10.46
AVAL,2014-12-12,10.47,10.56,9.86,9.97
AVAL,2014-12-15,10.06,10.13,9.2,9.46
AVAL,2014-12-16,9.38,9.86,9.1,9.63
AVAL,2014-12-17,9.61,10.25,9.56,10.09
AVAL,2014-12-18,10.29,10.76,10.24,10.53
AVAL,2014-12-19,10.63,10.82,10.44,10.71
AVAL,2014-12-22,10.62,10.97,10.56,10.88
AVAL,2014-12-23,10.89,10.98,10.75,10.89
AVAL,2014-12-24,11.19,11.19,10.79,11.01
AVAL,2014-12-26,10.94,10.98,10.79,10.79
AVAL,2014-12-29,10.74,10.82,10.42,10.55
AVAL,2014-12-30,10.44,10.67,10.41,10.51
AVAL,2014-12-31,10.67,10.67,10.3,10.39
AVAL,2015-01-02,10.5,10.5,10.04,10.3
AVAL,2015-01-05,10.29,10.32,9.85,9.92
AVAL,2015-01-06,9.97,10.05,9.82,9.91
AVAL,2015-01-07,9.92,10.05,9.81,9.97
AVAL,2015-01-08,9.99,10.16,9.93,10.05
AVAL,2015-01-09,10.07,10.32,9.98,10.28
AVAL,2015-01-12,10.32,10.6,10.2,10.35
AVAL,2015-01-13,10.36,10.45,10.16,10.4
AVAL,2015-01-14,10.33,10.44,10.18,10.44
AVAL,2015-01-15,10.6,10.65,10.42,10.45
AVAL,2015-01-16,10.32,10.57,10.32,10.48
AVAL,2015-01-20,10.38,10.48,10.11,10.22
