ticker,date,open,high,low,close
AZTA,1995-02-02,9.5,10.5,9.0,10.0
AZTA,1995-02-03,10.5,12.0,10.25,11.25
AZTA,1995-02-06,11.25,13.0,11.25,12.75
AZTA,1995-02-07,12.75,12.75,10.75,11.75
AZTA,1995-02-08,11.75,11.75,11.0,11.0
AZTA,1995-02-09,11.0,11.75,11.0,11.38
AZTA,1995-02-10,11.75,12.25,11.25,12.25
AZTA,1995-02-13,12.25,12.75,11.75,12.25
AZTA,1995-02-14,12.5,12.5,11.75,12.25
AZTA,1995-02-15,11.75,12.5,11.75,12.0
AZTA,1995-02-16,12.0,12.5,12.0,12.25
AZTA,1995-02-17,12.5,12.5,12.0,12.12
AZTA,1995-02-21,12.0,12.25,11.06,11.38
AZTA,1995-02-22,11.0,11.5,11.0,11.5
AZTA,1995-02-23,11.0,11.75,11.0,11.31
AZTA,1995-02-24,11.75,11.75,11.25,11.44
AZTA,1995-02-27,11.5,11.75,11.25,11.75
AZTA,1995-02-28,11.25,12.0,11.25,12.0
AZTA,1995-03-01,12.0,12.25,11.75,12.0
AZTA,1995-03-02,12.25,12.5,11.75,12.0
AZTA,1995-03-03,12.0,12.5,12.0,12.25
AZTA,1995-03-06,12.0,12.25,11.5,12.0
AZTA,1995-03-07,11.5,12.0,11.5,12.0
AZTA,1995-03-08,11.5,12.0,11.5,11.75
AZTA,1995-03-09,11.5,12.38,11.5,12.25
AZTA,1995-03-10,11.75,12.25,11.75,11.75
AZTA,1995-03-13,12.5,12.5,11.75,12.25
AZTA,1995-03-14,12.25,12.25,11.75,12.25
AZTA,1995-03-15,11.75,12.06,11.75,12.06
AZTA,1995-03-16,11.75,12.25,11.75,11.75
AZTA,1995-03-17,11.5,12.25,11.25,11.75
AZTA,1995-03-20,11.25,11.5,11.0,11.5
AZTA,1995-03-21,11.5,13.0,11.25,12.75
AZTA,1995-03-22,12.5,13.75,12.5,13.5
AZTA,1995-03-23,13.75,14.0,13.25,14.0
AZTA,1995-03-24,14.25,14.5,14.0,14.0
