ticker,date,open,high,low,close
BAP,1995-10-25,11.48,11.48,11.17,11.17
BAP,1995-10-26,11.17,11.17,10.55,10.86
BAP,1995-10-27,10.7,10.7,9.93,9.93
BAP,1995-10-30,9.93,10.16,9.93,10.16
BAP,1995-10-31,10.24,10.24,10.24,10.24
BAP,1995-11-01,10.24,10.24,10.24,10.24
BAP,1995-11-02,10.32,10.32,10.32,10.32
BAP,1995-11-03,10.39,10.63,10.39,10.55
BAP,1995-11-06,10.7,10.7,10.7,10.7
BAP,1995-11-07,10.55,10.55,10.55,10.55
BAP,1995-11-08,10.55,10.55,10.39,10.47
BAP,1995-11-09,10.32,10.32,9.77,9.77
BAP,1995-11-10,9.85,9.85,9.77,9.77
BAP,1995-11-13,9.62,9.62,9.46,9.46
BAP,1995-11-14,9.46,9.46,9.15,9.15
BAP,1995-11-15,9.23,9.23,9.15,9.15
BAP,1995-11-16,9.23,9.46,9.23,9.39
BAP,1995-11-17,9.54,10.08,9.54,10.08
BAP,1995-11-20,10.24,10.47,10.08,10.47
BAP,1995-11-21,10.63,10.7,10.63,10.63
BAP,1995-11-22,10.55,10.55,10.55,10.55
BAP,1995-11-24,10.47,10.47,10.39,10.39
BAP,1995-11-27,10.32,10.32,10.16,10.16
BAP,1995-11-28,10.24,10.24,10.01,10.08
BAP,1995-11-29,10.01,10.01,10.01,10.01
BAP,1995-11-30,9.85,10.01,9.85,9.93
BAP,1995-12-01,9.93,9.93,9.85,9.93
BAP,1995-12-04,9.93,9.93,9.85,9.85
BAP,1995-12-05,10.08,10.08,9.77,9.77
BAP,1995-12-06,9.77,9.85,9.77,9.77
BAP,1995-12-07,9.85,9.85,9.77,9.77
BAP,1995-12-08,9.85,9.85,9.85,9.85
BAP,1995-12-11,9.85,10.01,9.85,10.01
BAP,1995-12-12,10.16,10.32,10.16,10.24
BAP,1995-12-13,10.32,10.7,10.32,10.7
BAP,1995-12-14,10.7,10.7,10.63,10.63
BAP,1995-12-15,10.63,10.7,10.55,10.63
BAP,1995-12-18,10.55,10.55,10.32,10.32
BAP,1995-12-19,10.32,10.55,10.32,10.55
BAP,1995-12-20,10.39,10.7,10.39,10.7
BAP,1995-12-21,10.7,10.86,10.7,10.78
BAP,1995-12-22,10.78,10.78,10.63,10.78
BAP,1995-12-26,10.78,11.01,10.78,11.01
