ticker,date,open,high,low,close
BIG,1985-06-20,2.64,2.84,2.64,2.72
BIG,1985-06-21,2.72,2.76,2.68,2.72
BIG,1985-06-24,2.72,3.02,2.72,3.02
BIG,1985-06-25,3.02,3.18,3.0,3.08
BIG,1985-06-26,3.08,3.18,3.02,3.12
BIG,1985-06-27,3.12,3.18,3.12,3.14
BIG,1985-06-28,3.14,3.16,2.96,3.08
BIG,1985-07-01,3.08,3.18,3.06,3.16
BIG,1985-07-02,3.16,3.2,3.12,3.18
BIG,1985-07-03,3.18,3.2,3.16,3.16
BIG,1985-07-05,3.16,3.2,3.16,3.2
BIG,1985-07-08,3.18,3.18,3.06,3.06
BIG,1985-07-09,3.06,3.1,3.04,3.04
BIG,1985-07-10,3.04,3.04,2.9,3.0
BIG,1985-07-11,3.02,3.1,3.02,3.02
BIG,1985-07-12,3.02,3.08,3.0,3.0
BIG,1985-07-15,3.0,3.02,2.96,3.0
BIG,1985-07-16,3.0,3.0,2.98,3.0
BIG,1985-07-17,3.0,3.04,2.98,3.02
BIG,1985-07-18,3.02,3.06,2.98,2.98
BIG,1985-07-19,2.98,3.18,2.98,3.1
BIG,1985-07-22,3.1,3.16,3.08,3.14
BIG,1985-07-23,3.14,3.16,3.04,3.04
BIG,1985-07-24,3.04,3.16,3.0,3.14
BIG,1985-07-25,3.14,3.18,3.14,3.16
BIG,1985-07-26,3.16,3.16,3.12,3.12
BIG,1985-07-29,3.12,3.16,3.04,3.04
BIG,1985-07-30,3.04,3.08,2.94,3.04
BIG,1985-07-31,3.04,3.24,3.04,3.2
BIG,1985-08-01,3.28,3.5,3.28,3.48
BIG,1985-08-02,3.48,3.5,3.38,3.4
BIG,1985-08-05,3.4,3.4,3.32,3.32
BIG,1985-08-06,3.32,3.38,3.32,3.36
BIG,1985-08-07,3.32,3.32,3.2,3.24
BIG,1985-08-08,3.24,3.3,3.22,3.26
BIG,1985-08-09,3.24,3.24,3.2,3.22
BIG,1985-08-12,3.16,3.16,2.96,3.06
BIG,1985-08-13,3.06,3.12,3.0,3.04
BIG,1985-08-14,3.04,3.06,2.96,3.04
BIG,1985-08-15,3.04,3.06,3.02,3.02
BIG,1985-08-16,3.02,3.04,2.96,2.98
BIG,1985-08-19,2.98,2.98,2.88,2.88
BIG,1985-08-20,2.88,2.94,2.82,2.94
BIG,1985-08-21,2.94,3.0,2.94,3.0
BIG,1985-08-22,3.0,3.02,2.96,3.02
BIG,1985-08-23,3.0,3.0,2.94,2.94
BIG,1985-08-26,2.98,3.0,2.98,3.0
BIG,1985-08-27,3.0,3.02,3.0,3.0
BIG,1985-08-28,3.0,3.0,2.98,3.0
BIG,1985-08-29,3.0,3.02,2.98,3.02
BIG,1985-08-30,3.02,3.02,3.0,3.02
