ticker,date,open,high,low,close
BIGC,2020-08-05,68.0,93.99,67.12,72.27
BIGC,2020-08-06,83.0,104.0,79.26,93.51
BIGC,2020-08-07,95.6,98.97,78.21,79.0
BIGC,2020-08-10,85.99,87.0,70.0,76.72
BIGC,2020-08-11,74.5,76.3,70.77,72.57
BIGC,2020-08-12,74.2,79.89,70.5,79.8
BIGC,2020-08-13,80.0,81.89,74.72,76.2
BIGC,2020-08-14,76.25,76.75,73.26,75.31
BIGC,2020-08-17,76.0,76.02,73.68,73.68
BIGC,2020-08-18,73.1,74.5,71.3,71.8
BIGC,2020-08-19,71.81,72.01,65.06,65.55
BIGC,2020-08-20,65.6,66.87,63.77,64.5
BIGC,2020-08-21,66.2,76.5,64.58,76.1
BIGC,2020-08-24,79.11,84.5,74.0,76.05
BIGC,2020-08-25,77.06,104.89,75.01,104.09
BIGC,2020-08-26,106.88,151.99,104.23,139.0
BIGC,2020-08-27,138.3,162.5,128.0,141.0
BIGC,2020-08-28,146.12,146.75,129.25,130.98
BIGC,2020-08-31,115.13,121.31,105.05,117.8
BIGC,2020-09-01,111.52,122.0,109.22,111.99
BIGC,2020-09-02,114.0,116.87,107.0,112.0
BIGC,2020-09-03,109.99,110.78,91.7,93.49
BIGC,2020-09-04,91.0,107.4,80.5,106.98
BIGC,2020-09-08,96.96,110.92,91.51,95.34
BIGC,2020-09-09,100.55,102.82,89.63,91.5
BIGC,2020-09-10,84.77,91.0,80.4,83.16
BIGC,2020-09-11,83.5,85.0,80.08,82.87
BIGC,2020-09-14,83.0,85.0,80.8,81.75
BIGC,2020-09-15,82.02,88.4,82.02,84.38
BIGC,2020-09-16,83.39,86.0,80.05,80.26
BIGC,2020-09-17,77.35,79.15,73.9,74.01
BIGC,2020-09-18,75.3,76.57,72.26,74.96
BIGC,2020-09-21,71.2,76.44,70.2,76.1
BIGC,2020-09-22,77.0,77.45,73.18,76.09
BIGC,2020-09-23,76.54,85.85,74.29,78.32
BIGC,2020-09-24,75.94,77.7,73.14,77.54
BIGC,2020-09-25,77.45,81.9,76.53,79.99
BIGC,2020-09-28,81.35,81.44,78.05,78.55
BIGC,2020-09-29,78.3,89.8,78.21,87.79
BIGC,2020-09-30,86.5,88.28,82.12,83.3
BIGC,2020-10-01,85.25,89.79,83.51,89.17
BIGC,2020-10-02,83.51,88.84,83.0,84.67
BIGC,2020-10-05,86.23,95.19,84.27,92.39
BIGC,2020-10-06,93.25,93.25,85.0,87.6
BIGC,2020-10-07,89.53,98.73,89.03,92.8
BIGC,2020-10-08,95.25,97.25,90.53,91.11
BIGC,2020-10-09,92.92,98.0,92.0,97.76
