ticker,date,open,high,low,close
BMR,2023-02-28,3.94,3.96,3.4,3.65
BMR,2023-03-01,3.69,3.69,3.03,3.3
BMR,2023-03-02,3.25,3.73,3.1,3.73
BMR,2023-03-03,3.7,3.75,3.22,3.47
BMR,2023-03-06,3.37,3.54,3.16,3.32
BMR,2023-03-07,3.368,3.4,3.108,3.29
BMR,2023-03-08,3.19,3.43,3.16,3.32
BMR,2023-03-09,3.4,3.4,3.165,3.26
BMR,2023-03-10,3.132,3.3,3.1,3.12
BMR,2023-03-13,3.09,3.26,2.78,3.19
BMR,2023-03-14,3.202,3.202,3.0,3.16
BMR,2023-03-15,3.0,3.22,2.99,3.09
BMR,2023-03-16,3.0,3.0,2.71,2.96
BMR,2023-03-17,2.912,3.015,2.9,3.01
BMR,2023-03-20,3.05,3.05,2.72,3.04
BMR,2023-03-21,3.04,3.04,2.8,2.94
BMR,2023-03-22,2.83,3.0,2.8,2.87
BMR,2023-03-23,2.86,3.0,2.74,2.97
BMR,2023-03-24,2.8,3.07,2.8,2.89
BMR,2023-03-27,3.1,3.13,2.01,2.23
BMR,2023-03-28,2.13,3.0,1.87,1.97
BMR,2023-03-29,1.95,2.04,1.8,1.88
BMR,2023-03-30,1.88,2.05,1.745,1.93
BMR,2023-03-31,1.93,2.08,1.79,1.99
BMR,2023-04-03,1.91,1.9212,1.71,1.76
BMR,2023-04-04,1.75,2.14,1.5832,2.0501
BMR,2023-04-05,1.89,2.0,1.62,1.81
BMR,2023-04-06,1.71,1.83,1.6,1.72
BMR,2023-04-10,1.76,1.83,1.65,1.67
BMR,2023-04-11,1.67,1.75,1.65,1.7
BMR,2023-04-12,1.6966,1.6966,1.53,1.66
BMR,2023-04-13,1.55,1.65,1.36,1.48
BMR,2023-04-14,1.7,2.0,1.4,1.42
BMR,2023-04-17,1.44,1.92,1.43,1.74
BMR,2023-04-18,1.82,1.82,1.66,1.73
BMR,2023-04-19,1.6404,1.782,1.55,1.59
BMR,2023-04-20,1.66,1.73,1.5501,1.64
BMR,2023-04-21,1.7,1.86,1.6403,1.68
BMR,2023-04-24,1.65,1.7901,1.61,1.61
BMR,2023-04-25,1.63,1.645,1.4,1.44
BMR,2023-04-26,1.5273,1.5273,1.43,1.47
BMR,2023-04-27,1.49,1.49,1.43,1.48
BMR,2023-04-28,1.48,1.5,1.42,1.49
BMR,2023-05-01,1.61,1.7,1.49,1.69
BMR,2023-05-02,1.73,1.73,1.4401,1.49
BMR,2023-05-03,1.47,1.69,1.47,1.69
BMR,2023-05-04,1.6729,1.6729,1.58,1.58
BMR,2023-05-05,1.57,1.57,1.54,1.54
BMR,2023-05-08,1.515,1.515,1.515,1.515
BMR,2023-05-09,1.5,1.52,1.43,1.52
BMR,2023-05-10,1.52,1.6,1.4,1.59
BMR,2023-05-11,1.58,1.6699,1.45,1.45
BMR,2023-05-12,1.46,1.55,1.46,1.55
BMR,2023-05-15,1.4,1.5598,1.4,1.548
BMR,2023-05-16,1.57,1.63,1.42,1.6
BMR,2023-05-17,1.55,1.87,1.46,1.86
BMR,2023-05-18,1.68,2.39,1.67,2.16
BMR,2023-05-19,2.0,2.0599,1.85,2.01
BMR,2023-05-22,2.0,2.08,1.99,2.08
BMR,2023-05-23,2.08,2.359,2.0225,2.3
BMR,2023-05-24,2.3,2.3,2.12,2.29
BMR,2023-05-25,6.0,8.04,4.12,4.96
BMR,2023-05-26,4.49,4.75,4.01,4.04
BMR,2023-05-30,3.71,4.19,2.61,2.92
BMR,2023-05-31,2.96,3.45,2.6101,3.07
BMR,2023-06-01,2.82,2.9344,2.7,2.8
BMR,2023-06-02,2.71,2.8799,2.6,2.68
BMR,2023-06-05,2.73,2.758,2.11,2.16
BMR,2023-06-06,2.11,3.8496,2.11,3.22
BMR,2023-06-07,2.93,3.28,2.62,3.17
BMR,2023-06-08,3.17,3.17,2.8,2.8
BMR,2023-06-09,2.8,3.17,2.72,2.87
BMR,2023-06-12,2.71,3.0,2.65,2.83
BMR,2023-06-13,2.79,2.8299,2.625,2.7
BMR,2023-06-14,2.7,3.1499,2.7,2.99
BMR,2023-06-15,3.0,3.1,2.75,2.86
BMR,2023-06-16,2.82,2.95,2.77,2.91
BMR,2023-06-20,2.81,2.9499,2.8,2.93
BMR,2023-06-21,2.85,2.93,2.72,2.78
BMR,2023-06-22,2.73,2.89,2.715,2.865
BMR,2023-06-23,2.81,2.93,2.7,2.82
BMR,2023-06-26,2.8968,3.28,2.8,3.06
BMR,2023-06-27,2.94,3.0821,2.75,2.89
BMR,2023-06-28,2.8,2.85,2.62,2.7
BMR,2023-06-29,2.65,2.98,2.65,2.87
BMR,2023-06-30,2.8,2.88,2.76,2.82
BMR,2023-07-03,2.76,2.86,2.72,2.86
BMR,2023-07-05,2.81,2.8888,2.71,2.82
BMR,2023-07-06,2.78,2.85,2.7,2.7
BMR,2023-07-07,2.7,2.88,2.66,2.76
BMR,2023-07-10,2.7,2.9,2.7,2.9
BMR,2023-07-11,2.82,2.9699,2.72,2.73
BMR,2023-07-12,2.68,2.81,2.39,2.59
BMR,2023-07-13,2.55,2.68,2.53,2.58
BMR,2023-07-14,2.58,2.69,2.41,2.5
BMR,2023-07-17,2.46,2.65,2.42,2.54
BMR,2023-07-18,2.64,2.75,2.4289,2.51
BMR,2023-07-19,2.5,2.9999,2.33,2.72
BMR,2023-07-20,2.715,2.72,2.59,2.62
BMR,2023-07-21,2.63,2.87,2.63,2.8101
BMR,2023-07-24,2.79,2.88,2.69,2.74
BMR,2023-07-25,2.78,2.88,2.54,2.75
BMR,2023-07-26,2.76,3.1,2.7306,3.05
BMR,2023-07-27,2.97,3.15,2.8,2.9
BMR,2023-07-28,2.87,2.95,2.805,2.87
BMR,2023-07-31,2.93,3.05,2.7806,2.98
BMR,2023-08-01,2.7001,2.95,2.61,2.74
BMR,2023-08-02,2.63,2.7291,2.51,2.64
BMR,2023-08-03,2.5001,2.6659,2.5001,2.58
BMR,2023-08-04,2.6,2.63,2.5,2.61
BMR,2023-08-07,2.45,2.6,2.45,2.51
BMR,2023-08-08,2.4,2.495,2.0001,2.2
BMR,2023-08-09,2.16,2.3585,2.1202,2.24
BMR,2023-08-10,2.12,2.29,2.0601,2.13
BMR,2023-08-11,2.09,2.59,2.07,2.16
BMR,2023-08-14,2.19,2.2672,2.1101,2.15
BMR,2023-08-15,2.1,2.3438,2.1,2.1
BMR,2023-08-16,2.11,2.139,2.0,2.01
BMR,2023-08-17,2.0,2.07,1.85,1.85
BMR,2023-08-18,1.89,1.9,1.83,1.87
BMR,2023-08-21,1.89,2.0,1.83,1.85
BMR,2023-08-22,1.9147,2.0747,1.83,1.84
BMR,2023-08-23,1.905,1.97,1.82,1.84
BMR,2023-08-24,1.98,2.06,1.83,2.06
BMR,2023-08-25,1.96,2.02,1.84,1.86
BMR,2023-08-28,1.87,1.87,1.67,1.69
BMR,2023-08-29,1.66,1.8491,1.65,1.83
BMR,2023-08-30,1.81,1.97,1.7401,1.81
BMR,2023-08-31,1.8988,1.908,1.775,1.84
BMR,2023-09-01,1.8,1.95,1.78,1.84
BMR,2023-09-05,1.83,1.97,1.81,1.95
BMR,2023-09-06,2.0,2.0,1.43,1.7
BMR,2023-09-07,1.57,1.57,1.44,1.45
BMR,2023-09-08,1.56,1.59,1.45,1.53
BMR,2023-09-11,1.48,1.565,1.46,1.48
