ticker,date,open,high,low,close
BOCN,2022-02-22,9.89,9.89,9.84,9.84
BOCN,2022-02-23,9.85,9.85,9.85,9.85
BOCN,2022-02-24,9.85,9.85,9.82,9.82
BOCN,2022-02-25,9.81,9.82,9.81,9.81
BOCN,2022-02-28,9.85,9.85,9.82,9.85
BOCN,2022-03-01,9.82,9.88,9.8,9.87
BOCN,2022-03-02,9.87,9.87,9.82,9.83
BOCN,2022-03-03,9.82,9.88,9.82,9.88
BOCN,2022-03-04,9.88,9.88,9.88,9.88
BOCN,2022-03-07,9.88,9.88,9.87,9.88
BOCN,2022-03-08,9.86,9.89,9.86,9.89
BOCN,2022-03-09,9.89,9.89,9.87,9.89
BOCN,2022-03-10,9.89,9.89,9.89,9.89
BOCN,2022-03-11,9.89,9.89,9.89,9.89
BOCN,2022-03-14,9.9,9.9,9.9,9.9
BOCN,2022-03-15,9.86,9.87,9.86,9.87
BOCN,2022-03-16,9.87,9.87,9.87,9.87
BOCN,2022-03-17,9.89,9.89,9.89,9.89
BOCN,2022-03-18,9.89,9.89,9.89,9.89
BOCN,2022-03-21,9.89,9.89,9.89,9.89
BOCN,2022-03-22,9.89,9.89,9.89,9.89
BOCN,2022-03-23,9.89,9.89,9.89,9.89
BOCN,2022-03-24,9.89,9.89,9.89,9.89
BOCN,2022-03-25,9.89,9.89,9.89,9.89
BOCN,2022-03-28,9.89,9.89,9.89,9.89
BOCN,2022-03-29,9.89,9.89,9.89,9.89
BOCN,2022-03-30,9.89,9.89,9.89,9.89
BOCN,2022-03-31,9.89,9.9,9.89,9.9
BOCN,2022-04-01,9.89,9.89,9.89,9.89
BOCN,2022-04-04,9.89,9.89,9.89,9.89
BOCN,2022-04-05,9.89,9.89,9.89,9.89
BOCN,2022-04-06,9.89,9.89,9.89,9.89
BOCN,2022-04-07,9.91,9.91,9.9,9.9
BOCN,2022-04-08,9.9,9.9,9.9,9.9
BOCN,2022-04-11,9.9,9.9,9.9,9.9
BOCN,2022-04-12,9.94,9.94,9.94,9.94
BOCN,2022-04-13,9.94,9.94,9.94,9.94
BOCN,2022-04-14,9.92,9.94,9.92,9.93
BOCN,2022-04-18,9.93,9.93,9.93,9.93
BOCN,2022-04-19,9.94,9.94,9.94,9.94
BOCN,2022-04-20,9.94,9.94,9.94,9.94
BOCN,2022-04-21,9.94,10.03,9.91,9.96
BOCN,2022-04-22,9.91,10.45,9.9,9.92
BOCN,2022-04-25,9.92,9.92,9.92,9.92
BOCN,2022-04-26,9.92,9.92,9.92,9.92
BOCN,2022-04-27,9.92,9.96,9.91,9.91
BOCN,2022-04-28,9.92,9.92,9.9,9.92
BOCN,2022-04-29,9.92,9.92,9.92,9.92
BOCN,2022-05-02,9.92,10.01,9.92,9.97
BOCN,2022-05-03,9.97,9.97,9.97,9.97
BOCN,2022-05-04,9.92,9.92,9.92,9.92
BOCN,2022-05-05,9.92,9.93,9.92,9.93
BOCN,2022-05-06,9.93,9.93,9.93,9.93
BOCN,2022-05-09,9.93,9.93,9.93,9.93
BOCN,2022-05-10,9.9,10.44,9.9,9.9
BOCN,2022-05-11,9.9,9.9,9.9,9.9
BOCN,2022-05-12,9.9,9.9,9.9,9.9
BOCN,2022-05-13,9.89,9.89,9.89,9.89
BOCN,2022-05-16,9.89,9.89,9.89,9.89
BOCN,2022-05-17,9.89,9.89,9.89,9.89
BOCN,2022-05-18,9.89,9.89,9.89,9.89
BOCN,2022-05-19,9.89,9.89,9.89,9.89
BOCN,2022-05-20,9.89,9.89,9.89,9.89
BOCN,2022-05-23,9.89,9.89,9.89,9.89
BOCN,2022-05-24,9.89,9.89,9.89,9.89
BOCN,2022-05-25,9.89,9.89,9.89,9.89
BOCN,2022-05-26,9.89,9.89,9.89,9.89
BOCN,2022-05-27,9.89,9.89,9.89,9.89
BOCN,2022-05-31,9.91,9.91,9.91,9.91
