ticker,date,open,high,low,close
BOLT,2021-02-05,26.1,33.96,22.63,32.15
BOLT,2021-02-08,28.4,34.88,28.11,32.6
BOLT,2021-02-09,32.7,34.5,30.02,33.9
BOLT,2021-02-10,34.0,35.195,33.035,34.54
BOLT,2021-02-11,35.88,35.88,32.01,34.51
BOLT,2021-02-12,34.86,35.815,33.16,33.31
BOLT,2021-02-16,33.35,34.39,31.59,33.0
BOLT,2021-02-17,33.27,33.27,31.17,32.2
BOLT,2021-02-18,32.43,32.43,30.0,32.0
BOLT,2021-02-19,32.0,33.92,31.23,33.05
BOLT,2021-02-22,32.76,34.585,32.159,32.7
BOLT,2021-02-23,32.22,32.22,25.02,28.18
BOLT,2021-02-24,28.19,28.5,26.56,27.5
BOLT,2021-02-25,27.02,28.44,26.67,28.04
BOLT,2021-02-26,27.94,28.19,26.29,26.7
BOLT,2021-03-01,27.17,30.23,27.05,30.0
BOLT,2021-03-02,33.0,33.82,30.3,31.66
BOLT,2021-03-03,31.56,35.2,31.13,32.17
BOLT,2021-03-04,32.02,33.44,26.35,28.78
BOLT,2021-03-05,28.6,30.4,26.545,30.03
BOLT,2021-03-08,30.36,34.67,29.881,31.62
BOLT,2021-03-09,32.0,35.98,31.57,35.69
BOLT,2021-03-10,35.9,38.37,35.4,35.62
BOLT,2021-03-11,36.01,43.07,35.91,37.47
BOLT,2021-03-12,36.99,40.26,36.97,39.1
BOLT,2021-03-15,39.49,42.58,38.39,38.9
BOLT,2021-03-16,39.64,40.5,38.69,39.34
BOLT,2021-03-17,39.2,40.44,35.92,39.93
BOLT,2021-03-18,39.77,39.96,38.2,38.61
BOLT,2021-03-19,39.61,39.96,36.87,37.46
BOLT,2021-03-22,36.88,37.79,32.76,33.39
BOLT,2021-03-23,32.8,33.26,31.06,31.77
BOLT,2021-03-24,31.74,32.625,29.21,29.3
BOLT,2021-03-25,28.95,30.015,28.03,28.28
BOLT,2021-03-26,27.99,29.57,25.63,26.38
BOLT,2021-03-29,26.45,26.677,25.25,25.86
BOLT,2021-03-30,25.82,28.02,25.201,27.87
BOLT,2021-03-31,28.02,33.39,28.0,32.91
BOLT,2021-04-01,32.3,32.45,29.16,31.46
BOLT,2021-04-05,31.91,31.91,28.8,30.17
BOLT,2021-04-06,29.95,29.95,28.03,28.04
BOLT,2021-04-07,28.13,28.28,24.64,24.98
BOLT,2021-04-08,25.21,25.653,23.561,23.66
