ticker,date,open,high,low,close
BSBK,2020-01-16,11.4,11.97,11.35,11.59
BSBK,2020-01-17,11.59,11.7,11.5,11.63
BSBK,2020-01-21,11.65,11.9,11.55,11.89
BSBK,2020-01-22,11.89,11.89,11.6,11.79
BSBK,2020-01-23,11.6,11.79,11.5,11.68
BSBK,2020-01-24,11.67,11.7,11.55,11.68
BSBK,2020-01-27,11.6,11.65,11.47,11.5
BSBK,2020-01-28,11.5,11.56,11.32,11.5
BSBK,2020-01-29,11.5,11.62,11.5,11.53
BSBK,2020-01-30,11.52,11.6,11.51,11.6
BSBK,2020-01-31,11.6,11.6,11.5,11.59
BSBK,2020-02-03,11.6,11.6,11.46,11.49
BSBK,2020-02-04,11.49,11.56,11.46,11.54
BSBK,2020-02-05,11.55,11.55,11.37,11.5
BSBK,2020-02-06,11.45,11.45,11.4,11.4
BSBK,2020-02-07,11.43,11.5,11.4,11.49
BSBK,2020-02-10,11.5,11.5,11.37,11.49
BSBK,2020-02-11,11.5,11.5,11.37,11.44
BSBK,2020-02-12,11.44,11.47,11.37,11.38
BSBK,2020-02-13,11.32,11.42,11.25,11.28
BSBK,2020-02-14,11.25,11.28,11.25,11.25
BSBK,2020-02-18,11.29,11.3,11.21,11.21
BSBK,2020-02-19,11.26,11.26,10.81,10.85
BSBK,2020-02-20,10.88,11.04,10.86,11.0
BSBK,2020-02-21,10.98,11.04,10.96,11.02
BSBK,2020-02-24,10.95,10.95,10.85,10.87
BSBK,2020-02-25,10.85,10.85,10.57,10.66
BSBK,2020-02-26,10.67,10.83,10.31,10.51
BSBK,2020-02-27,10.66,10.66,10.43,10.43
BSBK,2020-02-28,10.27,10.42,10.16,10.2
BSBK,2020-03-02,10.14,10.38,10.14,10.33
BSBK,2020-03-03,10.31,10.35,10.06,10.06
BSBK,2020-03-04,10.15,10.28,10.06,10.19
BSBK,2020-03-05,10.06,10.13,9.93,9.95
BSBK,2020-03-06,9.87,9.99,9.77,9.98
BSBK,2020-03-09,9.71,9.74,9.0,9.0
BSBK,2020-03-10,9.22,9.23,9.01,9.04
BSBK,2020-03-11,9.0,9.06,8.4,8.45
BSBK,2020-03-12,8.19,8.19,7.71,7.71
BSBK,2020-03-13,7.77,8.14,7.76,8.06
BSBK,2020-03-16,7.6,7.61,6.76,6.92
BSBK,2020-03-17,7.0,7.27,6.52,7.18
BSBK,2020-03-18,6.99,7.15,6.41,6.43
BSBK,2020-03-19,6.25,7.01,6.25,6.91
BSBK,2020-03-20,6.84,6.99,6.59,6.6
BSBK,2020-03-23,6.59,6.59,6.07,6.42
BSBK,2020-03-24,6.49,7.25,6.49,6.76
BSBK,2020-03-25,6.51,6.78,6.51,6.58
BSBK,2020-03-26,6.57,7.01,6.57,6.95
BSBK,2020-03-27,6.75,6.84,6.63,6.76
BSBK,2020-03-30,6.85,6.9,6.62,6.7
BSBK,2020-03-31,6.79,6.9,6.79,6.9
BSBK,2020-04-01,6.62,6.9,6.62,6.8
BSBK,2020-04-02,6.82,6.85,6.8,6.82
BSBK,2020-04-03,6.8,6.86,6.8,6.8
BSBK,2020-04-06,6.86,7.0,6.86,6.95
BSBK,2020-04-07,7.0,8.0,6.86,8.0
BSBK,2020-04-08,7.84,8.49,7.68,8.49
BSBK,2020-04-09,8.4,8.45,7.56,8.25
BSBK,2020-04-13,8.3,8.65,8.3,8.65
BSBK,2020-04-14,8.71,8.78,8.33,8.33
BSBK,2020-04-15,8.16,8.52,8.0,8.09
BSBK,2020-04-16,8.05,8.38,8.04,8.05
BSBK,2020-04-17,8.3,8.3,8.29,8.29
BSBK,2020-04-20,8.23,8.23,8.06,8.11
BSBK,2020-04-21,8.29,8.29,8.29,8.29
BSBK,2020-04-22,8.47,8.47,8.0,8.01
BSBK,2020-04-23,8.07,8.07,7.5,7.75
BSBK,2020-04-24,7.77,8.23,7.69,7.99
BSBK,2020-04-27,7.79,8.39,7.78,7.88
BSBK,2020-04-28,7.99,8.0,7.79,8.0
BSBK,2020-04-29,7.91,8.25,7.82,8.06
BSBK,2020-04-30,8.0,8.23,8.0,8.1
BSBK,2020-05-01,8.1,8.15,8.05,8.05
BSBK,2020-05-04,8.18,8.28,8.0,8.28
BSBK,2020-05-05,8.3,8.3,8.04,8.24
BSBK,2020-05-06,8.06,8.23,8.04,8.23
BSBK,2020-05-07,8.09,8.25,8.05,8.25
BSBK,2020-05-08,8.15,8.24,8.05,8.24
BSBK,2020-05-11,8.11,8.11,8.11,8.11
BSBK,2020-05-12,8.25,8.25,8.03,8.03
BSBK,2020-05-13,8.06,8.25,8.03,8.03
BSBK,2020-05-14,8.14,8.14,7.82,7.82
BSBK,2020-05-15,7.82,8.0,7.7,8.0
BSBK,2020-05-18,7.78,7.99,7.75,7.75
BSBK,2020-05-19,7.92,7.95,7.77,7.86
BSBK,2020-05-20,7.99,8.01,7.9,8.0
BSBK,2020-05-21,7.98,8.2,7.78,8.2
