ticker,date,open,high,low,close
BTU,2017-04-03,30.03,31.5,30.03,31.0
BTU,2017-04-04,32.0,32.5,26.51,27.25
BTU,2017-04-05,27.99,28.5,26.0,28.0
BTU,2017-04-06,28.15,28.62,27.01,27.55
BTU,2017-04-07,27.45,27.88,27.12,27.57
BTU,2017-04-10,28.0,28.47,27.26,27.98
BTU,2017-04-11,27.65,27.9,27.02,27.49
BTU,2017-04-12,27.43,27.61,25.48,25.75
BTU,2017-04-13,25.78,25.89,23.28,23.82
BTU,2017-04-17,23.95,23.99,22.61,23.42
BTU,2017-04-18,23.41,24.65,23.41,24.0
BTU,2017-04-19,24.5,25.15,24.43,24.94
BTU,2017-04-20,25.06,25.29,24.72,25.0
BTU,2017-04-21,25.12,25.95,25.12,25.69
BTU,2017-04-24,26.7,26.95,26.01,26.39
BTU,2017-04-25,26.99,27.0,25.46,26.1
BTU,2017-04-26,26.75,27.0,26.0,26.53
BTU,2017-04-27,26.73,26.75,26.03,26.21
BTU,2017-04-28,26.5,26.5,25.19,25.41
BTU,2017-05-01,25.74,26.01,25.31,25.75
BTU,2017-05-02,25.9,26.5,25.75,26.03
BTU,2017-05-03,26.05,26.83,24.8,25.07
BTU,2017-05-04,25.04,25.1,23.78,23.79
BTU,2017-05-05,24.16,24.36,23.63,23.96
BTU,2017-05-08,24.0,24.7,23.88,24.2
BTU,2017-05-09,24.23,25.08,24.11,24.96
BTU,2017-05-10,24.96,25.63,24.69,25.26
BTU,2017-05-11,25.14,25.34,24.53,24.74
BTU,2017-05-12,24.62,25.09,24.45,25.01
BTU,2017-05-15,24.97,25.25,24.64,24.76
BTU,2017-05-16,24.64,24.89,23.83,24.13
BTU,2017-05-17,23.97,24.47,22.97,23.4
BTU,2017-05-18,23.33,24.19,22.87,23.46
BTU,2017-05-19,23.21,24.06,23.1,23.3
BTU,2017-05-22,23.35,23.75,23.07,23.29
BTU,2017-05-23,23.35,23.86,23.08,23.57
BTU,2017-05-24,23.51,24.48,23.33,24.0
BTU,2017-05-25,24.28,24.6,23.57,23.97
BTU,2017-05-26,23.93,24.76,23.74,24.76
BTU,2017-05-30,24.84,24.93,24.46,24.84
BTU,2017-05-31,24.79,24.79,23.91,24.29
BTU,2017-06-01,24.3,24.45,23.52,24.13
BTU,2017-06-02,24.16,24.16,22.8,23.4
BTU,2017-06-05,23.51,24.1,23.27,24.0
BTU,2017-06-06,24.02,24.77,23.96,24.25
BTU,2017-06-07,24.2,24.9,23.79,24.24
BTU,2017-06-08,24.14,24.29,23.6,23.79
BTU,2017-06-09,23.77,24.64,23.68,24.43
BTU,2017-06-12,24.43,24.91,24.23,24.77
BTU,2017-06-13,24.68,25.68,24.6,25.12
BTU,2017-06-14,25.23,26.18,25.12,25.63
BTU,2017-06-15,25.54,25.61,23.67,24.1
BTU,2017-06-16,24.1,24.1,22.59,23.46
BTU,2017-06-19,23.48,23.61,22.88,23.51
BTU,2017-06-20,23.27,23.5,22.77,23.41
BTU,2017-06-21,23.41,23.58,23.0,23.36
BTU,2017-06-22,23.44,23.81,23.17,23.44
BTU,2017-06-23,23.41,23.41,22.58,23.01
BTU,2017-06-26,22.9,23.46,22.76,23.31
BTU,2017-06-27,23.51,23.87,23.29,23.49
BTU,2017-06-28,23.55,23.74,23.33,23.53
BTU,2017-06-29,23.52,24.45,23.42,24.35
BTU,2017-06-30,24.45,24.6,24.15,24.45
BTU,2017-07-03,24.47,25.0,24.37,24.85
BTU,2017-07-05,24.96,25.41,24.56,25.39
BTU,2017-07-06,25.32,25.76,25.0,25.09
BTU,2017-07-07,25.09,25.36,24.65,25.31
BTU,2017-07-10,25.31,25.78,24.93,25.73
BTU,2017-07-11,25.52,25.96,25.42,25.88
BTU,2017-07-12,26.2,26.7,26.08,26.37
BTU,2017-07-13,26.38,27.48,26.34,27.34
BTU,2017-07-14,27.33,27.88,27.16,27.31
BTU,2017-07-17,27.16,27.64,26.85,26.94
BTU,2017-07-18,26.76,27.05,26.31,26.38
BTU,2017-07-19,26.5,27.18,26.43,26.92
BTU,2017-07-20,27.19,27.25,26.67,26.7
BTU,2017-07-21,26.96,27.17,26.75,26.99
BTU,2017-07-24,27.24,27.42,26.82,27.25
BTU,2017-07-25,27.4,27.92,27.12,27.35
BTU,2017-07-26,27.61,27.8,27.28,27.57
BTU,2017-07-27,27.7,27.83,26.84,27.05
BTU,2017-07-28,26.95,27.46,26.61,27.4
BTU,2017-07-31,27.4,28.38,27.2,28.04
BTU,2017-08-01,29.83,30.95,29.3,30.1
BTU,2017-08-02,30.3,30.63,29.92,30.21
BTU,2017-08-03,30.28,30.28,28.64,28.73
BTU,2017-08-04,28.7,28.78,28.15,28.22
BTU,2017-08-07,28.25,29.24,28.25,29.01
BTU,2017-08-08,29.06,29.59,28.72,28.76
BTU,2017-08-09,28.73,28.93,28.25,28.42
BTU,2017-08-10,28.41,28.54,28.15,28.41
BTU,2017-08-11,28.22,28.7,27.71,28.25
BTU,2017-08-14,28.48,28.79,28.27,28.53
BTU,2017-08-15,28.55,28.65,28.05,28.22
BTU,2017-08-16,28.22,28.33,27.77,28.21
BTU,2017-08-17,28.01,28.25,27.89,27.94
BTU,2017-08-18,27.33,27.33,26.73,27.21
BTU,2017-08-21,27.29,27.94,27.0,27.84
BTU,2017-08-22,28.0,28.04,27.48,27.48
BTU,2017-08-23,27.45,28.16,27.41,27.99
BTU,2017-08-24,28.05,28.05,27.74,27.81
BTU,2017-08-25,28.0,28.16,27.83,27.88
BTU,2017-08-28,27.88,28.62,27.75,28.59
BTU,2017-08-29,28.33,28.52,27.92,27.97
BTU,2017-08-30,27.95,28.25,27.84,28.12
BTU,2017-08-31,28.24,29.17,28.22,29.0
BTU,2017-09-01,29.17,30.56,29.17,30.1
BTU,2017-09-05,30.12,30.3,29.05,29.09
BTU,2017-09-06,30.0,30.28,29.28,30.08
BTU,2017-09-07,30.03,30.27,29.03,29.9
BTU,2017-09-08,29.69,29.81,29.03,29.29
BTU,2017-09-11,29.44,30.36,29.44,29.6
BTU,2017-09-12,29.59,30.09,29.52,29.79
BTU,2017-09-13,29.71,30.69,29.71,30.61
BTU,2017-09-14,30.45,30.52,30.06,30.17
BTU,2017-09-15,30.17,30.17,29.46,29.58
BTU,2017-09-18,29.66,30.0,29.66,29.81
BTU,2017-09-19,29.85,29.88,29.15,29.32
BTU,2017-09-20,29.35,29.56,29.06,29.09
BTU,2017-09-21,28.93,29.52,28.84,29.41
BTU,2017-09-22,29.15,30.09,29.15,29.52
BTU,2017-09-25,29.64,30.25,29.64,29.76
BTU,2017-09-26,29.69,30.06,29.62,29.68
BTU,2017-09-27,29.75,30.23,29.43,29.52
BTU,2017-09-28,29.41,29.56,29.05,29.11
BTU,2017-09-29,29.0,29.13,28.62,29.01
BTU,2017-10-02,29.11,30.13,28.98,29.9
BTU,2017-10-03,29.9,30.1,29.44,29.62
BTU,2017-10-04,29.53,29.98,29.49,29.62
BTU,2017-10-05,29.68,30.42,29.68,29.84
BTU,2017-10-06,29.73,29.83,29.39,29.49
BTU,2017-10-09,29.62,29.91,29.2,29.34
BTU,2017-10-10,29.59,29.88,28.96,29.4
BTU,2017-10-11,29.32,29.58,29.1,29.11
BTU,2017-10-12,28.98,29.27,28.6,28.63
BTU,2017-10-13,28.83,29.22,28.08,28.39
BTU,2017-10-16,28.46,28.98,28.46,28.85
BTU,2017-10-17,28.86,29.3,28.85,28.99
BTU,2017-10-18,29.03,29.22,28.57,28.99
BTU,2017-10-19,28.94,29.32,28.84,29.32
BTU,2017-10-20,29.53,30.06,29.47,29.96
