ticker,date,open,high,low,close
BWMN,2021-05-07,14.0,14.9,12.6,14.0
BWMN,2021-05-10,14.15,14.3,14.0,14.0
BWMN,2021-05-11,14.0,14.08,13.75,13.95
BWMN,2021-05-12,13.91,14.07,13.75,13.75
BWMN,2021-05-13,13.85,13.94,13.8,13.9
BWMN,2021-05-14,13.93,13.93,13.75,13.83
BWMN,2021-05-17,13.76,13.9,13.75,13.81
BWMN,2021-05-18,13.85,13.91,13.85,13.88
BWMN,2021-05-19,13.75,13.85,13.67,13.85
BWMN,2021-05-20,13.86,13.87,13.75,13.84
BWMN,2021-05-21,13.85,13.86,13.75,13.83
BWMN,2021-05-24,13.93,13.93,13.7,13.85
BWMN,2021-05-25,13.96,13.96,13.75,13.85
BWMN,2021-05-26,13.75,13.86,13.75,13.85
BWMN,2021-05-27,13.8,13.85,13.8,13.85
BWMN,2021-05-28,13.9,13.98,13.75,13.84
BWMN,2021-06-01,13.84,13.9,12.79,13.6
BWMN,2021-06-02,13.65,13.9,13.6,13.8
BWMN,2021-06-03,13.63,13.8,13.6,13.6
BWMN,2021-06-04,13.6,13.89,13.44,13.8
BWMN,2021-06-07,13.81,13.88,12.81,12.87
BWMN,2021-06-08,13.82,13.82,13.04,13.22
BWMN,2021-06-09,13.04,13.5,12.61,12.64
BWMN,2021-06-10,13.25,13.74,12.95,13.02
BWMN,2021-06-11,13.85,13.88,12.95,13.25
BWMN,2021-06-14,13.38,14.24,13.27,13.6
BWMN,2021-06-15,13.63,14.04,13.54,14.0
BWMN,2021-06-16,13.95,14.1,13.85,13.91
BWMN,2021-06-17,13.92,14.0,13.61,13.96
BWMN,2021-06-18,13.78,13.97,12.64,12.97
BWMN,2021-06-21,13.18,13.94,13.18,13.68
BWMN,2021-06-22,13.82,13.9,13.32,13.71
BWMN,2021-06-23,13.86,13.89,13.52,13.63
BWMN,2021-06-24,13.7,13.89,13.7,13.72
BWMN,2021-06-25,13.88,13.9,13.52,13.7
BWMN,2021-06-28,13.56,13.88,13.43,13.85
BWMN,2021-06-29,13.26,13.89,13.26,13.89
BWMN,2021-06-30,13.85,14.0,13.48,13.85
BWMN,2021-07-01,13.99,14.09,13.65,14.0
BWMN,2021-07-02,14.0,14.1,13.84,13.85
BWMN,2021-07-06,13.84,13.96,13.67,13.94
BWMN,2021-07-07,13.61,13.94,13.51,13.77
BWMN,2021-07-08,13.71,13.94,13.71,13.94
BWMN,2021-07-09,13.26,13.9,13.26,13.9
BWMN,2021-07-12,13.81,13.93,13.63,13.79
BWMN,2021-07-13,14.0,14.0,13.56,13.95
BWMN,2021-07-14,13.94,13.94,13.3,13.6
BWMN,2021-07-15,13.6,13.6,13.6,13.6
