ticker,date,open,high,low,close
CANO,2020-07-02,5.0,5.0,5.0,5.0
CANO,2020-07-06,10.35,10.358,10.15,10.2
CANO,2020-07-07,10.22,10.27,10.17,10.17
CANO,2020-07-08,10.22,10.22,10.08,10.1
CANO,2020-07-09,10.095,10.13,10.05,10.108
CANO,2020-07-10,10.15,10.5,10.09,10.48
CANO,2020-07-13,10.62,10.695,10.25,10.3
CANO,2020-07-14,10.45,10.5,10.25,10.28
CANO,2020-07-15,10.44,10.44,10.09,10.25
CANO,2020-07-16,10.45,10.65,10.2,10.35
CANO,2020-07-17,10.3,10.5,10.28,10.464
CANO,2020-07-20,10.5,10.525,10.2,10.38
CANO,2020-07-21,10.43,10.45,10.35,10.404
CANO,2020-07-22,10.4,10.48,10.4,10.47
CANO,2020-07-23,10.49,11.3,10.49,11.18
CANO,2020-07-24,11.2,11.4,10.77,11.35
CANO,2020-07-27,11.4,11.5,11.067,11.24
CANO,2020-07-28,11.25,11.25,11.0,11.23
CANO,2020-07-29,11.35,11.35,10.82,10.94
CANO,2020-07-30,11.14,11.14,10.35,10.5
CANO,2020-07-31,10.5,10.575,10.3,10.39
CANO,2020-08-03,10.49,10.499,10.2,10.39
CANO,2020-08-04,10.35,10.5,10.2,10.4
CANO,2020-08-05,10.4,10.4,10.25,10.319
CANO,2020-08-06,10.3,10.34,10.2,10.3
CANO,2020-08-07,10.35,10.5,10.3,10.462
CANO,2020-08-10,10.5,10.59,10.29,10.39
CANO,2020-08-11,10.82,10.82,10.4,10.5
CANO,2020-08-12,10.48,10.72,10.3,10.5
CANO,2020-08-13,10.38,10.58,10.25,10.33
CANO,2020-08-14,10.41,10.5,10.15,10.18
CANO,2020-08-17,10.4,10.4,10.243,10.28
CANO,2020-08-18,10.27,10.332,10.08,10.1
CANO,2020-08-19,10.15,10.242,10.03,10.08
CANO,2020-08-20,10.08,10.1,10.061,10.09
CANO,2020-08-21,10.1,10.5,10.01,10.15
CANO,2020-08-24,10.25,10.25,10.15,10.15
CANO,2020-08-25,10.19,10.2,10.12,10.18
CANO,2020-08-26,10.18,10.22,10.109,10.15
CANO,2020-08-27,10.21,10.24,10.15,10.15
CANO,2020-08-28,10.16,10.2,10.13,10.15
CANO,2020-08-31,10.3,10.35,10.05,10.08
CANO,2020-09-01,10.13,10.15,10.09,10.1
CANO,2020-09-02,10.15,10.35,10.12,10.28
CANO,2020-09-03,10.65,10.74,10.385,10.53
CANO,2020-09-04,10.53,10.99,10.53,10.83
CANO,2020-09-08,10.75,10.83,10.6,10.6
CANO,2020-09-09,10.62,10.65,10.48,10.53
CANO,2020-09-10,10.46,10.55,10.36,10.4
CANO,2020-09-11,10.42,10.57,10.4,10.44
CANO,2020-09-14,10.5,10.85,10.43,10.5
CANO,2020-09-15,10.65,10.65,10.5,10.54
CANO,2020-09-16,10.58,10.855,10.58,10.85
CANO,2020-09-17,10.98,11.03,10.77,10.825
CANO,2020-09-18,10.91,11.0,10.75,10.97
CANO,2020-09-21,10.85,10.93,10.56,10.93
