ticker,date,open,high,low,close
CBZ,1995-04-27,1.62,1.62,1.38,1.5
CBZ,1995-04-28,1.38,1.41,1.34,1.41
CBZ,1995-05-01,1.5,1.5,1.5,1.5
CBZ,1995-05-02,1.38,1.44,1.25,1.44
CBZ,1995-05-03,1.25,1.5,1.25,1.34
CBZ,1995-05-04,1.25,1.44,1.25,1.31
CBZ,1995-05-05,1.5,1.62,1.31,1.62
CBZ,1995-05-08,1.62,1.62,1.44,1.44
CBZ,1995-05-09,1.44,1.56,1.44,1.44
CBZ,1995-05-10,1.44,1.5,1.44,1.5
CBZ,1995-05-11,1.5,1.56,1.47,1.5
CBZ,1995-05-12,1.47,1.5,1.47,1.47
CBZ,1995-05-15,1.56,1.56,1.47,1.47
CBZ,1995-05-16,1.47,1.47,1.47,1.47
CBZ,1995-05-17,1.47,1.53,1.47,1.47
CBZ,1995-05-18,1.44,1.5,1.44,1.44
CBZ,1995-05-19,1.44,1.47,1.31,1.44
CBZ,1995-05-22,1.31,1.72,1.31,1.62
CBZ,1995-05-23,1.56,1.69,1.5,1.5
CBZ,1995-05-24,1.5,1.56,1.31,1.38
CBZ,1995-05-25,1.38,1.41,1.38,1.38
CBZ,1995-05-26,1.38,1.47,1.38,1.41
CBZ,1995-05-30,1.38,1.44,1.38,1.44
CBZ,1995-05-31,1.44,1.62,1.38,1.56
CBZ,1995-06-01,1.5,1.62,1.44,1.44
CBZ,1995-06-02,1.44,1.56,1.44,1.56
CBZ,1995-06-05,1.44,1.56,1.44,1.5
CBZ,1995-06-06,1.38,1.56,1.38,1.44
CBZ,1995-06-07,1.56,1.56,1.44,1.44
CBZ,1995-06-08,1.44,1.5,1.44,1.44
CBZ,1995-06-09,1.44,1.56,1.44,1.5
CBZ,1995-06-12,1.5,1.56,1.5,1.5
CBZ,1995-06-13,1.5,1.56,1.44,1.53
CBZ,1995-06-14,1.5,1.62,1.5,1.5
CBZ,1995-06-15,1.5,1.75,1.5,1.55
CBZ,1995-06-16,1.56,1.69,1.56,1.62
CBZ,1995-06-19,1.75,1.75,1.62,1.75
CBZ,1995-06-20,1.62,1.75,1.62,1.72
CBZ,1995-06-21,1.72,1.94,1.66,1.94
CBZ,1995-06-22,1.94,2.25,1.81,2.06
CBZ,1995-06-23,2.12,2.12,1.88,2.06
CBZ,1995-06-26,2.0,2.06,1.94,1.94
CBZ,1995-06-27,2.06,2.06,1.91,1.94
CBZ,1995-06-28,1.88,1.94,1.88,1.94
CBZ,1995-06-29,1.94,1.94,1.81,1.81
CBZ,1995-06-30,1.94,1.94,1.81,1.81
CBZ,1995-07-03,1.94,1.94,1.94,1.94
CBZ,1995-07-05,1.81,1.94,1.81,1.91
CBZ,1995-07-06,1.81,1.94,1.81,1.94
CBZ,1995-07-07,1.81,1.88,1.81,1.88
CBZ,1995-07-10,1.88,1.94,1.88,1.94
CBZ,1995-07-11,1.88,1.94,1.88,1.88
CBZ,1995-07-12,1.88,1.88,1.88,1.88
CBZ,1995-07-13,1.94,1.94,1.88,1.88
CBZ,1995-07-14,1.81,1.94,1.81,1.84
CBZ,1995-07-17,1.81,1.94,1.81,1.81
CBZ,1995-07-18,1.88,1.94,1.88,1.94
