ticker,date,open,high,low,close
CELC,2017-09-20,12.6,14.95,11.1,14.29
CELC,2017-09-21,15.03,15.55,13.06,13.41
CELC,2017-09-22,13.07,14.01,13.07,13.63
CELC,2017-09-25,13.82,14.53,13.65,13.92
CELC,2017-09-26,13.62,14.55,13.6,13.98
CELC,2017-09-27,13.96,14.37,12.66,13.0
CELC,2017-09-28,13.08,13.49,11.14,11.94
CELC,2017-09-29,11.9,12.48,11.81,12.24
CELC,2017-10-02,12.25,12.55,11.68,12.12
CELC,2017-10-03,12.47,13.2,12.13,12.82
CELC,2017-10-04,12.99,13.32,12.58,12.61
CELC,2017-10-05,12.9,12.94,12.16,12.57
CELC,2017-10-06,12.28,13.1,12.28,13.06
CELC,2017-10-09,13.2,13.2,12.57,12.67
CELC,2017-10-10,12.5,12.92,12.5,12.8
CELC,2017-10-11,12.61,13.99,12.01,13.93
CELC,2017-10-12,13.78,14.3,13.5,14.2
CELC,2017-10-13,13.5,16.16,13.5,15.3
CELC,2017-10-16,15.17,16.96,15.08,15.48
CELC,2017-10-17,15.94,16.83,15.69,15.95
CELC,2017-10-18,16.42,16.42,15.46,16.36
CELC,2017-10-19,16.25,16.5,15.79,16.23
CELC,2017-10-20,16.24,16.97,16.01,16.24
CELC,2017-10-23,16.37,16.47,15.65,15.88
CELC,2017-10-24,16.37,16.55,15.7,15.97
CELC,2017-10-25,15.87,16.42,15.7,16.4
CELC,2017-10-26,16.75,16.75,16.11,16.11
CELC,2017-10-27,16.96,16.96,15.88,16.34
CELC,2017-10-30,16.2,19.33,16.02,18.26
CELC,2017-10-31,19.0,19.0,17.85,17.99
CELC,2017-11-01,17.75,18.86,17.75,18.58
CELC,2017-11-02,18.41,19.49,17.96,18.55
CELC,2017-11-03,18.43,19.84,18.2,19.83
CELC,2017-11-06,19.83,21.35,18.22,21.35
CELC,2017-11-07,21.35,21.35,20.14,20.59
CELC,2017-11-08,20.45,20.7,20.25,20.29
CELC,2017-11-09,20.69,20.69,19.0,20.38
CELC,2017-11-10,20.15,21.65,19.76,21.65
CELC,2017-11-13,21.01,21.98,20.54,21.0
CELC,2017-11-14,21.0,21.0,20.08,20.44
CELC,2017-11-15,20.35,20.8,20.0,20.24
CELC,2017-11-16,20.19,21.0,19.98,19.98
CELC,2017-11-17,19.86,20.15,18.05,18.25
CELC,2017-11-20,18.33,18.5,15.57,17.2
CELC,2017-11-21,16.9,18.65,16.85,18.09
CELC,2017-11-22,18.3,19.3,18.06,19.1
CELC,2017-11-24,19.27,19.65,18.41,18.43
CELC,2017-11-27,18.71,19.9,18.38,18.78
CELC,2017-11-28,18.59,20.45,17.0,18.75
CELC,2017-11-29,18.56,18.56,17.25,17.59
CELC,2017-11-30,17.37,19.0,17.37,18.4
CELC,2017-12-01,18.4,19.22,18.0,18.0
CELC,2017-12-04,18.1,18.4,17.5,17.91
CELC,2017-12-05,17.5,18.28,17.5,18.27
CELC,2017-12-06,17.35,18.3,17.35,17.85
CELC,2017-12-07,17.99,18.02,17.82,17.99
CELC,2017-12-08,18.0,19.0,17.7,18.11
CELC,2017-12-11,17.94,18.16,17.77,17.98
CELC,2017-12-12,17.83,18.3,17.73,18.11
CELC,2017-12-13,18.6,19.95,18.38,18.79
CELC,2017-12-14,18.82,21.0,18.76,19.5
CELC,2017-12-15,19.5,19.5,18.7,18.78
CELC,2017-12-18,18.92,19.84,18.84,19.12
CELC,2017-12-19,19.04,20.0,18.84,19.35
CELC,2017-12-20,19.44,19.44,18.81,19.0
CELC,2017-12-21,19.39,19.53,17.73,18.88
CELC,2017-12-22,18.91,19.4,18.91,19.05
CELC,2017-12-26,19.22,19.3,18.75,19.0
CELC,2017-12-27,18.76,19.23,18.75,19.0
CELC,2017-12-28,18.86,19.25,18.75,18.98
CELC,2017-12-29,19.09,19.1,18.1,18.95
CELC,2018-01-02,18.46,20.52,18.46,20.52
CELC,2018-01-03,20.81,22.73,19.98,20.32
CELC,2018-01-04,21.01,21.01,20.16,20.98
CELC,2018-01-05,21.04,21.49,19.09,21.3
CELC,2018-01-08,21.5,21.63,20.15,20.59
CELC,2018-01-09,20.46,21.11,19.62,20.08
