ticker,date,open,high,low,close
CELL,2020-07-17,51.005,68.38,50.26,65.45
CELL,2020-07-20,58.51,64.5,58.51,62.1
CELL,2020-07-21,65.21,65.69,57.51,58.5
CELL,2020-07-22,56.98,57.79,55.0,56.0
CELL,2020-07-23,56.67,61.99,55.4,58.1
CELL,2020-07-24,58.16,59.93,57.01,59.5
CELL,2020-07-27,59.58,60.8,56.25,57.6
CELL,2020-07-28,57.63,59.0,56.125,57.9
CELL,2020-07-29,57.2,60.0,56.875,59.0
CELL,2020-07-30,58.74,60.0,56.97,58.6
CELL,2020-07-31,58.49,60.68,58.02,59.97
CELL,2020-08-03,59.99,71.22,59.51,71.2
CELL,2020-08-04,71.6,77.99,71.51,71.86
CELL,2020-08-05,72.94,72.94,65.765,65.96
CELL,2020-08-06,66.36,69.315,61.35,64.0
CELL,2020-08-07,64.67,65.2,57.31,57.55
CELL,2020-08-10,58.22,62.1,57.76,58.15
CELL,2020-08-11,58.35,59.99,55.85,56.42
CELL,2020-08-12,58.29,61.22,56.82,60.0
CELL,2020-08-13,60.45,65.01,60.05,61.11
CELL,2020-08-14,61.5,64.375,60.65,62.27
CELL,2020-08-17,62.37,63.45,58.535,59.75
CELL,2020-08-18,60.29,62.04,58.0,58.77
CELL,2020-08-19,58.48,60.304,56.7,57.73
CELL,2020-08-20,57.7,63.12,56.1,61.52
CELL,2020-08-21,61.19,63.48,60.082,63.3
CELL,2020-08-24,63.3,66.79,61.363,65.93
CELL,2020-08-25,65.8,74.255,63.3,71.85
CELL,2020-08-26,68.06,68.4,61.03,63.0
CELL,2020-08-27,63.26,65.6,63.0,63.68
CELL,2020-08-28,61.894,70.4,61.894,67.71
CELL,2020-08-31,68.0,69.6,64.5,65.4
CELL,2020-09-01,65.98,68.09,64.55,64.88
CELL,2020-09-02,65.33,66.915,65.01,66.17
CELL,2020-09-03,66.98,67.08,59.14,63.25
CELL,2020-09-04,62.7,65.62,60.8,62.4
CELL,2020-09-08,61.99,62.36,60.0,60.45
CELL,2020-09-09,60.9,62.23,59.43,60.02
CELL,2020-09-10,60.55,62.87,59.0,59.56
CELL,2020-09-11,59.75,60.72,58.0,58.7
CELL,2020-09-14,59.23,62.77,58.806,60.57
CELL,2020-09-15,61.63,63.62,60.1,61.71
CELL,2020-09-16,61.82,62.725,61.23,61.81
CELL,2020-09-17,61.35,68.3,61.185,66.51
CELL,2020-09-18,67.2,74.88,66.96,72.31
CELL,2020-09-21,72.0,73.9,68.7,72.69
CELL,2020-09-22,72.81,74.57,69.07,70.39
CELL,2020-09-23,70.51,72.0,65.04,68.69
CELL,2020-09-24,68.13,71.65,66.463,68.04
CELL,2020-09-25,68.06,69.267,65.96,66.6
CELL,2020-09-28,67.75,71.98,67.2,70.19
CELL,2020-09-29,70.04,76.87,68.122,74.38
CELL,2020-09-30,74.52,78.73,74.52,76.36
CELL,2020-10-01,76.63,80.88,75.055,76.99
CELL,2020-10-02,75.82,78.93,74.4,78.18
CELL,2020-10-05,78.63,85.5,77.93,81.62
CELL,2020-10-06,81.76,87.49,80.7,85.08
CELL,2020-10-07,85.88,89.67,85.17,86.5
CELL,2020-10-08,87.3,88.193,83.0,84.6
CELL,2020-10-09,85.0,87.0,83.27,83.97
CELL,2020-10-12,83.59,84.78,82.435,83.61
CELL,2020-10-13,82.52,83.7,80.68,81.05
CELL,2020-10-14,80.75,82.377,79.71,80.39
CELL,2020-10-15,80.17,80.5,75.5,77.44
CELL,2020-10-16,78.47,78.95,74.36,75.11
CELL,2020-10-19,75.51,76.955,73.73,74.96
CELL,2020-10-20,76.0,81.21,76.0,78.56
CELL,2020-10-21,78.83,80.05,75.8,77.14
CELL,2020-10-22,76.86,79.33,76.52,78.56
CELL,2020-10-23,78.57,79.365,74.64,75.6
CELL,2020-10-26,75.45,75.85,73.385,73.8
CELL,2020-10-27,73.07,77.61,70.65,74.75
CELL,2020-10-28,73.45,78.38,71.32,78.06
CELL,2020-10-29,78.35,79.752,74.34,75.9
CELL,2020-10-30,74.73,75.48,71.525,72.57
CELL,2020-11-02,72.41,74.815,69.0,70.38
CELL,2020-11-03,70.38,72.395,70.38,71.96
CELL,2020-11-04,72.43,75.65,72.025,75.27
CELL,2020-11-05,75.545,80.2,75.545,79.74
CELL,2020-11-06,80.54,84.75,77.825,83.45
CELL,2020-11-09,83.0,87.78,82.57,87.73
CELL,2020-11-10,89.56,91.25,78.76,87.06
CELL,2020-11-11,87.92,88.11,81.28,82.57
CELL,2020-11-12,83.39,91.72,82.73,90.83
CELL,2020-11-13,88.0,96.048,81.1,95.0
CELL,2020-11-16,98.93,98.93,85.51,90.17
CELL,2020-11-17,87.21,87.31,83.44,86.08
CELL,2020-11-18,88.3,96.17,87.305,93.01
CELL,2020-11-19,84.48,85.645,81.5,81.63
CELL,2020-11-20,83.31,84.89,79.26,83.78
CELL,2020-11-23,84.5,85.405,81.22,83.36
CELL,2020-11-24,83.58,84.54,80.45,82.49
CELL,2020-11-25,82.14,82.14,77.02,77.98
CELL,2020-11-27,77.79,82.83,76.59,81.94
CELL,2020-11-30,81.83,84.0,78.53,82.86
CELL,2020-12-01,84.68,85.25,79.52,79.93
CELL,2020-12-02,80.19,80.66,76.5,79.0
CELL,2020-12-03,78.52,79.42,76.81,77.27
CELL,2020-12-04,77.58,82.16,77.44,81.28
CELL,2020-12-07,81.8,87.76,81.8,85.38
CELL,2020-12-08,87.49,89.82,83.234,89.35
CELL,2020-12-09,89.97,95.97,85.86,87.62
CELL,2020-12-10,86.54,94.1,86.54,90.0
CELL,2020-12-11,91.37,96.72,85.07,89.51
CELL,2020-12-14,89.68,92.255,82.18,82.81
CELL,2020-12-15,82.97,85.53,82.5,83.57
CELL,2020-12-16,83.46,87.703,82.805,87.04
CELL,2020-12-17,87.41,91.76,86.43,88.65
CELL,2020-12-18,89.29,94.97,89.29,94.205
CELL,2020-12-21,94.0,104.99,92.26,103.56
CELL,2020-12-22,104.6,109.78,92.24,106.0
CELL,2020-12-23,110.93,113.53,101.28,103.45
CELL,2020-12-24,103.14,108.02,101.76,103.38
CELL,2020-12-28,106.08,106.1,98.09,98.74
CELL,2020-12-29,98.5,101.0,88.18,89.5
CELL,2020-12-30,92.24,100.0,91.31,92.0
CELL,2020-12-31,92.11,93.84,84.82,89.41
CELL,2021-01-04,90.5,90.94,80.34,83.54
CELL,2021-01-05,83.17,93.02,83.17,88.65
