ticker,date,open,high,low,close
CNSP,2019-11-08,125.64,142.5,120.9,137.1
CNSP,2019-11-11,142.5,145.5,127.5,127.5
CNSP,2019-11-12,127.5,131.64,115.8,120.6
CNSP,2019-11-13,120.6,126.6,120.6,122.4
CNSP,2019-11-14,122.4,129.3,122.4,127.2
CNSP,2019-11-15,127.2,135.0,127.2,131.4
CNSP,2019-11-18,134.7,134.7,122.4,124.77
CNSP,2019-11-19,139.2,170.7,124.5,129.6
CNSP,2019-11-20,126.0,133.2,117.0,122.7
CNSP,2019-11-21,119.7,132.6,117.3,128.7
CNSP,2019-11-22,129.6,130.41,125.4,127.05
CNSP,2019-11-25,128.4,133.8,126.0,126.6
CNSP,2019-11-26,130.5,138.9,120.3,122.7
CNSP,2019-11-27,123.0,129.6,123.0,125.01
CNSP,2019-11-29,126.9,126.9,123.0,123.9
CNSP,2019-12-02,124.5,129.81,120.0,121.8
CNSP,2019-12-03,122.7,126.0,120.3,120.3
CNSP,2019-12-04,125.1,125.94,120.3,121.5
CNSP,2019-12-05,122.4,124.5,120.0,122.4
CNSP,2019-12-06,124.5,124.5,118.5,119.7
CNSP,2019-12-09,120.0,122.67,117.0,118.2
CNSP,2019-12-10,121.5,123.0,109.5,113.4
CNSP,2019-12-11,115.2,123.15,112.5,116.1
CNSP,2019-12-12,120.3,124.8,114.9,120.9
CNSP,2019-12-13,120.9,120.9,116.7,118.5
CNSP,2019-12-16,119.4,120.6,115.5,116.7
CNSP,2019-12-17,117.0,119.55,115.5,115.5
CNSP,2019-12-18,116.4,120.3,115.5,116.1
CNSP,2019-12-19,122.4,123.0,117.6,119.1
CNSP,2019-12-20,120.0,121.2,111.9,111.9
CNSP,2019-12-23,114.9,117.0,114.0,115.8
CNSP,2019-12-24,115.5,117.9,114.36,115.5
CNSP,2019-12-26,115.5,120.0,115.5,117.3
CNSP,2019-12-27,117.3,118.53,116.16,117.15
CNSP,2019-12-30,117.6,120.0,114.9,116.1
CNSP,2019-12-31,117.0,120.45,116.4,118.5
CNSP,2020-01-02,117.0,120.6,117.0,117.3
CNSP,2020-01-03,119.7,120.0,117.9,120.0
CNSP,2020-01-06,121.8,121.8,117.0,118.8
CNSP,2020-01-07,121.2,133.8,119.1,129.0
CNSP,2020-01-08,130.5,132.9,124.5,127.5
CNSP,2020-01-09,129.0,133.2,128.28,132.93
CNSP,2020-01-10,133.2,149.7,132.6,149.7
CNSP,2020-01-13,152.4,164.7,132.0,137.7
CNSP,2020-01-14,139.5,142.2,126.0,131.1
CNSP,2020-01-15,132.0,133.89,126.6,131.1
CNSP,2020-01-16,132.0,136.5,131.7,133.8
CNSP,2020-01-17,134.7,134.7,127.5,129.9
CNSP,2020-01-21,131.4,134.7,130.5,134.4
CNSP,2020-01-22,133.8,134.04,129.9,131.82
CNSP,2020-01-23,133.5,135.0,131.79,133.5
