ticker,date,open,high,low,close
CONN,2003-11-25,15.13,15.6,14.56,15.04
CONN,2003-11-26,15.24,15.84,15.0,15.6
CONN,2003-11-28,15.99,15.99,15.5,15.9
CONN,2003-12-01,15.98,16.44,15.8,16.19
CONN,2003-12-02,16.1,16.3,15.8,16.1
CONN,2003-12-03,16.5,16.5,15.9,16.0
CONN,2003-12-04,15.9,16.0,15.4,15.55
CONN,2003-12-05,15.3,15.7,15.27,15.58
CONN,2003-12-08,16.2,16.2,15.39,15.75
CONN,2003-12-09,15.66,15.83,15.41,15.61
CONN,2003-12-10,15.6,15.85,15.6,15.65
CONN,2003-12-11,16.2,16.2,14.75,15.07
CONN,2003-12-12,15.0,15.3,15.0,15.01
CONN,2003-12-15,15.3,15.3,14.0,14.17
CONN,2003-12-16,14.18,15.0,14.0,14.85
CONN,2003-12-17,14.4,15.09,14.25,15.05
CONN,2003-12-18,15.0,15.69,15.0,15.5
CONN,2003-12-19,15.45,15.6,15.25,15.5
CONN,2003-12-22,15.2,15.4,15.2,15.3
CONN,2003-12-23,15.3,15.6,15.25,15.6
CONN,2003-12-24,15.3,15.74,15.3,15.74
CONN,2003-12-26,15.32,15.89,15.32,15.88
CONN,2003-12-29,15.32,16.3,15.32,16.0
CONN,2003-12-30,16.0,16.4,15.85,16.0
CONN,2003-12-31,16.0,16.22,15.9,16.1
CONN,2004-01-02,15.8,16.23,15.8,16.0
CONN,2004-01-05,15.9,16.24,15.9,16.1
CONN,2004-01-06,15.9,16.35,15.9,16.06
CONN,2004-01-07,16.1,16.25,15.8,15.92
CONN,2004-01-08,16.2,16.2,15.8,15.9
CONN,2004-01-09,15.9,16.25,15.75,15.94
CONN,2004-01-12,15.58,16.03,15.58,15.94
CONN,2004-01-13,15.8,16.23,15.8,15.84
CONN,2004-01-14,16.0,16.15,15.82,16.15
CONN,2004-01-15,16.15,16.2,15.87,16.2
CONN,2004-01-16,16.23,16.23,15.58,15.94
CONN,2004-01-20,15.8,16.15,15.58,16.04
CONN,2004-01-21,15.8,16.62,15.8,16.55
CONN,2004-01-22,16.7,16.7,16.25,16.45
CONN,2004-01-23,16.69,16.7,16.0,16.48
CONN,2004-01-26,16.48,16.5,16.25,16.49
CONN,2004-01-27,16.23,16.44,16.23,16.25
CONN,2004-01-28,16.25,16.45,16.15,16.15
CONN,2004-01-29,16.25,16.43,16.14,16.17
CONN,2004-01-30,16.0,16.45,16.0,16.0
CONN,2004-02-02,16.4,16.5,16.27,16.44
CONN,2004-02-03,16.45,16.5,16.0,16.05
CONN,2004-02-04,16.0,16.45,16.0,16.25
CONN,2004-02-05,16.25,17.0,16.25,16.78
CONN,2004-02-06,16.75,16.95,16.52,16.65
CONN,2004-02-09,16.59,17.6,16.59,16.97
CONN,2004-02-10,17.0,17.0,16.5,16.59
CONN,2004-02-11,16.6,16.8,16.26,16.77
CONN,2004-02-12,16.83,17.5,16.83,17.07
CONN,2004-02-13,17.08,17.1,16.63,16.7
CONN,2004-02-17,16.8,16.99,16.25,16.25
CONN,2004-02-18,16.97,16.97,16.23,16.4
CONN,2004-02-19,16.94,16.94,16.38,16.51
CONN,2004-02-20,16.7,16.7,16.51,16.7
CONN,2004-02-23,16.7,16.7,16.19,16.34
CONN,2004-02-24,16.25,16.7,16.25,16.5
CONN,2004-02-25,16.69,16.69,16.25,16.35
CONN,2004-02-26,16.26,16.4,16.26,16.34
CONN,2004-02-27,16.33,16.69,16.23,16.34
CONN,2004-03-01,16.68,17.0,16.32,16.7
CONN,2004-03-02,17.0,17.0,16.25,16.25
CONN,2004-03-03,16.39,16.39,16.25,16.35
CONN,2004-03-04,16.35,17.1,16.35,16.52
CONN,2004-03-05,16.3,16.47,16.0,16.2
CONN,2004-03-08,16.0,16.41,16.0,16.2
CONN,2004-03-09,16.25,16.27,15.9,15.92
CONN,2004-03-10,15.81,16.2,15.81,15.91
CONN,2004-03-11,16.0,16.39,15.82,15.97
CONN,2004-03-12,16.38,16.38,15.76,15.76
CONN,2004-03-15,15.98,15.98,15.25,15.5
CONN,2004-03-16,15.51,15.99,15.29,15.45
CONN,2004-03-17,15.35,15.59,15.15,15.23
CONN,2004-03-18,15.0,15.35,14.75,15.35
CONN,2004-03-19,15.16,15.37,15.0,15.21
CONN,2004-03-22,15.0,15.11,14.5,14.72
CONN,2004-03-23,15.0,15.3,14.82,15.03
CONN,2004-03-24,15.05,15.5,14.81,15.46
CONN,2004-03-25,15.51,16.0,15.5,15.87
CONN,2004-03-26,15.9,15.9,15.76,15.79
CONN,2004-03-29,15.88,15.95,15.75,15.9
CONN,2004-03-30,15.78,16.0,15.6,15.82
CONN,2004-03-31,15.5,15.96,15.5,15.74
CONN,2004-04-01,15.73,15.73,15.34,15.5
CONN,2004-04-02,15.74,15.74,15.35,15.5
CONN,2004-04-05,15.4,15.98,15.4,15.94
CONN,2004-04-06,15.8,15.98,15.71,15.94
CONN,2004-04-07,15.99,16.05,15.88,16.05
CONN,2004-04-08,16.06,16.13,15.85,15.92
CONN,2004-04-12,16.19,16.5,15.96,16.39
CONN,2004-04-13,16.55,16.7,16.39,16.53
CONN,2004-04-14,16.74,16.74,16.15,16.44
CONN,2004-04-15,16.23,16.9,16.23,16.89
CONN,2004-04-16,16.89,17.0,16.84,16.98
CONN,2004-04-19,16.95,17.07,16.6,17.0
CONN,2004-04-20,17.12,17.21,16.81,17.0
CONN,2004-04-21,16.86,17.11,16.86,16.99
CONN,2004-04-22,17.0,17.1,16.96,17.06
CONN,2004-04-23,17.0,17.45,16.76,17.45
CONN,2004-04-26,17.26,17.77,17.26,17.65
CONN,2004-04-27,17.3,17.81,17.3,17.61
CONN,2004-04-28,17.35,18.08,17.35,17.55
CONN,2004-04-29,17.98,17.98,17.38,17.51
CONN,2004-04-30,17.45,17.48,16.32,16.6
CONN,2004-05-03,16.61,17.3,16.61,17.06
CONN,2004-05-04,17.5,17.65,17.0,17.52
CONN,2004-05-05,17.5,17.95,16.76,17.86
CONN,2004-05-06,17.53,18.75,17.53,18.47
CONN,2004-05-07,18.61,19.18,18.57,18.93
CONN,2004-05-10,18.5,18.99,18.02,18.32
CONN,2004-05-11,18.55,18.69,17.5,17.56
CONN,2004-05-12,18.5,18.5,17.06,17.49
CONN,2004-05-13,17.5,18.85,17.32,17.36
CONN,2004-05-14,17.6,17.8,17.0,17.0
