ticker,date,open,high,low,close
COOL,2021-02-19,10.25,10.52,10.13,10.2
COOL,2021-02-22,10.28,10.3,10.16,10.18
COOL,2021-02-23,10.17,10.24,10.13,10.24
COOL,2021-02-24,10.15,10.24,10.15,10.19
COOL,2021-02-25,10.22,10.22,10.02,10.06
COOL,2021-02-26,10.12,10.12,9.92,10.03
COOL,2021-03-01,10.07,10.16,9.96,10.07
COOL,2021-03-02,10.09,10.13,9.96,10.04
COOL,2021-03-03,10.03,10.1,10.01,10.06
COOL,2021-03-04,10.06,10.09,9.76,9.93
COOL,2021-03-05,9.92,9.97,9.78,9.97
COOL,2021-03-08,9.98,10.02,9.95,9.96
COOL,2021-03-09,9.97,10.0,9.95,9.96
COOL,2021-03-10,9.96,9.99,9.92,9.95
COOL,2021-03-11,9.94,9.97,9.86,9.87
COOL,2021-03-12,9.87,9.95,9.86,9.95
COOL,2021-03-15,9.93,9.97,9.87,9.9
COOL,2021-03-16,9.94,9.94,9.82,9.85
COOL,2021-03-17,9.85,9.9,9.76,9.89
COOL,2021-03-18,9.9,9.9,9.81,9.83
COOL,2021-03-19,9.81,9.87,9.81,9.85
COOL,2021-03-22,9.88,9.88,9.8,9.86
COOL,2021-03-23,9.83,9.86,9.65,9.7
COOL,2021-03-24,9.71,9.85,9.65,9.7
COOL,2021-03-25,9.63,9.71,9.49,9.7
COOL,2021-03-26,9.73,9.83,9.66,9.78
COOL,2021-03-29,9.72,9.85,9.68,9.69
COOL,2021-03-30,9.75,9.84,9.71,9.8
COOL,2021-03-31,9.77,9.8,9.76,9.79
COOL,2021-04-01,9.8,9.85,9.76,9.84
COOL,2021-04-05,9.8,9.82,9.8,9.8
COOL,2021-04-06,9.77,9.82,9.77,9.82
COOL,2021-04-07,9.78,9.86,9.78,9.85
COOL,2021-04-08,9.85,9.91,9.85,9.91
COOL,2021-04-09,9.88,9.93,9.85,9.93
COOL,2021-04-12,9.89,9.99,9.86,9.99
COOL,2021-04-13,9.89,9.94,9.85,9.88
COOL,2021-04-14,9.88,9.95,9.85,9.92
COOL,2021-04-15,9.9,9.95,9.85,9.86
COOL,2021-04-16,9.89,9.89,9.82,9.83
COOL,2021-04-19,9.82,9.85,9.79,9.83
COOL,2021-04-20,9.8,9.82,9.72,9.77
COOL,2021-04-21,9.73,9.81,9.73,9.75
COOL,2021-04-22,9.75,9.81,9.74,9.81
COOL,2021-04-23,9.77,9.78,9.75,9.75
COOL,2021-04-26,9.75,9.78,9.72,9.72
COOL,2021-04-27,9.76,9.78,9.73,9.76
COOL,2021-04-28,9.74,9.79,9.74,9.78
COOL,2021-04-29,9.74,9.79,9.74,9.79
COOL,2021-04-30,9.79,9.79,9.7,9.74
COOL,2021-05-03,9.74,9.81,9.74,9.8
COOL,2021-05-04,9.72,9.82,9.72,9.78
COOL,2021-05-05,9.76,9.78,9.72,9.72
COOL,2021-05-06,9.75,9.79,9.72,9.78
COOL,2021-05-07,9.75,9.78,9.72,9.76
COOL,2021-05-10,9.73,9.75,9.72,9.73
COOL,2021-05-11,9.71,9.72,9.7,9.71
COOL,2021-05-12,9.71,9.77,9.7,9.77
COOL,2021-05-13,9.74,9.79,9.74,9.77
COOL,2021-05-14,9.79,9.8,9.72,9.8
COOL,2021-05-17,9.72,9.76,9.67,9.7
COOL,2021-05-18,9.67,9.73,9.67,9.69
COOL,2021-05-19,9.7,9.71,9.67,9.69
COOL,2021-05-20,9.7,9.71,9.67,9.67
COOL,2021-05-21,9.69,9.72,9.69,9.72
COOL,2021-05-24,9.7,9.71,9.68,9.69
COOL,2021-05-25,9.68,9.72,9.68,9.7
COOL,2021-05-26,9.72,9.75,9.69,9.75
COOL,2021-05-27,9.71,9.73,9.68,9.7
COOL,2021-05-28,9.69,9.7,9.68,9.69
COOL,2021-06-01,9.7,9.72,9.67,9.69
COOL,2021-06-02,9.68,9.69,9.67,9.69
COOL,2021-06-03,9.65,9.69,9.65,9.69
COOL,2021-06-04,9.69,9.74,9.69,9.74
COOL,2021-06-07,9.68,9.75,9.68,9.75
COOL,2021-06-08,9.74,9.75,9.7,9.75
COOL,2021-06-09,9.73,9.74,9.7,9.72
COOL,2021-06-10,9.71,9.72,9.7,9.72
COOL,2021-06-11,9.71,9.74,9.7,9.71
COOL,2021-06-14,9.7,9.74,9.68,9.74
COOL,2021-06-15,9.74,9.74,9.69,9.72
COOL,2021-06-16,9.71,9.76,9.71,9.76
COOL,2021-06-17,9.76,9.76,9.73,9.75
COOL,2021-06-18,9.72,9.75,9.71,9.73
COOL,2021-06-21,9.72,9.74,9.69,9.74
COOL,2021-06-22,9.73,9.74,9.71,9.74
COOL,2021-06-23,9.71,9.73,9.7,9.71
COOL,2021-06-24,9.7,9.71,9.7,9.71
COOL,2021-06-25,9.71,9.72,9.71,9.72
COOL,2021-06-28,9.72,9.74,9.71,9.72
COOL,2021-06-29,9.72,9.73,9.7,9.7
COOL,2021-06-30,9.74,9.74,9.71,9.74
COOL,2021-07-01,9.72,9.73,9.71,9.73
COOL,2021-07-02,9.71,9.73,9.71,9.73
COOL,2021-07-06,9.71,9.74,9.71,9.73
COOL,2021-07-07,9.71,9.73,9.71,9.72
COOL,2021-07-08,9.75,9.76,9.72,9.72
COOL,2021-07-09,9.72,9.73,9.71,9.72
COOL,2021-07-12,9.75,9.76,9.72,9.75
COOL,2021-07-13,9.73,9.75,9.73,9.75
COOL,2021-07-14,9.73,9.74,9.71,9.73
COOL,2021-07-15,9.72,9.74,9.72,9.72
COOL,2021-07-16,9.71,9.75,9.69,9.75
COOL,2021-07-19,9.77,9.77,9.65,9.7
COOL,2021-07-20,9.69,9.72,9.69,9.7
COOL,2021-07-21,9.7,9.76,9.7,9.75
COOL,2021-07-22,9.73,9.77,9.73,9.74
COOL,2021-07-23,9.71,9.72,9.65,9.7
COOL,2021-07-26,9.71,9.74,9.67,9.71
COOL,2021-07-27,9.69,9.72,9.67,9.72
COOL,2021-07-28,9.71,9.74,9.69,9.74
COOL,2021-07-29,9.71,9.73,9.67,9.73
COOL,2021-07-30,9.7,9.72,9.68,9.72
COOL,2021-08-02,9.69,9.71,9.69,9.69
COOL,2021-08-03,9.68,9.73,9.68,9.73
COOL,2021-08-04,9.73,9.81,9.68,9.72
COOL,2021-08-05,9.69,9.72,9.67,9.72
COOL,2021-08-06,9.68,9.71,9.67,9.67
COOL,2021-08-09,9.67,9.69,9.67,9.67
COOL,2021-08-10,9.67,9.69,9.67,9.69
COOL,2021-08-11,9.68,9.69,9.67,9.68
COOL,2021-08-12,9.68,9.72,9.67,9.68
COOL,2021-08-13,9.69,9.7,9.67,9.68
COOL,2021-08-16,9.68,9.72,9.68,9.7
COOL,2021-08-17,9.69,9.7,9.68,9.68
COOL,2021-08-18,9.71,9.71,9.71,9.71
COOL,2021-08-19,9.65,9.7,9.65,9.67
COOL,2021-08-20,9.71,9.72,9.68,9.72
COOL,2021-08-23,9.67,9.72,9.65,9.68
COOL,2021-08-24,9.74,9.75,9.68,9.75
COOL,2021-08-25,9.72,9.72,9.66,9.66
COOL,2021-08-26,9.66,9.71,9.66,9.7
COOL,2021-08-27,9.66,9.7,9.66,9.7
COOL,2021-08-30,9.67,9.72,9.67,9.71
COOL,2021-08-31,9.67,9.7,9.67,9.7
COOL,2021-09-01,9.67,9.72,9.67,9.7
COOL,2021-09-02,9.67,9.71,9.67,9.71
COOL,2021-09-03,9.7,9.71,9.7,9.7
COOL,2021-09-07,9.7,9.7,9.68,9.68
COOL,2021-09-08,9.69,9.71,9.68,9.71
COOL,2021-09-09,9.71,9.71,9.7,9.71
COOL,2021-09-10,9.71,9.74,9.7,9.74
COOL,2021-09-13,9.69,9.74,9.69,9.73
COOL,2021-09-14,9.72,9.72,9.72,9.72
COOL,2021-09-15,9.73,9.74,9.71,9.74
COOL,2021-09-16,9.72,9.73,9.7,9.72
