ticker,date,open,high,low,close
CPSI,2002-05-21,17.5,18.41,17.02,18.12
CPSI,2002-05-22,18.24,18.25,18.0,18.25
CPSI,2002-05-23,18.33,18.9,18.15,18.55
CPSI,2002-05-24,18.7,18.95,18.61,18.88
CPSI,2002-05-28,18.75,19.31,18.56,19.15
CPSI,2002-05-29,19.0,19.01,18.46,18.8
CPSI,2002-05-30,18.7,18.95,18.65,18.75
CPSI,2002-05-31,18.95,19.25,18.51,18.75
CPSI,2002-06-03,18.76,19.01,18.53,18.6
CPSI,2002-06-04,18.8,18.8,18.5,18.57
CPSI,2002-06-05,18.55,18.68,18.4,18.5
CPSI,2002-06-06,18.56,18.77,18.51,18.69
CPSI,2002-06-07,18.6,18.71,18.4,18.71
CPSI,2002-06-10,18.7,18.94,18.45,18.72
CPSI,2002-06-11,18.88,19.5,18.55,18.9
CPSI,2002-06-12,18.76,19.0,18.76,19.0
CPSI,2002-06-13,18.8,19.45,18.8,19.14
CPSI,2002-06-14,19.5,19.5,18.98,19.07
CPSI,2002-06-17,19.6,20.35,19.2,20.25
CPSI,2002-06-18,20.19,20.55,19.94,20.3
CPSI,2002-06-19,20.09,21.45,20.09,21.18
CPSI,2002-06-20,21.05,21.35,20.2,20.8
CPSI,2002-06-21,20.2,20.92,20.2,20.74
CPSI,2002-06-24,20.64,20.99,20.25,20.51
CPSI,2002-06-25,20.88,21.2,20.28,21.1
CPSI,2002-06-26,20.6,22.42,20.27,21.49
CPSI,2002-06-27,21.5,23.2,21.03,22.5
CPSI,2002-06-28,21.99,21.99,21.35,21.53
CPSI,2002-07-01,20.52,21.39,20.26,20.37
CPSI,2002-07-02,20.94,20.94,17.35,18.5
CPSI,2002-07-03,18.42,18.91,18.2,18.85
CPSI,2002-07-05,18.85,19.91,18.84,19.91
CPSI,2002-07-08,19.56,20.82,19.53,20.35
CPSI,2002-07-09,20.36,20.65,20.0,20.05
CPSI,2002-07-10,20.01,20.51,18.97,19.07
CPSI,2002-07-11,18.9,19.32,18.56,18.79
CPSI,2002-07-12,18.83,20.0,18.83,19.54
CPSI,2002-07-15,20.05,20.5,19.5,20.0
CPSI,2002-07-16,20.0,20.15,19.8,20.0
CPSI,2002-07-17,20.0,20.0,19.0,20.0
CPSI,2002-07-18,20.05,20.74,19.75,19.79
CPSI,2002-07-19,19.9,19.96,19.17,19.5
CPSI,2002-07-22,19.95,19.95,18.21,18.21
CPSI,2002-07-23,18.35,19.05,18.21,18.84
CPSI,2002-07-24,18.5,19.71,18.14,19.64
CPSI,2002-07-25,19.8,20.39,19.36,19.93
CPSI,2002-07-26,20.0,20.13,19.94,20.0
CPSI,2002-07-29,19.99,21.5,19.92,21.07
CPSI,2002-07-30,21.15,21.85,20.12,21.54
CPSI,2002-07-31,21.5,22.61,21.35,22.09
CPSI,2002-08-01,22.49,23.75,22.1,23.29
CPSI,2002-08-02,22.99,23.19,22.0,22.1
CPSI,2002-08-05,22.29,22.39,20.67,20.96
CPSI,2002-08-06,21.5,22.39,20.02,20.02
CPSI,2002-08-07,20.03,21.0,19.78,20.0
CPSI,2002-08-08,19.8,21.02,19.8,21.02
CPSI,2002-08-09,20.12,21.35,20.12,20.71
CPSI,2002-08-12,20.55,21.38,20.17,20.22
CPSI,2002-08-13,20.6,21.13,20.17,20.31
CPSI,2002-08-14,21.0,21.0,20.31,20.99
