ticker,date,open,high,low,close
CTKB,2021-07-23,20.1,22.0,17.4,18.76
CTKB,2021-07-26,19.0,20.24,17.69,17.93
CTKB,2021-07-27,17.82,18.6,17.52,17.52
CTKB,2021-07-28,17.68,20.39,17.68,19.85
CTKB,2021-07-29,19.7,21.96,19.1,21.8
CTKB,2021-07-30,22.13,22.78,21.13,22.18
CTKB,2021-08-02,22.5,25.27,22.08,23.91
CTKB,2021-08-03,24.37,26.65,24.15,26.54
CTKB,2021-08-04,27.08,28.39,25.5,25.54
CTKB,2021-08-05,25.66,26.5,24.25,24.94
CTKB,2021-08-06,24.78,25.98,23.9,25.49
CTKB,2021-08-09,26.21,26.87,25.66,26.03
CTKB,2021-08-10,26.42,27.75,26.31,26.82
CTKB,2021-08-11,27.0,28.46,25.44,25.89
CTKB,2021-08-12,25.62,26.01,23.2,23.34
CTKB,2021-08-13,23.37,24.14,20.28,20.67
CTKB,2021-08-16,20.67,23.11,20.67,22.89
CTKB,2021-08-17,25.15,25.15,21.27,21.78
CTKB,2021-08-18,21.95,22.97,21.95,22.25
CTKB,2021-08-19,22.45,22.54,21.71,22.03
CTKB,2021-08-20,21.97,22.61,21.26,21.65
CTKB,2021-08-23,21.9,22.55,21.65,22.4
CTKB,2021-08-24,22.4,23.2,22.0,23.05
CTKB,2021-08-25,22.94,23.0,22.52,22.7
CTKB,2021-08-26,22.64,23.39,22.6,22.82
CTKB,2021-08-27,22.85,22.95,21.04,21.14
CTKB,2021-08-30,21.15,21.39,19.34,20.14
CTKB,2021-08-31,20.33,22.87,20.33,22.78
CTKB,2021-09-01,22.7,22.7,20.6,20.85
CTKB,2021-09-02,20.91,25.27,20.52,24.39
CTKB,2021-09-03,24.35,24.51,23.08,24.23
CTKB,2021-09-07,24.0,25.26,22.9,23.96
CTKB,2021-09-08,24.23,26.29,23.6,26.04
CTKB,2021-09-09,26.04,27.74,24.57,26.35
CTKB,2021-09-10,26.23,26.99,25.54,26.43
CTKB,2021-09-13,26.44,26.82,24.41,26.11
CTKB,2021-09-14,26.12,27.37,25.63,26.78
CTKB,2021-09-15,26.59,28.7,25.82,27.93
CTKB,2021-09-16,28.15,28.63,26.85,27.85
CTKB,2021-09-17,27.7,27.93,25.84,25.96
CTKB,2021-09-20,24.87,26.8,24.76,25.97
CTKB,2021-09-21,25.93,27.09,24.29,24.72
CTKB,2021-09-22,24.63,24.94,22.92,23.65
CTKB,2021-09-23,23.61,24.56,23.26,24.4
CTKB,2021-09-24,24.2,24.33,23.08,24.11
CTKB,2021-09-27,24.08,25.19,23.25,25.09
CTKB,2021-09-28,24.8,24.8,22.5,22.51
CTKB,2021-09-29,22.74,22.9,20.71,20.96
CTKB,2021-09-30,21.0,22.37,20.62,21.41
CTKB,2021-10-01,21.5,22.9,20.75,21.38
CTKB,2021-10-04,21.32,22.09,20.8,22.02
CTKB,2021-10-05,22.12,23.12,21.53,22.73
CTKB,2021-10-06,22.59,22.92,21.44,22.11
CTKB,2021-10-07,22.27,23.3,21.69,22.21
CTKB,2021-10-08,22.16,22.48,21.5,21.64
CTKB,2021-10-11,21.78,22.4,21.54,21.61
CTKB,2021-10-12,21.71,21.98,20.84,21.44
CTKB,2021-10-13,21.48,22.62,21.3,22.44
CTKB,2021-10-14,22.6,23.1,22.1,22.94
CTKB,2021-10-15,23.38,24.36,22.91,24.07
CTKB,2021-10-18,24.0,24.41,23.2,23.6
CTKB,2021-10-19,23.63,24.43,23.63,24.03
CTKB,2021-10-20,23.92,24.4,23.33,24.28
CTKB,2021-10-21,24.22,24.77,23.72,23.93
CTKB,2021-10-22,23.93,24.3,23.32,24.04
CTKB,2021-10-25,23.79,24.25,22.36,23.73
CTKB,2021-10-26,23.55,24.1,23.26,23.78
CTKB,2021-10-27,23.96,24.14,22.79,23.3
CTKB,2021-10-28,22.95,23.63,22.56,22.72
CTKB,2021-10-29,22.51,23.47,21.79,22.81
CTKB,2021-11-01,22.61,23.68,22.5,23.63
CTKB,2021-11-02,23.82,24.0,22.54,23.14
CTKB,2021-11-03,23.21,24.32,23.14,24.03
CTKB,2021-11-04,24.07,24.6,23.54,24.28
CTKB,2021-11-05,24.16,24.75,23.83,24.71
