ticker,date,open,high,low,close
CTSH,1998-06-19,0.21,0.22,0.2,0.21
CTSH,1998-06-22,0.21,0.21,0.21,0.21
CTSH,1998-06-23,0.21,0.21,0.2,0.21
CTSH,1998-06-24,0.21,0.21,0.21,0.21
CTSH,1998-06-25,0.22,0.24,0.22,0.23
CTSH,1998-06-26,0.24,0.27,0.23,0.25
CTSH,1998-06-29,0.25,0.27,0.25,0.26
CTSH,1998-06-30,0.26,0.26,0.25,0.25
CTSH,1998-07-01,0.25,0.25,0.25,0.25
CTSH,1998-07-02,0.25,0.25,0.25,0.25
CTSH,1998-07-06,0.25,0.25,0.25,0.25
CTSH,1998-07-07,0.25,0.25,0.25,0.25
CTSH,1998-07-08,0.25,0.25,0.25,0.25
CTSH,1998-07-09,0.25,0.33,0.25,0.29
CTSH,1998-07-10,0.29,0.3,0.29,0.3
CTSH,1998-07-13,0.31,0.31,0.29,0.29
CTSH,1998-07-14,0.29,0.32,0.29,0.32
CTSH,1998-07-15,0.32,0.37,0.32,0.33
CTSH,1998-07-16,0.33,0.34,0.31,0.33
CTSH,1998-07-17,0.33,0.34,0.32,0.34
CTSH,1998-07-20,0.34,0.37,0.33,0.35
CTSH,1998-07-21,0.37,0.39,0.36,0.37
CTSH,1998-07-22,0.38,0.38,0.32,0.36
CTSH,1998-07-23,0.36,0.37,0.33,0.35
CTSH,1998-07-24,0.35,0.35,0.32,0.34
CTSH,1998-07-27,0.33,0.34,0.32,0.34
CTSH,1998-07-28,0.34,0.34,0.31,0.32
CTSH,1998-07-29,0.33,0.33,0.31,0.33
CTSH,1998-07-30,0.33,0.34,0.32,0.34
CTSH,1998-07-31,0.34,0.34,0.33,0.33
CTSH,1998-08-03,0.33,0.34,0.33,0.33
CTSH,1998-08-04,0.33,0.34,0.33,0.33
CTSH,1998-08-05,0.33,0.37,0.33,0.35
CTSH,1998-08-06,0.34,0.34,0.33,0.33
CTSH,1998-08-07,0.35,0.36,0.35,0.35
CTSH,1998-08-10,0.38,0.38,0.35,0.36
CTSH,1998-08-11,0.36,0.36,0.32,0.35
CTSH,1998-08-12,0.36,0.37,0.35,0.36
CTSH,1998-08-13,0.36,0.37,0.36,0.36
CTSH,1998-08-14,0.37,0.38,0.36,0.37
CTSH,1998-08-17,0.37,0.37,0.36,0.36
CTSH,1998-08-18,0.37,0.41,0.37,0.4
CTSH,1998-08-19,0.4,0.41,0.39,0.39
CTSH,1998-08-20,0.4,0.4,0.38,0.38
CTSH,1998-08-21,0.37,0.38,0.34,0.38
CTSH,1998-08-24,0.39,0.39,0.36,0.37
CTSH,1998-08-25,0.39,0.4,0.38,0.39
CTSH,1998-08-26,0.38,0.38,0.36,0.37
CTSH,1998-08-27,0.35,0.36,0.32,0.33
CTSH,1998-08-28,0.33,0.34,0.31,0.32
CTSH,1998-08-31,0.33,0.33,0.25,0.25
CTSH,1998-09-01,0.26,0.33,0.24,0.31
CTSH,1998-09-02,0.32,0.35,0.3,0.31
CTSH,1998-09-03,0.27,0.3,0.27,0.3
CTSH,1998-09-04,0.3,0.32,0.29,0.3
CTSH,1998-09-08,0.32,0.35,0.3,0.34
CTSH,1998-09-09,0.33,0.34,0.31,0.33
CTSH,1998-09-10,0.31,0.32,0.31,0.32
CTSH,1998-09-11,0.33,0.33,0.31,0.32
CTSH,1998-09-14,0.33,0.34,0.32,0.33
CTSH,1998-09-15,0.33,0.33,0.32,0.32
