ticker,date,open,high,low,close
DBGI,2021-05-14,414.0,417.0,280.0,340.0
DBGI,2021-05-17,428.0,510.0,365.0,405.0
DBGI,2021-05-18,361.2,376.0,321.0,337.0
DBGI,2021-05-19,318.0,331.0,303.0,316.0
DBGI,2021-05-20,310.0,318.1,300.0,303.0
DBGI,2021-05-21,303.0,310.0,301.0,305.0
DBGI,2021-05-24,318.0,357.0,301.0,312.0
DBGI,2021-05-25,309.0,318.0,297.0,310.0
DBGI,2021-05-26,310.0,335.0,304.0,308.0
DBGI,2021-05-27,304.0,315.5,300.0,305.0
DBGI,2021-05-28,301.0,304.0,291.0,296.0
DBGI,2021-06-01,296.0,296.0,286.2,293.0
DBGI,2021-06-02,289.0,303.0,288.0,295.0
DBGI,2021-06-03,295.0,312.0,289.0,297.0
DBGI,2021-06-04,295.0,306.0,290.0,299.0
DBGI,2021-06-07,307.0,327.0,306.0,318.0
DBGI,2021-06-08,321.0,322.0,302.0,308.0
DBGI,2021-06-09,305.0,319.0,296.0,315.0
DBGI,2021-06-10,323.0,446.0,320.0,401.0
DBGI,2021-06-11,344.0,365.0,332.0,344.0
DBGI,2021-06-14,343.0,358.0,331.0,351.0
DBGI,2021-06-15,335.0,394.0,316.0,326.0
DBGI,2021-06-16,322.0,359.0,321.0,338.0
DBGI,2021-06-17,331.0,344.0,323.0,333.0
DBGI,2021-06-18,326.0,353.0,326.0,336.0
DBGI,2021-06-21,337.0,362.0,330.0,355.0
DBGI,2021-06-22,350.0,425.0,332.0,422.0
DBGI,2021-06-23,391.0,409.0,355.0,409.0
DBGI,2021-06-24,428.1,747.0,422.0,536.0
DBGI,2021-06-25,514.0,584.0,480.0,549.0
DBGI,2021-06-28,460.0,560.0,450.0,549.0
DBGI,2021-06-29,648.0,750.0,525.0,578.0
DBGI,2021-06-30,534.0,593.0,521.0,580.0
DBGI,2021-07-01,565.0,587.0,535.0,574.0
DBGI,2021-07-02,554.0,561.0,471.1,496.0
DBGI,2021-07-06,486.0,499.0,435.0,450.0
DBGI,2021-07-07,450.0,565.0,429.0,527.0
DBGI,2021-07-08,765.0,880.0,575.0,597.0
DBGI,2021-07-09,565.0,580.0,505.0,507.0
DBGI,2021-07-12,489.0,539.0,481.0,504.0
DBGI,2021-07-13,491.0,677.0,474.0,560.0
DBGI,2021-07-14,510.0,548.0,461.0,515.0
DBGI,2021-07-15,495.0,575.0,469.0,502.0
DBGI,2021-07-16,509.0,530.0,489.0,505.0
DBGI,2021-07-19,480.7,529.0,479.0,521.0
DBGI,2021-07-20,524.0,554.0,501.0,537.0
DBGI,2021-07-21,537.0,546.0,494.0,505.0
DBGI,2021-07-22,510.0,585.0,502.0,527.0
DBGI,2021-07-23,520.0,539.0,508.0,526.0
DBGI,2021-07-26,511.0,577.0,511.0,519.0
DBGI,2021-07-27,525.0,527.5,491.0,505.0
DBGI,2021-07-28,500.0,503.0,465.0,478.0
DBGI,2021-07-29,482.0,525.0,460.0,517.0
DBGI,2021-07-30,520.0,539.0,483.0,490.0
DBGI,2021-08-02,490.0,490.0,447.0,454.0
DBGI,2021-08-03,453.0,470.0,421.0,435.0
DBGI,2021-08-04,427.0,438.0,405.0,420.0
DBGI,2021-08-05,415.0,444.0,415.0,422.0
DBGI,2021-08-06,419.0,430.0,408.0,421.0
DBGI,2021-08-09,413.0,428.0,412.0,414.0
DBGI,2021-08-10,420.0,449.0,408.0,428.0
DBGI,2021-08-11,450.0,484.0,431.0,480.5
DBGI,2021-08-12,389.0,399.0,350.0,376.0
DBGI,2021-08-13,367.0,367.6,306.0,310.0
DBGI,2021-08-16,307.0,319.0,284.0,285.0
DBGI,2021-08-17,286.0,287.0,260.9,265.0
DBGI,2021-08-18,265.0,285.0,256.0,273.0
DBGI,2021-08-19,269.0,274.0,266.0,268.0
DBGI,2021-08-20,266.0,296.0,266.0,289.0
DBGI,2021-08-23,287.0,289.0,270.0,272.0
DBGI,2021-08-24,274.0,292.0,274.0,290.0
DBGI,2021-08-25,286.0,297.6,282.0,287.0
DBGI,2021-08-26,285.0,288.0,273.0,277.0
DBGI,2021-08-27,275.0,299.0,275.0,291.0
DBGI,2021-08-30,295.0,321.0,284.0,309.0
DBGI,2021-08-31,313.0,324.0,302.0,311.0
DBGI,2021-09-01,316.0,317.0,296.0,303.0
DBGI,2021-09-02,301.0,306.9,286.0,290.0
DBGI,2021-09-03,291.0,295.0,268.0,283.0
DBGI,2021-09-07,281.0,293.0,277.0,290.0
DBGI,2021-09-08,286.0,289.0,275.0,283.0
DBGI,2021-09-09,281.0,289.0,274.0,281.0
DBGI,2021-09-10,281.0,287.0,275.0,281.0
DBGI,2021-09-13,278.0,279.1,268.0,271.0
DBGI,2021-09-14,270.0,279.0,267.0,274.0
DBGI,2021-09-15,277.9,277.9,262.0,262.0
DBGI,2021-09-16,266.0,282.3,263.0,272.0
DBGI,2021-09-17,270.0,273.9,264.0,267.0
DBGI,2021-09-20,255.0,259.0,232.0,236.0
DBGI,2021-09-21,248.0,249.0,238.0,242.0
DBGI,2021-09-22,242.0,259.0,235.0,243.0
DBGI,2021-09-23,290.0,309.0,260.0,281.0
DBGI,2021-09-24,260.0,285.0,251.0,275.0
DBGI,2021-09-27,275.0,302.0,272.0,295.0
DBGI,2021-09-28,478.0,487.0,341.0,352.0
DBGI,2021-09-29,321.0,339.0,303.0,325.0
DBGI,2021-09-30,316.0,320.0,296.0,304.0
DBGI,2021-10-01,302.0,312.0,285.0,289.0
DBGI,2021-10-04,285.0,286.0,266.0,267.0
DBGI,2021-10-05,270.0,280.0,267.0,268.0
DBGI,2021-10-06,255.0,279.0,255.0,276.0
DBGI,2021-10-07,269.0,316.0,267.0,272.0
DBGI,2021-10-08,268.0,277.5,266.0,275.0
DBGI,2021-10-11,274.0,289.0,269.0,289.0
DBGI,2021-10-12,283.0,289.0,278.5,286.0
DBGI,2021-10-13,286.0,288.0,271.0,277.0
DBGI,2021-10-14,276.0,308.4,276.0,293.0
DBGI,2021-10-15,293.0,301.0,284.0,288.0
DBGI,2021-10-18,289.0,336.0,285.2,314.0
DBGI,2021-10-19,338.0,380.0,318.0,324.0
DBGI,2021-10-20,322.0,328.0,300.0,311.0
DBGI,2021-10-21,323.0,330.0,304.0,310.0
DBGI,2021-10-22,294.0,299.0,266.0,277.0
DBGI,2021-10-25,286.0,308.0,278.0,301.0
DBGI,2021-10-26,305.0,335.0,288.0,328.0
DBGI,2021-10-27,320.0,320.0,291.0,303.0
DBGI,2021-10-28,533.0,664.0,360.0,380.0
DBGI,2021-10-29,344.8,419.0,333.0,415.0
DBGI,2021-11-01,390.0,405.0,368.0,382.0
DBGI,2021-11-02,370.7,374.0,345.0,353.0
DBGI,2021-11-03,346.0,440.0,346.0,414.0
DBGI,2021-11-04,450.0,487.0,374.0,385.0
DBGI,2021-11-05,361.0,376.0,350.0,366.0
DBGI,2021-11-08,357.0,370.0,353.0,356.0
DBGI,2021-11-09,353.0,371.0,342.0,362.0
DBGI,2021-11-10,366.0,420.0,357.0,399.0
DBGI,2021-11-11,385.0,405.0,373.9,392.0
DBGI,2021-11-12,415.0,416.0,356.0,362.0
DBGI,2021-11-15,356.9,365.0,342.0,351.0
DBGI,2021-11-16,347.0,347.0,325.0,329.0
DBGI,2021-11-17,326.0,336.0,316.0,318.0
DBGI,2021-11-18,316.0,329.0,312.0,322.0
DBGI,2021-11-19,332.0,337.0,323.0,332.0
DBGI,2021-11-22,338.0,338.0,296.0,317.0
