ticker,date,open,high,low,close
DCFC,2021-04-01,10.0,10.1,9.6,9.62
DCFC,2021-04-05,10.1,10.1,9.72,9.78
DCFC,2021-04-06,9.85,9.85,9.715,9.817
DCFC,2021-04-07,9.88,9.91,9.764,9.84
DCFC,2021-04-08,9.925,9.95,9.83,9.92
DCFC,2021-04-09,9.91,9.98,9.9,9.92
DCFC,2021-04-12,9.955,9.955,9.9,9.91
DCFC,2021-04-13,9.85,9.91,9.85,9.9
DCFC,2021-04-14,9.86,9.88,9.85,9.86
DCFC,2021-04-15,9.897,9.915,9.81,9.83
DCFC,2021-04-16,9.82,9.89,9.8,9.83
DCFC,2021-04-19,9.82,9.84,9.71,9.84
DCFC,2021-04-20,9.79,9.827,9.75,9.77
DCFC,2021-04-21,9.75,9.81,9.72,9.8
DCFC,2021-04-22,9.77,9.8,9.73,9.77
DCFC,2021-04-23,9.79,9.82,9.77,9.79
DCFC,2021-04-26,9.809,9.809,9.76,9.76
DCFC,2021-04-27,9.785,9.787,9.75,9.77
DCFC,2021-04-28,9.77,9.79,9.76,9.77
DCFC,2021-04-29,9.77,9.83,9.77,9.83
DCFC,2021-04-30,9.8,9.85,9.77,9.82
DCFC,2021-05-03,9.8,9.86,9.77,9.84
DCFC,2021-05-04,9.86,9.86,9.79,9.81
DCFC,2021-05-05,9.8,9.84,9.79,9.82
DCFC,2021-05-06,9.8,9.8,9.78,9.8
DCFC,2021-05-07,9.79,9.8,9.77,9.77
DCFC,2021-05-10,9.77,9.791,9.76,9.77
DCFC,2021-05-11,9.75,9.75,9.7,9.72
DCFC,2021-05-12,9.75,9.76,9.72,9.76
DCFC,2021-05-13,9.757,9.76,9.73,9.73
DCFC,2021-05-14,9.722,9.73,9.65,9.69
DCFC,2021-05-17,9.65,9.675,9.65,9.67
DCFC,2021-05-18,9.73,9.73,9.65,9.68
DCFC,2021-05-19,9.7,9.71,9.66,9.66
DCFC,2021-05-20,9.7,9.7,9.66,9.66
DCFC,2021-05-21,9.71,9.72,9.67,9.68
DCFC,2021-05-24,9.68,9.68,9.66,9.67
DCFC,2021-05-25,9.69,9.69,9.66,9.66
DCFC,2021-05-26,9.867,9.88,9.79,9.79
DCFC,2021-05-27,9.85,9.85,9.8,9.82
DCFC,2021-05-28,9.82,9.83,9.81,9.82
DCFC,2021-06-01,9.83,9.84,9.81,9.83
DCFC,2021-06-02,9.82,9.86,9.81,9.81
DCFC,2021-06-03,9.84,9.85,9.82,9.84
DCFC,2021-06-04,9.84,9.86,9.8,9.82
DCFC,2021-06-07,9.82,9.86,9.82,9.85
DCFC,2021-06-08,9.86,9.902,9.85,9.86
DCFC,2021-06-09,9.9,9.92,9.87,9.91
DCFC,2021-06-10,9.91,9.92,9.869,9.9
DCFC,2021-06-11,9.95,9.95,9.87,9.87
DCFC,2021-06-14,9.86,9.88,9.85,9.85
DCFC,2021-06-15,9.85,9.88,9.85,9.87
DCFC,2021-06-16,9.87,9.9,9.87,9.89
DCFC,2021-06-17,9.89,9.9,9.87,9.89
DCFC,2021-06-18,9.89,9.91,9.86,9.87
DCFC,2021-06-21,9.86,9.87,9.85,9.85
DCFC,2021-06-22,9.86,9.89,9.85,9.86
DCFC,2021-06-23,9.88,9.89,9.855,9.86
DCFC,2021-06-24,9.86,9.92,9.86,9.87
DCFC,2021-06-25,9.87,9.92,9.87,9.88
DCFC,2021-06-28,9.9,9.9,9.87,9.87
DCFC,2021-06-29,9.89,9.98,9.86,9.91
DCFC,2021-06-30,9.94,9.94,9.86,9.87
DCFC,2021-07-01,9.88,9.91,9.87,9.89
DCFC,2021-07-02,9.91,9.95,9.9,9.91
DCFC,2021-07-06,9.95,9.95,9.88,9.88
DCFC,2021-07-07,9.9,9.9,9.87,9.87
DCFC,2021-07-08,9.87,9.89,9.87,9.87
DCFC,2021-07-09,9.89,9.89,9.87,9.87
DCFC,2021-07-12,9.87,9.88,9.85,9.85
DCFC,2021-07-13,9.87,9.89,9.86,9.88
DCFC,2021-07-14,9.9,9.9,9.85,9.85
DCFC,2021-07-15,9.87,9.88,9.85,9.86
DCFC,2021-07-16,9.88,9.88,9.86,9.86
DCFC,2021-07-19,9.85,9.88,9.85,9.86
DCFC,2021-07-20,9.85,9.88,9.85,9.86
DCFC,2021-07-21,9.85,9.87,9.85,9.87
DCFC,2021-07-22,9.87,9.87,9.86,9.86
DCFC,2021-07-23,9.86,9.87,9.86,9.86
DCFC,2021-07-26,9.85,9.87,9.85,9.86
DCFC,2021-07-27,9.88,9.89,9.86,9.865
DCFC,2021-07-28,9.88,9.89,9.86,9.86
DCFC,2021-07-29,9.9,9.9,9.86,9.88
DCFC,2021-07-30,9.85,9.88,9.85,9.86
DCFC,2021-08-02,9.9,9.9,9.85,9.85
DCFC,2021-08-03,9.88,9.95,9.87,9.925
DCFC,2021-08-04,9.91,9.95,9.85,9.85
DCFC,2021-08-05,9.9,9.918,9.87,9.87
DCFC,2021-08-06,9.9,9.91,9.9,9.91
DCFC,2021-08-09,9.93,9.93,9.84,9.86
DCFC,2021-08-10,9.88,9.89,9.83,9.85
DCFC,2021-08-11,9.87,9.9,9.85,9.89
DCFC,2021-08-12,9.88,9.905,9.84,9.87
DCFC,2021-08-13,9.87,9.88,9.85,9.88
DCFC,2021-08-16,9.89,9.899,9.85,9.88
DCFC,2021-08-17,9.85,9.87,9.85,9.86
DCFC,2021-08-18,9.86,9.9,9.85,9.88
DCFC,2021-08-19,9.88,9.88,9.85,9.86
DCFC,2021-08-20,9.88,9.88,9.84,9.86
DCFC,2021-08-23,9.88,9.88,9.85,9.87
DCFC,2021-08-24,9.88,9.88,9.82,9.84
DCFC,2021-08-25,9.84,9.87,9.82,9.84
DCFC,2021-08-26,9.82,9.86,9.82,9.86
DCFC,2021-08-27,9.87,9.87,9.82,9.85
DCFC,2021-08-30,9.86,9.879,9.84,9.85
DCFC,2021-08-31,9.87,9.87,9.85,9.86
DCFC,2021-09-01,9.87,9.87,9.85,9.86
DCFC,2021-09-02,9.88,9.88,9.85,9.85
DCFC,2021-09-03,9.85,9.92,9.848,9.87
DCFC,2021-09-07,9.86,9.93,9.86,9.88
DCFC,2021-09-08,9.89,9.9,9.88,9.89
DCFC,2021-09-09,9.89,9.9,9.88,9.9
DCFC,2021-09-10,9.93,9.93,9.875,9.9
DCFC,2021-09-13,9.9,9.92,9.88,9.9
