ticker,date,open,high,low,close
DEN,2020-09-21,21.0,21.0,15.43,18.1
DEN,2020-09-22,19.19,20.04,18.27,19.85
DEN,2020-09-23,19.5,19.81,18.5,19.27
DEN,2020-09-24,19.61,19.61,18.61,18.89
DEN,2020-09-25,18.88,19.0,18.37,18.74
DEN,2020-09-28,18.79,19.0,18.0,18.5
DEN,2020-09-29,19.23,19.23,18.29,18.35
DEN,2020-09-30,18.13,18.5,17.37,17.6
DEN,2020-10-01,17.6,18.25,16.52,16.82
DEN,2020-10-02,16.5,17.23,16.25,16.8
DEN,2020-10-05,16.73,17.5,16.52,17.27
DEN,2020-10-06,17.27,17.8,16.75,16.99
DEN,2020-10-07,16.95,17.42,16.79,16.97
DEN,2020-10-08,16.85,17.67,16.63,17.08
DEN,2020-10-09,17.08,17.25,16.91,17.06
DEN,2020-10-12,16.98,17.0,16.62,16.89
DEN,2020-10-13,16.89,18.08,16.86,17.5
DEN,2020-10-14,17.14,17.57,17.0,17.25
DEN,2020-10-15,17.2,17.26,16.77,17.05
DEN,2020-10-16,17.07,17.43,16.82,16.85
DEN,2020-10-19,16.92,17.37,16.8,16.8
DEN,2020-10-20,16.71,17.45,16.71,16.89
DEN,2020-10-21,17.01,17.31,16.52,16.99
DEN,2020-10-22,16.91,17.43,16.88,16.97
DEN,2020-10-23,16.82,17.24,16.82,16.95
DEN,2020-10-26,16.92,17.25,16.68,16.93
DEN,2020-10-27,16.83,17.0,16.75,17.0
DEN,2020-10-28,16.93,16.93,16.29,16.47
DEN,2020-10-29,16.47,17.09,15.96,16.75
DEN,2020-10-30,16.59,17.06,16.29,16.59
DEN,2020-11-02,16.55,16.77,16.15,16.41
DEN,2020-11-03,16.4,16.99,16.2,16.57
DEN,2020-11-04,16.57,17.1,16.29,16.75
DEN,2020-11-05,16.8,17.75,16.8,16.9
DEN,2020-11-06,17.06,17.42,16.64,16.73
DEN,2020-11-09,17.5,20.2,17.12,17.67
DEN,2020-11-10,17.6,18.84,17.59,18.22
DEN,2020-11-11,18.2,18.86,17.8,17.9
DEN,2020-11-12,17.8,18.25,17.8,17.94
DEN,2020-11-13,18.08,18.37,17.8,17.92
DEN,2020-11-16,18.01,18.55,17.88,18.5
DEN,2020-11-17,18.55,18.62,17.25,18.2
DEN,2020-11-18,18.36,19.15,18.05,18.71
DEN,2020-11-19,18.7,19.43,18.35,18.89
DEN,2020-11-20,19.13,19.71,18.81,19.32
DEN,2020-11-23,19.57,20.2,19.22,19.79
DEN,2020-11-24,20.13,20.85,19.88,20.25
DEN,2020-11-25,20.51,21.2,19.99,20.83
DEN,2020-11-27,21.0,22.42,20.97,22.42
DEN,2020-11-30,22.52,23.49,21.86,22.46
DEN,2020-12-01,23.31,24.19,22.51,23.5
DEN,2020-12-02,23.38,24.91,23.12,23.7
DEN,2020-12-03,23.95,24.39,23.78,24.16
DEN,2020-12-04,24.25,25.34,23.45,24.67
DEN,2020-12-07,24.31,27.02,24.25,25.22
DEN,2020-12-08,25.24,25.45,24.58,24.99
DEN,2020-12-09,24.84,25.51,24.03,24.52
DEN,2020-12-10,24.51,26.07,24.01,25.5
DEN,2020-12-11,24.7,26.19,24.7,25.91
DEN,2020-12-14,26.69,26.69,25.76,26.18
DEN,2020-12-15,26.71,26.71,25.14,26.11
DEN,2020-12-16,26.15,27.33,25.8,26.41
DEN,2020-12-17,26.66,26.98,26.44,26.81
DEN,2020-12-18,26.71,26.91,25.41,25.58
DEN,2020-12-21,25.22,26.02,24.57,24.85
DEN,2020-12-22,24.77,25.05,24.08,24.17
DEN,2020-12-23,24.4,25.92,24.01,25.8
DEN,2020-12-24,25.86,25.86,24.73,24.99
DEN,2020-12-28,25.06,25.64,24.52,24.99
DEN,2020-12-29,25.19,25.28,24.57,25.18
DEN,2020-12-30,25.0,25.69,24.67,25.26
DEN,2020-12-31,25.26,26.08,24.86,25.69
DEN,2021-01-04,25.65,27.2,25.65,26.81
DEN,2021-01-05,27.16,28.3,26.84,27.66
DEN,2021-01-06,27.76,30.0,27.45,29.3
DEN,2021-01-07,29.29,29.99,28.48,28.78
DEN,2021-01-08,27.52,28.3,26.14,27.99
DEN,2021-01-11,27.86,28.28,26.95,28.0
DEN,2021-01-12,27.97,28.55,27.14,27.98
DEN,2021-01-13,28.06,28.06,26.74,27.28
DEN,2021-01-14,27.34,28.86,27.31,28.67
DEN,2021-01-15,28.17,28.65,27.14,27.9
DEN,2021-01-19,28.23,28.6,27.51,27.76
DEN,2021-01-20,28.17,29.39,28.0,28.7
DEN,2021-01-21,28.63,30.07,27.52,29.18
DEN,2021-01-22,28.71,31.49,28.02,31.15
DEN,2021-01-25,31.34,32.95,30.4,32.5
DEN,2021-01-26,32.5,33.4,30.51,30.62
DEN,2021-01-27,30.09,30.68,28.03,28.6
DEN,2021-01-28,28.09,28.92,27.61,28.86
DEN,2021-01-29,28.99,30.39,28.56,28.61
DEN,2021-02-01,28.7,30.81,28.7,30.08
DEN,2021-02-02,30.68,31.29,30.06,31.0
DEN,2021-02-03,31.28,33.04,30.92,32.25
DEN,2021-02-04,32.65,32.87,31.83,32.62
DEN,2021-02-05,33.04,33.94,32.54,33.06
DEN,2021-02-08,33.01,34.13,33.0,33.6
DEN,2021-02-09,33.53,34.2,33.1,33.91
DEN,2021-02-10,34.25,35.97,33.93,35.11
DEN,2021-02-11,35.0,36.51,34.31,36.24
DEN,2021-02-12,36.08,38.32,35.55,37.77
DEN,2021-02-16,38.33,38.76,37.25,37.92
DEN,2021-02-17,37.86,39.17,37.58,38.76
DEN,2021-02-18,38.7,38.9,37.0,38.19
DEN,2021-02-19,38.22,39.04,38.22,39.01
DEN,2021-02-22,39.19,40.57,39.08,40.02
DEN,2021-02-23,39.71,42.0,37.09,41.57
DEN,2021-02-24,41.66,44.61,41.66,43.62
DEN,2021-02-25,43.83,45.1,42.41,43.43
DEN,2021-02-26,43.73,43.99,41.41,42.75
DEN,2021-03-01,43.19,44.2,41.66,42.14
DEN,2021-03-02,42.21,43.62,41.6,43.09
DEN,2021-03-03,43.76,46.26,43.22,44.14
DEN,2021-03-04,44.51,45.29,43.31,44.28
DEN,2021-03-05,45.39,46.13,41.8,43.15
DEN,2021-03-08,42.91,43.11,38.03,39.5
DEN,2021-03-09,39.31,42.84,38.05,41.0
DEN,2021-03-10,40.68,42.62,40.35,42.47
DEN,2021-03-11,43.26,43.39,41.3,42.73
DEN,2021-03-12,42.57,44.27,41.66,43.63
DEN,2021-03-15,44.05,44.53,42.6,43.13
DEN,2021-03-16,42.5,42.93,40.21,41.3
DEN,2021-03-17,40.79,43.4,40.63,41.87
DEN,2021-03-18,41.55,42.52,38.69,39.2
DEN,2021-03-19,39.21,41.9,39.21,41.6
DEN,2021-03-22,41.14,43.65,40.11,43.27
DEN,2021-03-23,42.1,43.47,41.22,41.26
DEN,2021-03-24,42.02,44.08,41.57,43.36
DEN,2021-03-25,43.07,43.89,41.05,43.58
DEN,2021-03-26,44.5,47.83,44.5,45.42
DEN,2021-03-29,45.55,46.49,44.19,45.3
DEN,2021-03-30,45.1,46.89,44.73,46.12
DEN,2021-03-31,46.3,48.42,46.0,47.89
