ticker,date,open,high,low,close
DTM,2021-07-01,38.65,42.5,38.6,42.02
DTM,2021-07-02,41.7,46.97,41.65,43.73
DTM,2021-07-06,42.7,44.42,42.33,44.08
DTM,2021-07-07,42.34,43.23,39.52,39.76
DTM,2021-07-08,39.0,40.28,38.46,39.7
DTM,2021-07-09,39.78,40.88,39.13,40.18
DTM,2021-07-12,39.9,41.3,39.66,41.01
DTM,2021-07-13,40.7,41.98,40.59,40.83
DTM,2021-07-14,41.48,41.88,40.44,41.57
DTM,2021-07-15,41.27,42.17,41.0,41.97
DTM,2021-07-16,41.98,42.5,40.68,41.08
DTM,2021-07-19,40.25,40.9,40.05,40.62
DTM,2021-07-20,40.5,41.95,40.25,41.16
DTM,2021-07-21,41.4,42.93,41.25,41.87
DTM,2021-07-22,41.85,42.06,40.82,41.17
DTM,2021-07-23,40.75,41.01,40.05,40.85
DTM,2021-07-26,40.74,41.64,40.59,41.12
DTM,2021-07-27,40.84,42.22,40.5,41.95
DTM,2021-07-28,42.68,43.24,41.62,42.32
DTM,2021-07-29,42.81,43.4,42.44,43.33
DTM,2021-07-30,42.83,43.48,42.27,42.4
DTM,2021-08-02,42.12,44.0,42.12,43.22
DTM,2021-08-03,42.68,44.05,42.0,43.75
DTM,2021-08-04,43.27,44.61,43.26,43.96
DTM,2021-08-05,44.12,44.9,43.74,44.64
DTM,2021-08-06,44.62,45.19,43.88,44.26
DTM,2021-08-09,44.18,44.37,43.19,43.97
DTM,2021-08-10,44.07,44.3,42.84,42.9
DTM,2021-08-11,42.78,43.09,42.32,42.7
DTM,2021-08-12,43.03,43.5,42.47,42.89
DTM,2021-08-13,42.77,43.31,42.32,42.35
DTM,2021-08-16,42.0,42.31,41.51,42.08
DTM,2021-08-17,41.85,42.43,41.5,42.04
DTM,2021-08-18,41.98,42.38,41.3,41.33
DTM,2021-08-19,41.0,42.45,40.63,42.13
DTM,2021-08-20,42.11,43.67,42.01,42.53
DTM,2021-08-23,42.62,43.49,42.62,43.4
DTM,2021-08-24,44.0,44.54,43.74,44.35
DTM,2021-08-25,44.09,45.95,44.03,45.52
DTM,2021-08-26,45.27,45.85,44.9,45.27
DTM,2021-08-27,45.99,47.72,45.62,47.16
DTM,2021-08-30,47.06,47.63,46.66,46.7
DTM,2021-08-31,46.88,47.43,46.27,46.47
DTM,2021-09-01,46.31,46.99,45.72,46.79
DTM,2021-09-02,46.98,47.64,46.06,46.55
DTM,2021-09-03,46.45,46.6,45.69,45.97
DTM,2021-09-07,45.93,46.28,45.58,45.69
DTM,2021-09-08,45.55,46.18,45.3,45.95
DTM,2021-09-09,45.81,46.58,45.41,46.34
DTM,2021-09-10,46.77,47.17,46.5,46.67
DTM,2021-09-13,47.48,48.06,47.19,47.7
DTM,2021-09-14,48.23,48.23,46.79,47.22
DTM,2021-09-15,47.25,48.65,47.25,48.03
DTM,2021-09-16,47.91,48.14,47.09,47.12
DTM,2021-09-17,46.15,46.67,44.56,44.86
DTM,2021-09-20,43.68,45.27,43.68,44.33
DTM,2021-09-21,44.7,45.05,43.85,43.92
DTM,2021-09-22,44.25,44.87,43.63,43.99
DTM,2021-09-23,44.24,45.1,43.95,44.8
DTM,2021-09-24,44.65,45.87,44.5,45.25
DTM,2021-09-27,45.76,46.95,45.76,46.2
DTM,2021-09-28,46.5,46.9,45.64,45.73
DTM,2021-09-29,45.86,46.28,44.68,45.9
DTM,2021-09-30,46.05,46.38,45.8,46.24
DTM,2021-10-01,46.51,47.45,46.38,47.14
DTM,2021-10-04,47.22,48.21,46.93,47.47
DTM,2021-10-05,47.69,48.34,47.04,47.8
DTM,2021-10-06,47.32,47.65,46.65,47.42
DTM,2021-10-07,48.11,49.82,48.11,49.02
DTM,2021-10-08,49.14,49.57,48.32,48.61
DTM,2021-10-11,48.91,49.58,48.48,48.8
DTM,2021-10-12,48.63,49.48,48.52,48.95
DTM,2021-10-13,48.76,49.29,48.24,49.04
DTM,2021-10-14,49.58,49.77,49.05,49.59
DTM,2021-10-15,49.83,50.3,49.45,49.92
DTM,2021-10-18,50.04,50.18,49.24,49.39
DTM,2021-10-19,49.85,50.07,49.12,49.67
DTM,2021-10-20,49.38,50.48,49.27,50.23
DTM,2021-10-21,49.86,50.52,49.57,49.69
DTM,2021-10-22,49.72,50.15,49.19,49.68
DTM,2021-10-25,49.88,50.41,49.15,49.43
DTM,2021-10-26,49.48,50.09,48.27,48.57
DTM,2021-10-27,48.45,48.64,47.58,47.85
DTM,2021-10-28,47.76,48.38,47.51,48.25
DTM,2021-10-29,48.06,48.26,47.08,47.96
DTM,2021-11-01,48.44,48.72,47.45,48.32
DTM,2021-11-02,48.36,48.97,47.81,48.05
DTM,2021-11-03,47.81,48.27,47.45,47.83
DTM,2021-11-04,47.85,48.6,46.68,47.68
DTM,2021-11-05,48.27,48.79,47.82,48.74
DTM,2021-11-08,48.63,49.5,47.75,49.05
DTM,2021-11-09,48.99,49.5,48.43,49.05
DTM,2021-11-10,49.08,49.47,47.52,48.39
DTM,2021-11-11,48.62,49.3,48.31,48.82
DTM,2021-11-12,48.83,49.72,48.82,49.3
DTM,2021-11-15,49.52,49.6,48.3,49.09
DTM,2021-11-16,49.33,49.33,47.74,47.86
DTM,2021-11-17,47.79,48.08,47.34,48.01
DTM,2021-11-18,48.11,48.7,47.75,48.02
DTM,2021-11-19,47.61,47.86,46.76,47.09
DTM,2021-11-22,47.0,47.15,46.06,46.41
DTM,2021-11-23,46.86,47.63,46.41,47.53
DTM,2021-11-24,47.34,48.34,47.08,48.02
DTM,2021-11-26,46.51,47.94,46.28,47.36
DTM,2021-11-29,48.03,48.07,47.12,47.43
DTM,2021-11-30,47.0,47.37,45.87,45.87
DTM,2021-12-01,46.69,47.51,45.51,45.53
DTM,2021-12-02,45.63,46.57,45.32,46.36
DTM,2021-12-03,46.6,46.89,45.6,46.1
DTM,2021-12-06,46.69,47.56,46.04,47.34
DTM,2021-12-07,47.71,48.04,47.3,47.43
DTM,2021-12-08,47.68,48.08,47.45,47.49
DTM,2021-12-09,47.26,47.43,46.65,46.94
DTM,2021-12-10,47.08,47.38,46.43,47.05
DTM,2021-12-13,47.0,47.51,46.06,46.53
DTM,2021-12-14,46.31,46.89,46.0,46.34
DTM,2021-12-15,46.07,46.3,44.7,45.84
DTM,2021-12-16,46.33,47.71,46.17,46.24
DTM,2021-12-17,45.25,47.26,44.76,47.1
DTM,2021-12-20,46.22,46.25,44.9,46.08
DTM,2021-12-21,46.29,46.99,46.22,46.81
DTM,2021-12-22,46.55,47.12,46.38,47.07
DTM,2021-12-23,47.3,47.64,46.76,47.53
DTM,2021-12-27,47.57,48.05,46.81,48.01
DTM,2021-12-28,48.0,48.5,47.97,48.12
DTM,2021-12-29,47.97,48.12,47.39,47.69
DTM,2021-12-30,47.73,48.31,47.7,47.75
DTM,2021-12-31,47.86,48.59,47.76,47.98
DTM,2022-01-03,47.85,48.75,47.67,48.56
DTM,2022-01-04,48.75,50.03,48.75,49.64
DTM,2022-01-05,49.9,50.19,48.63,48.75
DTM,2022-01-06,49.23,50.11,49.23,49.32
DTM,2022-01-07,48.61,49.63,48.21,49.41
DTM,2022-01-10,49.47,49.97,48.71,49.92
DTM,2022-01-11,50.22,50.7,49.82,50.0
DTM,2022-01-12,50.44,50.5,49.35,49.97
DTM,2022-01-13,50.01,50.41,49.56,49.82
DTM,2022-01-14,49.89,51.08,49.72,51.07
DTM,2022-01-18,51.51,52.31,50.84,51.65
DTM,2022-01-19,51.78,52.17,50.03,50.28
DTM,2022-01-20,50.42,51.01,49.63,49.74
DTM,2022-01-21,49.65,49.9,49.05,49.09
DTM,2022-01-24,48.44,49.39,47.44,49.22
DTM,2022-01-25,48.96,49.84,48.17,49.4
DTM,2022-01-26,49.82,50.94,48.8,49.56
DTM,2022-01-27,50.28,50.48,49.01,50.0
