ticker,date,open,high,low,close
DUO,2019-11-01,195.0,211.2,191.25,195.0
DUO,2019-11-04,201.0,201.0,165.6,195.15
DUO,2019-11-05,194.85,195.75,178.8,195.0
DUO,2019-11-06,194.7,198.75,184.5,195.0
DUO,2019-11-07,194.85,195.15,189.3,195.0
DUO,2019-11-08,195.6,197.1,191.25,195.0
DUO,2019-11-11,192.45,196.5,191.25,193.95
DUO,2019-11-12,194.85,195.15,189.3,195.0
DUO,2019-11-13,193.8,199.5,190.8,195.0
DUO,2019-11-14,190.5,196.5,190.5,195.0
DUO,2019-11-15,195.0,196.5,190.05,195.15
DUO,2019-11-18,191.25,195.15,180.3,195.0
DUO,2019-11-19,191.7,195.75,191.7,195.0
DUO,2019-11-20,192.0,195.0,190.8,194.7
DUO,2019-11-21,192.15,199.5,192.15,197.1
DUO,2019-11-22,195.75,200.445,195.0,195.915
DUO,2019-11-25,195.9,198.15,195.0,196.35
DUO,2019-11-26,195.0,196.65,193.2,196.08
DUO,2019-11-27,192.0,195.75,189.0,190.2
DUO,2019-11-29,184.95,196.05,184.95,192.975
DUO,2019-12-02,185.4,206.1,183.3,197.25
DUO,2019-12-03,190.8,197.25,189.6,192.15
DUO,2019-12-04,190.395,197.25,183.6,196.815
DUO,2019-12-05,191.4,199.2,190.17,192.75
DUO,2019-12-06,192.9,205.83,192.9,202.5
DUO,2019-12-09,200.25,222.75,200.25,217.8
DUO,2019-12-10,217.8,238.695,217.8,238.695
DUO,2019-12-11,236.7,237.0,217.65,237.0
DUO,2019-12-12,236.7,238.8,220.005,226.95
DUO,2019-12-13,227.7,227.7,219.45,219.45
DUO,2019-12-16,219.45,223.5,195.15,195.15
DUO,2019-12-17,213.0,232.8,198.15,232.8
DUO,2019-12-18,211.8,228.6,210.915,212.55
DUO,2019-12-19,212.7,219.96,202.8,205.2
DUO,2019-12-20,214.68,224.85,210.585,222.75
DUO,2019-12-23,221.4,224.85,221.4,223.5
DUO,2019-12-24,212.04,230.7,212.04,230.7
DUO,2019-12-26,229.65,232.8,228.9,231.75
DUO,2019-12-27,218.445,231.75,218.445,231.225
DUO,2019-12-30,218.01,231.0,218.01,231.0
DUO,2019-12-31,232.8,232.8,228.0,232.8
DUO,2020-01-02,224.4,248.19,224.4,246.0
DUO,2020-01-03,245.7,245.7,233.4,233.4
DUO,2020-01-06,230.25,249.0,222.0,249.0
DUO,2020-01-07,247.5,247.5,223.2,228.0
DUO,2020-01-08,232.5,232.5,224.85,225.0
DUO,2020-01-09,232.5,232.5,225.75,225.75
DUO,2020-01-10,225.3,225.3,225.3,225.3
DUO,2020-01-13,215.76,225.45,215.76,222.45
DUO,2020-01-14,225.45,235.2,210.45,218.25
DUO,2020-01-15,215.85,228.0,215.85,228.0
DUO,2020-01-16,241.05,241.05,215.805,229.5
DUO,2020-01-17,232.5,232.5,216.675,223.5
DUO,2020-01-21,216.9,229.35,215.895,228.975
DUO,2020-01-22,228.6,235.2,221.4,226.35
DUO,2020-01-23,230.55,231.0,224.535,224.535
DUO,2020-01-24,224.55,227.49,210.63,219.15
DUO,2020-01-27,218.25,228.855,196.5,196.5
DUO,2020-01-28,206.55,210.75,198.3,201.51
DUO,2020-01-29,201.51,201.51,201.51,201.51
DUO,2020-01-30,200.25,201.0,195.0,201.0
DUO,2020-01-31,197.55,197.7,193.5,197.7
DUO,2020-02-03,199.455,199.455,189.15,189.15
DUO,2020-02-04,195.15,195.735,195.0,195.0
DUO,2020-02-05,194.85,205.485,194.85,195.15
DUO,2020-02-06,195.15,195.15,195.15,195.15
