ticker,date,open,high,low,close
DVN,1985-07-22,0.0,5.62,5.25,5.62
DVN,1985-07-23,0.0,5.81,5.56,5.62
DVN,1985-07-24,0.0,5.56,5.38,5.5
DVN,1985-07-25,0.0,5.56,5.5,5.56
DVN,1985-07-26,0.0,5.56,5.44,5.5
DVN,1985-07-29,0.0,5.5,5.31,5.44
DVN,1985-07-30,0.0,5.44,5.38,5.38
DVN,1985-07-31,0.0,5.38,5.31,5.38
DVN,1985-08-01,0.0,5.38,5.19,5.38
DVN,1985-08-02,0.0,5.31,5.19,5.25
DVN,1985-08-05,0.0,5.25,5.19,5.25
DVN,1985-08-06,0.0,5.25,5.12,5.19
DVN,1985-08-07,5.19,5.19,5.19,5.19
DVN,1985-08-08,0.0,5.19,5.12,5.12
DVN,1985-08-09,0.0,5.19,5.19,5.19
DVN,1985-08-12,0.0,5.06,4.94,5.06
DVN,1985-08-13,0.0,5.12,5.06,5.12
DVN,1985-08-14,0.0,5.06,5.06,5.06
DVN,1985-08-15,0.0,5.0,5.0,5.0
DVN,1985-08-16,0.0,4.94,4.94,4.94
DVN,1985-08-19,0.0,4.88,4.88,4.88
DVN,1985-08-20,0.0,4.94,4.81,4.94
DVN,1985-08-21,0.0,4.88,4.81,4.81
DVN,1985-08-22,0.0,4.88,4.75,4.81
DVN,1985-08-23,0.0,4.88,4.81,4.81
DVN,1985-08-26,4.81,4.81,4.81,4.81
DVN,1985-08-27,0.0,4.75,4.62,4.62
DVN,1985-08-28,0.0,4.69,4.56,4.69
DVN,1985-08-29,0.0,4.88,4.69,4.88
DVN,1985-08-30,0.0,5.0,4.94,5.0
DVN,1985-09-03,0.0,5.06,5.0,5.0
DVN,1985-09-04,0.0,4.94,4.94,4.94
DVN,1985-09-05,0.0,4.94,4.81,4.94
DVN,1985-09-06,0.0,5.0,4.94,5.0
DVN,1985-09-09,0.0,4.94,4.94,4.94
DVN,1985-09-10,0.0,4.94,4.88,4.94
DVN,1985-09-11,0.0,5.0,4.88,4.88
DVN,1985-09-12,0.0,5.0,4.88,4.88
DVN,1985-09-13,0.0,5.0,4.88,4.88
DVN,1985-09-16,0.0,4.81,4.75,4.81
DVN,1985-09-17,0.0,4.88,4.75,4.75
DVN,1985-09-18,0.0,4.69,4.69,4.69
DVN,1985-09-19,0.0,4.69,4.69,4.69
DVN,1985-09-20,0.0,5.0,4.69,5.0
DVN,1985-09-23,0.0,5.06,5.0,5.06
DVN,1985-09-24,0.0,5.0,5.0,5.0
DVN,1985-09-25,0.0,4.88,4.81,4.88
DVN,1985-09-26,0.0,4.81,4.81,4.81
DVN,1985-09-30,0.0,4.75,4.69,4.69
DVN,1985-10-01,0.0,4.75,4.75,4.75
DVN,1985-10-02,0.0,4.75,4.75,4.75
DVN,1985-10-03,0.0,4.81,4.75,4.75
DVN,1985-10-04,4.75,4.75,4.75,4.75
DVN,1985-10-07,0.0,4.75,4.69,4.69
DVN,1985-10-08,0.0,4.81,4.75,4.81
DVN,1985-10-09,0.0,4.94,4.81,4.94
DVN,1985-10-10,0.0,4.81,4.75,4.75
DVN,1985-10-11,0.0,4.75,4.69,4.75
DVN,1985-10-14,0.0,4.94,4.81,4.94
DVN,1985-10-15,0.0,4.88,4.88,4.88
DVN,1985-10-16,0.0,4.94,4.88,4.88
DVN,1985-10-17,0.0,4.81,4.81,4.81
DVN,1985-10-18,0.0,4.75,4.75,4.75
DVN,1985-10-21,4.75,4.75,4.75,4.75
DVN,1985-10-22,0.0,4.75,4.75,4.75
DVN,1985-10-23,0.0,4.88,4.81,4.81
DVN,1985-10-24,0.0,4.94,4.81,4.94
DVN,1985-10-25,0.0,4.88,4.75,4.81
DVN,1985-10-28,0.0,4.88,4.88,4.88
DVN,1985-10-29,0.0,4.88,4.81,4.88
DVN,1985-10-30,0.0,4.94,4.81,4.81
DVN,1985-10-31,4.81,4.81,4.81,4.81
DVN,1985-11-01,0.0,4.75,4.75,4.75
DVN,1985-11-04,0.0,4.75,4.75,4.75
DVN,1985-11-05,4.75,4.75,4.75,4.75
DVN,1985-11-06,0.0,4.81,4.81,4.81
DVN,1985-11-07,0.0,4.75,4.75,4.75
DVN,1985-11-08,0.0,4.69,4.62,4.69
DVN,1985-11-11,4.69,4.69,4.69,4.69
DVN,1985-11-12,0.0,4.81,4.69,4.75
DVN,1985-11-13,0.0,4.75,4.69,4.69
DVN,1985-11-14,0.0,4.69,4.62,4.62
DVN,1985-11-15,0.0,4.56,4.56,4.56
DVN,1985-11-18,0.0,4.5,4.5,4.5
DVN,1985-11-19,4.5,4.5,4.5,4.5
DVN,1985-11-20,0.0,4.5,4.5,4.5
DVN,1985-11-21,0.0,4.56,4.5,4.5
DVN,1985-11-22,0.0,4.62,4.5,4.62
DVN,1985-11-25,0.0,4.5,4.5,4.5
DVN,1985-11-26,0.0,4.5,4.5,4.5
DVN,1985-11-27,0.0,4.5,4.5,4.5
DVN,1985-11-29,0.0,4.5,4.5,4.5
DVN,1985-12-02,0.0,4.5,4.5,4.5
DVN,1985-12-03,0.0,4.5,4.44,4.44
DVN,1985-12-04,0.0,4.44,4.44,4.44
DVN,1985-12-05,0.0,4.5,4.44,4.44
DVN,1985-12-06,0.0,4.44,4.44,4.44
DVN,1985-12-09,0.0,4.44,4.25,4.25
DVN,1985-12-10,0.0,4.38,4.25,4.25
DVN,1985-12-11,0.0,4.19,4.06,4.12
DVN,1985-12-12,0.0,4.12,3.88,3.88
DVN,1985-12-13,0.0,4.06,3.94,4.06
DVN,1985-12-16,0.0,4.19,4.0,4.06
DVN,1985-12-17,0.0,3.94,3.88,3.88
DVN,1985-12-18,0.0,3.94,3.88,3.88
DVN,1985-12-19,0.0,4.0,3.88,4.0
DVN,1985-12-20,0.0,4.0,3.94,4.0
DVN,1985-12-23,0.0,4.06,3.94,4.06
DVN,1985-12-24,0.0,4.06,3.94,4.06
DVN,1985-12-26,0.0,4.06,4.0,4.0
DVN,1985-12-27,0.0,4.06,4.0,4.0
DVN,1985-12-30,0.0,4.0,3.88,4.0
DVN,1985-12-31,0.0,4.0,3.94,3.94
DVN,1986-01-02,0.0,4.06,4.0,4.06
DVN,1986-01-03,0.0,4.06,3.94,3.94
DVN,1986-01-06,0.0,4.0,3.88,3.88
DVN,1986-01-07,0.0,3.94,3.94,3.94
DVN,1986-01-08,0.0,4.0,3.81,3.81
DVN,1986-01-09,0.0,3.94,3.81,3.88
DVN,1986-01-10,0.0,3.94,3.88,3.94
DVN,1986-01-13,0.0,3.88,3.81,3.81
DVN,1986-01-14,0.0,3.88,3.69,3.75
DVN,1986-01-15,0.0,3.75,3.69,3.75
DVN,1986-01-16,0.0,3.75,3.62,3.75
DVN,1986-01-17,0.0,3.88,3.75,3.88
DVN,1986-01-20,0.0,3.94,3.62,3.81
DVN,1986-01-21,0.0,3.81,3.69,3.81
DVN,1986-01-22,0.0,3.81,3.69,3.75
DVN,1986-01-23,0.0,3.69,3.56,3.69
DVN,1986-01-24,0.0,3.75,3.56,3.75
DVN,1986-01-27,0.0,3.75,3.56,3.62
DVN,1986-01-28,0.0,3.75,3.69,3.75
DVN,1986-01-29,0.0,3.75,3.56,3.56
DVN,1986-01-30,0.0,3.69,3.62,3.69
DVN,1986-01-31,0.0,3.75,3.56,3.75
DVN,1986-02-03,0.0,3.81,3.75,3.81
DVN,1986-02-04,0.0,3.69,3.44,3.5
DVN,1986-02-05,0.0,3.69,3.5,3.62
DVN,1986-02-06,0.0,3.75,3.69,3.75
DVN,1986-02-07,0.0,3.81,3.56,3.62
DVN,1986-02-10,0.0,3.56,3.44,3.56
DVN,1986-02-11,0.0,3.69,3.56,3.56
DVN,1986-02-12,0.0,3.62,3.56,3.56
DVN,1986-02-13,0.0,3.69,3.56,3.62
DVN,1986-02-14,0.0,3.75,3.62,3.75
DVN,1986-02-18,0.0,3.69,3.56,3.56
DVN,1986-02-19,0.0,3.62,3.5,3.62
DVN,1986-02-20,0.0,3.62,3.44,3.5
DVN,1986-02-21,0.0,3.5,3.19,3.5
DVN,1986-02-24,0.0,3.5,3.25,3.44
DVN,1986-02-25,0.0,3.44,3.31,3.38
DVN,1986-02-26,0.0,3.44,3.31,3.38
DVN,1986-02-27,0.0,3.38,3.25,3.25
DVN,1986-02-28,0.0,3.44,3.19,3.25
DVN,1986-03-03,0.0,3.31,3.19,3.25
DVN,1986-03-04,0.0,3.5,3.31,3.44
DVN,1986-03-05,0.0,3.5,3.38,3.38
DVN,1986-03-06,0.0,3.44,3.25,3.44
DVN,1986-03-07,0.0,3.56,3.31,3.5
DVN,1986-03-10,0.0,3.5,3.38,3.38
DVN,1986-03-11,0.0,3.44,3.31,3.31
DVN,1986-03-12,0.0,3.44,3.31,3.44
DVN,1986-03-13,0.0,3.62,3.44,3.62
DVN,1986-03-14,0.0,3.62,3.5,3.56
DVN,1986-03-17,0.0,3.56,3.5,3.56
DVN,1986-03-18,0.0,3.88,3.56,3.81
DVN,1986-03-19,0.0,4.0,3.88,4.0
DVN,1986-03-20,0.0,4.19,3.94,4.0
DVN,1986-03-21,0.0,3.94,3.81,3.94
DVN,1986-03-24,0.0,3.94,3.81,3.81
DVN,1986-03-25,0.0,3.88,3.81,3.88
DVN,1986-03-26,0.0,3.88,3.75,3.75
DVN,1986-03-27,0.0,3.88,3.75,3.88
DVN,1986-03-31,0.0,3.94,3.75,3.75
DVN,1986-04-01,0.0,3.75,3.62,3.75
DVN,1986-04-02,0.0,3.81,3.75,3.81
DVN,1986-04-03,0.0,3.94,3.75,3.88
