ticker,date,open,high,low,close
EBTC,2005-02-14,18.5,25.2,18.5,20.5
EBTC,2005-02-15,21.25,22.0,20.0,20.0
EBTC,2005-02-16,21.0,21.0,21.0,21.0
EBTC,2005-02-17,20.5,21.5,19.75,20.0
EBTC,2005-02-18,20.0,20.06,19.5,19.5
EBTC,2005-02-22,19.38,19.5,19.25,19.25
EBTC,2005-02-23,19.0,19.0,18.0,18.25
EBTC,2005-02-24,18.25,18.25,17.25,17.27
EBTC,2005-02-25,17.25,17.25,16.6,16.6
EBTC,2005-02-28,16.5,16.5,16.12,16.49
EBTC,2005-03-01,16.45,16.5,15.8,16.45
EBTC,2005-03-02,16.45,16.45,15.4,15.5
EBTC,2005-03-03,15.7,15.8,15.48,15.48
EBTC,2005-03-04,15.81,15.88,15.35,15.35
EBTC,2005-03-07,15.52,15.52,15.52,15.52
EBTC,2005-03-08,15.5,15.73,15.5,15.5
EBTC,2005-03-09,15.35,15.35,15.35,15.35
EBTC,2005-03-10,15.62,15.62,15.2,15.2
EBTC,2005-03-11,15.2,15.2,15.2,15.2
EBTC,2005-03-14,15.44,15.44,15.44,15.44
EBTC,2005-03-15,15.44,15.81,15.44,15.5
EBTC,2005-03-16,15.5,15.5,15.5,15.5
EBTC,2005-03-17,15.5,15.5,14.75,15.0
EBTC,2005-03-18,15.25,15.25,15.0,15.0
EBTC,2005-03-21,14.62,14.7,13.5,13.85
EBTC,2005-03-22,14.0,14.0,13.8,13.8
EBTC,2005-03-23,13.62,14.0,13.5,13.65
EBTC,2005-03-24,13.65,14.0,13.65,14.0
EBTC,2005-03-28,14.5,14.75,14.25,14.67
EBTC,2005-03-29,14.7,14.7,14.5,14.5
EBTC,2005-03-30,14.5,14.62,14.5,14.5
EBTC,2005-03-31,14.35,14.5,14.15,14.5
EBTC,2005-04-01,14.5,14.5,14.5,14.5
EBTC,2005-04-04,14.21,14.6,14.12,14.28
EBTC,2005-04-05,14.43,14.43,14.35,14.35
EBTC,2005-04-06,14.74,14.74,14.41,14.62
EBTC,2005-04-07,14.62,14.62,14.62,14.62
EBTC,2005-04-08,14.5,14.5,14.5,14.5
EBTC,2005-04-11,14.75,14.75,14.37,14.38
EBTC,2005-04-12,14.38,14.38,14.38,14.38
EBTC,2005-04-13,14.88,15.07,14.75,14.75
EBTC,2005-04-14,14.5,14.97,14.48,14.75
EBTC,2005-04-15,14.38,14.38,14.38,14.38
EBTC,2005-04-18,14.38,14.5,14.38,14.5
EBTC,2005-04-19,14.25,14.25,14.25,14.25
EBTC,2005-04-20,14.7,14.75,14.7,14.7
EBTC,2005-04-21,14.95,14.95,14.95,14.95
EBTC,2005-04-22,15.0,15.0,15.0,15.0
EBTC,2005-04-25,15.0,15.0,15.0,15.0
EBTC,2005-04-26,15.0,15.0,15.0,15.0
EBTC,2005-04-27,15.0,15.0,15.0,15.0
EBTC,2005-04-28,14.9,14.9,14.88,14.88
EBTC,2005-04-29,15.5,15.5,15.0,15.0
EBTC,2005-05-02,15.0,15.0,15.0,15.0
EBTC,2005-05-03,15.0,15.0,15.0,15.0
EBTC,2005-05-04,15.0,15.0,15.0,15.0
EBTC,2005-05-05,15.0,15.0,15.0,15.0
EBTC,2005-05-06,14.5,14.95,14.5,14.95
EBTC,2005-05-09,14.51,14.65,14.51,14.64
EBTC,2005-05-10,14.64,14.64,14.64,14.64
EBTC,2005-05-11,14.64,14.64,14.64,14.64
EBTC,2005-05-12,14.64,14.64,14.64,14.64
EBTC,2005-05-13,15.52,15.52,15.0,15.0
EBTC,2005-05-16,15.15,15.52,15.1,15.1
EBTC,2005-05-17,15.25,15.25,15.0,15.02
EBTC,2005-05-18,15.02,15.02,15.02,15.02
EBTC,2005-05-19,15.02,15.02,15.02,15.02
EBTC,2005-05-20,15.02,15.02,15.02,15.02
EBTC,2005-05-23,15.25,15.25,15.25,15.25
EBTC,2005-05-24,15.05,15.12,14.77,14.77
EBTC,2005-05-25,15.05,15.05,15.05,15.05
EBTC,2005-05-26,15.05,15.05,15.05,15.05
EBTC,2005-05-27,15.35,15.75,15.02,15.33
EBTC,2005-05-31,15.33,15.33,15.33,15.33
EBTC,2005-06-01,15.33,15.33,15.33,15.33
EBTC,2005-06-02,15.33,15.33,15.33,15.33
EBTC,2005-06-03,14.5,14.51,14.5,14.51
EBTC,2005-06-06,14.51,14.51,14.51,14.51
EBTC,2005-06-07,14.0,15.02,13.48,15.02
EBTC,2005-06-08,14.41,14.41,14.41,14.41
EBTC,2005-06-09,14.5,14.5,14.5,14.5
EBTC,2005-06-10,14.72,14.85,14.35,14.35
EBTC,2005-06-13,14.35,14.35,14.35,14.35
EBTC,2005-06-14,14.75,14.75,14.75,14.75
EBTC,2005-06-15,14.35,14.35,14.35,14.35
EBTC,2005-06-16,14.5,14.5,14.5,14.5
EBTC,2005-06-17,14.02,14.4,14.02,14.4
EBTC,2005-06-20,14.49,14.5,14.49,14.5
EBTC,2005-06-21,14.75,14.75,14.5,14.5
EBTC,2005-06-22,14.33,14.33,14.31,14.31
EBTC,2005-06-23,14.31,14.31,14.31,14.31
EBTC,2005-06-24,14.5,14.56,14.5,14.5
EBTC,2005-06-27,14.62,14.62,14.62,14.62
EBTC,2005-06-28,14.62,15.0,14.62,14.98
EBTC,2005-06-29,14.98,14.98,14.98,14.98
EBTC,2005-06-30,14.98,14.98,14.98,14.98
EBTC,2005-07-01,14.98,14.98,14.98,14.98
EBTC,2005-07-05,14.0,14.0,14.0,14.0
EBTC,2005-07-06,14.48,14.48,14.48,14.48
EBTC,2005-07-07,14.25,14.35,14.16,14.25
EBTC,2005-07-08,14.25,14.25,14.25,14.25
EBTC,2005-07-11,14.1,15.05,14.1,14.25
EBTC,2005-07-12,14.5,14.5,14.5,14.5
EBTC,2005-07-13,14.75,14.75,14.75,14.75
EBTC,2005-07-14,14.5,14.5,14.36,14.36
EBTC,2005-07-15,14.36,14.36,14.36,14.36
EBTC,2005-07-18,14.36,14.36,14.36,14.36
EBTC,2005-07-19,14.5,14.5,14.27,14.27
EBTC,2005-07-20,14.27,14.27,14.27,14.27
EBTC,2005-07-21,14.27,14.27,14.27,14.27
EBTC,2005-07-22,14.27,14.27,14.27,14.27
EBTC,2005-07-25,14.27,14.27,14.27,14.27
EBTC,2005-07-26,14.56,14.74,14.4,14.4
EBTC,2005-07-27,14.38,14.38,14.38,14.38
EBTC,2005-07-28,14.27,14.27,14.27,14.27
EBTC,2005-07-29,14.38,14.38,14.38,14.38
EBTC,2005-08-01,14.38,14.38,14.35,14.38
EBTC,2005-08-02,14.38,14.38,14.38,14.38
EBTC,2005-08-03,14.38,14.38,14.38,14.38
EBTC,2005-08-04,14.38,14.38,14.38,14.38
EBTC,2005-08-05,14.38,14.38,14.38,14.38
EBTC,2005-08-08,14.5,14.5,14.34,14.34
