ticker,date,open,high,low,close
ECBK,2022-07-28,13.86,14.25,13.82,14.09
ECBK,2022-07-29,14.3,14.35,13.91,13.98
ECBK,2022-08-01,13.97,14.08,13.9,13.93
ECBK,2022-08-02,13.93,14.02,13.85,14.01
ECBK,2022-08-03,14.02,14.02,13.95,14.02
ECBK,2022-08-04,14.02,14.19,14.0,14.13
ECBK,2022-08-05,14.16,14.19,13.96,14.02
ECBK,2022-08-08,14.0,14.03,13.91,13.99
ECBK,2022-08-09,13.99,14.02,13.97,13.98
ECBK,2022-08-10,13.99,14.03,13.95,14.0
ECBK,2022-08-11,14.0,14.02,13.95,14.0
ECBK,2022-08-12,14.0,14.05,13.93,14.04
ECBK,2022-08-15,14.04,14.07,14.01,14.07
ECBK,2022-08-16,13.97,14.08,13.96,14.06
ECBK,2022-08-17,14.01,14.15,14.0,14.14
ECBK,2022-08-18,14.14,14.19,14.06,14.19
ECBK,2022-08-19,14.14,14.19,14.1,14.13
ECBK,2022-08-22,14.35,14.35,14.08,14.12
ECBK,2022-08-23,14.18,14.18,14.09,14.14
ECBK,2022-08-24,14.12,14.18,14.1,14.16
ECBK,2022-08-25,14.15,14.17,14.13,14.17
ECBK,2022-08-26,14.11,14.19,14.05,14.06
ECBK,2022-08-29,14.02,14.07,14.02,14.05
ECBK,2022-08-30,14.17,14.17,14.01,14.01
ECBK,2022-08-31,14.11,14.16,14.04,14.04
ECBK,2022-09-01,14.01,14.15,14.01,14.15
ECBK,2022-09-02,14.08,14.14,14.07,14.13
ECBK,2022-09-06,14.13,14.19,14.08,14.19
ECBK,2022-09-07,14.19,14.24,14.1,14.24
ECBK,2022-09-08,14.13,14.24,14.13,14.2
ECBK,2022-09-09,14.24,14.24,14.19,14.2
ECBK,2022-09-12,14.24,14.24,14.15,14.2
ECBK,2022-09-13,14.15,14.25,14.11,14.22
ECBK,2022-09-14,14.24,14.38,14.18,14.38
ECBK,2022-09-15,14.29,14.49,14.2,14.4
