ticker,date,open,high,low,close
EGO,2003-01-23,8.05,8.25,7.55,7.6
EGO,2003-01-24,7.75,7.85,7.35,7.6
EGO,2003-01-27,7.85,7.95,7.55,7.65
EGO,2003-01-28,7.6,7.75,7.4,7.7
EGO,2003-01-29,7.75,7.75,6.95,7.3
EGO,2003-01-30,7.0,7.5,7.0,7.35
EGO,2003-01-31,7.8,7.8,7.3,7.5
EGO,2003-02-03,7.4,7.65,7.35,7.6
EGO,2003-02-04,7.7,8.15,7.7,8.0
EGO,2003-02-05,8.0,8.25,7.6,7.6
EGO,2003-02-06,7.7,7.75,7.35,7.5
EGO,2003-02-07,7.55,7.65,7.4,7.45
EGO,2003-02-10,7.5,7.55,6.5,6.9
EGO,2003-02-11,6.85,7.0,6.55,6.85
EGO,2003-02-12,6.8,7.0,6.55,6.6
EGO,2003-02-13,6.75,7.1,6.75,7.0
EGO,2003-02-14,7.0,7.05,6.85,6.9
EGO,2003-02-18,6.8,7.0,6.7,6.95
EGO,2003-02-19,7.0,7.3,6.95,7.1
EGO,2003-02-20,7.25,7.3,7.1,7.15
EGO,2003-02-21,7.15,7.25,6.95,7.1
EGO,2003-02-24,7.1,7.35,7.1,7.35
EGO,2003-02-25,7.15,7.25,6.8,7.1
EGO,2003-02-26,7.05,7.35,6.85,7.05
EGO,2003-02-27,7.0,7.2,6.9,7.0
EGO,2003-02-28,7.0,7.2,6.85,7.0
EGO,2003-03-03,7.05,7.15,6.9,7.0
EGO,2003-03-04,7.0,7.25,6.9,7.0
EGO,2003-03-05,7.15,7.15,6.95,7.0
EGO,2003-03-06,7.0,7.05,6.8,6.9
EGO,2003-03-07,6.9,6.9,6.3,6.55
EGO,2003-03-10,6.5,6.55,6.1,6.25
EGO,2003-03-11,6.1,6.1,5.85,6.0
EGO,2003-03-12,5.9,6.2,5.9,6.2
EGO,2003-03-13,5.95,6.45,5.9,6.05
EGO,2003-03-14,6.3,6.4,6.2,6.35
EGO,2003-03-17,6.7,6.7,6.35,6.55
EGO,2003-03-18,6.5,6.75,6.5,6.75
EGO,2003-03-19,6.9,6.9,6.4,6.4
EGO,2003-03-20,6.4,6.8,6.4,6.8
EGO,2003-03-21,6.7,6.7,6.3,6.3
EGO,2003-03-24,6.5,6.5,6.4,6.5
EGO,2003-03-25,6.4,6.55,6.35,6.45
EGO,2003-03-26,6.5,6.5,6.45,6.45
EGO,2003-03-27,6.45,6.5,6.25,6.35
EGO,2003-03-28,6.35,6.45,6.2,6.45
EGO,2003-03-31,6.65,6.75,6.5,6.55
EGO,2003-04-01,6.3,6.6,6.3,6.35
EGO,2003-04-02,6.3,6.75,6.3,6.45
EGO,2003-04-03,6.4,6.4,6.2,6.2
EGO,2003-04-04,6.25,6.4,6.25,6.3
EGO,2003-04-07,6.0,6.05,5.75,6.0
EGO,2003-04-08,5.95,6.15,5.95,6.15
EGO,2003-04-09,6.35,6.45,6.0,6.45
EGO,2003-04-10,6.5,6.5,6.25,6.35
EGO,2003-04-11,6.25,6.5,6.25,6.5
EGO,2003-04-14,6.45,6.45,6.15,6.15
EGO,2003-04-15,6.3,6.35,6.15,6.3
EGO,2003-04-16,6.25,6.25,5.85,6.15
EGO,2003-04-17,6.25,6.45,6.25,6.45
EGO,2003-04-21,6.55,6.8,6.55,6.8
EGO,2003-04-22,6.9,6.9,6.8,6.9
EGO,2003-04-23,6.9,6.9,6.7,6.7
EGO,2003-04-24,6.7,6.75,6.65,6.75
EGO,2003-04-25,6.8,6.8,6.6,6.65
EGO,2003-04-28,6.6,6.6,6.35,6.6
EGO,2003-04-29,6.55,6.75,6.4,6.4
EGO,2003-04-30,6.75,7.25,6.75,7.25
EGO,2003-05-01,7.35,7.35,7.0,7.15
EGO,2003-05-02,7.1,7.35,7.1,7.3
EGO,2003-05-05,7.35,7.45,7.3,7.45
EGO,2003-05-06,7.5,7.95,7.3,7.95
EGO,2003-05-07,8.05,8.05,7.65,7.85
EGO,2003-05-08,8.0,8.15,7.85,8.0
EGO,2003-05-09,8.0,8.5,8.0,8.4
EGO,2003-05-12,8.65,8.7,8.3,8.5
EGO,2003-05-13,8.4,8.4,8.1,8.15
EGO,2003-05-14,8.15,8.45,8.1,8.2
EGO,2003-05-15,8.2,8.35,7.9,8.1
EGO,2003-05-16,8.05,8.25,8.0,8.1
EGO,2003-05-19,8.25,8.35,7.95,8.2
EGO,2003-05-20,8.1,8.3,7.4,7.75
EGO,2003-05-21,7.5,7.95,7.5,7.95
EGO,2003-05-22,7.8,8.2,7.8,8.2
EGO,2003-05-23,8.3,8.5,8.2,8.25
EGO,2003-05-27,8.5,8.5,7.95,8.0
EGO,2003-05-28,7.6,7.75,7.5,7.75
EGO,2003-05-29,7.55,8.0,7.45,7.8
EGO,2003-05-30,7.7,8.0,7.55,8.0
EGO,2003-06-02,7.95,8.0,7.65,7.75
EGO,2003-06-03,7.95,7.95,7.45,7.75
EGO,2003-06-04,7.75,7.8,7.65,7.75
EGO,2003-06-05,7.85,8.25,7.85,8.2
