ticker,date,open,high,low,close
EMKR,1997-03-06,19.0,20.75,18.5,20.625
EMKR,1997-03-07,20.75,23.75,20.5,23.75
EMKR,1997-03-10,23.0,24.0,22.5,23.25
EMKR,1997-03-11,24.0,25.5,23.25,24.25
EMKR,1997-03-12,23.75,24.5,23.0,23.5
EMKR,1997-03-13,24.25,24.25,23.0,24.0
EMKR,1997-03-14,23.0,24.25,23.0,24.0
EMKR,1997-03-17,24.5,24.75,23.75,24.0
EMKR,1997-03-18,23.75,24.5,23.75,24.5
EMKR,1997-03-19,24.5,24.5,23.75,23.875
EMKR,1997-03-20,23.75,24.25,23.75,24.25
EMKR,1997-03-21,24.25,24.25,23.75,24.0
EMKR,1997-03-24,23.75,23.75,23.0,23.0
EMKR,1997-03-25,23.0,23.0,22.5,23.0
EMKR,1997-03-26,23.25,23.25,22.75,23.25
EMKR,1997-03-27,23.25,23.25,22.75,22.75
EMKR,1997-03-31,22.5,23.25,22.25,22.25
EMKR,1997-04-01,22.25,23.25,22.25,23.25
EMKR,1997-04-02,23.25,23.25,22.75,22.875
EMKR,1997-04-03,22.5,22.5,22.5,22.5
EMKR,1997-04-04,23.25,23.25,22.5,22.5
EMKR,1997-04-07,22.5,23.25,22.5,22.75
EMKR,1997-04-08,22.5,23.25,22.5,23.25
EMKR,1997-04-09,23.5,23.5,22.5,22.75
EMKR,1997-04-10,22.5,23.5,22.25,22.25
EMKR,1997-04-11,22.0,22.0,22.0,22.0
EMKR,1997-04-14,22.0,23.0,22.0,23.0
EMKR,1997-04-15,23.0,23.0,22.0,22.25
EMKR,1997-04-16,22.5,23.25,22.5,23.0
EMKR,1997-04-17,23.0,23.0,22.5,22.5
EMKR,1997-04-18,22.5,22.5,22.5,22.5
EMKR,1997-04-21,22.5,23.0,22.25,22.25
EMKR,1997-04-22,22.25,22.5,22.25,22.25
EMKR,1997-04-23,22.25,22.75,22.25,22.5
EMKR,1997-04-24,22.25,22.25,22.25,22.25
EMKR,1997-04-25,22.0,23.0,22.0,23.0
EMKR,1997-04-28,23.25,23.25,22.75,23.25
EMKR,1997-04-29,22.25,22.25,22.25,22.25
EMKR,1997-04-30,22.25,22.75,22.0,22.75
