ticker,date,open,high,low,close
EPC,2000-03-27,16.31,17.42,16.31,17.33
EPC,2000-03-28,17.33,17.84,17.33,17.61
EPC,2000-03-29,17.79,17.79,17.61,17.61
EPC,2000-03-30,17.61,17.79,17.05,17.23
EPC,2000-03-31,17.23,17.23,17.05,17.19
EPC,2000-04-03,17.05,17.1,15.2,15.75
EPC,2000-04-04,15.2,16.08,14.64,15.8
EPC,2000-04-05,15.8,17.42,15.8,16.35
EPC,2000-04-06,16.35,17.33,16.35,17.14
EPC,2000-04-07,17.1,17.33,16.68,16.68
EPC,2000-04-10,16.73,16.86,16.31,16.49
EPC,2000-04-11,16.63,16.68,16.4,16.4
EPC,2000-04-12,16.45,17.88,16.4,17.19
EPC,2000-04-13,17.23,17.23,16.77,17.1
EPC,2000-04-14,16.82,16.82,16.03,16.54
EPC,2000-04-17,16.35,16.68,15.29,15.29
EPC,2000-04-18,15.29,15.57,14.73,15.2
EPC,2000-04-19,15.1,15.1,14.55,14.83
EPC,2000-04-20,14.73,15.06,14.73,15.01
EPC,2000-04-24,14.73,15.94,14.73,15.85
EPC,2000-04-25,15.75,16.45,15.75,16.17
EPC,2000-04-26,15.98,15.98,12.6,13.25
EPC,2000-04-27,13.07,13.07,12.28,12.79
EPC,2000-04-28,12.97,13.34,12.6,12.65
EPC,2000-05-01,12.74,12.83,12.6,12.6
EPC,2000-05-02,12.65,12.65,12.42,12.46
EPC,2000-05-03,12.28,12.65,12.18,12.46
EPC,2000-05-04,12.6,13.2,11.58,13.2
EPC,2000-05-05,13.16,13.16,12.51,12.51
EPC,2000-05-08,12.56,12.6,12.32,12.6
EPC,2000-05-09,12.51,12.65,12.14,12.14
EPC,2000-05-10,12.14,12.23,11.68,11.86
EPC,2000-05-11,11.95,11.95,10.98,11.03
EPC,2000-05-12,11.03,12.46,11.03,12.42
EPC,2000-05-15,12.6,12.79,12.23,12.6
EPC,2000-05-16,12.69,13.71,12.6,13.57
EPC,2000-05-17,13.76,14.55,13.57,14.46
EPC,2000-05-18,14.27,14.36,13.9,14.36
EPC,2000-05-19,14.18,14.18,13.76,13.76
EPC,2000-05-22,13.71,13.9,13.71,13.71
EPC,2000-05-23,13.9,13.9,13.67,13.81
EPC,2000-05-24,13.81,14.08,13.34,13.71
EPC,2000-05-25,13.53,13.53,12.0,12.42
EPC,2000-05-26,12.42,12.69,12.05,12.23
EPC,2000-05-30,12.05,12.37,12.0,12.23
EPC,2000-05-31,12.14,13.07,12.14,12.6
EPC,2000-06-01,12.6,12.79,12.56,12.6
EPC,2000-06-02,12.79,12.93,12.6,12.69
EPC,2000-06-05,12.88,13.02,12.79,12.79
EPC,2000-06-06,12.79,12.79,12.05,12.05
EPC,2000-06-07,11.86,12.32,11.77,12.23
EPC,2000-06-08,12.23,12.56,12.14,12.56
EPC,2000-06-09,12.42,12.88,12.37,12.6
EPC,2000-06-12,12.74,12.88,12.46,12.88
EPC,2000-06-13,12.79,13.44,12.79,13.16
EPC,2000-06-14,13.16,13.3,12.97,13.02
EPC,2000-06-15,12.97,13.16,12.97,13.16
EPC,2000-06-16,13.3,14.59,13.3,14.41
EPC,2000-06-19,14.18,14.5,13.76,13.76
EPC,2000-06-20,13.76,13.81,13.57,13.81
EPC,2000-06-21,13.76,14.04,13.76,13.95
EPC,2000-06-22,13.95,14.04,13.9,14.04
EPC,2000-06-23,14.04,14.13,13.81,13.85
EPC,2000-06-26,13.95,14.18,13.81,13.95
EPC,2000-06-27,13.99,13.99,13.76,13.95
EPC,2000-06-28,13.81,14.08,13.62,14.04
EPC,2000-06-29,14.04,14.04,13.71,13.95
EPC,2000-06-30,13.99,14.41,13.53,13.53
EPC,2000-07-03,13.71,14.08,13.71,13.85
EPC,2000-07-05,13.81,14.36,13.71,14.36
EPC,2000-07-06,14.27,14.32,14.04,14.08
EPC,2000-07-07,14.13,14.46,13.99,14.18
EPC,2000-07-10,14.18,14.64,13.99,14.64
EPC,2000-07-11,14.64,14.87,14.55,14.64
EPC,2000-07-12,14.73,15.47,14.64,15.47
EPC,2000-07-13,15.66,17.33,15.61,15.94
EPC,2000-07-14,16.03,17.37,16.03,16.96
EPC,2000-07-17,16.77,17.33,16.54,16.73
EPC,2000-07-18,16.73,16.73,16.35,16.49
EPC,2000-07-19,16.45,16.45,15.43,15.75
EPC,2000-07-20,15.75,16.22,15.75,16.12
EPC,2000-07-21,15.94,15.98,14.64,15.94
EPC,2000-07-24,15.75,16.35,15.57,16.26
EPC,2000-07-25,16.08,16.31,15.98,16.12
EPC,2000-07-26,15.94,16.49,15.85,16.49
EPC,2000-07-27,16.49,17.33,16.49,17.0
EPC,2000-07-28,17.1,17.33,17.05,17.23
EPC,2000-07-31,17.05,17.88,17.05,17.88
EPC,2000-08-01,17.7,17.88,16.96,17.33
EPC,2000-08-02,16.96,17.0,16.49,16.77
EPC,2000-08-03,16.96,16.96,16.63,16.68
EPC,2000-08-04,16.63,16.63,15.89,16.4
EPC,2000-08-07,16.22,16.35,15.94,16.03
EPC,2000-08-08,15.85,16.12,15.8,16.03
EPC,2000-08-09,16.03,16.54,16.03,16.26
EPC,2000-08-10,16.4,17.93,16.35,16.68
