ticker,date,open,high,low,close
EVAX,2021-02-05,10.0,10.0,8.78,9.89
EVAX,2021-02-08,10.34,10.34,9.7,9.95
EVAX,2021-02-09,10.05,10.1,9.2,9.35
EVAX,2021-02-10,9.99,9.99,9.2,9.4
EVAX,2021-02-11,9.48,9.75,9.1,9.12
EVAX,2021-02-12,9.06,9.5,9.01,9.18
EVAX,2021-02-16,9.09,9.4,8.63,8.75
EVAX,2021-02-17,8.7,8.78,8.1,8.24
EVAX,2021-02-18,8.16,8.98,8.13,8.69
EVAX,2021-02-19,8.88,8.95,8.4,8.4
EVAX,2021-02-22,8.4,8.608,8.17,8.17
EVAX,2021-02-23,8.01,8.01,6.77,7.28
EVAX,2021-02-24,7.61,7.88,7.12,7.5
EVAX,2021-02-25,7.6,7.846,7.01,7.41
EVAX,2021-02-26,7.42,7.42,6.95,6.98
EVAX,2021-03-01,6.96,7.34,6.96,7.08
EVAX,2021-03-02,7.55,7.75,7.23,7.75
EVAX,2021-03-03,7.8,7.8,6.81,7.06
EVAX,2021-03-04,7.25,7.31,7.0,7.1
EVAX,2021-03-05,7.16,7.16,6.85,7.03
EVAX,2021-03-08,7.7,8.24,7.28,7.54
EVAX,2021-03-09,7.56,7.745,7.275,7.54
EVAX,2021-03-10,7.5,7.85,7.4,7.62
EVAX,2021-03-11,7.76,8.031,7.411,7.51
EVAX,2021-03-12,7.65,7.65,7.05,7.26
EVAX,2021-03-15,7.319,7.86,7.29,7.8
EVAX,2021-03-16,7.9,8.28,7.5,7.59
EVAX,2021-03-17,7.7,8.0,7.7,7.76
EVAX,2021-03-18,7.86,7.86,7.5,7.5
EVAX,2021-03-19,7.6,7.79,7.4,7.63
EVAX,2021-03-22,8.14,8.15,7.543,7.77
EVAX,2021-03-23,7.895,8.0,7.1,7.2
EVAX,2021-03-24,7.25,7.47,6.51,6.62
EVAX,2021-03-25,6.7,7.0,6.47,6.52
EVAX,2021-03-26,6.51,6.96,5.77,6.03
EVAX,2021-03-29,5.8,6.0,5.31,5.4
EVAX,2021-03-30,5.45,5.6,5.27,5.3
EVAX,2021-03-31,5.32,6.169,5.31,5.9
EVAX,2021-04-01,6.0,6.33,5.155,5.31
EVAX,2021-04-05,5.5,5.78,5.18,5.2
EVAX,2021-04-06,5.98,5.98,5.195,5.29
EVAX,2021-04-07,5.3,5.611,5.22,5.44
EVAX,2021-04-08,5.84,5.84,5.244,5.53
EVAX,2021-04-09,5.79,6.142,5.7,6.09
EVAX,2021-04-12,6.22,6.44,6.113,6.4
EVAX,2021-04-13,6.55,6.8,6.42,6.51
EVAX,2021-04-14,6.54,7.33,6.54,7.33
EVAX,2021-04-15,7.34,7.96,7.25,7.72
EVAX,2021-04-16,7.54,7.625,6.29,6.52
EVAX,2021-04-19,6.5,7.05,6.09,6.85
EVAX,2021-04-20,6.7,7.2,6.56,7.16
EVAX,2021-04-21,7.16,7.3,6.75,7.0
EVAX,2021-04-22,6.93,7.3,6.77,6.96
EVAX,2021-04-23,6.97,7.11,6.78,6.93
EVAX,2021-04-26,6.95,7.9,6.85,7.41
EVAX,2021-04-27,7.8,7.99,7.1,7.83
EVAX,2021-04-28,8.0,8.04,7.3,7.7
EVAX,2021-04-29,7.6,7.704,7.145,7.34
EVAX,2021-04-30,7.145,7.39,7.02,7.13
EVAX,2021-05-03,7.23,7.62,6.95,7.0
EVAX,2021-05-04,6.98,7.125,6.69,6.97
EVAX,2021-05-05,6.91,6.978,6.75,6.75
EVAX,2021-05-06,6.79,7.12,6.35,6.58
EVAX,2021-05-07,6.61,6.78,6.51,6.63
EVAX,2021-05-10,6.7,6.7,6.28,6.29
EVAX,2021-05-11,6.08,6.29,5.95,5.95
EVAX,2021-05-12,5.91,6.09,5.33,5.6
EVAX,2021-05-13,5.41,6.765,5.21,5.3
