ticker,date,open,high,low,close
EVCM,2021-07-01,20.0,21.0,16.24,17.6
EVCM,2021-07-02,17.05,18.4,16.9,17.24
EVCM,2021-07-06,17.42,18.68,17.28,18.38
EVCM,2021-07-07,18.64,19.41,16.64,17.24
EVCM,2021-07-08,16.96,17.3,16.8,16.99
EVCM,2021-07-09,17.86,17.86,16.85,17.08
EVCM,2021-07-12,17.1,17.25,16.76,17.0
EVCM,2021-07-13,17.05,17.08,16.64,16.85
EVCM,2021-07-14,17.01,17.08,16.69,16.95
EVCM,2021-07-15,17.0,17.1,16.7,17.0
EVCM,2021-07-16,16.87,17.15,16.87,16.95
EVCM,2021-07-19,16.7,16.92,16.25,16.51
EVCM,2021-07-20,16.4,16.83,16.01,16.82
EVCM,2021-07-21,16.64,17.0,16.33,16.5
EVCM,2021-07-22,16.36,16.69,16.3,16.63
EVCM,2021-07-23,16.55,17.58,16.54,17.45
EVCM,2021-07-26,17.51,17.75,17.3,17.51
EVCM,2021-07-27,17.64,18.09,17.27,17.85
EVCM,2021-07-28,17.93,18.65,17.8,18.62
EVCM,2021-07-29,18.6,18.79,18.03,18.41
EVCM,2021-07-30,18.52,18.78,17.38,17.57
EVCM,2021-08-02,17.59,18.4,17.58,18.27
EVCM,2021-08-03,18.21,18.43,17.79,18.06
EVCM,2021-08-04,18.48,19.24,18.14,19.03
EVCM,2021-08-05,19.04,20.18,19.02,19.59
EVCM,2021-08-06,20.04,20.5,19.25,19.97
EVCM,2021-08-09,19.88,20.32,19.74,19.85
EVCM,2021-08-10,19.03,19.73,18.26,18.89
EVCM,2021-08-11,19.06,19.45,18.49,19.1
EVCM,2021-08-12,19.12,19.5,18.85,19.4
EVCM,2021-08-13,19.23,19.8,19.03,19.43
EVCM,2021-08-16,19.51,20.01,19.3,19.79
EVCM,2021-08-17,19.86,20.31,18.09,18.63
EVCM,2021-08-18,18.58,19.41,18.58,19.24
EVCM,2021-08-19,19.24,19.48,18.9,19.19
EVCM,2021-08-20,19.19,19.62,19.0,19.38
EVCM,2021-08-23,19.4,20.34,19.38,20.12
EVCM,2021-08-24,20.43,21.0,20.23,20.44
EVCM,2021-08-25,20.95,22.97,20.95,22.11
EVCM,2021-08-26,22.21,23.41,21.82,22.92
EVCM,2021-08-27,22.97,23.22,22.3,22.41
EVCM,2021-08-30,22.84,22.84,20.91,21.0
EVCM,2021-08-31,21.0,21.93,20.97,21.6
EVCM,2021-09-01,21.71,22.44,21.62,22.03
EVCM,2021-09-02,22.03,22.39,21.72,22.23
EVCM,2021-09-03,22.24,22.82,21.81,21.9
EVCM,2021-09-07,22.18,22.99,19.41,19.67
EVCM,2021-09-08,19.65,19.84,18.72,19.24
EVCM,2021-09-09,19.23,19.71,18.85,19.17
EVCM,2021-09-10,19.18,19.37,18.18,18.19
EVCM,2021-09-13,18.33,18.67,17.6,17.88
EVCM,2021-09-14,17.99,18.2,17.83,18.02
EVCM,2021-09-15,17.84,18.3,17.81,18.06
EVCM,2021-09-16,17.9,18.34,17.75,18.21
EVCM,2021-09-17,18.04,18.05,16.32,16.33
EVCM,2021-09-20,15.82,16.64,14.87,16.56
EVCM,2021-09-21,16.54,16.82,15.81,16.01
EVCM,2021-09-22,16.03,16.24,15.1,15.63
EVCM,2021-09-23,15.65,16.73,15.65,16.38
EVCM,2021-09-24,16.36,16.82,15.9,16.75
EVCM,2021-09-27,16.73,16.73,15.94,16.21
EVCM,2021-09-28,16.01,16.39,15.81,16.17
EVCM,2021-09-29,16.21,16.46,15.82,16.16
EVCM,2021-09-30,16.29,16.8,15.73,16.49
EVCM,2021-10-01,16.5,17.17,16.15,17.04
EVCM,2021-10-04,17.09,17.15,16.03,16.66
EVCM,2021-10-05,16.77,17.44,16.5,17.41
EVCM,2021-10-06,17.15,18.51,17.0,18.4
