ticker,date,open,high,low,close
EWCZ,2021-08-05,19.0,22.0,18.55,21.39
EWCZ,2021-08-06,22.0,24.7,21.5,22.35
EWCZ,2021-08-09,27.88,27.88,22.02,22.26
EWCZ,2021-08-10,21.55,24.47,20.84,24.0
EWCZ,2021-08-11,23.59,26.0,22.5,23.46
EWCZ,2021-08-12,23.71,23.71,20.62,21.65
EWCZ,2021-08-13,21.41,22.1,20.13,21.37
EWCZ,2021-08-16,21.81,23.54,21.11,23.35
EWCZ,2021-08-17,23.63,24.99,22.14,23.93
EWCZ,2021-08-18,24.19,24.99,23.45,24.02
EWCZ,2021-08-19,23.84,24.59,22.64,23.71
EWCZ,2021-08-20,23.7,24.61,23.55,24.52
EWCZ,2021-08-23,24.53,24.83,22.9,23.74
EWCZ,2021-08-24,24.19,24.47,22.77,22.91
EWCZ,2021-08-25,23.1,23.9,22.23,23.47
EWCZ,2021-08-26,23.28,24.28,22.5,24.1
EWCZ,2021-08-27,24.4,24.55,23.42,24.26
EWCZ,2021-08-30,24.45,24.6,22.61,24.16
EWCZ,2021-08-31,23.85,24.5,23.58,24.35
EWCZ,2021-09-01,24.35,24.89,24.1,24.61
EWCZ,2021-09-02,24.36,24.83,23.44,23.75
EWCZ,2021-09-03,23.57,24.58,23.26,24.34
EWCZ,2021-09-07,24.49,24.7,23.31,24.44
EWCZ,2021-09-08,23.49,25.02,23.49,23.99
EWCZ,2021-09-09,23.62,24.38,22.71,22.96
EWCZ,2021-09-10,22.91,23.75,22.33,23.25
EWCZ,2021-09-13,23.25,23.45,22.68,23.14
EWCZ,2021-09-14,22.84,24.51,22.84,24.24
EWCZ,2021-09-15,23.87,25.7,23.43,25.38
EWCZ,2021-09-16,25.56,29.99,25.43,29.14
EWCZ,2021-09-17,28.89,32.21,28.57,30.27
EWCZ,2021-09-20,29.1,30.35,28.01,29.11
EWCZ,2021-09-21,29.48,31.06,29.48,30.41
EWCZ,2021-09-22,30.72,30.85,25.85,28.01
EWCZ,2021-09-23,27.72,29.0,26.31,28.01
