ticker,date,open,high,low,close
EZFL,2021-09-15,4.48,4.9,4.09,4.54
EZFL,2021-09-16,4.48,5.49,4.293,5.2
EZFL,2021-09-17,4.826,4.96,4.51,4.56
EZFL,2021-09-20,4.098,4.27,3.9,3.94
EZFL,2021-09-21,3.95,3.97,3.3,3.48
EZFL,2021-09-22,3.46,3.93,3.36,3.38
EZFL,2021-09-23,3.36,3.42,2.82,2.9
EZFL,2021-09-24,2.86,3.54,2.86,3.32
EZFL,2021-09-27,3.38,3.65,3.16,3.32
EZFL,2021-09-28,3.25,3.4,3.0,3.24
EZFL,2021-09-29,3.24,4.8,3.06,3.9
EZFL,2021-09-30,3.89,4.56,3.82,4.09
EZFL,2021-10-01,4.01,4.05,3.45,3.65
EZFL,2021-10-04,3.61,3.62,3.03,3.21
EZFL,2021-10-05,3.183,3.4,2.86,3.14
EZFL,2021-10-06,3.0,3.25,2.91,3.06
EZFL,2021-10-07,3.13,3.44,3.01,3.25
EZFL,2021-10-08,3.15,3.58,3.15,3.458
EZFL,2021-10-11,3.89,4.4,3.57,3.68
EZFL,2021-10-12,3.408,3.427,3.23,3.31
EZFL,2021-10-13,3.236,3.32,3.055,3.25
EZFL,2021-10-14,3.21,3.27,3.11,3.13
EZFL,2021-10-15,3.09,3.248,3.08,3.11
EZFL,2021-10-18,3.1,3.23,3.09,3.17
EZFL,2021-10-19,3.13,3.26,3.06,3.1
EZFL,2021-10-20,3.1,3.14,3.02,3.1
EZFL,2021-10-21,3.08,3.13,2.88,2.97
EZFL,2021-10-22,2.99,2.99,2.71,2.91
EZFL,2021-10-25,2.89,2.936,2.78,2.79
EZFL,2021-10-26,2.82,2.88,2.65,2.74
EZFL,2021-10-27,2.76,2.93,2.73,2.88
EZFL,2021-10-28,2.89,3.04,2.82,2.94
EZFL,2021-10-29,2.96,2.989,2.9,2.96
EZFL,2021-11-01,2.93,2.943,2.79,2.85
EZFL,2021-11-02,2.8,2.88,2.77,2.88
EZFL,2021-11-03,2.88,3.052,2.83,2.99
EZFL,2021-11-04,2.99,3.0,2.87,2.93
EZFL,2021-11-05,2.92,3.0,2.9,2.93
EZFL,2021-11-08,2.95,3.2,2.92,3.18
EZFL,2021-11-09,2.83,2.93,2.72,2.82
EZFL,2021-11-10,2.76,2.783,2.71,2.77
EZFL,2021-11-11,2.75,2.76,2.63,2.71
EZFL,2021-11-12,2.7,2.75,2.67,2.71
EZFL,2021-11-15,2.71,2.78,2.65,2.74
EZFL,2021-11-16,2.74,2.751,2.65,2.69
EZFL,2021-11-17,2.68,2.68,2.56,2.61
EZFL,2021-11-18,2.74,2.74,2.61,2.65
EZFL,2021-11-19,2.61,2.69,2.56,2.68
EZFL,2021-11-22,2.72,2.73,2.37,2.42
EZFL,2021-11-23,2.42,2.51,2.33,2.45
EZFL,2021-11-24,2.45,2.58,2.41,2.48
EZFL,2021-11-26,2.37,2.54,2.35,2.47
EZFL,2021-11-29,2.46,2.56,2.45,2.54
EZFL,2021-11-30,2.53,2.98,2.39,2.49
EZFL,2021-12-01,2.46,2.59,2.418,2.45
EZFL,2021-12-02,2.27,2.4,2.16,2.32
EZFL,2021-12-03,2.36,2.36,2.03,2.17
EZFL,2021-12-06,2.1,2.25,2.02,2.18
EZFL,2021-12-07,2.29,2.44,2.203,2.38
EZFL,2021-12-08,2.35,2.686,2.33,2.52
EZFL,2021-12-09,2.51,2.51,2.22,2.22
EZFL,2021-12-10,2.24,2.35,2.21,2.21
EZFL,2021-12-13,2.23,2.28,2.06,2.15
EZFL,2021-12-14,2.1,2.172,1.913,1.93
EZFL,2021-12-15,1.99,2.04,1.85,2.04
EZFL,2021-12-16,2.01,2.06,1.83,1.97
EZFL,2021-12-17,2.01,2.065,1.745,1.755
EZFL,2021-12-20,1.74,1.77,1.56,1.69
EZFL,2021-12-21,1.65,1.69,1.606,1.67
EZFL,2021-12-22,1.65,1.7,1.56,1.57
EZFL,2021-12-23,1.6,1.75,1.57,1.74
EZFL,2021-12-27,1.7,1.7,1.53,1.57
EZFL,2021-12-28,1.54,1.665,1.48,1.58
EZFL,2021-12-29,1.55,1.559,1.44,1.46
EZFL,2021-12-30,1.43,1.47,1.375,1.42
EZFL,2021-12-31,1.41,1.45,1.36,1.38
EZFL,2022-01-03,1.42,1.5,1.36,1.49
EZFL,2022-01-04,1.46,1.52,1.4,1.45
EZFL,2022-01-05,1.45,1.49,1.42,1.43
EZFL,2022-01-06,1.45,1.57,1.37,1.44
EZFL,2022-01-07,1.44,1.6,1.37,1.44
EZFL,2022-01-10,1.43,1.45,1.38,1.38
EZFL,2022-01-11,1.405,1.44,1.32,1.4
EZFL,2022-01-12,1.44,1.5,1.41,1.42
EZFL,2022-01-13,1.45,1.45,1.33,1.35
EZFL,2022-01-14,1.33,1.37,1.25,1.27
EZFL,2022-01-18,1.29,1.37,1.21,1.21
EZFL,2022-01-19,1.28,1.28,1.16,1.18
EZFL,2022-01-20,1.19,1.39,1.18,1.26
EZFL,2022-01-21,1.3,1.32,1.17,1.19
EZFL,2022-01-24,1.14,1.18,0.966,1.17
EZFL,2022-01-25,1.15,1.23,1.08,1.18
EZFL,2022-01-26,1.21,1.28,1.14,1.17
EZFL,2022-01-27,1.22,1.24,1.1,1.1
EZFL,2022-01-28,1.07,1.14,1.01,1.12
EZFL,2022-01-31,1.18,1.18,1.09,1.16
EZFL,2022-02-01,1.19,1.33,1.19,1.31
EZFL,2022-02-02,1.25,1.31,1.205,1.22
EZFL,2022-02-03,1.18,1.24,1.15,1.19
EZFL,2022-02-04,1.17,1.23,1.14,1.19
EZFL,2022-02-07,1.17,1.23,1.15,1.22
EZFL,2022-02-08,1.19,1.28,1.185,1.27
EZFL,2022-02-09,1.29,1.35,1.22,1.34
EZFL,2022-02-10,1.35,1.35,1.21,1.22
EZFL,2022-02-11,1.21,1.25,1.124,1.17
EZFL,2022-02-14,1.15,1.199,1.14,1.17
EZFL,2022-02-15,1.21,1.24,1.17,1.2
EZFL,2022-02-16,1.19,1.23,1.17,1.19
EZFL,2022-02-17,1.17,1.18,1.14,1.17
EZFL,2022-02-18,1.159,1.159,1.06,1.095
EZFL,2022-02-22,1.16,1.16,1.0,1.02
EZFL,2022-02-23,1.03,1.09,0.967,1.01
EZFL,2022-02-24,0.88,1.05,0.801,0.97
EZFL,2022-02-25,0.97,1.14,0.97,1.05
EZFL,2022-02-28,1.04,1.17,1.01,1.12
EZFL,2022-03-01,1.145,1.15,1.04,1.06
EZFL,2022-03-02,1.08,1.107,0.906,1.04
EZFL,2022-03-03,1.24,1.26,1.11,1.25
EZFL,2022-03-04,1.22,1.22,1.008,1.07
EZFL,2022-03-07,1.054,1.37,1.02,1.27
EZFL,2022-03-08,1.44,1.5,1.09,1.4
EZFL,2022-03-09,1.25,1.35,1.25,1.26
EZFL,2022-03-10,1.25,1.29,1.19,1.24
EZFL,2022-03-11,1.21,1.23,1.11,1.12
EZFL,2022-03-14,1.11,1.125,1.0,1.01
EZFL,2022-03-15,0.991,1.08,0.978,1.01
EZFL,2022-03-16,1.02,1.041,0.98,0.991
EZFL,2022-03-17,1.08,1.17,1.04,1.1
EZFL,2022-03-18,1.1,1.15,1.09,1.15
EZFL,2022-03-21,1.12,1.139,1.03,1.1
EZFL,2022-03-22,1.08,1.2,1.08,1.16
EZFL,2022-03-23,1.16,1.16,1.11,1.14
EZFL,2022-03-24,1.15,1.165,1.071,1.08
EZFL,2022-03-25,1.11,1.14,1.08,1.1
EZFL,2022-03-28,1.1,1.1,1.05,1.06
EZFL,2022-03-29,1.05,1.08,1.0,1.05
EZFL,2022-03-30,1.02,1.1,1.02,1.085
EZFL,2022-03-31,1.08,1.08,1.04,1.05
EZFL,2022-04-01,1.03,1.07,1.0,1.04
EZFL,2022-04-04,1.04,1.06,1.01,1.03
EZFL,2022-04-05,1.01,1.05,1.01,1.02
EZFL,2022-04-06,1.03,1.03,0.991,1.0
EZFL,2022-04-07,0.99,1.02,0.95,0.98
EZFL,2022-04-08,0.98,1.0,0.966,0.99
EZFL,2022-04-11,0.993,1.02,0.955,0.965
EZFL,2022-04-12,0.942,1.0,0.91,0.95
EZFL,2022-04-13,0.93,0.949,0.901,0.91
EZFL,2022-04-14,0.92,0.95,0.851,0.915
EZFL,2022-04-18,0.915,0.94,0.89,0.915
EZFL,2022-04-19,0.9,0.94,0.87,0.895
EZFL,2022-04-20,0.886,0.913,0.86,0.905
