ticker,date,open,high,low,close
FBIZ,2005-10-07,10.6893,11.0512,9.90917,9.90917
FBIZ,2005-10-10,9.52555,9.52555,9.52555,9.52555
FBIZ,2005-10-11,9.33778,9.52555,9.33778,9.52555
FBIZ,2005-10-12,9.52555,9.52555,9.52555,9.52555
FBIZ,2005-10-13,9.52851,11.2311,9.52851,11.0226
FBIZ,2005-10-14,10.4787,10.4787,10.4787,10.4787
FBIZ,2005-10-17,10.2889,10.4787,10.2889,10.4787
FBIZ,2005-10-18,11.0413,11.328,10.9009,11.328
FBIZ,2005-10-20,10.2889,10.2889,10.2889,10.2889
FBIZ,2005-10-21,10.0991,10.194,9.90917,9.90917
FBIZ,2005-10-24,9.65903,9.90621,9.64519,9.65112
FBIZ,2005-10-25,9.89732,9.89732,9.89732,9.89732
FBIZ,2005-10-26,9.65112,9.65112,9.65112,9.65112
FBIZ,2005-10-27,9.52555,9.52555,9.52555,9.52555
FBIZ,2005-10-28,9.52555,9.52555,9.52555,9.52555
FBIZ,2005-10-31,9.52555,9.52555,9.52555,9.52555
FBIZ,2005-11-01,9.52159,9.52159,9.52159,9.52159
FBIZ,2005-11-04,9.29873,9.29873,9.29873,9.29873
FBIZ,2005-11-07,9.24119,9.24119,9.12254,9.12254
FBIZ,2005-11-08,8.95544,9.29279,8.95544,9.14666
FBIZ,2005-11-09,11.53,12.5,11.53,12.5
FBIZ,2005-11-10,12.5,12.5,12.5,12.5
FBIZ,2005-11-11,12.32,12.32,12.32,12.32
FBIZ,2005-11-14,12.0,12.0,12.0,12.0
FBIZ,2005-11-15,12.0,12.0,12.0,12.0
FBIZ,2005-11-16,12.0,12.0,12.0,12.0
FBIZ,2005-11-17,11.99,11.99,11.88,11.88
FBIZ,2005-11-18,11.88,11.88,11.88,11.88
FBIZ,2005-11-21,11.88,11.88,11.88,11.88
FBIZ,2005-11-22,12.0,12.0,12.0,12.0
FBIZ,2005-11-23,12.0,12.0,12.0,12.0
FBIZ,2005-11-25,12.0,12.0,12.0,12.0
FBIZ,2005-11-28,12.0,12.0,12.0,12.0
FBIZ,2005-11-29,12.0,12.0,12.0,12.0
FBIZ,2005-11-30,12.0,12.0,12.0,12.0
FBIZ,2005-12-01,12.0,12.02,11.88,11.88
FBIZ,2005-12-02,11.88,11.88,11.88,11.88
FBIZ,2005-12-05,11.88,11.88,11.88,11.88
FBIZ,2005-12-06,11.99,11.99,11.93,11.93
FBIZ,2005-12-07,11.93,11.93,11.93,11.93
FBIZ,2005-12-08,11.93,11.93,11.93,11.93
FBIZ,2005-12-09,12.0,12.0,12.0,12.0
FBIZ,2005-12-12,12.05,12.05,12.05,12.05
FBIZ,2005-12-13,12.02,12.02,12.02,12.02
FBIZ,2005-12-14,12.03,12.03,12.03,12.03
FBIZ,2005-12-15,12.38,12.38,12.0,12.0
FBIZ,2005-12-16,12.0,12.0,11.9,11.9
FBIZ,2005-12-19,11.9,11.9,11.9,11.9
FBIZ,2005-12-20,11.95,11.95,11.9,11.9
FBIZ,2005-12-21,11.9,11.9,11.9,11.9
FBIZ,2005-12-22,11.9,11.9,11.9,11.9
FBIZ,2005-12-23,11.9,11.9,11.9,11.9
FBIZ,2005-12-27,11.9,11.9,11.9,11.9
FBIZ,2005-12-28,11.91,11.91,11.91,11.91
FBIZ,2005-12-29,11.9,11.9,11.9,11.9
FBIZ,2005-12-30,11.9,12.0,11.85,11.85
FBIZ,2006-01-03,11.75,11.75,11.75,11.75
FBIZ,2006-01-04,11.75,11.75,11.75,11.75
FBIZ,2006-01-05,11.9,12.0,11.9,12.0
FBIZ,2006-01-06,11.9,11.9,11.9,11.9
FBIZ,2006-01-09,11.9,11.9,11.9,11.9
FBIZ,2006-01-10,11.9,11.9,11.9,11.9
FBIZ,2006-01-11,11.9,11.9,11.9,11.9
FBIZ,2006-01-12,11.9,11.9,11.9,11.9
FBIZ,2006-01-13,11.9,11.9,11.9,11.9
FBIZ,2006-01-17,11.9,11.9,11.9,11.9
FBIZ,2006-01-18,11.9,11.9,11.9,11.9
FBIZ,2006-01-19,11.69,11.88,11.69,11.88
FBIZ,2006-01-20,11.88,11.88,11.88,11.88
FBIZ,2006-01-23,11.88,11.88,11.88,11.88
FBIZ,2006-01-24,11.88,11.88,11.88,11.88
FBIZ,2006-01-25,11.75,11.75,11.75,11.75
FBIZ,2006-01-26,11.69,11.69,11.69,11.69
