ticker,date,open,high,low,close
FC,1992-06-03,16.5,17.88,16.12,17.88
FC,1992-06-04,17.88,19.25,17.88,18.88
FC,1992-06-05,18.75,18.75,17.5,18.62
FC,1992-06-08,18.5,18.62,17.75,17.88
FC,1992-06-09,17.75,17.88,16.75,16.88
FC,1992-06-10,16.62,17.12,16.62,16.75
FC,1992-06-11,17.12,17.12,16.88,17.0
FC,1992-06-12,17.0,17.0,16.0,16.5
FC,1992-06-15,16.62,16.88,16.5,16.5
FC,1992-06-16,16.62,16.75,16.5,16.75
FC,1992-06-17,16.5,16.62,16.0,16.12
FC,1992-06-18,16.12,16.25,16.0,16.25
FC,1992-06-19,16.25,16.5,16.25,16.5
FC,1992-06-22,16.75,16.88,16.25,16.75
FC,1992-06-23,16.88,16.88,16.38,16.75
FC,1992-06-24,16.75,17.25,16.75,16.88
FC,1992-06-25,16.75,17.25,16.75,17.25
FC,1992-06-26,17.25,17.62,17.12,17.62
FC,1992-06-29,17.88,18.5,17.88,18.38
FC,1992-06-30,18.62,19.12,18.5,18.5
FC,1992-07-01,18.75,19.88,18.62,19.62
FC,1992-07-02,19.75,20.0,18.88,19.12
FC,1992-07-06,19.0,19.0,18.62,18.75
FC,1992-07-07,18.62,18.62,18.12,18.12
FC,1992-07-08,18.0,18.25,18.0,18.12
FC,1992-07-09,18.25,18.25,18.12,18.12
FC,1992-07-10,18.12,18.25,18.12,18.25
FC,1992-07-13,18.38,19.0,18.38,18.88
FC,1992-07-14,19.12,19.12,18.75,18.88
FC,1992-07-15,18.88,19.38,18.62,19.25
FC,1992-07-16,19.38,19.38,18.75,18.88
FC,1992-07-17,18.88,18.88,18.25,18.38
FC,1992-07-20,18.5,18.5,18.12,18.25
FC,1992-07-21,18.25,18.25,18.0,18.12
FC,1992-07-22,18.12,18.12,17.88,18.0
FC,1992-07-23,17.88,17.88,17.75,17.88
FC,1992-07-24,17.62,17.62,17.25,17.38
FC,1992-07-27,17.38,18.0,17.25,18.0
FC,1992-07-28,17.88,18.0,17.75,17.88
FC,1992-07-29,17.88,18.0,17.75,18.0
FC,1992-07-30,18.12,18.12,18.0,18.12
FC,1992-07-31,18.12,18.12,18.0,18.0
FC,1992-08-03,18.12,18.62,18.12,18.62
FC,1992-08-04,18.62,19.75,18.62,19.5
FC,1992-08-05,19.38,19.38,19.12,19.12
FC,1992-08-06,19.0,19.38,18.88,19.25
FC,1992-08-07,19.25,19.25,19.0,19.0
FC,1992-08-10,19.12,19.12,18.88,19.0
FC,1992-08-11,19.0,19.0,18.88,19.0
FC,1992-08-12,19.0,19.0,18.88,19.0
FC,1992-08-13,19.12,19.25,19.0,19.12
FC,1992-08-14,19.25,19.5,19.25,19.5
FC,1992-08-17,19.5,19.5,19.25,19.25
FC,1992-08-18,19.25,19.38,19.12,19.25
FC,1992-08-19,19.25,19.25,19.0,19.25
FC,1992-08-20,19.25,19.25,19.0,19.12
FC,1992-08-21,19.25,19.25,18.88,18.88
FC,1992-08-24,18.75,18.75,18.5,18.5
FC,1992-08-25,18.38,18.38,17.75,17.75
FC,1992-08-26,17.5,17.5,15.88,16.75
FC,1992-08-27,16.75,17.25,16.38,16.75
FC,1992-08-28,16.88,16.88,16.75,16.75
FC,1992-08-31,16.5,16.5,15.62,16.0
FC,1992-09-01,16.12,17.38,16.12,17.0
