ticker,date,open,high,low,close
FDS,1996-06-28,4.11,4.56,4.08,4.44
FDS,1996-07-01,4.39,4.5,4.39,4.47
FDS,1996-07-02,4.42,4.61,4.42,4.56
FDS,1996-07-03,4.58,4.58,4.42,4.5
FDS,1996-07-05,4.42,4.42,4.31,4.42
FDS,1996-07-08,4.44,4.44,4.11,4.14
FDS,1996-07-09,4.17,4.22,4.11,4.11
FDS,1996-07-10,4.11,4.14,3.94,3.94
FDS,1996-07-11,3.89,3.89,3.69,3.83
FDS,1996-07-12,3.83,3.89,3.83,3.86
FDS,1996-07-15,3.83,3.94,3.83,3.83
FDS,1996-07-16,3.81,3.81,3.44,3.5
FDS,1996-07-17,3.56,3.86,3.56,3.81
FDS,1996-07-18,3.78,3.81,3.78,3.81
FDS,1996-07-19,3.81,3.83,3.81,3.83
FDS,1996-07-22,3.89,3.94,3.86,3.89
FDS,1996-07-23,3.92,3.92,3.78,3.78
FDS,1996-07-24,3.78,3.81,3.72,3.81
FDS,1996-07-25,3.81,3.86,3.81,3.86
FDS,1996-07-26,3.89,3.89,3.89,3.89
FDS,1996-07-29,3.92,4.08,3.92,4.06
FDS,1996-07-30,4.06,4.22,4.03,4.22
FDS,1996-07-31,4.22,4.47,4.22,4.44
FDS,1996-08-01,4.44,4.44,4.36,4.36
FDS,1996-08-02,4.44,4.44,4.31,4.31
FDS,1996-08-05,4.36,4.42,4.36,4.39
FDS,1996-08-06,4.42,4.42,4.36,4.36
FDS,1996-08-07,4.31,4.31,4.11,4.11
FDS,1996-08-08,4.08,4.11,4.06,4.08
FDS,1996-08-09,4.14,4.28,4.14,4.25
FDS,1996-08-12,4.25,4.28,4.25,4.28
FDS,1996-08-13,4.25,4.28,4.22,4.22
FDS,1996-08-14,4.22,4.28,4.22,4.28
FDS,1996-08-15,4.31,4.36,4.31,4.33
FDS,1996-08-16,4.36,4.39,4.33,4.39
FDS,1996-08-19,4.33,4.33,4.31,4.31
FDS,1996-08-20,4.31,4.36,4.31,4.33
FDS,1996-08-21,4.33,4.33,4.33,4.33
FDS,1996-08-22,4.36,4.36,4.33,4.33
FDS,1996-08-23,4.33,4.36,4.31,4.31
FDS,1996-08-26,4.31,4.31,4.31,4.31
FDS,1996-08-27,4.31,4.33,4.31,4.33
FDS,1996-08-28,4.36,4.53,4.36,4.53
FDS,1996-08-29,4.53,4.53,4.42,4.42
FDS,1996-08-30,4.44,4.5,4.44,4.5
FDS,1996-09-03,4.44,4.44,4.36,4.39
FDS,1996-09-04,4.33,4.33,4.33,4.33
FDS,1996-09-05,4.36,4.44,4.36,4.44
FDS,1996-09-06,4.39,4.44,4.39,4.44
FDS,1996-09-09,4.44,4.44,4.42,4.44
FDS,1996-09-10,4.44,4.44,4.44,4.44
FDS,1996-09-11,4.42,4.42,4.39,4.39
