ticker,date,open,high,low,close
FLT,2010-12-15,25.0,28.75,24.5,27.25
FLT,2010-12-16,26.84,28.47,26.84,27.35
FLT,2010-12-17,27.17,28.14,27.17,28.07
FLT,2010-12-20,28.74,29.18,28.16,28.53
FLT,2010-12-21,29.0,30.0,28.98,29.75
FLT,2010-12-22,29.63,30.2,28.96,29.08
FLT,2010-12-23,28.91,30.81,28.91,30.81
FLT,2010-12-27,30.83,31.43,30.5,30.99
FLT,2010-12-28,30.83,31.42,30.06,31.06
FLT,2010-12-29,31.0,31.43,30.58,31.0
FLT,2010-12-30,30.71,30.99,30.53,30.8
FLT,2010-12-31,30.57,30.98,30.34,30.92
FLT,2011-01-03,31.25,31.25,30.1,30.47
FLT,2011-01-04,30.0,30.23,28.75,29.98
FLT,2011-01-05,30.11,30.5,30.0,30.4
FLT,2011-01-06,30.73,30.73,30.03,30.03
FLT,2011-01-07,30.24,30.47,29.61,29.99
FLT,2011-01-10,30.0,30.15,29.95,30.0
FLT,2011-01-11,30.05,31.23,30.0,31.14
FLT,2011-01-12,31.36,31.5,30.9,30.94
FLT,2011-01-13,30.9,30.9,29.56,30.2
FLT,2011-01-14,30.07,30.42,30.0,30.25
FLT,2011-01-18,29.86,30.48,29.23,30.23
FLT,2011-01-19,30.02,30.46,29.95,30.19
FLT,2011-01-20,30.02,30.4,29.89,30.05
FLT,2011-01-21,30.16,30.84,30.16,30.5
FLT,2011-01-24,30.01,31.63,29.89,31.57
FLT,2011-01-25,31.4,32.97,30.98,31.05
FLT,2011-01-26,31.07,32.17,30.0,31.3
FLT,2011-01-27,31.19,31.33,30.11,30.2
FLT,2011-01-28,30.03,30.28,29.7,29.98
FLT,2011-01-31,29.95,30.31,29.72,30.0
FLT,2011-02-01,30.05,30.47,29.91,30.04
FLT,2011-02-02,29.82,30.09,29.81,30.0
FLT,2011-02-03,29.96,30.02,29.5,30.0
FLT,2011-02-04,30.0,30.12,29.75,29.99
FLT,2011-02-07,29.94,31.54,29.92,30.51
FLT,2011-02-08,30.62,31.36,30.53,31.16
FLT,2011-02-09,30.99,31.35,30.93,31.28
FLT,2011-02-10,31.08,31.46,30.9,31.27
FLT,2011-02-11,31.08,31.51,30.82,31.51
FLT,2011-02-14,31.37,31.37,30.87,31.0
FLT,2011-02-15,30.84,31.17,30.75,31.0
FLT,2011-02-16,31.17,31.49,31.0,31.48
FLT,2011-02-17,31.4,35.13,31.17,32.5
FLT,2011-02-18,32.7,33.79,32.29,33.51
FLT,2011-02-22,33.15,33.58,31.68,31.96
FLT,2011-02-23,31.95,32.36,31.77,32.0
FLT,2011-02-24,32.62,33.36,32.33,32.49
FLT,2011-02-25,32.6,32.81,31.8,32.06
FLT,2011-02-28,32.15,32.32,31.68,31.99
FLT,2011-03-01,31.95,32.5,30.43,30.7
FLT,2011-03-02,30.61,30.61,29.79,30.07
FLT,2011-03-03,30.25,30.76,30.16,30.7
FLT,2011-03-04,30.71,30.89,30.07,30.75
FLT,2011-03-07,30.76,30.93,30.08,30.36
FLT,2011-03-08,30.45,30.84,30.3,30.44
FLT,2011-03-09,30.36,30.48,29.81,30.17
FLT,2011-03-10,29.9,30.51,29.61,30.25
FLT,2011-03-11,30.23,30.98,29.89,30.51
FLT,2011-03-14,30.32,31.36,30.14,31.33
FLT,2011-03-15,30.81,31.6,30.17,31.55
FLT,2011-03-16,31.45,31.86,31.11,31.43
FLT,2011-03-17,31.81,31.93,30.83,31.35
FLT,2011-03-18,31.73,31.82,31.21,31.58
FLT,2011-03-21,31.92,33.58,31.71,33.15
FLT,2011-03-22,33.07,33.07,32.72,32.73
FLT,2011-03-23,32.75,33.43,31.9,33.31
FLT,2011-03-24,33.42,34.1,32.97,33.17
FLT,2011-03-25,33.18,33.55,32.76,33.09
FLT,2011-03-28,33.09,34.91,32.9,34.4
FLT,2011-03-29,34.28,34.31,32.39,32.7
