ticker,date,open,high,low,close
FMBH,1999-03-16,10.67,10.67,10.67,10.67
FMBH,1999-03-17,10.67,10.67,10.67,10.67
FMBH,1999-03-18,10.67,10.67,10.67,10.67
FMBH,1999-03-19,10.67,10.67,10.67,10.67
FMBH,1999-03-22,10.67,10.67,10.67,10.67
FMBH,1999-03-23,10.67,10.67,10.67,10.67
FMBH,1999-03-24,10.67,10.67,10.67,10.67
FMBH,1999-03-25,10.67,10.67,10.67,10.67
FMBH,1999-03-26,10.59,10.65,10.59,10.65
FMBH,1999-03-29,10.74,10.81,10.74,10.81
FMBH,1999-03-30,10.89,10.89,10.67,10.89
FMBH,1999-03-31,10.89,10.89,10.89,10.89
FMBH,1999-04-01,10.89,10.89,10.89,10.89
FMBH,1999-04-05,10.89,10.89,10.89,10.89
FMBH,1999-04-06,10.89,10.89,10.89,10.89
FMBH,1999-04-07,10.89,10.89,10.89,10.89
FMBH,1999-04-08,10.89,10.89,10.89,10.89
FMBH,1999-04-09,10.89,10.89,10.89,10.89
FMBH,1999-04-12,11.04,11.04,10.59,10.59
FMBH,1999-04-13,10.59,10.59,10.59,10.59
FMBH,1999-04-14,10.59,10.59,10.59,10.59
FMBH,1999-04-15,10.59,10.59,10.59,10.59
FMBH,1999-04-16,10.59,10.59,10.59,10.59
FMBH,1999-04-19,10.67,10.78,10.67,10.78
FMBH,1999-04-20,10.78,10.78,10.78,10.78
FMBH,1999-04-21,10.78,10.78,10.78,10.78
FMBH,1999-04-22,10.78,10.78,10.78,10.78
FMBH,1999-04-23,10.78,10.78,10.78,10.78
FMBH,1999-04-26,11.0,11.0,10.67,10.67
FMBH,1999-04-27,10.67,10.67,10.59,10.59
FMBH,1999-04-28,10.59,10.59,10.59,10.59
FMBH,1999-04-29,10.59,10.59,10.59,10.59
FMBH,1999-04-30,10.59,10.59,10.59,10.59
FMBH,1999-05-03,10.59,10.59,10.59,10.59
FMBH,1999-05-04,10.59,10.59,10.59,10.59
FMBH,1999-05-05,10.67,10.67,10.59,10.59
FMBH,1999-05-06,10.81,10.81,10.81,10.81
FMBH,1999-05-07,10.59,10.59,10.59,10.59
FMBH,1999-05-10,10.59,10.67,10.59,10.67
FMBH,1999-05-11,10.81,10.81,10.74,10.74
FMBH,1999-05-12,10.67,10.81,10.67,10.81
FMBH,1999-05-13,10.81,10.81,10.81,10.81
FMBH,1999-05-14,10.81,10.81,10.81,10.81
FMBH,1999-05-17,10.81,10.81,10.81,10.81
FMBH,1999-05-18,10.59,10.59,10.59,10.59
FMBH,1999-05-19,10.59,10.59,10.59,10.59
FMBH,1999-05-20,10.59,10.59,10.59,10.59
FMBH,1999-05-21,10.59,10.59,10.59,10.59
FMBH,1999-05-24,10.7,10.81,10.7,10.74
FMBH,1999-05-25,10.81,10.81,10.81,10.81
FMBH,1999-05-26,10.74,10.81,10.59,10.81
FMBH,1999-05-27,11.11,11.11,11.11,11.11
FMBH,1999-05-28,11.11,11.26,11.11,11.26
FMBH,1999-06-01,11.56,11.7,10.96,10.96
FMBH,1999-06-02,10.96,10.96,10.96,10.96
FMBH,1999-06-03,11.7,11.7,11.7,11.7
FMBH,1999-06-04,11.7,11.7,11.7,11.7
FMBH,1999-06-07,10.96,10.96,10.96,10.96
FMBH,1999-06-08,10.96,10.96,10.96,10.96
FMBH,1999-06-09,10.96,10.96,10.96,10.96
FMBH,1999-06-10,10.96,10.96,10.96,10.96
FMBH,1999-06-11,10.96,10.96,10.96,10.96
FMBH,1999-06-14,11.7,11.7,11.7,11.7
FMBH,1999-06-15,11.63,11.63,11.63,11.63
FMBH,1999-06-16,11.56,11.63,11.56,11.63
FMBH,1999-06-17,11.63,11.63,11.63,11.63
FMBH,1999-06-18,11.26,11.26,11.26,11.26
FMBH,1999-06-21,11.26,11.26,10.52,10.52
FMBH,1999-06-22,10.67,10.67,10.67,10.67
FMBH,1999-06-23,10.67,10.67,10.67,10.67
FMBH,1999-06-24,10.59,10.59,10.59,10.59
FMBH,1999-06-25,10.59,10.59,10.59,10.59
FMBH,1999-06-28,10.59,10.59,10.59,10.59
FMBH,1999-06-29,10.67,10.67,10.67,10.67
FMBH,1999-06-30,10.67,10.67,10.67,10.67
FMBH,1999-07-01,10.67,10.67,10.67,10.67
FMBH,1999-07-02,10.52,10.59,10.52,10.59
FMBH,1999-07-06,10.67,10.67,10.67,10.67
FMBH,1999-07-07,10.67,10.67,10.67,10.67
FMBH,1999-07-08,10.67,10.67,10.67,10.67
FMBH,1999-07-09,10.67,10.67,10.67,10.67
FMBH,1999-07-12,10.67,10.67,10.67,10.67
FMBH,1999-07-13,10.67,10.67,10.67,10.67
FMBH,1999-07-14,10.67,10.67,10.67,10.67
FMBH,1999-07-15,10.67,10.67,10.67,10.67
FMBH,1999-07-16,10.67,10.67,10.67,10.67
FMBH,1999-07-19,10.67,10.67,10.67,10.67
FMBH,1999-07-20,10.67,10.67,10.67,10.67
FMBH,1999-07-21,10.67,10.67,10.67,10.67
FMBH,1999-07-22,10.67,10.67,10.67,10.67
FMBH,1999-07-23,10.67,10.67,10.67,10.67
FMBH,1999-07-26,10.67,10.67,10.67,10.67
FMBH,1999-07-27,10.67,10.67,10.67,10.67
FMBH,1999-07-28,10.67,10.67,10.67,10.67
FMBH,1999-07-29,10.67,10.67,10.67,10.67
FMBH,1999-07-30,10.67,10.67,10.67,10.67
FMBH,1999-08-02,10.67,10.67,10.67,10.67
FMBH,1999-08-03,10.67,10.67,10.67,10.67
FMBH,1999-08-04,10.59,10.59,10.59,10.59
FMBH,1999-08-05,10.67,10.67,10.59,10.59
FMBH,1999-08-06,10.44,10.44,10.44,10.44
FMBH,1999-08-09,10.44,10.44,10.44,10.44
FMBH,1999-08-10,10.44,10.44,10.44,10.44
FMBH,1999-08-11,10.59,10.59,10.59,10.59
FMBH,1999-08-12,10.59,10.59,10.59,10.59
FMBH,1999-08-13,10.59,10.59,10.59,10.59
FMBH,1999-08-16,10.59,10.59,10.59,10.59
FMBH,1999-08-17,10.59,10.59,10.59,10.59
FMBH,1999-08-18,10.59,10.59,10.59,10.59
FMBH,1999-08-19,10.44,10.44,10.44,10.44
FMBH,1999-08-20,10.44,10.44,10.44,10.44
FMBH,1999-08-23,10.44,10.44,10.44,10.44
FMBH,1999-08-24,10.44,10.44,10.44,10.44
FMBH,1999-08-25,10.44,10.44,10.44,10.44
FMBH,1999-08-26,10.44,10.44,10.44,10.44
FMBH,1999-08-27,10.44,10.44,10.44,10.44
FMBH,1999-08-30,10.44,10.44,10.44,10.44
FMBH,1999-08-31,10.44,10.44,10.44,10.44
FMBH,1999-09-01,10.44,10.44,10.44,10.44
FMBH,1999-09-02,10.52,10.52,10.44,10.44
FMBH,1999-09-03,10.52,10.52,10.52,10.52
FMBH,1999-09-07,10.52,10.52,10.52,10.52
FMBH,1999-09-08,10.52,10.52,10.52,10.52
FMBH,1999-09-09,10.52,10.52,10.52,10.52
FMBH,1999-09-10,10.52,10.52,10.52,10.52
FMBH,1999-09-13,10.52,10.52,10.52,10.52
FMBH,1999-09-14,10.44,10.48,10.44,10.48
FMBH,1999-09-15,10.48,10.48,10.48,10.48
FMBH,1999-09-16,10.48,10.48,10.48,10.48
FMBH,1999-09-17,10.48,10.48,10.48,10.48
FMBH,1999-09-20,10.48,10.48,10.48,10.48
FMBH,1999-09-21,10.48,10.48,10.48,10.48
FMBH,1999-09-22,10.48,10.48,10.48,10.48
FMBH,1999-09-23,10.44,10.44,10.44,10.44
FMBH,1999-09-24,10.44,10.44,10.44,10.44
FMBH,1999-09-27,10.44,10.44,10.44,10.44
FMBH,1999-09-28,10.44,10.44,10.44,10.44
FMBH,1999-09-29,10.44,10.44,10.44,10.44
FMBH,1999-09-30,10.44,10.44,10.44,10.44
FMBH,1999-10-01,10.44,10.44,10.44,10.44
FMBH,1999-10-04,10.44,10.44,10.44,10.44
FMBH,1999-10-05,10.44,10.44,10.44,10.44
FMBH,1999-10-06,10.67,10.67,10.67,10.67
FMBH,1999-10-07,10.67,10.67,10.67,10.67
FMBH,1999-10-08,10.67,10.67,10.67,10.67
FMBH,1999-10-11,10.67,10.67,10.67,10.67
FMBH,1999-10-12,10.67,10.67,10.67,10.67
FMBH,1999-10-13,10.67,10.67,10.67,10.67
FMBH,1999-10-14,10.67,10.67,10.67,10.67
FMBH,1999-10-15,10.67,10.67,10.67,10.67
FMBH,1999-10-18,10.67,10.67,10.67,10.67
FMBH,1999-10-19,10.67,10.67,10.67,10.67
FMBH,1999-10-20,9.78,10.37,9.78,10.37
FMBH,1999-10-21,10.59,10.59,10.59,10.59
FMBH,1999-10-22,10.59,10.59,10.59,10.59
FMBH,1999-10-25,10.59,10.59,10.59,10.59
FMBH,1999-10-26,10.59,10.59,10.59,10.59
FMBH,1999-10-27,10.59,10.59,10.59,10.59
FMBH,1999-10-28,10.74,10.74,10.74,10.74
FMBH,1999-10-29,10.74,10.74,10.74,10.74
FMBH,1999-11-01,10.37,10.37,10.37,10.37
FMBH,1999-11-02,10.37,10.37,10.37,10.37
FMBH,1999-11-03,10.37,10.37,10.37,10.37
FMBH,1999-11-04,10.37,10.37,10.37,10.37
FMBH,1999-11-05,10.37,10.37,10.37,10.37
FMBH,1999-11-08,10.37,10.37,10.37,10.37
FMBH,1999-11-09,10.37,10.37,10.37,10.37
FMBH,1999-11-10,10.52,10.52,10.52,10.52
FMBH,1999-11-11,10.52,10.52,10.52,10.52
FMBH,1999-11-12,10.52,10.52,10.52,10.52
FMBH,1999-11-15,10.52,10.52,10.52,10.52
FMBH,1999-11-16,10.52,10.52,10.52,10.52
FMBH,1999-11-17,10.52,10.52,10.52,10.52
FMBH,1999-11-18,10.52,10.52,10.52,10.52
FMBH,1999-11-19,10.52,10.52,10.52,10.52
FMBH,1999-11-22,10.52,10.52,10.52,10.52
FMBH,1999-11-23,10.37,10.37,10.37,10.37
FMBH,1999-11-24,10.37,10.37,10.37,10.37
FMBH,1999-11-26,10.37,10.37,10.37,10.37
FMBH,1999-11-29,10.37,10.37,10.37,10.37
FMBH,1999-11-30,10.37,10.37,10.37,10.37
FMBH,1999-12-01,10.37,10.37,10.37,10.37
FMBH,1999-12-02,10.37,10.37,10.37,10.37
FMBH,1999-12-03,10.37,10.37,10.37,10.37
FMBH,1999-12-06,10.37,10.37,10.37,10.37
FMBH,1999-12-07,10.37,10.37,10.37,10.37
FMBH,1999-12-08,10.22,10.22,10.22,10.22
FMBH,1999-12-09,10.22,10.22,10.22,10.22
FMBH,1999-12-10,10.22,10.22,10.22,10.22
FMBH,1999-12-13,10.22,10.22,10.22,10.22
FMBH,1999-12-14,10.22,10.22,10.22,10.22
FMBH,1999-12-15,10.22,10.22,10.22,10.22
FMBH,1999-12-16,10.22,10.22,10.22,10.22
FMBH,1999-12-17,9.98,10.04,9.78,9.93
FMBH,1999-12-20,9.78,9.93,9.56,9.93
FMBH,1999-12-21,10.22,10.37,10.22,10.37
FMBH,1999-12-22,10.37,10.37,10.37,10.37
FMBH,1999-12-23,10.37,10.37,10.37,10.37
FMBH,1999-12-27,10.37,10.37,10.37,10.37
FMBH,1999-12-28,10.37,10.37,10.37,10.37
FMBH,1999-12-29,10.37,10.37,10.37,10.37
FMBH,1999-12-30,10.37,10.37,10.37,10.37
FMBH,1999-12-31,10.07,10.07,10.07,10.07
FMBH,2000-01-03,10.11,10.11,10.11,10.11
FMBH,2000-01-04,10.11,10.11,10.11,10.11
FMBH,2000-01-05,10.11,10.11,10.11,10.11
FMBH,2000-01-06,10.11,10.11,10.11,10.11
FMBH,2000-01-07,10.11,10.11,10.11,10.11
FMBH,2000-01-10,10.11,10.11,10.11,10.11
FMBH,2000-01-11,10.11,10.11,10.11,10.11
FMBH,2000-01-12,10.11,10.11,10.11,10.11
FMBH,2000-01-13,9.7,9.7,9.7,9.7
FMBH,2000-01-14,9.7,9.7,9.7,9.7
FMBH,2000-01-18,9.7,9.7,9.7,9.7
FMBH,2000-01-19,9.7,9.7,9.7,9.7
FMBH,2000-01-20,9.7,9.7,9.7,9.7
FMBH,2000-01-21,9.7,9.7,9.7,9.7
FMBH,2000-01-24,9.7,9.7,9.7,9.7
FMBH,2000-01-25,9.59,9.85,9.59,9.85
FMBH,2000-01-26,10.11,10.11,10.11,10.11
FMBH,2000-01-27,10.11,10.11,10.11,10.11
FMBH,2000-01-28,10.07,10.11,10.07,10.11
FMBH,2000-01-31,10.11,10.11,10.11,10.11
FMBH,2000-02-01,10.11,10.11,10.11,10.11
FMBH,2000-02-02,9.63,9.63,9.63,9.63
FMBH,2000-02-03,9.63,9.63,9.63,9.63
FMBH,2000-02-04,9.63,9.63,9.63,9.63
FMBH,2000-02-07,9.63,9.63,9.63,9.63
FMBH,2000-02-08,9.93,9.93,9.74,9.74
FMBH,2000-02-09,9.74,9.74,9.74,9.74
FMBH,2000-02-10,9.74,9.74,9.74,9.74
FMBH,2000-02-11,9.63,9.78,9.63,9.78
FMBH,2000-02-14,9.78,9.78,9.78,9.78
FMBH,2000-02-15,9.78,9.78,9.78,9.78
FMBH,2000-02-16,9.78,9.78,9.78,9.78
FMBH,2000-02-17,9.78,9.78,9.78,9.78
FMBH,2000-02-18,9.78,9.78,9.78,9.78
FMBH,2000-02-22,9.78,9.78,9.78,9.78
FMBH,2000-02-23,9.78,9.78,9.78,9.78
FMBH,2000-02-24,9.48,9.48,9.48,9.48
FMBH,2000-02-25,9.48,9.48,9.48,9.48
FMBH,2000-02-28,9.48,9.48,9.48,9.48
FMBH,2000-02-29,9.48,9.48,9.48,9.48
FMBH,2000-03-01,9.48,9.48,9.48,9.48
FMBH,2000-03-02,9.48,9.48,9.48,9.48
FMBH,2000-03-03,9.48,9.48,9.48,9.48
FMBH,2000-03-06,9.48,9.48,9.48,9.48
FMBH,2000-03-07,9.48,9.48,9.48,9.48
FMBH,2000-03-08,9.48,9.48,9.48,9.48
FMBH,2000-03-09,9.48,9.48,9.48,9.48
FMBH,2000-03-10,9.48,9.48,9.48,9.48
FMBH,2000-03-13,9.48,9.48,9.48,9.48
FMBH,2000-03-14,9.78,9.78,9.56,9.56
FMBH,2000-03-15,9.56,9.56,9.56,9.56
FMBH,2000-03-16,9.56,9.56,9.56,9.56
FMBH,2000-03-17,9.56,9.56,9.56,9.56
