ticker,date,open,high,low,close
FNV,2007-12-07,15.05,15.05,15.05,15.05
FNV,2007-12-10,14.97,14.97,14.97,14.97
FNV,2007-12-11,14.96,14.96,14.96,14.96
FNV,2007-12-12,14.88,14.88,14.88,14.88
FNV,2007-12-13,14.84,14.84,14.84,14.84
FNV,2007-12-14,14.64,14.75,14.64,14.64
FNV,2007-12-17,14.59,14.64,14.54,14.59
FNV,2007-12-18,13.63,13.63,13.63,13.63
FNV,2007-12-19,14.37,14.42,14.32,14.37
FNV,2007-12-20,14.17,14.29,14.13,14.17
FNV,2007-12-21,14.99,14.99,14.21,14.99
FNV,2007-12-24,15.39,15.39,15.39,15.39
FNV,2007-12-26,15.39,15.39,15.39,15.39
FNV,2007-12-27,15.45,15.48,15.38,15.45
FNV,2007-12-28,15.49,15.5,15.49,15.49
FNV,2007-12-31,15.26,15.3,15.26,15.26
FNV,2008-01-02,15.41,15.41,15.34,15.41
FNV,2008-01-03,16.46,16.56,15.59,16.46
FNV,2008-01-04,16.43,16.47,16.4,16.43
FNV,2008-01-07,16.49,16.5,16.0,16.49
FNV,2008-01-08,17.69,17.69,17.0,17.69
FNV,2008-01-09,18.13,18.19,17.52,18.13
FNV,2008-01-10,18.48,18.48,18.19,18.48
FNV,2008-01-11,19.3,19.39,18.32,19.3
FNV,2008-01-14,20.06,20.06,19.87,20.06
FNV,2008-01-15,18.81,19.91,18.79,18.81
FNV,2008-01-16,18.47,18.51,17.97,18.47
FNV,2008-01-17,17.53,18.1,17.53,17.53
FNV,2008-01-18,17.65,18.06,17.51,17.65
FNV,2008-01-22,17.47,17.74,16.48,17.47
FNV,2008-01-23,17.18,17.53,17.07,17.18
FNV,2008-01-24,18.44,18.67,18.38,18.44
FNV,2008-01-25,19.16,19.26,19.01,19.16
FNV,2008-01-28,19.45,19.45,18.89,19.45
FNV,2008-01-29,19.42,19.61,19.42,19.42
FNV,2008-01-30,19.42,19.42,19.42,19.42
FNV,2008-01-31,19.39,19.39,19.39,19.39
FNV,2008-02-01,19.04,19.47,18.69,19.04
FNV,2008-02-04,19.62,19.62,18.88,19.62
FNV,2008-02-05,18.96,19.19,18.95,18.96
FNV,2008-02-06,19.59,19.86,19.22,19.59
FNV,2008-02-07,19.74,19.74,19.55,19.74
FNV,2008-02-08,20.26,20.3,20.26,20.26
FNV,2008-02-11,20.6,20.71,19.86,20.6
FNV,2008-02-12,20.68,21.02,20.61,20.68
FNV,2008-02-13,20.67,20.81,20.38,20.67
FNV,2008-02-14,21.08,21.08,20.48,21.08
FNV,2008-02-15,20.82,20.93,20.63,20.82
FNV,2008-02-19,22.02,22.02,21.39,22.02
FNV,2008-02-20,22.13,22.4,21.99,22.13
FNV,2008-02-21,22.48,22.92,22.48,22.48
FNV,2008-02-22,21.54,21.57,21.14,21.54
