ticker,date,open,high,low,close
GAMB,2021-07-23,8.25,8.75,7.4,8.0
GAMB,2021-07-26,7.88,8.89,7.8,8.29
GAMB,2021-07-27,8.28,8.28,6.68,7.33
GAMB,2021-07-28,7.33,7.5,6.77,7.07
GAMB,2021-07-29,7.26,7.26,6.8,6.8
GAMB,2021-07-30,6.77,7.2,6.77,7.0
GAMB,2021-08-02,6.78,7.46,6.56,7.01
GAMB,2021-08-03,7.11,7.44,6.62,7.0
GAMB,2021-08-04,7.0,7.1,6.75,7.03
GAMB,2021-08-05,7.05,7.49,7.01,7.24
GAMB,2021-08-06,7.2,7.38,6.86,7.23
GAMB,2021-08-09,7.15,7.4,7.1,7.36
GAMB,2021-08-10,7.35,7.95,7.35,7.95
GAMB,2021-08-11,8.0,8.28,7.53,7.96
GAMB,2021-08-12,7.95,7.95,7.56,7.74
GAMB,2021-08-13,7.76,8.01,7.65,7.86
GAMB,2021-08-16,8.0,8.0,7.28,7.51
GAMB,2021-08-17,7.6,7.98,6.89,7.27
GAMB,2021-08-18,7.44,7.53,6.97,6.97
GAMB,2021-08-19,6.95,7.21,6.82,6.82
GAMB,2021-08-20,6.82,7.13,6.63,6.74
GAMB,2021-08-23,6.99,7.3,6.6,6.77
GAMB,2021-08-24,6.8,7.28,6.73,6.82
GAMB,2021-08-25,6.82,7.04,6.75,6.87
GAMB,2021-08-26,7.02,9.29,7.02,8.5
GAMB,2021-08-27,8.71,14.73,8.71,14.19
GAMB,2021-08-30,12.4,14.36,12.11,12.78
GAMB,2021-08-31,12.31,13.15,11.05,11.43
GAMB,2021-09-01,11.48,13.65,11.2,12.91
GAMB,2021-09-02,12.89,13.3,11.4,11.45
GAMB,2021-09-03,11.76,12.0,10.3,10.55
GAMB,2021-09-07,10.57,10.82,10.17,10.22
GAMB,2021-09-08,10.36,10.95,9.81,10.83
GAMB,2021-09-09,10.83,11.44,10.11,10.19
GAMB,2021-09-10,10.16,10.56,9.67,9.73
GAMB,2021-09-13,9.99,10.06,9.42,9.85
GAMB,2021-09-14,9.87,9.91,9.43,9.55
GAMB,2021-09-15,9.52,9.82,8.66,9.03
GAMB,2021-09-16,8.97,9.4,8.72,9.29
GAMB,2021-09-17,9.5,9.65,9.05,9.17
GAMB,2021-09-20,9.0,9.29,8.54,8.71
GAMB,2021-09-21,8.83,9.05,8.32,8.68
GAMB,2021-09-22,8.77,9.72,8.68,9.33
GAMB,2021-09-23,9.34,9.75,9.11,9.31
GAMB,2021-09-24,9.26,9.42,9.13,9.33
GAMB,2021-09-27,9.3,10.29,9.17,10.23
GAMB,2021-09-28,10.18,10.22,9.32,9.5
GAMB,2021-09-29,9.54,10.05,9.03,9.1
GAMB,2021-09-30,9.23,9.77,8.77,9.13
GAMB,2021-10-01,9.24,9.4,9.01,9.13
GAMB,2021-10-04,9.1,9.13,8.57,8.57
GAMB,2021-10-05,8.59,8.88,8.52,8.53
GAMB,2021-10-06,8.52,8.84,8.52,8.75
GAMB,2021-10-07,8.84,9.27,8.77,9.18
GAMB,2021-10-08,9.26,9.26,8.75,8.79
GAMB,2021-10-11,8.83,9.15,8.75,8.76
GAMB,2021-10-12,8.75,8.91,8.38,8.49
GAMB,2021-10-13,8.46,9.51,8.43,9.43
GAMB,2021-10-14,9.51,10.51,9.51,10.26
GAMB,2021-10-15,10.44,11.4,10.44,11.21
GAMB,2021-10-18,11.04,11.72,10.72,11.63
GAMB,2021-10-19,11.73,11.83,10.76,11.0
GAMB,2021-10-20,11.04,12.97,11.04,12.69
GAMB,2021-10-21,13.0,14.22,12.74,13.76
GAMB,2021-10-22,13.6,13.6,11.84,12.7
GAMB,2021-10-25,12.85,13.6,12.49,13.16
GAMB,2021-10-26,13.17,15.0,12.71,14.5
GAMB,2021-10-27,14.89,15.72,13.56,13.68
GAMB,2021-10-28,13.77,14.48,13.0,13.58
GAMB,2021-10-29,13.48,15.18,13.21,15.18
GAMB,2021-11-01,15.93,16.8,14.97,16.7
GAMB,2021-11-02,16.7,16.97,15.52,16.2
GAMB,2021-11-03,16.24,16.65,15.78,16.29
GAMB,2021-11-04,16.73,16.79,15.62,15.93
GAMB,2021-11-05,16.1,16.26,15.11,15.43
GAMB,2021-11-08,15.8,15.8,15.0,15.5
GAMB,2021-11-09,15.73,15.88,13.92,14.61
GAMB,2021-11-10,14.45,15.26,13.87,14.61
GAMB,2021-11-11,14.61,15.86,14.54,15.73
GAMB,2021-11-12,15.74,15.74,14.65,14.75
GAMB,2021-11-15,15.04,15.04,14.08,14.71
GAMB,2021-11-16,14.68,14.95,14.26,14.69
GAMB,2021-11-17,14.74,15.75,14.67,15.09
GAMB,2021-11-18,14.67,14.7,12.24,13.0
GAMB,2021-11-19,12.84,12.89,11.75,12.37
GAMB,2021-11-22,12.37,12.37,11.22,11.6
GAMB,2021-11-23,11.63,12.05,11.5,12.04
GAMB,2021-11-24,11.82,12.5,11.82,12.26
GAMB,2021-11-26,11.91,11.95,11.47,11.63
GAMB,2021-11-29,11.73,11.9,11.37,11.66
GAMB,2021-11-30,11.62,11.64,10.82,11.07
GAMB,2021-12-01,11.4,11.86,10.37,10.46
GAMB,2021-12-02,11.13,11.44,10.59,11.33
GAMB,2021-12-03,11.43,11.52,10.64,11.03
GAMB,2021-12-06,11.21,11.66,10.74,11.51
GAMB,2021-12-07,11.81,12.2,11.59,11.72
GAMB,2021-12-08,12.0,12.2,11.42,11.5
GAMB,2021-12-09,11.68,12.0,10.35,10.44
GAMB,2021-12-10,10.53,10.91,9.99,10.08
GAMB,2021-12-13,10.17,10.19,9.46,9.57
GAMB,2021-12-14,9.57,10.35,9.47,9.77
GAMB,2021-12-15,9.73,10.26,9.25,10.0
GAMB,2021-12-16,10.29,10.29,9.73,9.8
GAMB,2021-12-17,9.71,10.27,9.71,10.24
GAMB,2021-12-20,10.22,10.26,9.73,9.96
GAMB,2021-12-21,10.05,10.47,10.0,10.22
GAMB,2021-12-22,10.24,10.77,10.24,10.69
GAMB,2021-12-23,10.72,10.82,10.43,10.71
GAMB,2021-12-27,10.78,11.07,10.37,10.47
GAMB,2021-12-28,10.44,10.47,9.9,9.94
GAMB,2021-12-29,9.97,10.05,9.5,9.82
GAMB,2021-12-30,10.0,10.65,10.0,10.3
GAMB,2021-12-31,10.25,10.67,10.01,10.15
GAMB,2022-01-03,10.15,10.63,9.8,10.49
GAMB,2022-01-04,10.67,10.67,9.31,9.56
GAMB,2022-01-05,9.68,9.7,8.9,8.98
GAMB,2022-01-06,8.98,9.18,8.91,8.99
GAMB,2022-01-07,8.91,9.59,8.91,9.35
GAMB,2022-01-10,9.24,9.26,8.79,9.21
GAMB,2022-01-11,9.28,10.35,9.09,10.12
GAMB,2022-01-12,10.12,10.43,10.01,10.1
GAMB,2022-01-13,9.98,9.98,9.5,9.55
GAMB,2022-01-14,9.4,9.48,9.01,9.3
GAMB,2022-01-18,9.41,9.96,9.3,9.43
GAMB,2022-01-19,9.59,9.99,9.39,9.74
GAMB,2022-01-20,9.94,10.8,9.84,10.69
GAMB,2022-01-21,10.41,11.42,10.41,11.34
GAMB,2022-01-24,10.98,10.98,9.7,10.06
GAMB,2022-01-25,9.81,9.9,9.29,9.68
GAMB,2022-01-26,9.7,10.28,9.37,9.77
GAMB,2022-01-27,10.0,10.14,9.06,9.27
GAMB,2022-01-28,9.07,9.94,8.9,9.78
GAMB,2022-01-31,9.91,10.64,9.51,10.51
GAMB,2022-02-01,10.5,11.54,10.49,11.05
GAMB,2022-02-02,11.52,11.52,10.14,10.36
GAMB,2022-02-03,10.01,10.35,9.78,9.79
GAMB,2022-02-04,9.79,10.98,9.76,10.79
GAMB,2022-02-07,10.63,11.2,10.47,10.7
GAMB,2022-02-08,11.41,11.65,10.75,11.45
GAMB,2022-02-09,11.66,12.5,11.41,12.5
GAMB,2022-02-10,12.32,12.96,11.36,11.68
GAMB,2022-02-11,11.82,12.46,11.48,11.57
GAMB,2022-02-14,11.79,12.07,11.43,11.68
GAMB,2022-02-15,12.02,12.11,11.5,11.72
GAMB,2022-02-16,11.69,11.72,11.33,11.53
GAMB,2022-02-17,11.31,11.33,10.64,10.82
GAMB,2022-02-18,10.99,10.99,10.16,10.37
GAMB,2022-02-22,10.34,10.55,10.06,10.3
GAMB,2022-02-23,10.37,10.85,10.06,10.25
GAMB,2022-02-24,9.69,10.37,9.4,10.14
GAMB,2022-02-25,10.11,10.58,9.98,10.38
GAMB,2022-02-28,10.57,11.18,10.27,11.0
GAMB,2022-03-01,11.0,11.12,10.17,10.28
GAMB,2022-03-02,10.44,10.49,9.95,10.01
GAMB,2022-03-03,10.0,10.07,9.54,10.03
GAMB,2022-03-04,9.98,10.03,9.33,9.61
GAMB,2022-03-07,9.58,9.61,8.68,8.84
GAMB,2022-03-08,8.69,9.41,8.47,8.66
GAMB,2022-03-09,9.07,9.14,8.5,8.86
GAMB,2022-03-10,8.75,8.99,8.45,8.89
GAMB,2022-03-11,8.91,8.91,8.35,8.4
GAMB,2022-03-14,8.32,8.57,7.86,7.97
GAMB,2022-03-15,7.99,8.54,7.99,8.5
GAMB,2022-03-16,8.5,8.73,8.23,8.47
GAMB,2022-03-17,8.5,8.82,8.39,8.69
GAMB,2022-03-18,8.5,9.66,8.5,9.41
GAMB,2022-03-21,9.43,9.54,8.99,9.24
GAMB,2022-03-22,9.32,9.7,8.94,9.0
GAMB,2022-03-23,9.08,9.27,8.9,9.0
GAMB,2022-03-24,9.12,9.23,8.51,8.99
GAMB,2022-03-25,9.0,9.09,8.75,8.92
GAMB,2022-03-28,9.0,9.1,8.66,8.75
GAMB,2022-03-29,8.83,9.2,8.83,9.0
GAMB,2022-03-30,8.96,9.13,8.91,8.97
GAMB,2022-03-31,9.0,9.22,8.8,8.87
GAMB,2022-04-01,8.95,9.15,8.79,8.93
GAMB,2022-04-04,9.08,9.19,8.78,8.91
GAMB,2022-04-05,8.9,9.4,8.9,9.16
GAMB,2022-04-06,9.15,9.15,8.33,8.45
GAMB,2022-04-07,8.33,8.5,8.02,8.47
GAMB,2022-04-08,8.46,8.73,8.15,8.57
GAMB,2022-04-11,8.4,8.69,8.25,8.45
GAMB,2022-04-12,8.49,8.78,8.14,8.35
GAMB,2022-04-13,8.29,9.01,7.71,7.79
GAMB,2022-04-14,7.79,7.91,7.35,7.4
GAMB,2022-04-18,7.4,8.02,7.39,7.58
GAMB,2022-04-19,7.49,7.94,7.49,7.9
GAMB,2022-04-20,7.97,8.23,7.74,7.93
GAMB,2022-04-21,7.94,8.27,7.85,8.04
GAMB,2022-04-22,8.09,8.2,7.74,7.75
GAMB,2022-04-25,7.73,7.96,7.4,7.87
GAMB,2022-04-26,7.9,7.9,7.52,7.88
GAMB,2022-04-27,7.96,8.12,7.53,7.58
GAMB,2022-04-28,7.8,8.4,7.65,8.16
GAMB,2022-04-29,8.17,8.32,8.16,8.28
GAMB,2022-05-02,8.19,8.49,8.13,8.33
GAMB,2022-05-03,8.25,8.43,7.95,8.29
GAMB,2022-05-04,7.87,8.48,7.87,8.14
GAMB,2022-05-05,7.99,8.23,7.96,8.15
GAMB,2022-05-06,8.13,8.16,7.67,7.96
GAMB,2022-05-09,7.95,7.95,7.0,7.2
GAMB,2022-05-10,7.36,7.98,7.22,7.53
GAMB,2022-05-11,7.69,7.74,7.0,7.31
GAMB,2022-05-12,7.19,7.89,7.03,7.77
GAMB,2022-05-13,8.05,8.05,7.5,7.89
GAMB,2022-05-16,7.89,8.0,7.71,7.95
GAMB,2022-05-17,8.09,8.25,7.55,8.05
GAMB,2022-05-18,8.04,8.21,7.78,8.06
GAMB,2022-05-19,8.06,8.25,8.02,8.2
GAMB,2022-05-20,8.25,8.5,8.23,8.49
GAMB,2022-05-23,8.4,8.57,7.87,8.04
GAMB,2022-05-24,8.01,8.01,7.3,7.36
GAMB,2022-05-25,7.4,7.88,7.4,7.69
GAMB,2022-05-26,7.66,8.3,7.66,8.2
GAMB,2022-05-27,8.57,8.57,7.85,8.01
GAMB,2022-05-31,8.6,8.6,7.8,8.06
GAMB,2022-06-01,8.06,8.27,8.05,8.13
GAMB,2022-06-02,8.13,8.5,8.13,8.3
GAMB,2022-06-03,8.31,8.31,7.76,8.02
GAMB,2022-06-06,8.33,9.98,8.21,9.87
GAMB,2022-06-07,9.74,9.74,8.64,9.31
GAMB,2022-06-08,9.16,9.74,9.03,9.47
GAMB,2022-06-09,9.64,9.64,9.04,9.17
GAMB,2022-06-10,9.27,9.57,9.1,9.24
GAMB,2022-06-13,9.14,9.6,8.69,9.6
GAMB,2022-06-14,9.46,9.6,8.93,9.16
GAMB,2022-06-15,9.2,9.56,8.92,9.34
GAMB,2022-06-16,9.26,9.29,8.77,9.06
GAMB,2022-06-17,9.05,9.66,9.05,9.65
GAMB,2022-06-21,9.65,9.91,9.42,9.7
GAMB,2022-06-22,9.51,9.89,9.31,9.52
GAMB,2022-06-23,9.47,9.8,9.44,9.53
GAMB,2022-06-24,9.52,9.85,8.86,8.92
GAMB,2022-06-27,8.95,9.33,8.21,8.31
GAMB,2022-06-28,8.51,8.7,7.93,7.97
GAMB,2022-06-29,7.9,8.17,7.75,7.94
GAMB,2022-06-30,7.76,8.0,7.51,7.87
GAMB,2022-07-01,7.76,8.37,7.67,8.05
GAMB,2022-07-05,8.14,8.6,7.82,8.6
GAMB,2022-07-06,8.53,8.63,7.68,8.2
GAMB,2022-07-07,8.16,8.8,8.04,8.45
GAMB,2022-07-08,8.45,8.47,7.77,7.95
GAMB,2022-07-11,7.9,7.99,7.53,7.66
GAMB,2022-07-12,7.54,7.66,7.06,7.17
GAMB,2022-07-13,7.1,7.61,7.1,7.35
GAMB,2022-07-14,7.4,7.42,7.02,7.26
GAMB,2022-07-15,7.43,7.62,7.1,7.14
GAMB,2022-07-18,7.1,7.4,7.05,7.19
GAMB,2022-07-19,7.2,7.5,7.13,7.29
GAMB,2022-07-20,7.33,7.69,7.2,7.37
GAMB,2022-07-21,7.44,7.57,7.04,7.31
