ticker,date,open,high,low,close
GBNY,2021-01-13,10.15,10.25,9.95,10.09
GBNY,2021-01-14,10.01,10.08,10.0,10.01
GBNY,2021-01-15,10.02,10.02,9.76,9.84
GBNY,2021-01-19,9.99,9.99,9.77,9.78
GBNY,2021-01-20,9.76,9.76,9.49,9.56
GBNY,2021-01-21,9.56,9.56,9.47,9.5
GBNY,2021-01-22,9.5,10.06,9.47,9.81
GBNY,2021-01-25,9.85,9.88,9.77,9.82
GBNY,2021-01-26,9.76,9.97,9.76,9.97
GBNY,2021-01-27,9.76,9.94,9.76,9.9
GBNY,2021-01-28,9.87,9.87,9.8,9.8
GBNY,2021-01-29,9.8,9.83,9.72,9.83
GBNY,2021-02-01,9.83,9.83,9.83,9.83
GBNY,2021-02-02,9.82,9.82,9.75,9.77
GBNY,2021-02-03,9.78,9.78,9.78,9.78
GBNY,2021-02-04,9.8,9.8,9.7,9.7
GBNY,2021-02-05,9.74,9.75,9.74,9.74
GBNY,2021-02-08,9.74,9.74,9.74,9.74
GBNY,2021-02-09,9.73,9.73,9.66,9.66
GBNY,2021-02-10,9.65,9.67,9.5,9.51
GBNY,2021-02-11,9.51,9.58,9.46,9.58
GBNY,2021-02-12,9.49,9.49,9.35,9.48
GBNY,2021-02-16,9.5,9.5,9.47,9.47
GBNY,2021-02-17,9.47,9.48,9.42,9.45
GBNY,2021-02-18,9.43,9.49,9.4,9.43
GBNY,2021-02-19,9.45,9.64,9.45,9.48
GBNY,2021-02-22,9.6,9.65,9.55,9.63
GBNY,2021-02-23,9.6,9.6,9.42,9.55
GBNY,2021-02-24,9.59,9.86,9.59,9.85
GBNY,2021-02-25,9.97,9.97,9.75,9.75
GBNY,2021-02-26,9.84,9.85,9.76,9.8
GBNY,2021-03-01,9.84,9.85,9.61,9.78
GBNY,2021-03-02,9.79,9.79,9.71,9.71
GBNY,2021-03-03,9.79,9.85,9.76,9.77
GBNY,2021-03-04,9.67,9.85,9.62,9.74
GBNY,2021-03-05,9.8,9.85,9.76,9.76
GBNY,2021-03-08,9.85,10.03,9.77,10.0
GBNY,2021-03-09,10.02,10.04,9.94,10.0
GBNY,2021-03-10,10.02,10.05,9.95,10.04
GBNY,2021-03-11,10.04,10.05,9.91,10.03
GBNY,2021-03-12,10.13,10.13,10.0,10.08
GBNY,2021-03-15,10.1,10.11,9.97,10.11
GBNY,2021-03-16,10.01,10.24,10.01,10.18
GBNY,2021-03-17,10.19,10.2,10.0,10.0
GBNY,2021-03-18,9.96,10.19,9.95,10.04
GBNY,2021-03-19,10.09,10.16,9.71,9.71
GBNY,2021-03-22,9.85,9.93,9.78,9.78
GBNY,2021-03-23,9.83,9.88,9.75,9.75
GBNY,2021-03-24,9.85,9.93,9.85,9.93
GBNY,2021-03-25,9.89,9.93,9.82,9.92
GBNY,2021-03-26,9.9,9.93,9.88,9.9
GBNY,2021-03-29,9.93,9.93,9.9,9.9
GBNY,2021-03-30,9.93,9.93,9.93,9.93
GBNY,2021-03-31,9.91,9.93,9.91,9.92
GBNY,2021-04-01,9.92,9.93,9.92,9.92
GBNY,2021-04-05,9.92,9.96,9.8,9.82
GBNY,2021-04-06,10.0,10.0,9.83,9.9
GBNY,2021-04-07,9.9,9.91,9.89,9.89
GBNY,2021-04-08,9.85,9.9,9.85,9.85
GBNY,2021-04-09,9.88,9.89,9.79,9.8
GBNY,2021-04-12,9.9,9.98,9.89,9.9
GBNY,2021-04-13,9.83,9.84,9.82,9.82
GBNY,2021-04-14,9.89,9.94,9.82,9.82
GBNY,2021-04-15,9.97,10.0,9.83,9.85
GBNY,2021-04-16,9.99,9.99,9.84,9.93
GBNY,2021-04-19,9.86,9.87,9.79,9.81
GBNY,2021-04-20,9.98,9.99,9.82,9.82
GBNY,2021-04-21,9.83,9.83,9.83,9.83
GBNY,2021-04-22,9.85,9.89,9.85,9.85
GBNY,2021-04-23,9.85,9.93,9.85,9.93
GBNY,2021-04-26,9.91,9.91,9.9,9.9
GBNY,2021-04-27,9.9,9.9,9.87,9.87
GBNY,2021-04-28,9.9,9.93,9.88,9.93
GBNY,2021-04-29,9.86,9.88,9.86,9.88
GBNY,2021-04-30,9.88,9.89,9.88,9.89
GBNY,2021-05-03,9.88,9.9,9.88,9.9
GBNY,2021-05-04,9.91,9.93,9.91,9.93
GBNY,2021-05-05,9.95,9.95,9.94,9.94
GBNY,2021-05-06,9.91,9.91,9.88,9.9
GBNY,2021-05-07,9.92,9.92,9.91,9.92
GBNY,2021-05-10,9.92,9.95,9.92,9.94
GBNY,2021-05-11,9.93,9.99,9.91,9.93
