ticker,date,open,high,low,close
GIFI,1997-04-04,8.75,8.75,8.25,8.4062
GIFI,1997-04-07,8.5,8.75,8.375,8.5
GIFI,1997-04-08,8.625,8.625,8.1875,8.25
GIFI,1997-04-09,8.25,8.3125,8.125,8.125
GIFI,1997-04-10,8.25,8.25,8.0625,8.1875
GIFI,1997-04-11,8.0625,8.25,8.0625,8.0938
GIFI,1997-04-14,8.25,8.25,7.875,7.9375
GIFI,1997-04-15,8.0,8.5625,7.875,8.5625
GIFI,1997-04-16,8.625,9.0,8.375,8.6875
GIFI,1997-04-17,8.875,8.875,8.625,8.875
GIFI,1997-04-18,8.625,8.875,8.5625,8.625
GIFI,1997-04-21,8.625,9.375,8.625,9.125
GIFI,1997-04-22,9.25,9.75,9.0,9.5
GIFI,1997-04-23,9.75,10.0,9.5,10.0
GIFI,1997-04-24,10.0,10.8125,10.0,10.5
GIFI,1997-04-25,10.75,10.875,10.125,10.125
GIFI,1997-04-28,10.0,10.375,9.25,9.5
GIFI,1997-04-29,9.875,9.875,9.0,9.0
GIFI,1997-04-30,9.8125,10.5625,9.625,10.5
GIFI,1997-05-01,10.5,10.75,9.875,10.375
GIFI,1997-05-02,10.375,10.375,9.875,9.875
GIFI,1997-05-05,10.125,10.25,9.875,10.25
GIFI,1997-05-06,10.0,10.375,10.0,10.0
GIFI,1997-05-07,10.25,10.25,10.125,10.1875
GIFI,1997-05-08,10.0,10.25,10.0,10.0625
GIFI,1997-05-09,10.1875,10.25,10.0625,10.25
GIFI,1997-05-12,10.375,10.375,10.125,10.25
GIFI,1997-05-13,10.25,10.875,10.25,10.5
GIFI,1997-05-14,10.625,11.125,10.5625,10.875
GIFI,1997-05-15,11.125,12.125,10.875,11.75
GIFI,1997-05-16,11.75,11.875,11.375,11.625
GIFI,1997-05-19,11.625,11.625,11.375,11.5
GIFI,1997-05-20,11.625,11.625,11.0,11.25
GIFI,1997-05-21,11.375,11.375,11.0,11.0
GIFI,1997-05-22,11.375,12.125,11.0,11.875
GIFI,1997-05-23,11.875,12.0625,11.875,12.0
GIFI,1997-05-27,11.875,12.0625,11.875,11.875
