ticker,date,open,high,low,close
GIL,1998-06-19,0.44,0.44,0.41,0.41
GIL,1998-06-22,0.41,0.41,0.41,0.41
GIL,1998-06-23,0.41,0.43,0.41,0.42
GIL,1998-06-24,0.42,0.42,0.42,0.42
GIL,1998-06-25,0.42,0.43,0.42,0.42
GIL,1998-06-26,0.42,0.43,0.42,0.43
GIL,1998-06-29,0.42,0.42,0.41,0.41
GIL,1998-06-30,0.41,0.41,0.41,0.41
GIL,1998-07-01,0.4,0.41,0.39,0.4
GIL,1998-07-02,0.39,0.39,0.39,0.39
GIL,1998-07-06,0.4,0.4,0.4,0.4
GIL,1998-07-07,0.4,0.4,0.38,0.38
GIL,1998-07-08,0.38,0.4,0.38,0.39
GIL,1998-07-09,0.4,0.41,0.39,0.41
GIL,1998-07-10,0.42,0.42,0.41,0.41
GIL,1998-07-13,0.42,0.43,0.42,0.43
GIL,1998-07-14,0.43,0.5,0.43,0.48
GIL,1998-07-15,0.47,0.47,0.45,0.47
GIL,1998-07-16,0.48,0.48,0.46,0.48
GIL,1998-07-17,0.49,0.52,0.49,0.5
GIL,1998-07-20,0.5,0.54,0.5,0.52
GIL,1998-07-21,0.54,0.54,0.52,0.52
GIL,1998-07-22,0.53,0.55,0.52,0.52
GIL,1998-07-23,0.5,0.52,0.5,0.5
GIL,1998-07-24,0.51,0.51,0.5,0.5
GIL,1998-07-27,0.5,0.51,0.5,0.51
GIL,1998-07-28,0.52,0.54,0.5,0.53
GIL,1998-07-29,0.54,0.54,0.51,0.52
GIL,1998-07-30,0.52,0.53,0.51,0.52
GIL,1998-07-31,0.52,0.52,0.51,0.51
GIL,1998-08-03,0.52,0.53,0.52,0.52
GIL,1998-08-04,0.53,0.53,0.51,0.51
GIL,1998-08-05,0.52,0.52,0.51,0.52
GIL,1998-08-06,0.51,0.51,0.51,0.51
GIL,1998-08-07,0.5,0.51,0.5,0.51
GIL,1998-08-10,0.52,0.55,0.52,0.55
GIL,1998-08-11,0.55,0.56,0.55,0.55
GIL,1998-08-12,0.56,0.59,0.56,0.57
GIL,1998-08-13,0.59,0.6,0.57,0.58
GIL,1998-08-14,0.59,0.59,0.55,0.55
GIL,1998-08-17,0.54,0.54,0.52,0.52
GIL,1998-08-18,0.52,0.53,0.52,0.52
GIL,1998-08-19,0.52,0.53,0.52,0.53
GIL,1998-08-20,0.51,0.53,0.51,0.53
GIL,1998-08-21,0.52,0.52,0.5,0.5
GIL,1998-08-24,0.51,0.51,0.5,0.51
GIL,1998-08-25,0.52,0.52,0.46,0.49
GIL,1998-08-26,0.5,0.5,0.49,0.49
GIL,1998-08-27,0.48,0.48,0.47,0.47
GIL,1998-08-28,0.46,0.46,0.46,0.46
GIL,1998-08-31,0.45,0.45,0.42,0.42
GIL,1998-09-01,0.41,0.45,0.41,0.43
GIL,1998-09-02,0.44,0.45,0.44,0.45
GIL,1998-09-03,0.45,0.45,0.44,0.44
GIL,1998-09-04,0.45,0.47,0.43,0.46
GIL,1998-09-08,0.47,0.47,0.46,0.47
GIL,1998-09-09,0.47,0.47,0.47,0.47
GIL,1998-09-10,0.47,0.47,0.47,0.47
GIL,1998-09-11,0.46,0.46,0.45,0.45
GIL,1998-09-14,0.46,0.46,0.46,0.46
GIL,1998-09-15,0.47,0.47,0.47,0.47
GIL,1998-09-16,0.46,0.46,0.45,0.45
GIL,1998-09-17,0.45,0.45,0.45,0.45
GIL,1998-09-18,0.46,0.46,0.46,0.46
GIL,1998-09-21,0.46,0.46,0.46,0.46
GIL,1998-09-22,0.45,0.45,0.45,0.45
GIL,1998-09-23,0.46,0.47,0.46,0.47
GIL,1998-09-24,0.46,0.46,0.46,0.46
GIL,1998-09-25,0.46,0.46,0.46,0.46
GIL,1998-09-28,0.47,0.48,0.47,0.48
GIL,1998-09-29,0.47,0.47,0.46,0.46
GIL,1998-09-30,0.48,0.48,0.48,0.48
GIL,1998-10-01,0.47,0.47,0.46,0.46
GIL,1998-10-02,0.45,0.45,0.45,0.45
GIL,1998-10-05,0.45,0.45,0.44,0.44
GIL,1998-10-06,0.45,0.46,0.45,0.46
GIL,1998-10-07,0.46,0.46,0.46,0.46
GIL,1998-10-08,0.45,0.45,0.43,0.44
GIL,1998-10-09,0.44,0.44,0.44,0.44
GIL,1998-10-12,0.46,0.46,0.46,0.46
GIL,1998-10-13,0.46,0.46,0.45,0.45
GIL,1998-10-14,0.46,0.46,0.46,0.46
GIL,1998-10-15,0.45,0.45,0.45,0.45
GIL,1998-10-16,0.45,0.45,0.45,0.45
GIL,1998-10-19,0.46,0.46,0.46,0.46
GIL,1998-10-20,0.47,0.47,0.46,0.46
GIL,1998-10-21,0.45,0.45,0.45,0.45
GIL,1998-10-22,0.45,0.45,0.45,0.45
GIL,1998-10-23,0.45,0.45,0.45,0.45
GIL,1998-10-26,0.45,0.45,0.44,0.44
GIL,1998-10-27,0.44,0.45,0.43,0.45
GIL,1998-10-28,0.44,0.44,0.41,0.42
GIL,1998-10-29,0.42,0.42,0.4,0.41
GIL,1998-10-30,0.42,0.42,0.41,0.41
GIL,1998-11-02,0.41,0.41,0.41,0.41
GIL,1998-11-03,0.41,0.41,0.41,0.41
GIL,1998-11-04,0.42,0.42,0.41,0.42
GIL,1998-11-05,0.42,0.42,0.4,0.4
GIL,1998-11-06,0.41,0.42,0.41,0.41
GIL,1998-11-09,0.41,0.43,0.41,0.43
GIL,1998-11-10,0.43,0.43,0.43,0.43
GIL,1998-11-11,0.44,0.45,0.44,0.44
GIL,1998-11-12,0.45,0.45,0.45,0.45
GIL,1998-11-13,0.45,0.47,0.44,0.45
GIL,1998-11-16,0.44,0.44,0.43,0.43
GIL,1998-11-17,0.44,0.44,0.43,0.44
GIL,1998-11-18,0.43,0.43,0.42,0.42
GIL,1998-11-19,0.43,0.44,0.43,0.44
GIL,1998-11-20,0.44,0.44,0.43,0.44
GIL,1998-11-23,0.44,0.45,0.44,0.45
GIL,1998-11-24,0.45,0.46,0.44,0.45
GIL,1998-11-25,0.46,0.47,0.45,0.46
GIL,1998-11-27,0.46,0.46,0.46,0.46
GIL,1998-11-30,0.47,0.48,0.47,0.48
GIL,1998-12-01,0.46,0.46,0.45,0.45
GIL,1998-12-02,0.45,0.46,0.45,0.46
GIL,1998-12-03,0.45,0.46,0.45,0.45
GIL,1998-12-04,0.45,0.45,0.45,0.45
GIL,1998-12-07,0.45,0.45,0.43,0.44
GIL,1998-12-08,0.45,0.45,0.43,0.44
GIL,1998-12-09,0.43,0.47,0.43,0.47
GIL,1998-12-10,0.48,0.52,0.48,0.5
GIL,1998-12-11,0.5,0.5,0.47,0.48
GIL,1998-12-14,0.48,0.49,0.47,0.48
GIL,1998-12-15,0.49,0.49,0.48,0.49
GIL,1998-12-16,0.48,0.48,0.45,0.46
GIL,1998-12-17,0.46,0.46,0.46,0.46
GIL,1998-12-18,0.46,0.46,0.46,0.46
GIL,1998-12-21,0.46,0.46,0.46,0.46
GIL,1998-12-22,0.46,0.46,0.45,0.45
GIL,1998-12-23,0.46,0.48,0.46,0.48
GIL,1998-12-24,0.49,0.49,0.48,0.49
