ticker,date,open,high,low,close
GLW,1981-12-31,2.16,2.17,2.15,2.16
GLW,1982-01-04,2.17,2.19,2.15,2.17
GLW,1982-01-05,2.15,2.16,2.14,2.15
GLW,1982-01-06,2.12,2.14,2.1,2.11
GLW,1982-01-07,2.06,2.09,2.03,2.03
GLW,1982-01-08,2.08,2.12,2.04,2.1
GLW,1982-01-11,2.09,2.12,2.06,2.06
GLW,1982-01-12,2.04,2.06,2.01,2.06
GLW,1982-01-13,2.04,2.05,2.02,2.03
GLW,1982-01-14,1.99,2.03,1.96,1.97
GLW,1982-01-15,1.99,2.0,1.97,2.0
GLW,1982-01-18,2.01,2.02,1.99,2.02
GLW,1982-01-19,2.02,2.04,1.99,1.99
GLW,1982-01-20,1.97,1.98,1.95,1.97
GLW,1982-01-21,1.97,1.98,1.96,1.97
GLW,1982-01-22,1.97,1.98,1.96,1.98
GLW,1982-01-25,1.97,1.98,1.96,1.98
GLW,1982-01-26,1.99,1.99,1.98,1.99
GLW,1982-01-27,1.99,1.99,1.98,1.98
GLW,1982-01-28,1.97,1.98,1.96,1.98
GLW,1982-01-29,1.99,1.99,1.98,1.98
GLW,1982-02-01,1.97,1.98,1.96,1.96
GLW,1982-02-02,1.95,1.96,1.94,1.94
GLW,1982-02-03,1.92,1.94,1.9,1.9
GLW,1982-02-04,1.87,1.88,1.86,1.88
GLW,1982-02-05,1.88,1.89,1.86,1.87
GLW,1982-02-08,1.86,1.86,1.85,1.85
GLW,1982-02-09,1.84,1.85,1.83,1.84
GLW,1982-02-10,1.85,1.87,1.84,1.87
GLW,1982-02-11,1.87,1.88,1.86,1.88
GLW,1982-02-12,1.88,1.88,1.88,1.88
GLW,1982-02-16,1.87,1.88,1.86,1.86
GLW,1982-02-17,1.86,1.87,1.86,1.86
GLW,1982-02-18,1.86,1.87,1.86,1.86
GLW,1982-02-19,1.86,1.86,1.85,1.86
GLW,1982-02-22,1.87,1.88,1.86,1.86
GLW,1982-02-23,1.86,1.86,1.85,1.85
GLW,1982-02-24,1.86,1.86,1.86,1.86
GLW,1982-02-25,1.87,1.88,1.86,1.87
GLW,1982-02-26,1.87,1.88,1.86,1.87
GLW,1982-03-01,1.86,1.86,1.85,1.86
GLW,1982-03-02,1.84,1.86,1.83,1.83
GLW,1982-03-03,1.8,1.82,1.77,1.78
GLW,1982-03-04,1.74,1.76,1.73,1.74
GLW,1982-03-05,1.76,1.79,1.72,1.79
GLW,1982-03-08,1.78,1.79,1.76,1.77
GLW,1982-03-09,1.76,1.78,1.74,1.77
GLW,1982-03-10,1.79,1.8,1.77,1.79
GLW,1982-03-11,1.79,1.8,1.77,1.8
GLW,1982-03-12,1.79,1.79,1.78,1.78
GLW,1982-03-15,1.79,1.8,1.78,1.8
GLW,1982-03-16,1.8,1.8,1.79,1.79
GLW,1982-03-17,1.8,1.81,1.79,1.81
GLW,1982-03-18,1.81,1.81,1.8,1.8
GLW,1982-03-19,1.81,1.82,1.79,1.8
GLW,1982-03-22,1.8,1.81,1.79,1.8
GLW,1982-03-23,1.79,1.81,1.77,1.78
GLW,1982-03-24,1.77,1.78,1.76,1.76
GLW,1982-03-25,1.77,1.77,1.76,1.76
GLW,1982-03-26,1.76,1.77,1.75,1.76
GLW,1982-03-29,1.76,1.78,1.74,1.77
GLW,1982-03-30,1.74,1.77,1.72,1.75
GLW,1982-03-31,1.72,1.76,1.68,1.68
GLW,1982-04-01,1.66,1.68,1.64,1.67
GLW,1982-04-02,1.69,1.71,1.67,1.71
GLW,1982-04-05,1.73,1.74,1.71,1.74
GLW,1982-04-06,1.77,1.79,1.74,1.79
GLW,1982-04-07,1.82,1.83,1.8,1.81
GLW,1982-04-08,1.84,1.86,1.82,1.85
GLW,1982-04-12,1.86,1.87,1.86,1.87
GLW,1982-04-13,1.89,1.91,1.86,1.91
GLW,1982-04-14,1.92,1.93,1.91,1.92
GLW,1982-04-15,1.89,1.92,1.86,1.88
GLW,1982-04-16,1.89,1.92,1.85,1.92
GLW,1982-04-19,1.93,1.95,1.91,1.94
GLW,1982-04-20,1.91,1.94,1.88,1.89
GLW,1982-04-21,1.88,1.89,1.86,1.89
GLW,1982-04-22,1.91,1.93,1.89,1.91
GLW,1982-04-23,1.94,1.95,1.92,1.95
GLW,1982-04-26,1.97,1.98,1.95,1.98
GLW,1982-04-27,1.97,1.98,1.95,1.97
GLW,1982-04-28,1.97,1.98,1.96,1.97
GLW,1982-04-29,1.97,1.98,1.95,1.97
GLW,1982-04-30,2.0,2.02,1.98,2.0
GLW,1982-05-03,1.99,2.0,1.98,1.98
GLW,1982-05-04,2.0,2.01,1.99,2.0
GLW,1982-05-05,2.01,2.02,2.0,2.0
GLW,1982-05-06,2.02,2.02,2.01,2.02
GLW,1982-05-07,2.01,2.02,2.0,2.01
GLW,1982-05-10,2.01,2.02,2.01,2.02
GLW,1982-05-11,2.03,2.04,2.02,2.03
GLW,1982-05-12,2.03,2.04,2.02,2.03
GLW,1982-05-13,2.04,2.05,2.03,2.03
GLW,1982-05-14,2.03,2.03,2.02,2.02
GLW,1982-05-17,2.03,2.03,2.02,2.03
GLW,1982-05-18,2.02,2.03,2.01,2.02
GLW,1982-05-19,2.02,2.03,2.01,2.02
GLW,1982-05-20,2.01,2.01,2.0,2.0
GLW,1982-05-21,2.01,2.02,2.01,2.02
GLW,1982-05-24,2.02,2.03,2.01,2.02
GLW,1982-05-25,2.03,2.03,2.02,2.02
GLW,1982-05-26,2.02,2.02,2.01,2.02
GLW,1982-05-27,2.01,2.02,2.01,2.01
GLW,1982-05-28,2.01,2.02,2.0,2.0
GLW,1982-06-01,1.98,2.02,1.94,1.95
GLW,1982-06-02,1.97,1.98,1.95,1.97
GLW,1982-06-03,1.98,1.98,1.97,1.98
GLW,1982-06-04,1.96,1.98,1.95,1.95
GLW,1982-06-07,1.93,1.94,1.92,1.92
GLW,1982-06-08,1.88,1.89,1.86,1.86
GLW,1982-06-09,1.86,1.87,1.85,1.87
GLW,1982-06-10,1.86,1.88,1.85,1.86
GLW,1982-06-11,1.89,1.91,1.88,1.88
GLW,1982-06-14,1.89,1.89,1.88,1.89
GLW,1982-06-15,1.89,1.89,1.89,1.89
GLW,1982-06-16,1.89,1.9,1.88,1.88
GLW,1982-06-17,1.88,1.88,1.86,1.88
GLW,1982-06-18,1.88,1.88,1.86,1.86
GLW,1982-06-21,1.88,1.89,1.86,1.87
GLW,1982-06-22,1.88,1.9,1.86,1.9
GLW,1982-06-23,1.9,1.93,1.88,1.93
GLW,1982-06-24,1.93,1.95,1.92,1.94
GLW,1982-06-25,1.92,1.93,1.91,1.92
GLW,1982-06-28,1.9,1.92,1.88,1.88
GLW,1982-06-29,1.85,1.86,1.83,1.83
GLW,1982-06-30,1.82,1.84,1.8,1.81
GLW,1982-07-01,1.8,1.81,1.79,1.8
GLW,1982-07-02,1.81,1.81,1.8,1.8
GLW,1982-07-06,1.8,1.81,1.79,1.8
GLW,1982-07-07,1.81,1.82,1.8,1.82
GLW,1982-07-08,1.82,1.83,1.81,1.83
GLW,1982-07-09,1.84,1.85,1.83,1.84
GLW,1982-07-12,1.86,1.9,1.83,1.88
GLW,1982-07-13,1.86,1.87,1.85,1.86
GLW,1982-07-14,1.86,1.9,1.83,1.88
GLW,1982-07-15,1.91,1.92,1.89,1.89
GLW,1982-07-16,1.89,1.9,1.88,1.9
GLW,1982-07-19,1.9,1.91,1.89,1.89
GLW,1982-07-20,1.89,1.91,1.86,1.88
GLW,1982-07-21,1.89,1.9,1.86,1.86
GLW,1982-07-22,1.86,1.87,1.85,1.85
GLW,1982-07-23,1.86,1.86,1.85,1.85
GLW,1982-07-26,1.88,1.89,1.86,1.87
GLW,1982-07-27,1.87,1.88,1.86,1.88
GLW,1982-07-28,1.87,1.88,1.86,1.86
GLW,1982-07-29,1.88,1.89,1.86,1.88
GLW,1982-07-30,1.88,1.88,1.87,1.88
GLW,1982-08-02,1.9,1.91,1.88,1.91
