ticker,date,open,high,low,close
GMBL,2017-07-20,4500.0,4710.0,4500.0,4500.0
GMBL,2017-07-21,4500.0,4500.0,3000.0,3495.0
GMBL,2017-07-24,4050.0,4672.5,3750.0,4365.0
GMBL,2017-07-25,4485.0,4485.0,4365.0,4440.0
GMBL,2017-07-26,4440.0,4440.0,4200.0,4425.0
GMBL,2017-07-27,4440.0,4440.0,4305.0,4440.0
GMBL,2017-07-28,4455.0,4455.0,4372.5,4425.0
GMBL,2017-07-31,4410.0,4410.0,3519.0,3789.0
GMBL,2017-08-01,3750.0,3825.0,3600.0,3735.0
GMBL,2017-08-02,3735.0,3735.0,3135.0,3375.0
GMBL,2017-08-03,3450.0,3450.0,3375.0,3450.0
GMBL,2017-08-04,3615.0,3750.0,3615.0,3750.0
GMBL,2017-08-07,4275.0,4275.0,3405.0,3870.0
GMBL,2017-08-08,4050.0,4155.0,4050.0,4155.0
GMBL,2017-08-09,4155.0,4155.0,3300.0,3960.0
GMBL,2017-08-10,3547.5,3600.0,3547.5,3600.0
GMBL,2017-08-11,3390.0,3390.0,3390.0,3390.0
GMBL,2017-08-14,3885.0,3945.0,3705.0,3945.0
GMBL,2017-08-15,3945.0,3945.0,3585.0,3945.0
GMBL,2017-08-16,3634.5,3975.0,3634.5,3750.0
GMBL,2017-08-17,3600.0,3862.5,3000.0,3750.0
GMBL,2017-08-18,3750.0,3750.0,3270.0,3591.0
GMBL,2017-08-21,3225.0,3514.5,3225.0,3514.5
GMBL,2017-08-22,3225.0,3450.0,3225.0,3427.5
GMBL,2017-08-23,3427.5,3427.5,3427.5,3427.5
GMBL,2017-08-24,3510.0,3900.0,3510.0,3900.0
GMBL,2017-08-25,3975.0,3975.0,3975.0,3975.0
GMBL,2017-08-28,3975.0,3975.0,3975.0,3975.0
GMBL,2017-08-29,3975.0,3975.0,3975.0,3975.0
GMBL,2017-08-30,3300.0,3300.0,3225.0,3225.0
GMBL,2017-08-31,3300.0,3675.0,3075.0,3075.0
GMBL,2017-09-01,3900.0,3900.0,3150.0,3150.0
GMBL,2017-09-05,3664.5,4050.0,3600.0,4050.0
GMBL,2017-09-06,3750.0,3750.0,3750.0,3750.0
GMBL,2017-09-07,3615.0,3615.0,3615.0,3615.0
GMBL,2017-09-08,3675.0,3735.0,3675.0,3735.0
GMBL,2017-09-11,3693.0,3693.0,3187.5,3525.0
GMBL,2017-09-12,3540.0,3540.0,3540.0,3540.0
GMBL,2017-09-13,3540.0,3540.0,3540.0,3540.0
GMBL,2017-09-14,3375.0,3450.0,3375.0,3450.0
GMBL,2017-09-15,3450.0,3450.0,3450.0,3450.0
GMBL,2017-09-18,3570.0,3712.5,3451.5,3451.5
GMBL,2017-09-19,3451.5,3451.5,3451.5,3451.5
GMBL,2017-09-20,3520.5,3520.5,3465.0,3465.0
GMBL,2017-09-21,3705.0,3705.0,3525.0,3525.0
GMBL,2017-09-22,3525.0,3525.0,3525.0,3525.0
GMBL,2017-09-25,3615.0,3615.0,3375.0,3375.0
GMBL,2017-09-26,3375.0,3375.0,3375.0,3375.0
GMBL,2017-09-27,3375.0,3375.0,3375.0,3375.0
GMBL,2017-09-28,3450.0,3705.0,3450.0,3600.0
GMBL,2017-09-29,3600.0,3705.0,3600.0,3705.0
GMBL,2017-10-02,3975.0,3975.0,3750.0,3750.0
GMBL,2017-10-03,3750.0,3780.0,3600.0,3705.0
GMBL,2017-10-04,3600.0,3630.0,3300.0,3630.0
GMBL,2017-10-05,3630.0,3630.0,3630.0,3630.0
GMBL,2017-10-06,3510.0,3630.0,3510.0,3630.0
GMBL,2017-10-09,3570.0,3630.0,3570.0,3630.0
GMBL,2017-10-10,3600.0,3600.0,3600.0,3600.0
GMBL,2017-10-11,3300.0,3300.0,3300.0,3300.0
GMBL,2017-10-12,3300.0,3300.0,3300.0,3300.0
GMBL,2017-10-13,3450.0,3555.0,3390.0,3555.0
