ticker,date,open,high,low,close
GNE,2011-10-26,8.15,8.6,8.15,8.6
GNE,2011-10-27,8.6,8.6,8.6,8.6
GNE,2011-10-28,10.0,10.0,9.02,9.14
GNE,2011-10-31,9.0,9.0,7.97,8.3
GNE,2011-11-01,9.0,9.33,7.99,7.99
GNE,2011-11-02,8.0,8.5,7.65,7.67
GNE,2011-11-03,7.7,7.99,6.73,6.85
GNE,2011-11-04,6.82,7.83,6.68,7.78
GNE,2011-11-07,7.88,8.19,7.45,7.53
GNE,2011-11-08,7.79,7.88,7.44,7.44
GNE,2011-11-09,7.4,7.56,7.2,7.2
GNE,2011-11-10,7.37,7.45,6.97,6.98
GNE,2011-11-11,7.03,7.1,6.85,6.9
GNE,2011-11-14,6.85,6.99,6.85,6.93
GNE,2011-11-15,6.86,7.0,6.86,6.97
GNE,2011-11-16,6.97,7.5,6.9,7.4
GNE,2011-11-17,7.36,7.42,7.17,7.26
GNE,2011-11-18,7.23,7.29,7.2,7.27
GNE,2011-11-21,7.27,7.27,7.02,7.22
GNE,2011-11-22,7.23,7.27,7.01,7.09
GNE,2011-11-23,7.07,7.15,6.82,6.83
GNE,2011-11-25,6.81,7.19,6.81,6.81
GNE,2011-11-28,6.96,7.24,6.81,6.88
GNE,2011-11-29,6.86,6.98,6.8,6.88
GNE,2011-11-30,7.03,7.24,6.8,7.23
GNE,2011-12-01,7.21,7.34,7.04,7.3
GNE,2011-12-02,7.4,7.4,7.21,7.23
GNE,2011-12-05,7.34,7.39,7.12,7.34
GNE,2011-12-06,7.3,7.44,7.12,7.19
GNE,2011-12-07,7.15,7.16,6.91,7.02
GNE,2011-12-08,6.92,7.24,6.86,7.15
GNE,2011-12-09,7.35,7.94,7.23,7.9
GNE,2011-12-12,7.82,7.9,7.67,7.89
GNE,2011-12-13,7.99,8.0,7.62,7.66
GNE,2011-12-14,7.69,7.73,7.25,7.31
GNE,2011-12-15,7.4,7.56,7.33,7.36
GNE,2011-12-16,7.4,7.71,7.35,7.46
GNE,2011-12-19,7.51,7.55,7.33,7.35
GNE,2011-12-20,7.33,7.91,7.33,7.91
GNE,2011-12-21,7.88,7.88,7.68,7.86
GNE,2011-12-22,7.93,7.95,7.72,7.79
GNE,2011-12-23,7.78,7.94,7.5,7.81
GNE,2011-12-27,7.77,7.82,7.73,7.79
GNE,2011-12-28,7.82,7.82,7.59,7.7
GNE,2011-12-29,7.75,7.85,7.72,7.79
GNE,2011-12-30,7.75,7.96,7.74,7.93
GNE,2012-01-03,8.02,8.19,7.87,8.04
GNE,2012-01-04,8.06,8.09,7.99,8.0
GNE,2012-01-05,7.96,8.07,7.93,8.01
GNE,2012-01-06,8.04,8.08,7.91,8.0
GNE,2012-01-09,8.05,8.44,8.05,8.39
GNE,2012-01-10,8.47,9.19,8.44,9.15
GNE,2012-01-11,9.11,9.88,9.11,9.3
GNE,2012-01-12,9.38,9.66,9.26,9.39
GNE,2012-01-13,9.3,9.49,9.3,9.4
GNE,2012-01-17,9.49,9.79,9.38,9.77
GNE,2012-01-18,9.79,10.45,9.79,10.32
GNE,2012-01-19,10.39,10.65,10.24,10.39
GNE,2012-01-20,10.44,10.48,10.36,10.4
GNE,2012-01-23,10.45,10.54,10.08,10.3
GNE,2012-01-24,10.25,10.46,10.21,10.4
GNE,2012-01-25,10.36,10.79,10.36,10.45
GNE,2012-01-26,10.48,10.66,9.66,9.84
GNE,2012-01-27,9.79,10.5,9.79,10.34
GNE,2012-01-30,10.25,10.34,10.0,10.26
GNE,2012-01-31,10.38,10.51,10.23,10.46
GNE,2012-02-01,10.5,10.7,10.39,10.68
GNE,2012-02-02,10.66,10.8,10.61,10.67
GNE,2012-02-03,10.74,10.79,10.57,10.74
GNE,2012-02-06,10.73,11.18,10.7,11.01
GNE,2012-02-07,10.97,11.0,10.44,10.49
GNE,2012-02-08,10.52,10.58,10.43,10.54
GNE,2012-02-09,10.57,10.8,10.55,10.72
GNE,2012-02-10,10.62,10.72,10.33,10.34
GNE,2012-02-13,10.41,10.45,10.33,10.37
GNE,2012-02-14,10.36,10.36,10.0,10.03
GNE,2012-02-15,10.04,10.07,9.58,9.61
GNE,2012-02-16,9.66,9.74,9.47,9.55
GNE,2012-02-17,9.55,10.08,9.55,10.0
GNE,2012-02-21,10.04,10.18,9.99,10.06
GNE,2012-02-22,9.97,9.97,9.79,9.9
GNE,2012-02-23,9.9,9.9,9.55,9.66
GNE,2012-02-24,9.35,9.84,9.33,9.75
GNE,2012-02-27,9.68,9.95,9.68,9.91
GNE,2012-02-28,9.87,9.87,9.7,9.74
GNE,2012-02-29,9.74,9.77,9.52,9.59
GNE,2012-03-01,9.58,9.6,9.22,9.41
GNE,2012-03-02,9.41,9.52,9.3,9.31
GNE,2012-03-05,9.28,9.34,9.1,9.14
GNE,2012-03-06,9.11,9.11,8.37,8.74
GNE,2012-03-07,8.75,8.97,8.71,8.95
GNE,2012-03-08,8.99,8.99,8.74,8.84
GNE,2012-03-09,8.79,9.33,8.69,9.32
GNE,2012-03-12,9.38,9.42,9.18,9.3
GNE,2012-03-13,9.37,9.42,8.91,9.39
GNE,2012-03-14,9.33,9.33,9.0,9.1
GNE,2012-03-15,9.13,9.18,9.08,9.13
GNE,2012-03-16,9.3,10.11,9.19,9.85
GNE,2012-03-19,9.87,10.2,9.8,10.19
GNE,2012-03-20,10.19,10.5,10.07,10.3
GNE,2012-03-21,10.37,10.49,10.3,10.33
GNE,2012-03-22,10.22,10.26,9.88,10.14
GNE,2012-03-23,10.22,10.22,9.79,9.85
GNE,2012-03-26,9.98,10.03,9.79,9.82
GNE,2012-03-27,9.91,9.96,9.76,9.77
GNE,2012-03-28,9.76,10.02,9.6,9.99
GNE,2012-03-29,9.89,9.94,9.72,9.77
GNE,2012-03-30,9.85,9.95,9.67,9.67
GNE,2012-04-02,9.67,9.73,9.46,9.5
GNE,2012-04-03,9.48,9.52,9.35,9.35
GNE,2012-04-04,9.28,9.41,9.25,9.25
GNE,2012-04-05,9.24,9.3,9.15,9.19
GNE,2012-04-09,9.08,9.12,8.99,9.01
GNE,2012-04-10,8.99,9.16,8.95,8.95
GNE,2012-04-11,9.03,9.07,8.94,8.99
GNE,2012-04-12,8.96,9.1,8.93,9.08
GNE,2012-04-13,9.02,9.03,8.66,8.66
GNE,2012-04-16,8.66,8.73,8.58,8.64
GNE,2012-04-17,8.69,8.73,8.56,8.62
GNE,2012-04-18,8.62,8.75,8.55,8.65
GNE,2012-04-19,8.68,9.05,8.56,8.76
GNE,2012-04-20,9.05,9.06,8.71,8.79
GNE,2012-04-23,8.71,8.72,8.54,8.56
GNE,2012-04-24,8.55,8.63,8.51,8.6
GNE,2012-04-25,8.68,8.8,8.51,8.77
GNE,2012-04-26,8.74,8.89,8.74,8.87
GNE,2012-04-27,8.9,8.94,8.5,8.63
GNE,2012-04-30,8.58,8.63,8.32,8.32
GNE,2012-05-01,8.29,8.55,8.18,8.18
GNE,2012-05-02,8.16,8.29,7.98,8.04
GNE,2012-05-03,8.05,8.23,7.67,7.76
GNE,2012-05-04,7.77,7.87,7.69,7.8
GNE,2012-05-07,7.81,7.88,7.67,7.7
GNE,2012-05-08,7.67,7.68,7.48,7.58
GNE,2012-05-09,7.51,7.7,7.51,7.61
GNE,2012-05-10,7.67,8.04,7.67,7.72
GNE,2012-05-11,7.66,7.8,7.53,7.56
GNE,2012-05-14,7.45,7.53,7.07,7.28
GNE,2012-05-15,7.25,7.45,7.25,7.3
GNE,2012-05-16,7.37,7.44,7.17,7.2
GNE,2012-05-17,7.12,7.2,6.97,7.03
GNE,2012-05-18,7.0,7.05,6.74,6.92
GNE,2012-05-21,6.97,6.99,6.64,6.98
GNE,2012-05-22,6.98,7.16,6.96,7.03
GNE,2012-05-23,7.03,7.03,6.69,6.87
GNE,2012-05-24,6.88,6.98,6.83,6.98
GNE,2012-05-25,6.96,7.07,6.94,7.01
GNE,2012-05-29,7.04,7.09,6.88,7.07
GNE,2012-05-30,7.02,7.1,6.74,6.78
GNE,2012-05-31,6.77,6.93,6.47,6.69
GNE,2012-06-01,6.53,7.2,6.53,6.58
GNE,2012-06-04,6.65,7.0,6.65,6.79
GNE,2012-06-05,6.8,6.98,6.62,6.69
GNE,2012-06-06,6.74,7.13,6.72,6.88
GNE,2012-06-07,6.98,7.07,6.92,6.99
GNE,2012-06-08,6.95,7.22,6.85,7.19
GNE,2012-06-11,7.31,7.99,7.21,7.4
GNE,2012-06-12,7.47,7.59,7.35,7.58
GNE,2012-06-13,7.55,7.79,7.45,7.71
GNE,2012-06-14,7.76,8.24,7.76,8.01
GNE,2012-06-15,8.05,8.24,7.95,8.05
GNE,2012-06-18,8.05,8.17,7.97,8.14
GNE,2012-06-19,8.18,8.18,7.92,7.93
GNE,2012-06-20,7.76,7.89,7.52,7.6
GNE,2012-06-21,7.61,7.72,7.5,7.52
GNE,2012-06-22,7.56,8.05,7.53,8.05
GNE,2012-06-25,8.0,8.0,7.79,7.81
GNE,2012-06-26,7.8,7.93,7.71,7.92
GNE,2012-06-27,7.96,8.38,7.91,7.97
GNE,2012-06-28,7.93,7.94,7.63,7.78
GNE,2012-06-29,7.94,7.94,7.66,7.77
GNE,2012-07-02,7.8,8.0,7.65,7.99
GNE,2012-07-03,8.0,8.02,7.94,8.02
GNE,2012-07-05,8.08,8.08,7.8,7.92
GNE,2012-07-06,7.85,7.85,7.67,7.76
GNE,2012-07-09,7.74,7.9,7.69,7.73
GNE,2012-07-10,7.86,8.2,7.82,8.18
GNE,2012-07-11,8.2,8.6,8.16,8.56
GNE,2012-07-12,8.43,8.64,8.29,8.41
GNE,2012-07-13,8.42,8.54,8.4,8.5
GNE,2012-07-16,8.5,8.54,8.38,8.38
GNE,2012-07-17,8.41,8.41,8.24,8.31
GNE,2012-07-18,8.28,8.33,8.21,8.25
GNE,2012-07-19,8.25,8.25,7.87,7.9
GNE,2012-07-20,7.87,8.01,7.7,7.71
GNE,2012-07-23,7.6,7.62,7.42,7.48
GNE,2012-07-24,7.49,7.5,7.26,7.32
GNE,2012-07-25,7.39,7.45,7.0,7.04
GNE,2012-07-26,7.13,7.24,7.0,7.05
GNE,2012-07-27,7.06,7.27,7.06,7.26
GNE,2012-07-30,7.18,7.35,7.15,7.25
GNE,2012-07-31,7.23,7.3,7.03,7.06
GNE,2012-08-01,7.08,7.17,6.77,6.77
GNE,2012-08-02,6.76,6.9,6.76,6.85
GNE,2012-08-03,7.04,7.3,7.0,7.22
GNE,2012-08-06,7.22,7.33,7.18,7.31
GNE,2012-08-07,7.36,7.53,7.28,7.42
GNE,2012-08-08,7.41,7.43,7.03,7.17
GNE,2012-08-09,7.18,7.41,7.15,7.22
GNE,2012-08-10,7.23,7.27,7.13,7.21
GNE,2012-08-13,7.18,7.28,7.13,7.25
GNE,2012-08-14,7.26,7.35,7.13,7.16
GNE,2012-08-15,7.13,7.32,7.13,7.25
GNE,2012-08-16,7.19,7.25,7.15,7.25
GNE,2012-08-17,7.23,7.6,7.14,7.6
GNE,2012-08-20,7.57,7.66,7.37,7.63
