ticker,date,open,high,low,close
GPAC,2021-03-05,10.17,10.17,10.17,10.17
GPAC,2021-03-08,11.0,11.0,11.0,11.0
GPAC,2021-03-09,10.5,10.5,10.09,10.1
GPAC,2021-03-10,10.48,10.5,9.98,10.18
GPAC,2021-03-11,10.01,10.1,9.96,9.96
GPAC,2021-03-12,9.87,9.89,9.8,9.83
GPAC,2021-03-15,9.83,9.85,9.8,9.8
GPAC,2021-03-16,9.82,9.94,9.82,9.94
GPAC,2021-03-17,9.81,9.82,9.79,9.81
GPAC,2021-03-18,9.89,9.89,9.8,9.8
GPAC,2021-03-19,9.79,9.82,9.79,9.8
GPAC,2021-03-22,9.8,9.82,9.75,9.75
GPAC,2021-03-23,9.73,9.73,9.65,9.66
GPAC,2021-03-24,9.66,9.7,9.61,9.62
GPAC,2021-03-25,9.66,9.74,9.66,9.71
GPAC,2021-03-26,9.72,9.72,9.63,9.69
GPAC,2021-03-29,9.69,9.69,9.69,9.69
GPAC,2021-03-30,9.69,9.69,9.69,9.69
GPAC,2021-03-31,9.73,9.73,9.73,9.73
GPAC,2021-04-01,9.75,9.75,9.72,9.72
GPAC,2021-04-05,9.72,9.72,9.72,9.72
GPAC,2021-04-06,9.72,9.72,9.72,9.72
GPAC,2021-04-07,9.73,9.73,9.73,9.73
GPAC,2021-04-08,9.82,9.96,9.82,9.96
GPAC,2021-04-09,9.9,9.9,9.82,9.84
GPAC,2021-04-12,9.93,9.95,9.93,9.95
GPAC,2021-04-13,9.9,9.9,9.88,9.9
GPAC,2021-04-14,9.85,9.97,9.85,9.95
GPAC,2021-04-15,9.85,9.85,9.85,9.85
GPAC,2021-04-16,9.85,9.85,9.85,9.85
GPAC,2021-04-19,9.84,9.93,9.82,9.9
GPAC,2021-04-20,9.85,9.85,9.85,9.85
GPAC,2021-04-21,9.85,9.86,9.77,9.82
GPAC,2021-04-22,9.82,9.82,9.82,9.82
GPAC,2021-04-23,9.8,9.85,9.75,9.85
GPAC,2021-04-26,9.85,9.85,9.8,9.82
GPAC,2021-04-27,9.82,9.82,9.75,9.81
GPAC,2021-04-28,9.81,9.9,9.81,9.86
GPAC,2021-04-29,9.82,9.9,9.81,9.9
GPAC,2021-04-30,9.88,9.88,9.77,9.78
GPAC,2021-05-03,9.79,9.9,9.77,9.9
GPAC,2021-05-04,9.89,9.98,9.81,9.95
GPAC,2021-05-05,9.87,9.95,9.87,9.95
GPAC,2021-05-06,9.95,9.95,9.95,9.95
GPAC,2021-05-07,9.94,9.94,9.83,9.88
GPAC,2021-05-10,9.75,9.93,9.74,9.83
GPAC,2021-05-11,9.74,9.87,9.74,9.87
GPAC,2021-05-12,9.76,9.85,9.74,9.85
GPAC,2021-05-13,9.73,9.8,9.73,9.75
GPAC,2021-05-14,9.73,9.78,9.73,9.78
GPAC,2021-05-17,9.72,9.79,9.7,9.71
GPAC,2021-05-18,9.75,9.78,9.65,9.72
GPAC,2021-05-19,9.72,9.73,9.72,9.73
GPAC,2021-05-20,9.72,9.75,9.66,9.75
GPAC,2021-05-21,9.79,9.79,9.7,9.72
GPAC,2021-05-24,9.72,9.72,9.72,9.72
GPAC,2021-05-25,9.72,9.75,9.72,9.75
GPAC,2021-05-26,9.78,9.79,9.69,9.78
GPAC,2021-05-27,9.77,9.77,9.76,9.77
GPAC,2021-05-28,9.79,9.79,9.79,9.79
GPAC,2021-06-01,9.79,9.8,9.78,9.79
GPAC,2021-06-02,9.8,9.8,9.79,9.79
GPAC,2021-06-03,9.8,9.8,9.8,9.8
GPAC,2021-06-04,9.8,9.8,9.8,9.8
GPAC,2021-06-07,9.7,9.75,9.7,9.75
GPAC,2021-06-08,9.7,9.75,9.7,9.75
GPAC,2021-06-09,9.75,9.75,9.75,9.75
GPAC,2021-06-10,9.75,9.75,9.75,9.75
GPAC,2021-06-11,9.79,9.79,9.79,9.79
