ticker,date,open,high,low,close
GPRE,2006-03-15,59.97,63.5,30.0,33.5
GPRE,2006-03-16,34.0,38.0,28.8,29.5
GPRE,2006-03-17,32.0,32.0,25.03,27.5
GPRE,2006-03-20,26.0,26.0,21.6,23.09
GPRE,2006-03-21,23.3,24.39,22.8,23.85
GPRE,2006-03-22,24.0,26.0,23.9,26.0
GPRE,2006-03-23,27.45,28.0,26.12,28.0
GPRE,2006-03-24,27.82,28.5,26.9,28.5
GPRE,2006-03-27,28.5,32.0,28.5,32.0
GPRE,2006-03-28,32.0,34.99,30.02,31.01
GPRE,2006-03-29,31.64,33.89,31.64,33.4
GPRE,2006-03-30,33.6,34.48,32.75,33.49
GPRE,2006-03-31,34.0,34.4,32.85,33.78
GPRE,2006-04-03,33.75,34.96,33.75,34.25
GPRE,2006-04-04,34.97,34.99,34.5,34.5
GPRE,2006-04-05,34.85,37.0,34.4,36.5
GPRE,2006-04-06,37.62,38.0,36.81,37.01
GPRE,2006-04-07,37.7,39.2,36.85,38.45
GPRE,2006-04-10,39.5,46.88,38.9,45.53
GPRE,2006-04-11,46.73,53.68,46.06,49.03
GPRE,2006-04-12,50.0,52.0,45.15,46.7
GPRE,2006-04-13,46.7,49.0,43.75,46.05
GPRE,2006-04-17,45.02,49.48,44.5,46.78
GPRE,2006-04-18,46.8,48.9,46.15,47.56
GPRE,2006-04-19,47.56,48.9,46.87,48.1
GPRE,2006-04-20,48.75,48.75,47.0,47.0
GPRE,2006-04-21,47.76,47.76,46.0,46.17
GPRE,2006-04-24,47.5,47.5,44.25,44.4
GPRE,2006-04-25,44.0,44.41,38.52,39.84
GPRE,2006-04-26,39.99,43.7,39.99,42.35
GPRE,2006-04-27,42.35,43.0,40.19,41.82
GPRE,2006-04-28,40.05,41.83,39.25,41.5
GPRE,2006-05-01,41.0,42.3,41.0,41.5
GPRE,2006-05-02,42.0,45.0,41.16,45.0
GPRE,2006-05-03,45.0,46.75,44.3,46.68
GPRE,2006-05-04,47.0,47.0,40.99,42.1
GPRE,2006-05-05,46.1,46.1,41.2,43.61
GPRE,2006-05-08,45.0,47.0,43.01,47.0
GPRE,2006-05-09,47.4,50.3,47.4,50.3
GPRE,2006-05-10,50.0,51.0,48.26,50.5
GPRE,2006-05-11,50.52,52.99,48.04,49.75
GPRE,2006-05-12,49.5,50.1,48.27,49.99
GPRE,2006-05-15,49.8,49.8,42.4,44.29
GPRE,2006-05-16,44.71,44.99,40.0,43.55
GPRE,2006-05-17,42.5,42.5,40.23,40.99
GPRE,2006-05-18,40.98,43.0,37.06,38.51
GPRE,2006-05-19,38.51,39.5,32.65,34.4
GPRE,2006-05-22,34.4,36.97,33.0,33.88
GPRE,2006-05-23,34.52,36.5,34.0,35.55
GPRE,2006-05-24,36.89,38.0,35.99,37.0
GPRE,2006-05-25,37.1,38.44,37.02,37.61
GPRE,2006-05-26,37.98,37.98,37.0,37.3
GPRE,2006-05-30,37.2,37.5,35.28,36.07
GPRE,2006-05-31,36.0,36.07,35.0,35.0
GPRE,2006-06-01,35.0,35.35,34.25,35.35
GPRE,2006-06-02,35.5,38.41,35.37,37.43
GPRE,2006-06-05,38.7,38.75,37.0,37.98
GPRE,2006-06-06,39.84,39.84,36.6,38.0
GPRE,2006-06-07,38.0,38.4,37.56,37.56
GPRE,2006-06-08,37.07,37.49,36.5,37.15
GPRE,2006-06-09,36.69,36.69,36.5,36.5
GPRE,2006-06-12,37.5,37.5,33.95,35.66
GPRE,2006-06-13,33.75,35.66,31.19,31.5
GPRE,2006-06-14,31.08,32.98,31.08,32.48
GPRE,2006-06-15,32.0,32.0,30.52,31.68
GPRE,2006-06-16,31.5,31.5,28.15,28.64
GPRE,2006-06-19,28.99,28.99,27.0,27.0
GPRE,2006-06-20,26.73,27.32,26.1,26.51
GPRE,2006-06-21,26.5,27.8,26.0,27.6
GPRE,2006-06-22,28.0,32.0,28.0,30.5
GPRE,2006-06-23,32.99,34.25,31.21,33.91
GPRE,2006-06-26,34.98,36.43,33.53,34.5
GPRE,2006-06-27,34.15,36.74,34.15,36.5
GPRE,2006-06-28,36.99,36.99,35.0,35.0
GPRE,2006-06-29,35.0,35.0,31.51,32.98
GPRE,2006-06-30,32.6,34.85,32.6,33.5
GPRE,2006-07-03,34.85,34.85,33.8,34.29
GPRE,2006-07-05,34.5,34.5,33.0,33.0
GPRE,2006-07-06,34.5,34.5,32.72,32.72
GPRE,2006-07-07,31.8,33.9,31.8,32.7
GPRE,2006-07-10,32.0,33.7,32.0,33.4
GPRE,2006-07-11,33.25,34.6,33.13,34.25
GPRE,2006-07-12,32.2,34.57,32.0,32.66
GPRE,2006-07-13,33.9,34.0,33.29,33.5
GPRE,2006-07-14,33.48,35.0,33.4,33.55
GPRE,2006-07-17,33.25,35.1,33.05,33.61
GPRE,2006-07-18,34.99,34.99,30.0,30.0
GPRE,2006-07-19,30.05,32.0,30.05,31.87
GPRE,2006-07-20,32.0,33.0,31.5,32.2
GPRE,2006-07-21,31.63,32.01,30.13,31.4
GPRE,2006-07-24,33.98,33.98,30.5,30.9
GPRE,2006-07-25,30.9,31.2,29.2,29.98
GPRE,2006-07-26,33.98,33.98,28.0,30.14
GPRE,2006-07-27,30.0,32.47,30.0,32.47
GPRE,2006-07-28,32.0,32.8,30.55,31.0
GPRE,2006-07-31,31.25,32.7,31.1,32.5
GPRE,2006-08-01,31.6,32.5,31.0,32.5
GPRE,2006-08-02,32.0,32.5,30.88,31.06
GPRE,2006-08-03,31.99,31.99,31.0,31.88
GPRE,2006-08-04,32.3,32.3,31.02,31.09
GPRE,2006-08-07,32.25,32.25,31.45,31.58
GPRE,2006-08-08,31.87,31.87,31.0,31.7
GPRE,2006-08-09,31.13,31.85,27.85,28.55
GPRE,2006-08-10,30.5,30.5,26.65,26.65
GPRE,2006-08-11,26.38,26.57,25.6,25.75
GPRE,2006-08-14,27.8,27.8,26.0,26.74
GPRE,2006-08-15,27.99,29.64,26.8,28.0
GPRE,2006-08-16,27.66,28.04,27.29,27.75
GPRE,2006-08-17,29.49,29.49,28.0,28.41
GPRE,2006-08-18,28.76,28.76,27.3,27.99
GPRE,2006-08-21,27.98,27.98,27.3,27.5
GPRE,2006-08-22,27.5,28.0,27.19,27.75
GPRE,2006-08-23,28.25,28.47,27.55,27.93
GPRE,2006-08-24,27.65,28.47,27.59,27.91
GPRE,2006-08-25,27.5,27.5,27.5,27.5
GPRE,2006-08-28,28.59,28.59,27.6,27.6
GPRE,2006-08-29,27.82,28.15,27.56,27.75
GPRE,2006-08-30,27.85,27.85,27.37,27.48
GPRE,2006-08-31,27.3,27.88,27.21,27.85
GPRE,2006-09-01,28.0,28.0,27.0,27.0
GPRE,2006-09-05,27.06,27.46,27.0,27.0
GPRE,2006-09-06,27.1,27.12,25.11,25.11
GPRE,2006-09-07,26.86,26.86,23.0,24.0
GPRE,2006-09-08,26.31,26.41,24.06,24.12
GPRE,2006-09-11,24.01,24.62,19.44,20.55
GPRE,2006-09-12,21.23,23.0,20.52,22.5
GPRE,2006-09-13,22.32,22.9,22.13,22.6
GPRE,2006-09-14,23.07,23.5,22.51,23.5
GPRE,2006-09-15,23.88,23.9,22.72,22.72
GPRE,2006-09-18,22.65,22.65,21.55,21.56
GPRE,2006-09-19,21.76,21.76,20.83,21.2
